Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-0.2    0.0         0.0         0.9428    0.9081    0.9251    3015    3198        3320      
-0.2    0.0         0.05        0.9428    0.9081    0.9251    3015    3198        3320      
-0.1    0.0         0.0         0.9416    0.9087    0.9249    3017    3204        3320      
-0.1    0.0         0.05        0.9416    0.9087    0.9249    3017    3204        3320      
-0.2    0.0         0.1         0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.15        0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.2         0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.25        0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.3         0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.35        0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.4         0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.45        0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.5         0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.55        0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.6         0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.65        0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.7         0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.75        0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.8         0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.85        0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.9         0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         0.95        0.9422    0.9078    0.9247    3014    3199        3320      
-0.2    0.0         1.0         0.9422    0.9078    0.9247    3014    3199        3320      
-0.3    0.0         0.0         0.9424    0.9075    0.9247    3013    3197        3320      
-0.3    0.0         0.05        0.9424    0.9075    0.9247    3013    3197        3320      
-0.1    0.0         0.1         0.9410    0.9084    0.9244    3016    3205        3320      
-0.1    0.0         0.15        0.9410    0.9084    0.9244    3016    3205        3320      
-0.1    0.0         0.2         0.9410    0.9084    0.9244    3016    3205        3320      
-0.3    0.0         0.1         0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.15        0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.2         0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.25        0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.3         0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.35        0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.4         0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.45        0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.5         0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.55        0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.6         0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.65        0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.7         0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.75        0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.8         0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.85        0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.9         0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         0.95        0.9418    0.9072    0.9242    3012    3198        3320      
-0.3    0.0         1.0         0.9418    0.9072    0.9242    3012    3198        3320      
-1.0    0.0         0.0         0.9421    0.9069    0.9242    3011    3196        3320      
-1.0    0.0         0.05        0.9421    0.9069    0.9242    3011    3196        3320      
-0.9    0.0         0.0         0.9421    0.9069    0.9242    3011    3196        3320      
-0.9    0.0         0.05        0.9421    0.9069    0.9242    3011    3196        3320      
-0.8    0.0         0.0         0.9421    0.9069    0.9242    3011    3196        3320      
-0.8    0.0         0.05        0.9421    0.9069    0.9242    3011    3196        3320      
-0.7    0.0         0.0         0.9421    0.9069    0.9242    3011    3196        3320      
-0.7    0.0         0.05        0.9421    0.9069    0.9242    3011    3196        3320      
-0.6    0.0         0.0         0.9421    0.9069    0.9242    3011    3196        3320      
-0.6    0.0         0.05        0.9421    0.9069    0.9242    3011    3196        3320      
-0.5    0.0         0.0         0.9421    0.9069    0.9242    3011    3196        3320      
-0.5    0.0         0.05        0.9421    0.9069    0.9242    3011    3196        3320      
-0.4    0.0         0.0         0.9421    0.9069    0.9242    3011    3196        3320      
-0.4    0.0         0.05        0.9421    0.9069    0.9242    3011    3196        3320      
-0.2    0.02        0.0         0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.05        0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.1         0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.15        0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.2         0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.25        0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.3         0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.35        0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.4         0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.45        0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.5         0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.55        0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.6         0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.65        0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.7         0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.75        0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.8         0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.85        0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.9         0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        0.95        0.9404    0.9081    0.9240    3015    3206        3320      
-0.2    0.02        1.0         0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.25        0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.3         0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.35        0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.4         0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.45        0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.5         0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.55        0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.6         0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.65        0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.7         0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.75        0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.8         0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.85        0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.9         0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         0.95        0.9404    0.9081    0.9240    3015    3206        3320      
-0.1    0.0         1.0         0.9404    0.9081    0.9240    3015    3206        3320      
-1.0    0.0         0.1         0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.15        0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.2         0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.25        0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.3         0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.35        0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.4         0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.45        0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.5         0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.55        0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.6         0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.65        0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.7         0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.75        0.9415    0.9066    0.9237    3010    3197        3320      
-1.0    0.0         0.8         0.9415    0.9066    0.9237    3010    3197        3320      
