朝列大夫國子監司業兼史官修撰臣吳士連編。	triều liệt đại phu , quốc tử giám tư nghiệp , kiêm sử quan tu soạn , thần ngô sĩ liên biên.
按黄帝時建萬國以交趾界於西南遠在百粤之表。 堯命𦏁氏宅南交定南方交趾之地。	xét : thời hoàng đế dựng muôn nước , lấy địa giới giao chỉ về phía tây nam , xa ngoài đất bách việt. vua nghiêu sai hy thị đến ở nam giao để định đất giao chỉ ở phương nam.
禹别九州百粤爲楊州域交趾属焉。	vua vũ chia chín châu thì bách việt thuộc phần đất châu dương , giao chỉ thuộc về đấy.
成周時始稱越裳氏越之名肇於此云。	từ đời thành vương nhà chu mới gọi là việt thường thị , tên việt bắt đầu có từ đấy.
鴻龐氏紀。	kỷ hồng bàng thị.
涇陽王。	kinh dương vương.
諱祿續神農氏之後也。	tên huý là lộc tục , con cháu họ thần nông.
壬戌元年。	nhâm tuất , năm thứ nhất.
初炎帝神農氏三世孫帝明生帝宜既而南廵至五嶺接得鶩僊女生王。	xưa cháu ba đời của viêm đế họ thần nông là đế minh sinh ra đế nghi , sau đế minh nhân đi tuần phương nam , đến ngũ lĩnh lấy con gái vụ tiên , sinh ra vua.
王聖智聰明帝明奇之欲使嗣位。	vua là bậc thánh trí thông minh , đế minh rất yêu quý , muốn cho nối ngôi.
王固讓其兄不敢奉命。	vua cố nhường cho anh , không dám vâng mệnh.
帝明於是立帝宜爲嗣治北方封王爲涇陽王治南方號赤鬼國。	đế minh mới lập đế nghi là con nối ngôi , cai quản phương bắc , phong cho vua làm kinh dương vương , cai quản phương nam , gọi là nước xích quỷ.
王娶洞庭君女曰神龍生貉龍君。	vua lấy con gái động đình quân tên là thần long sinh ra lạc long quân.
按唐紀涇陽時有牧羊父自謂洞庭君少女嫁涇川次子被黜寄書與柳毅奏洞庭君則涇川洞庭世爲婚姻有自來矣。	( xét : đường kỷ chép : thời kinh dương có người đàn bà chăn dê , tự xưng là con gái út của động đình quân , lấy con thứ của kinh xuyên , bị bỏ , viết thư nhờ liễu nghị tâu với động đình quân thế thì kinh xuyên và động đình đời đời làm thông gia với nhau đã từ lâu rồi ).
貉龍君。	lạc long quân.
諱崇䌫涇陽王之子也。	tên huý là sùng lãm , con của kinh dương vương.
君娶帝來女曰嫗姬生百男俗傳生百卵是爲百粤之祖。	vua lấy con gái của đế lai là âu cơ , sinh ra trăm con trai ( tục truyền sinh trăm trứng ) , là tổ của bách việt.
一日謂姬曰我是龍種爾是僊種水火相尅合併實難。	một hôm , vua bảo âu cơ rằng : " ta là giống rồng , nàng là giống tiên , thuỷ hoả khắc nhau , chung hợp thật khó ".
乃與之相别分五十子從母歸山五十子從父居南居南作歸南海封其長爲䧺王嗣君位。	bèn từ biệt nhau , chia năm mươi con theo mẹ về núi , năm mươi con theo cha về ở miền nam ( có bản chép là về nam hải ) , phong cho con trưởng làm hùng vương , nối ngôi vua.
史臣吴士連曰天地開肈之時有以氣化者盤古氏是也。	sử thần ngô sĩ liên nói : khi trời đất mới mở mang , có thứ do khí hoá ra , đó là bàn cổ thị.
有氣化然後有形化莫非陰陽二氣也。	có khí hoá ra rồi sau có hình hoá , không thứ gì ngoài hai khí âm dương cả.
易曰天地絪緼萬物化醇男女媾精萬物化生。	kinh dịch nói : " trời đất nung ủ , vạn vật thuần hoá , đực cái hợp tinh , vạn vật hoá sinh ".
故有夫婦然後有父子有父子然後有君臣。	cho nên có vợ chồng rồi sau mới có cha con , có cha con rồi sau mới có vua tôi.
然而聖賢之生必異乎常乃天所命。	nhưng thánh hiền sinh ra , tất có khác thường , đó là do mệnh trời.
吞玄鳥卵而生商履巨人跡而興周皆紀其實然也。	nuốt trứng chim huyền điểu mà sinh ra nhà thương , giẫm vết chân người khổng lồ mà dấy nhà chu , đều là ghi sự thực như thế.
神農氏之後帝明得鶩僊女而生涇陽王是爲百粤始祖。	con cháu thần nông thị là đế minh lấy con gái vụ tiên mà sinh kinh dương vương , tức là thuỷ tổ của bách việt.
王娶神龍女生貉龍君君娶帝來女而生育有百男之祥。	vương lấy con gái thần long sinh ra lạc long quân , lạc long quân lấy con gái đế lai mà có phúc lành sinh trăm con trai.
此其所以能肇我越之基也歟。	đó chẳng phải là cái đã gây nên cơ nghiệp của nước việt ta hay sao ?.
考之通鑑外紀帝來帝宜之子㨿此所載涇陽王帝宜之弟乃相爲婚姻蓋世尙鴻荒禮樂未著而然者歟。	xét sách thông giám ngoại kỷ nói : đế lai là con đế nghi ; cứ theo sự ghi chép ấy thì kinh dương vương là em ruột đế nghi , thế mà kết hôn với nhau , có lẽ vì đời ấy còn hoang sơ , lễ nhạc chưa đặt mà như thế chăng ?.
䧺王。	hùng vương.
貉龍君之子也缺諱都峯州今白鶴縣是也。	con lạc long quân ( không rõ tên huý ) , đóng đô ở phong châu ( nay là huyện bạch hạc ).
雄王之立也建國號文郎國其國東夾南海西抵巴蜀北至洞庭湖南接胡孫國即占城國今廣南是也分國爲十五部曰交趾曰朱鳶曰武寧曰福祿曰越裳曰寧海曰陽泉曰陸海曰武定曰懷驩曰九真曰平文曰新興曰九德以臣属焉其曰文郎王所都也。	hùng vương lên ngôi , đặt quốc hiệu là văn lang ( nước này đông giáp biển nam hải , tây đến ba thục , bắc đến hồ động đình , nam giáp nước hồ tôn , tức nước chiêm thành , nay là quảng nam ) , chia nước làm mười lăm bộ là : giao chỉ , chu diên , vũ ninh , phúc lộc , việt thường , ninh hải , dương tuyền , lục hải , vũ định , hoài hoan , cửu chân , bình văn , tân hưng , cửu đức ; đều là đất thần thuộc của hùng vương ; còn bộ gọi là văn lang là nơi vua đóng đô.
置相曰貉候將曰貉將貉將後訛爲雄將。	đặt tướng văn gọi là lạc hầu , tướng võ gọi là lạc tướng ( chữ lạc tướng , sau chép sai là hùng tướng ).
王子曰官郎王女曰媚娘。	con trai vua gọi là quan lang , con gái vua gọi là mị nương.
有司曰蒲政世世以父傳子曰父道。	quan coi việc gọi là bồ chính , đời đời cha truyền con nối , gọi là phụ đạo.
世主皆號雄王。	vua các đời đều gọi là hùng vương.
時山麓之民見江河濮水皆聚魚鰕率相魚食爲蛟蛇所傷。	bấy giờ dân ở rừng núi thấy ở sông ngòi khe suối đều có tôm cá , nên rủ nhau đi bắt cá để ăn , thường bị thuồng luồng làm hại ,.
王曰山蠻之種與水族實殊彼好同惡異故有此病。	vua nói : " người man ở núi khác với các loài thuỷ tộc ; các thuỷ tộc ấy ưa cùng loài mà ghét khác loài , cho nên mới bị chúng làm hại.
乃命人以墨跡畵水恠於身。	rồi vua bảo mọi người lấy mực vẽ hình thuỷ quái ở mình.
自是蛟龍見之無咬傷之害。	từ đấy thuồng luồng trông thấy không cắn hại nữa.
百粤文身之俗盖始此。	tục vẽ mình của người bách việt có lẽ bắt đầu từ đấy.
雄王六世武寧部扶董鄕有富家翁生一南三歲餘飲食肥大不能言笑。	đời hùng vương thứ sáu , ở hương phù đổng , bộ vũ ninh có người nhà giàu , sinh một con trai , đến năm hơn ba tuổi ăn uống béo lớn nhưng không biết nói cười.
適國内有警王命人求能却敵者。	gặp lúc trong nước có tin nguy cấp , vua sai người đi tìm người có thể đánh lui được giặc.
其日小兒忽能言告其母邀天使來曰願得一劍一馬君無憂也。	ngày hôm ấy , đứa trẻ bỗng nói được , bảo mẹ ra mời thiên sứ vào , nói : " xin cho một thanh gươm , một con ngựa , vua không phải lo gì ".
王賜之劍馬小兒即躍馬揮劍而前官軍從後破賊于武寧山。	vua ban cho gươm và ngựa , đứa trẻ liền phi ngựa vung gươm tiến lên trước , quan quân theo sau , đánh tan quân giặc ở chân núi vũ ninh.
脚賊自倒戈相攻死者甚󰕛餘黨羅拜呼天將即皆來降。	quân giặc tự quay giáo đánh lẫn nhau , chết rất nhiều , bọn sống sót đều rạp lạy , tôn gọi đứa trẻ ấy là thiên tướng , liền đến xin hàng cả.
小而躍馬騰空而去。	đứa trẻ phi ngựa lên trời mà đi.
王命開所居園宅立廟時祀焉。 後李太祖封爲冲天神王其神祠在扶董鄕建初寺測。	vua sai sửa sang chỗ vườn nhà của đứa trẻ để lập đền thờ , tuế thời cúng tế. về sau , lý thái tổ phong là xung thiên thần vương ( đền thờ ở cạnh chùa kiến sơ , hương phù đổng ).
周成王時我越始聘于周稱越裳氏献白雉。	thời thành vương nhà chu , nước việt ta lần đầu sang thăm nhà chu , xưng là việt thường thị , hiến chim trĩ trắng.
周公曰政令不施君子不臣其人命作指南車送還本國。	chu công nói : " chính lệnh không ban đến thì người quân tử không coi người ta là bề tôi của mình " , rồi sai làm xe chỉ nam đưa sứ giả về nước.
時屬季世王有女曰媚娘美而艷。	cuối thời hùng vương , vua có con gái gọi là mị nương , nhan sắc xinh đẹp.
蜀王聞之誥王求爲婚。	thục vương nghe tiếng , đến cầu hôn.
王欲從之雄侯止之曰彼欲圖我以婚姻爲由耳。	vua muốn gả , nhưng hùng hầu can rằng : " họ muốn chiếm nước ta , chỉ lấy việc hôn nhân làm cớ mà thôi ".
蜀王以是㗸怨。	thục vương vì chuyện ấy để bụng oán giận.
王欲求可配者謂群臣曰此女是僊種才德兼備者方可爲姻。	vua muốn tìm người xứng đáng để gả , bảo các bề tôi rằng : " đứa con gái này là giống tiên , người nào có đủ tài đức mới cho làm rể ".
時見二姻自外來拜見庭下求爲婚姻。	bấy giờ có hai người từ ngoài đến , lạy dưới sân để cầu hôn.
王異而問之對曰一爲山精一爲水精皆在境内聞明王有聖女敢來請命。	vua lấy làm lạ , hỏi thì họ thưa rằng một người là sơn tinh , một người là thuỷ tinh , đều ở trong cõi cả , nghe nhà vua có thánh nữ , đánh bạo đến xin lĩnh mệnh.
王曰我有一女𡸈得两賢乎。	vua nói : " ta có một người con gái , lẽ nào lại được cả hai rể hiền ? ".
乃納來日能具聘禮先來即與。	bèn hẹn đến ngày hôm sau , ai đem đủ sính lễ đến trước thì gả cho người ấy.
兩賢應諾拜謝而歸。	hai người vâng lời , lạy tạ ra về.
明日山精將珍寶金銀山禽野獸等物來献。	hôm sau , sơn tinh đem các đồ châu báu vàng bạc , chim núi thú rừng đến dâng.
王如約嫁之。	vua y hẹn gả con cho.
山精迎回傘圓高峯居之。	sơn tinh đón vợ về ở ngọn núi cao trên núi tản viên.
水精亦將聘財後至恨悔不及遂興雲作雨激水漲溢率水族追之。	thuỷ tinh cũng đem sính lễ đến sau , giận tiếc là không kịp , bèn kéo mây làm mưa , dâng nước tràn ngập , đem các loài thuỷ tộc đuổi theo.
王與山精張鐵鋼横截慈廉上流以扞之。	vua cùng sơn tinh lấy lưới sắt chăng ngang thượng lưu sông từ liêm để chặn lại.
