夏禹， 名曰文 命。	Hạ Vũ tên là Văn Mệnh.
禹之父曰鲧，鲧之父曰帝颛顼， 颛顼之父曰 昌意，昌意之父曰黄帝。	Bố của Vũ là Cổn, bố của Cổn là Đế Chuyên Húc, bố của Chuyên Húc là Xương Ý, bố của Xương Ý là Hoàng Đế.
禹者，黄帝之玄孙而帝颛顼之孙也。	Vũ là huyền tôn của Hoàng Đế, là cháu của Đế Chuyên Húc.
禹之曾 大父昌意及父鲧皆不得在帝位，为人臣。	Tằng tổ Xương Ý và bố Cổn của Vũ đều không được ngôi vua, chỉ là bề tôi.
当帝尧之时，鸿水 滔天，浩浩怀山襄陵，下民其忧。	Thời Đế Nghiêu, lũ lụt ngập trời, mênh mông nhấn nuốt núi đồi, lê dân lo sợ.
尧求能治水者，群臣四岳皆曰鲧 可。	Nghiêu tìm người có thể trị thủy, quần thần Tứ nhạc đều nói Cổn có thể làm.
尧曰：“鲧为人负命毁族，不可。” 四岳曰：“等之未有贤於鲧 者，原帝试之。”	Nghiêu nói: “Cổn hay làm trái lệnh, tàn sát người trong họ, không được” Tứ nhạc đáp: “So ra thì vẫn chưa có ai giỏi hơn Cổn, vẫn mong vua thử dùng xem sao?”
於是尧听四岳，用鲧治水。	Thế rồi Nghiêu nghe lời Tứ nhạc, dùng Cổn trị thủy.
九年而水不息，功用不 成。	Qua chín năm mà lũ vẫn không dứt, chẳng nên công trạng.
於是帝尧乃求人，更得舜。	Thế rồi Đế Nghiêu lại tìm người, liền được Thuấn.
舜登用，摄行天子之政，巡狩。	Thuấn được cất nhắc, làm thay chính sự của thiên tử, đi tuần thủ các nơi.
行视 鲧之治水无状，乃殛鲧於羽山以死。	Thấy Cổn trị thủy không có công trạng, bèn đáy Cổn tới Vũ Sơn cho đến chết.
天下皆以舜之诛为是。	Thiên hạ đều cho rằng Thuấn trách phạt đúng.
於是舜举鲧子禹，而使续 鲧之业。	Thuấn bèn cất nhắc con của Cổn là Vũ, sai Vũ tiếp tục công việc của Cổn.
尧崩，帝舜问四岳曰：“有能成美尧之事者使居官？”	Vua Nghiêu băng, Đế Thuấn hỏi Tứ nhạc: “Có ai có thể phát huy và làm rạng rỡ được đức nghiệp của vua Nghiêu thì cho làm quan?”
皆 曰：“伯禹为司空，可成美尧之功。” 舜曰：“嗟，然！”	Mọi người đều đáp: “Bá Vũ làm chức Tư không, có thể phát huy và làm rạng rỡ công tích của vua Nghiêu” Thuấn nói: “Ô, đúng!”
命 禹：“女平水土，维是勉之。” 禹拜稽首，让於契、后稷、皋陶。	Rồi mệnh cho Vũ rằng: “Ngươi dẹp yên nước lũ, thật gắng gỏi” Vũ chắp tay dập đầu, nhường cho Tiết, Hậu Tắc và Cao Dao.
舜 曰：“女其往视尔事矣。”	Thuấn nói: “Ngươi đi coi việc của người được rồi!”
禹乃遂与益、后稷奉帝命，命诸侯百姓兴人徒以傅土，行山表 木， 定高山大川。	Vũ bèn cùng Ích và Hậu Tắc vâng mệnh vua, lệnh cho chư hầu bá quan điều động nhân lực đào đất trị thủy, vượt núi cắm mốc, xác định núi cao sông cả.
禹伤先人父 鲧功之不成受诛，乃劳身焦思，居外十三年，过家门不敢入。	Vũ thương Cổn cha mình công trạng chưa thành lại bị phạt, liền lao tâm khổ tứ, ở ngoài mười ba năm, qua cửa nhà không dám vào.
陆行乘车，水行乘船，泥行乘橇， 山行乘 暐。 左准绳， 右规矩， 载四时， 以开九州，通九道，陂九泽，度九山。	Đường đất đi bằng xe, đường sông đi bằng thuyền, đường bùn đi bằng khiêu, đường núi đi bằng cúc, tay trái thì mang cái chuẩn, cái thừng, tay phải thì mang cái quy, cái củ, mang suốt bốn mùa, để vạch chín châu, thông chín đường, đắp chín đầm, đo chín núi.
命后稷予众庶难得之食。	Sai Hậu Tắc cho dân lương thực hiếm có.
禹乃行 相地宜所有以贡，及山川之便利。	Vũ còn đi xem xét địa vật các nơi để định đồ cống phú và hình thế tiện lợi của núi sông.
覃 怀致功， 至於衡漳。	Đàm Hoài hoàn công thì trị đến sông Hành và sông Chương.
其土白 壤。	Đất ở đó trắng lại mềm.
济、河维沇州：九河既 道， 雷夏既泽，雍、沮会同， 桑土既蚕，於是民得下丘居土。	Đại Vũ trụ thủy tranh khắc đá thời Đông Hán Tế Thủy, Hoàng Hà bao bọc Duyện châu. Chín sông đã khơi, Lôi Hạ thành đầm, sông Ung, sông Thu chung dòng chảy vào đầm, đất trồng dâu đã nuôi được tằm, thế là dân được xuống núi, ở trên mặt đất.
田中下， 赋贞，作十有三年乃同。	Đồng ruộng hạng sáu, thuế phú hạng chín, canh tác mười ba năm mới bằng vùng khác.
浮 於汶，通於济。	Họ đi thuyền trên sông Vấn, thông vào sống Tế.
大野既都， 东原厎平。	Đầm Đại Dã đã chứa nước, đất Đông Nguyên đã bằng phẳng.
九江甚中， 沱、涔已道， 云土、梦为治。	Chín con sông đã chia, sông Đà, sông Sầm đã xuôi dòng. Đầm Vân Thổ, đầm Mộng chưa xong.
田下中，赋上下。	Đồng ruộng hạng tám, thuế phú hạng ba.
浮於雒，达於河。	Người ta đi thuyền trên sông Lạc, rồi đến Hoàng Hà.
其土黄壤。	Đất ở đây vàng và xốp.
於是九州攸同，四奥既居， 九山■旅，九川 涤原，九泽既陂， 四海会同。	Thế là chín châu đại đồng, bốn cõi an cư, chín núi tế Lữ, chín sông khơi dòng, chín chằm có đập, bốn bể lưu thông.
於是帝锡禹玄圭，以告成功于天下。	Bấy giờ đế Thuấn ban cho Vũ ngọc khuê màu huyền, bá cáo thành công với thiên hạ.
天下於是太平治。	Thiên hạ thái bình thịnh trị.
帝舜朝，禹、伯夷、皋陶相 与语帝前。	Đế Thuấn vào triều, Vũ, Bá Di, Cao Dao bàn luận trước mặt vua.
皋陶述其谋曰：“信其道德，谋明辅和。”	Cao Dao trình bày sách lược nói: “Chân thành thi hành đức chính thì kế sách sáng rõ, bá quan thuận hòa.”
禹曰：“然， 如何？”	Vũ nói: “Đúng rồi, vậy làm thế nào?”
皋陶曰：“於！慎其身脩， 思长，敦序九族，众 明高翼，近可远在已。”	Cao Dao nói: “Ôi! Sửa mình cẩn mực, suy nghĩ lâu dài, chín họ hòa mục, hiền tài giúp rập. Từ gần tới xa, thảy đều ở đó.”
禹拜美言，曰：“然。”	Vũ lạy khen lời hay, nói: “Đúng quá!”
皋陶 曰：“於！在知人，在安民。”	Cao Dao nói: “Ôi! Còn ở chỗ biết người và vỗ yên lòng dân nữa.”
禹曰：“吁！皆若是，惟帝其难之。 知人则智，能官人；能安民则 惠，黎民怀之。能知能惠，何忧乎驩兜，何迁乎有苗，何畏乎巧言善 色佞人？”	Vũ nói: “Chà! Đều được như vậy thì đến Đế Nghiêu cũng thấy khó vậy. Biết người là trí, có thể cho người ra làm quan; vỗ yên lòng dân là ơn, lê dân ắt yêu kính. Có thể biết người, có thể ban ơn thì lo gì Hoan Đâu, cần gì phải di dời Tam Miêu, sợ gì những kẻ xảo ngôn xiểm nịnh?”
皋陶曰：“然， 於！亦行有九德，亦言其有德。”	Cao Dao nói: “Đúng rồi! Ôi! Hành sự có chín đức, lời nói cũng có đức.”
禹曰：“女言致可绩行。”	Vũ nói: “Ông nói chí lý, có thể thi hành thành công.”
皋陶曰：“余未有知，思赞道 哉。”	Cao Dao nói: “Tôi không có kiến văn, chỉ là nghĩ giúp rập thế nào cho đạo trị nước thôi.”
帝舜谓禹曰：“女亦昌言。”	Đế Thuấn bảo Vũ rằng: “Ngươi cũng nói lời hay xem?”
禹拜曰；“於，予何言！予思日孳 孳。”	Vũ lạy rồi thưa: “Ôi! Thần biết nói gì đây! Thần chỉ nghĩ hằng ngày phải chăm chỉ.”
皋陶难禹曰：“何谓孳孳？”	Cao Dao hỏi Vũ: “Thế nào là chăm chỉ?”
禹曰：“鸿水滔天，浩浩怀山襄 陵，下民皆服於水。予陆行乘车，水行乘舟，泥行乘橇，山行乘暐， 行山■木。与益予众庶稻鲜食。 以决九川致四 海，浚畎澮致之川。与稷予众庶难 得之食。食少，调有馀补不足，徙居。众民乃定，万国为治。”	Vũ nói: “Nước lũ ngập trời, mênh mông nhân nuốt núi đồi, hạ dân khốn khổ vì lũ. Tôi thì đường đất đi bằng xe, đường sống đi bằng thuyền, đường bùn đi bằng khiêu, đường núi đi bằng cúc, lên núi cắm mốc, cùng Bá Ích phát cho dân chúng thóc gạo thịt thà, khơi chín sông đổ ra bốn bể, thông mương rãnh chảy ra sông ngòi, cùng Hậu Tắc phát cho dân chúng đồ ăn khan hiếm. Lương thực ít thì điều động chỗ dư thừa bổ sung cho nơi thiếu thốn, hoặc cho di dời chỗ ở, Dân chúng được yên định, muôn nước được trị bình.”
皋陶 曰：“然，此而美也。”	Cao Dạo nói: “Đúng quá! Thế là đẹp rồi!”
禹曰：“於，帝！慎乃在位，安尔止。 辅德，天下大应。清意以昭待上帝命，天其 重命用休。”	Vũ nói: “Ôi! Đế Thuấn! Người ở ngôi thận trọng, giữ yên chức phận, dùng người có đức phò tá, thiên hạ sẽ ưng thuận. Dùng tâm ý thuần khiết để vâng chịu và làm sáng tỏ mệnh của thượng đế, thì trời sẽ trọng dụng và ban phúc lành.”
禹曰：“然。帝即不时，布同善恶则毋功。”	Vũ nói: “Đúng rồi ạ! Nếu đức vua không làm như vậy, đánh đồng thiện ác thì chẳng có công quả.”
帝曰： “毋若丹硃傲，维慢游是好，毋水行舟，朋 淫于家，用绝其世。予不能顺 是。”	Đế Thuấn nói: “Chớ ngạo mạn như Đan Chu, chỉ thích chơi bời biếng nhác, du thuyền nước cạn, dâm loạn trong nhà, tuyệt cả nòi giống. Ta không chấp nhận kiểu ấy được.”
禹曰：“予娶涂山，癸甲，生启予不子， 以故能成水土功。辅成五服，至于五千里， 州十二师，外薄四海， 咸建五长， 各道有功。苗顽不即功， 帝其念哉。” 帝曰：“道吾 德，乃女功序之也。”	Vũ nói: “Thần lấy vợ họ Đồ Sơn, mới được bốn ngày Tân, Nhâm, Quý, Giáp (thì phải đi). Từ khi sinh cháu Khải, thần chưa hề nuôi nấng, nhưng vì vậy mà hoàn thành được công việc trị thủy, đặt ra Ngũ phục đến năm nghìn dặm, mỗi châu mười hai sư, ngoài chạm tới bốn biển, mỗi phương đặt năm trưởng, các đạo đều có công. Rợ Miêu ngoan cố, khuất phục không thành, đức vua nên lưu ý” Đế Thuấn nói: “Đức chính của ta được ban bố là nhờ công người khéo thu xếp vậy?”
皋陶於是敬禹之德，令民皆则禹。 不如言，刑从之。	Cao Dao bấy giờ tôn kính đức của Vũ, lệnh cho dân thảy noi gương Vũ, không nghe lời thì dùng hình phạt bắt theo.
舜德大明。	Đức của vua Thuấn rạng tỏ.
帝用此作歌曰：“陟天之命，维时维 几。” 乃歌 曰：“股肱喜哉，元首起哉，百工熙哉！”	Để Thuấn nhân đó làm bài ca: “Kính vâng mệnh trời, thuận thời cẩn trọng”, bèn hát rằng: “Đại thần vui mừng! Đế vương phấn khởi! Bách công tươi sáng!”
皋陶拜手稽首扬言曰：“念 哉，率为兴事，慎乃宪，敬 哉！”	Cao Dao chắp tay dập đầu dâng lời rằng: “Xin nhớ! Gương mẫu chấn hưng, thận trọng pháp độ. Kinh thay!”
帝拜曰：“然，往钦哉！”	Đế Thuấn lạy tạ nói: “Đúng vậy! Hãy kính cẩn!”
於是天下皆 宗禹之明度数声乐，为山川 神主。	Thế là thiên hạ đều tôn kính Vũ đã làm sáng rõ pháp độ nhạc luật, đáng làm chủ cả sông núi cùng bách thần.
帝舜荐禹於天，为嗣。	Đế Thuấn tiến cử Vũ với trời, để làm người kế vị.
十七年 而帝舜崩。	Mười bảy năm sau, Đế Thuấn băng.
天下诸侯皆去商均而朝 禹。	Chư hầu trong thiên hạ đều rời Thương Quân mà tới chầu Vũ.
禹於是遂即天子位， 南面朝天下，国号曰夏后，姓姒氏。	Bấy giờ Vũ bèn lên ngôi thiên tử, ngoảnh mặt về phía nam nhận thiên hạ đến chầu, đặt quốc hiệu gọi là Hạ Hậu, lấy họ Tự.
帝禹立而举皋陶荐之，且授政焉，而皋陶卒。	Đế Vũ lên ngôi liên tiến cử Cao Dao, giao phó chính sự, nhưng Cao Dao chết.
封皋 陶之後於英、六， 或在许。 而后举益，任之政。	Phong cho hậu duệ Cao Dao ở đất Anh, đất Lục, hoặc ở đất Hứa, sau đó tiến cử Ích với trời, cho xử lý chính sự.
十年，帝禹东巡狩，至于会稽而崩。	Mười năm sau, Đế Vũ đi tuần hướng đông, đến Cối Kê thì băng, trao thiên hạ cho Ích.
三年之丧毕，益让帝禹之子启，而辟居箕山之 阳。	Hết tang ba năm, Ích nhường ngôi cho con của Đế Vũ là Khải, lánh ra ở phía nam Kỳ Sơn.
禹子 启贤，天下属意焉。	Khải, con Vũ, là người hiền, thiên hạ quy thuận.
