秦之先，帝颛顼之苗裔孙曰女脩。	Tổ tiên nhà Tần là Nữ Tu, hậu duệ của Để Chuyên Húc.
女脩 织，玄鸟陨卵，女脩吞之，生子大业。	Chim én rớt trứng, Nữ Tu nuốt vào, sinh con là Đại Nghiệp.
大业取少典之子，曰女华。	Đại Nghiệp lấy con của Thiếu Điển, tên là Nữ Hoa.
女华生大费， 与禹平水土。	Nữ Hoa sinh Đại Phí, cùng Vũ dẹp nước lũ.
已成，帝锡玄圭。 禹受曰：“非予能成，亦大 费为辅。” 帝舜曰：“咨尔费，赞禹功，其赐尔皁游。 尔 後嗣将大出。”	Việc thành, Đế Thuấn ban cho ngọc khuê màu đen, Vũ nhận, nói: “Không phải một mình tôi có thể làm được, còn có Đại Phí trợ giúp vậy? Đế Thuấn nói: “Này Phí ngươi, giúp Vũ nên công, ban cho người dải cờ đen. Con cháu ngươi sẽ phồn thịnh.”
大费拜受，佐舜调驯鸟兽，鸟兽多驯服，是 为柏翳。 舜赐姓嬴氏。	Đại Phí bái nhận, giúp Thuấn huấn luyện chim muông. Chim muông phần nhiều thuần phục. Đây chính là Bá Ế, Đế Thuấn ban cho họ Doanh.
大费生子二人：一曰大廉，实鸟俗氏；二曰若木，实费氏。	Đại Phí sinh được hai người con trai, một là Đại Liêm, tổ tiên của họ Điểu Tục, hai là Nhược Mộc, tổ tiên của họ Phí.
其 玄孙曰费昌，子孙或在中国，或在夷狄。	Cháu năm đời (của Nhược Mộc) là Phi Xương, con cháu có kẻ ở vùng Trung Nguyên, có kẻ ở vùng di địch.
费昌当夏桀之时，去夏归商，为汤御，以败桀於鸣条。	Vào thời Hạ Kiệt, Phí Xương bỏ nhà Hạ quy thuận nhà Thương, đánh xe cho Thành Thang, đánh bại vua Kiệt ở Minh Điều.
大廉玄孙 曰孟戏、中衍， 鸟身人言。	Cháu năm đời của Đại Liêm là Mạnh Hý, Trọng Diễn, tiếng người mình chim.
自太戊以下，中衍之後，遂世有功， 以佐殷国，故嬴姓多显，遂为诸侯。	Từ thời Thái Mậu về sau, hậu duệ của Trọng Diễn đời đời có công, phò tá nước Ân. Vậy nên họ Doanh có nhiều người vinh hiển, sau làm chư hầu.
其玄孙曰中潏， 在西戎，保西垂。 生蜚廉。	Cháu năm đời (của Trọng Diễn) là Trọng Quyết, ở vùng Tây Nhung, giữ biên giới phía tây, sinh Phỉ Liêm.
蜚廉生恶来。	Phỉ Liêm sinh Ác Lai.
恶来有力，蜚廉善走，父子俱以材力 事殷纣。	Ác Lai cả sức, Phỉ Liêm giỏi chạy, hai cha con đều đem tài sức thờ vua Ân Trụ.
周武王之伐纣，并杀恶来。	Chu Võ vương thảo phạt Trụ, bèn giết Ác Lai.
是时蜚廉为纣石北方， 还，无所报，为坛霍太山 而报，得石棺， 铭曰“帝令处父不与殷乱，赐 尔石棺以华氏”。	Bấy giờ Phỉ Liêm đi ra phương Bắc để làm chiếc quách đá cho Trụ, trở về thì (Trụ chết) không bẩm báo được, liền lập đàn núi Hoắc Thái để bẩm báo, nhân được quan tài đá, có dòng minh văn viết rằng “Thiên đế khiến Xử Phụ không chết theo loạn của nhà Ân, ban cho người quan tài đá để làm vinh hiển dòng tộc”.
死，遂葬於霍太山。	Phỉ Liêm chết, liền táng ở núi Hoắc Thái.
蜚廉复有子曰季胜。	Phỉ Liêm còn có con trai là Quý Thắng.
季胜 生孟增。	Quý Thắng sinh Mạnh Tăng.
孟增幸於周成王，是为宅皋狼。	Mạnh Tăng được Chu Thành vương yêu sủng, đây là Trạch Cao Lang.
皋狼生衡父，衡父生造父。	Cao Lang sinh Hành Phủ. Hành Phủ sinh Tạo Phủ.
造父以善御幸 於周缪王，得骥、温骊、 骅緌、 騄耳之驷， 西巡狩，乐而忘归。	Tạo Phủ vì giỏi đánh xe được Chu Mục vương yêu sủng. Chu Mục vương có được bốn thớt ngựa là Kỷ, Ôn Ly, Hoa Lưu, Lục Nhĩ, (đánh xe) đi tuần thú miền Tây, vui quên cả về.
徐 偃王作乱， 造父 为缪王御，长驱归周，一日千里以救乱。	Từ khi Yển vương làm loạn, Tạo Phủ đánh xe cho Mục vương, ruổi dài về Chu, một ngày ngàn dặm để cứu loạn.
自蜚廉生季胜已下五世至造父，别居赵。	Từ Phỉ Liêm đến Quý Thắng trở xuống tới Tạo Phủ là năm đời, thì riêng tại đất Triệu.
赵衰其後 也。	Triệu Suy là hậu duệ của Tạo Phủ vậy. Ách Lai Cách là con của Phỉ Liêm, chết sớm, có con là Nữ Phòng. Nữ Phòng sinh Bàng Cao.
孝王欲以为大骆適嗣。	Hiếu vương muốn cho làm dòng trưởng kế thừa Đại Lạc.
申侯之女为大骆妻，生 子成为適。	Con gái của Thân hầu làm vợ của Đại Lạc, sinh con tên Thành, là dòng trưởng.
申侯乃言孝王曰：“昔我先郦山之女， 为戎胥轩妻，生中潏，以亲故归周， 保西垂，西垂以其故和睦。今我复与大骆妻，生適子成。申骆重婚， 西戎皆服，所以为王。 王其图之。”	Thân hầu bèn nói với Hiếu vương rằng: “Xưa tổ tiên tôi lấy gái họ Ly Sơn, gả con cho Tế Hiên đất Nhung, sinh ra Trọng Duật, vì là thân thích nên quy phụ Chu, giữ biên giới phía tây. Biên giới phía tây vì vậy được an bình. Nay tôi lại gả con cho Đại Lạc, sinh con trưởng tên Thành. Thân – Lạc trùng hôn, Tây Nhung đều phục, nên ngài mới được làm vương. Vương cứ tính kỹ”.
