秦始皇帝者，秦庄襄王子也。	Tần Thủy Hoàng đế là con của Tần Trang Tương vương vậy.
庄襄王为秦质子於赵， 见吕不韦姬，悦而取之， 生始皇。 以秦昭王四十八年正月生於 邯郸。	Trang Tương vương làm con tin của Tần ở Triệu, thấy thiếp của Lã Bất Vi, yêu thích mà lấy, sinh ra Thủy Hoàng vào tháng Giêng năm Tần Chiêu vương thứ bốn mươi tám, ở Hàm Đan.
及生，名为政，姓赵氏。	Sau khi sinh, đặt tên là Chính, họ Triệu.
年十 三岁，庄襄王死，政代立为秦王。	Năm mười ba tuổi, Trang Tương vương chết, Chính lên thay làm Tần vương.
当是之时，秦地已并巴、蜀、汉 中，越宛有郢，置南郡矣；北收上郡以东，有河东、太原、上党郡； 东至荥阳，灭二周，置三川郡。	Lúc bấy giờ, đất Tần đã thôn tính Ba, Thục, Hán Trung, vượt qua đất Uyển chiếm hữu đất Dĩnh, đặt làm Nam quận, Phía bắc thu lấy Thượng Quận trở về đông, gồm các quận Hà Đông, Thái Nguyên, Thượng Đảng. Phía đông tới Huỳnh Dương, diệt hai nhà Chu, đặt quận Tam Xuyên.
吕不韦为相，封十万户，号曰文信 侯。 招致宾客游士，欲以并天下。	Lã Bất Vi làm thừa tướng, được phong mười vạn hộ, hiệu là Văn Tín hầu, chiêu vời tân khách, du sĩ, muốn gồm thu thiên hạ.
李斯为舍人。	Lý Tư làm Xá nhân.
蒙骜、王齮、 麃公等为将 军。	Bọn Mông Ngao, Vương Kỹ, Bào Công làm tướng quân.
王年少，初即位，委国事大 臣。	Tần vương tuổi nhỏ, khi mới lên ngôi, ủy thác việc nước cho đại thần.
晋阳反，元年，将军蒙骜击定之。	Tấn Dương làm phản, năm đầu tiên, tướng quân Mông Ngao đánh dẹp.
二年，麃公将卒攻卷， 斩首三万。	Năm thứ hai, Bào Công đem quân đánh đất Khuyên, chém ba vạn thủ cấp.
三年，蒙骜攻韩，取 十三城。	Năm thứ ba, Mông Ngao đánh Hàn, chiếm mười ba thành.
王齮死。	Vương Kỳ chết.
十月，将军蒙骜攻魏氏篸、有诡。	Tháng Mười, tướng quân Mông Ngao đánh ấp Sướng, Hữu Quỷ của Ngụy.
岁大饥。	Năm ấy đói to.
四年，拔篸、有诡。	Năm thứ tư, hạ được ấp Sưởng và Hữu Quỷ.
三 月，军罢。	Tháng Ba, bãi binh.
秦质子归自赵，赵太子出归国。	Thái tử Tần làm con tin từ Triệu trở về, thái tử Triệu rời Tần về nước.
十月庚寅，蝗蟲从东方 来，蔽天。	Ngày Canh Dần, tháng Mười, châu chấu từ phương đông tới, che kín trời.
天下疫。	Thiên hạ bị bệnh dịch.
百姓内粟千石，拜爵一级。	Trăm họ nộp một nghìn thạch thóc thì được phong tước một cấp.
五年，将军骜攻魏， 定酸枣、 燕、虚、长平、 雍丘、山阳城， 皆拔之，取二十城。	Năm thứ năm, tướng quân Ngao đánh Ngụy, dẹp yên Toan Tảo; Yên, Hư, Trường Bình, Ung Khưu, Sơn Dương thành, đều đánh hạ được, chiếm hai mươi Tần Thủy Hoàng (Tam tài đồ hội) thành.
初置东郡。	Bắt đầu đặt Đông quận.
六年， 韩、魏、赵、卫、楚共击秦，取寿陵。	Năm thứ sáu, Hàn, Ngụy, Triệu, Vệ, Sở cùng đánh Tần, chiếm Thọ Lăng.
秦出兵，五国兵罢。	Tần xuất quân, năm nước bãi binh.
七年，彗星先出东方，见北方，五月见西 方。	Năm thứ bảy, sao chổi trước mọc ở phương đông, sau hiện ở phương bắc, tháng Năm hiện ở phương tây.
将军骜死。	Tướng quân Ngao chết.
以攻龙、孤、庆都， 还兵攻汲。	Đang đánh các đất Long, Cô, Khánh Đô, liền đưa quân về đánh đất Cấp.
夏太后死。	Hạ thái hậu chết.
八年，王弟长安君成蟜 将军击赵，反，死屯 留， 军吏皆斩死，迁其民於临洮。	Tháng Tám, em vương là Trường An quân Thành Kiểu đem quân đánh Triệu, sau đó làm phản, chết ở Đồn Lưu, quan quân đều bị chém chết, dời dân vùng ấy tới Lâm Thao.
将军壁死，卒屯 留、蒲惣反，戮其尸。	Tướng quân tự sát trong quân doanh, quân lính làm phản ở Đồn Lưu, Bồ Hộc đều bị phơi thây.
嫪毐 封为长信侯。	Lao Ái được phong làm Trường Tín hầu.
予之山阳地， 令毐居之。	Ban đất Sơn Dương cho Ái đến ở.
又以河西太原郡更 为毐国。	Lại đem quận Thái Nguyên ở Hà Tây đổi thành nước phong của Ái.
九年，彗星见，或竟天。	Năm thứ chín, sao chổi mọc, có khi ngang trời.
攻魏垣、蒲阳。	Đánh đất Viên và Bồ Dương của Ngụy.
四月，上宿雍。	Tháng Tư, vương ngủ lại đất Ung.
长信侯毐作乱而觉，矫王御玺 及太后玺以发县卒 及卫卒、官骑、戎翟君公、舍人，将欲攻蕲年宫为乱。	Trường Tin hầu Lao Ái làm loạn bị phát giác, làm giả ngự tỉ của Tần vương và thái hậu để phát quân cấm vệ, kỵ binh, thủ lĩnh Nhung địch, xá nhân, hòng đánh cung Kỳ Niên làm loạn.
王 知之，令相国昌平君、昌文君发卒攻毐。 战咸阳， 斩首数百，皆拜爵， 及宦者皆在战中，亦拜爵一级。	Vương biết tin, lệnh cho tướng quốc Xương Bình quân, Xương Văn quân xuất quân đánh Ái, giao chiến ở Hàm Dương, chém mấy trăm thủ cấp, đều được phong tước. Cho tới hoạn quan tham chiến, cũng đều được phong tước một cấp.
即令国中：有生得毐，赐 钱百万；杀之，五十万。	Liền ban lệnh trong nước, ai bắt sống Ái sẽ thưởng trăm vạn tiền, giết chết y thì thưởng năm mươi vạn.
卫尉竭、 内史肆、佐弋竭、 中大夫令齐等 二十人皆枭首。 车裂以徇，灭其宗。	Bọn Vệ úy Kiệt, Nội sử Tứ, Tá dặc Kiệt, Trung đại phu lệnh Tề gồm hai mươi tên đều bị bêu đầu, dùng xe xé xác thị chúng, diệt họ tộc.
及其舍人，轻者为鬼薪。	Còn như đám cá nhân, nhẹ thì phạt làm quỷ tân (lao dịch ba năm).
及夺爵迁蜀四千馀家，家房陵。	Những kẻ bị trừ bỏ tước vị, phải rời tới đất Thục có hơn bốn nghìn nhà, trú ở Phòng Lăng.
月寒冻，有死者。	Tháng ấy rét buốt, đóng băng, có người chết cóng.
彗星见西方，又见北 方，从斗以南八十日。	Sao chổi hiện ở phương tây, rồi lại hiện ở phương bắc, từ sao Bắc Đầu về phía nam tám mươi ngày.
十年，相国吕不韦坐嫪 毐免。	Năm thứ mười, tướng quốc Lã Bất Vi vì vụ Lao Ái mà bị bãi miễn.
桓齮为将军。	Hoàn Kỹ làm tướng quân.
齐、赵来置酒。	Tề, Triệu mang rượu tới.
齐人茅焦说秦王曰：“秦方以天 下为事，而大王有迁母太后之名，恐诸侯闻之，由此倍秦也。”	Người Tề là Mao Tiêu khuyên Tần vương rằng: “Tần đang coi việc đoạt lấy thiên hạ là trách nhiệm của mình, mà đại vương lại mang tiếng trích giáng thái hậu, e chư hầu nghe tin, sẽ nhận đó phản bội Tần.”
