高祖， 沛丰邑中阳里人，姓刘氏， 字季。	Cao tổ là người làng Trung Dương, ấp Phong, huyện Bái, họ Lưu, tên chữ là Quý.
父曰太公， 母曰刘媪。	Bố là Thái công, mẹ là bà Lưu.
其先刘媪尝息大泽之陂，梦与神遇。	Trước kia, bà Lưu từng nghỉ trên bờ đầm lớn, mơ ăn nằm với thần.
是时雷电晦 冥，太公往视，则见蛟龙於其上。 已而有身，遂产高祖。	Bấy giờ sấm sét mịt mùng, Thái công tới xem thì thấy con giao long ở trên người bà Lưu, sau đó bà có mang, sinh ra Cao tổ.
高祖为人，隆准而龙颜， 美须髯，左股有七十二黑子。	Cao tổ người mũi cao, trán rồng, râu đẹp, bắp đùi trái có bảy mươi hai nốt ruồi.
谒入，吕公大惊，起，迎之门。	Thiệp đưa vào, Lã công kinh ngạc, đứng dậy, ra cửa đón.
高祖竟酒，後。	Cuối tiệc, Cao tổ ở lại sau cùng.
卒与刘季。	Rốt cuộc gả cho Lưu Quý.
及高祖贵，遂不知老父处。	Đến khi Cao tổ quý hiển thì không biết cụ già ở đâu nữa.
高祖被 酒，夜径 泽中，令一人行前。	Cao tổ quá chén, đương đêm đi đường tắt qua đầm, sai một người đi trước.
後人至，高祖觉。	Người đi sau tới, Cao tổ tỉnh rượu.
後人告高祖，高祖乃心独喜，自负。	Người đi sau kể cho Cao tổ, Cao tổ mừng thầm trong bụng, lấy làm tự phụ.
高祖怪问之。	Cao tổ thấy lạ, bèn hỏi.
高祖心喜。	Cao tổ mừng lòng.
刘季之众已数十百人矣。	Hội Lưu Quý đã có ngót trăm người rồi.
於是樊哙从刘季来。	Thế rồi Phàn Khoái cùng Lưu Quý tới.
於是刘季数让。 众莫敢为，乃立季为沛公。	Thế rồi Lưu Quý mấy lần nhường, nhưng không ai dám làm, bèn lập Quý làm Bái công, cung Hoàng Đế, tế Xi Vưu ở sân huyện Bái.
沛公还军亢父， 至方与，未战。	Bái công quay về đóng quân ở Cang Phủ, tới Phòng Dự, nhưng chưa đánh nhau.
沛公病，还之沛。	Bái công ốm, quay về đất Bái.
攻下邑， 拔之。	Đánh Hạ Ấp, hạ được.
还军丰。	Quay về đóng quân ở ấp Phong.
沛公还，引兵攻丰。	Bái Công quay về, đem quân đánh ấp Phong.
军濮 阳之东， 与秦军战，破之。	Đóng quân ở phía đông Bộc Dương, cùng quân Tần giao chiến, phá vỡ quân Tần.
西过高阳。	Bái công Dương.
乃求见说沛公。	Đoạn bèn cầu kiến Bái công.
南攻颍阳，屠之。	Bái công lại tiến về phía nam đánh Dĩnh Dương, làm cỏ cả thành.
沛公引兵过而西。	Bái công dẫn quân đi qua thành Uyển nhằm về phía tây.
沛公曰：“善。”	Bái Công nói: “Được!”
又 战其北，大破之。	Lại đánh sang phía bắc, cũng thẳng to.
乘胜，遂破之。	Sau đó, thừa thắng đánh cho tan tành.
沛公然其计，从之。	Bái công cho kế ấy là phải, bèn nghe theo.
十二月中， 遂至戏。	Giữa tháng Mười hai thì tới đất Hý.
沛公兵十万，号二十 万，力不敌。	Quân Bái công có mười vạn, kêu là hai mươi vạn, sức không địch nổi.
大赦罪人。	Đại xá phạm nhân.
