吕太后者， 高祖微时妃也， 生孝惠帝、女鲁元太 后。	Lã thái hậu là vợ của Cao tổ khi còn hàn vi, sinh ra Hiếu Huệ đế, con gái là Lỗ Nguyên thái hậu.
及高祖为汉王，得定陶戚姬， 爱幸，生赵隐王如意。	Khi Cao tổ làm Hán vương, lấy Thích Cơ người Định Đào, hết mực yêu chuộng, sinh ra Triệu Ẩn vương, tên là Như Ý.
孝惠为人仁弱，高祖以为不类我，常欲废太 子，立戚姬子如意，如意类我。	Hiếu Huệ là người hiền lành, mềm yếu, Cao tổ cho là không giống mình, thường muốn phế thái tử, lập con của Thích Cơ là Như Ý lên, vì Như Ý giống mình.
戚姬幸，常从上之关东，日夜啼泣， 欲立其子代太子。	Thích Cơ được yêu sủng, thường theo vua tới Quan Đông, ngày đêm khóc lóc, muốn lập con mình lên thay thái tử.
吕后年长，常留守，希见上，益疏。	Lã hậu lớn tuổi, thường lại trong nhà, ít gặp vua nên ngày một xa cách.
如意立为赵王 後，几代太子者数矣，赖大臣 争之，及留侯策，太子得毋 废。	Sau khi Như Ý được lập làm Triệu vương, mấy lần suýt thay thái tử, nhờ đại thần tranh luận, cộng thêm kế của Lưu hầu, thái tử mới không bị phế.
吕后为人刚毅，佐高祖定天下，所诛大臣多吕后力。	Lã hậu là người cương nghị, giúp Cao tổ định thiên hạ, việc giết đại thần phần nhiều nhờ sức Lã hậu.
吕后兄二 人，皆为将。	Hai anh của Lã hậu đều làm tướng.
长兄周吕侯 死事，封其子吕台 为郦侯，子产为交侯； 次兄吕释之为建成侯。	Anh cả là Chu Lã hầu chết trận, phong cho người con tên Lã Thai làm Lịch hầu, Con tên Sản làm Giao hầu; anh thứ là Lã Thích Chi làm Kiến Thành hầu.
高祖十二年四月甲辰，崩长乐宫，太子袭号为帝。	Ngày Giáp Thìn, tháng Tư, năm thứ mười hai, Cao tổ băng cung Trường Lạc, thái tử nối ngôi hoàng đế.
是时高祖八 子：长男肥，孝惠兄也，异母，肥为齐王；馀皆孝 惠弟，戚姬子如意为赵王，薄夫人子恆为代王，诸姬子子恢为梁王， 子友为淮阳王，子长为淮南王，子建为燕王。 高祖弟交为楚王，兄子 濞为吴王。	Bấy giờ Cao tổ có tám người con: con trai cả tên là Phì, anh của Hiếu Huệ, nhưng khác mẹ, Phì làm Tề vương; còn lại đều là em của Hiếu Huệ, con của Thích Cơ là Như Ý làm Triệu vương, con của Bạc phu nhân là Hằng làm Đại vương, con của các bà phi có Khôi làm Lương làm Hoài Nam Vương, Hữu vương, Kiến làm Yên vương. Em của Cao tổ là Giao làm Sở làm Hoài Dương Vương, Trường vương, con của anh Cao tổ là Tỵ làm Ngô vương.
