孝文皇帝，高祖中子也。	Hiếu Văn hoàng đế là con giữa của Cao tổ.
高祖十一年 春，已破陈豨军，定代地，立为代王，都中都。	Mùa xuân năm Cao tổ thứ mười một, phá quân của Trần Hy xong, dẹp yên đất Đại, lập ngài làm Đại vương, đóng ở Trung Đô.
太后薄氏子。	Ngài là con của thái hậu họ Bạc.
即位十七 年，高后八年七月，高后崩。	Ở ngôi mười bảy năm, đến tháng Bảy năm Cao hậu thứ tám, Cao hậu băng.
九月，诸吕吕产等欲为乱，以危刘氏， 大臣共诛之，谋召立代王，事在吕后语中。	Tháng Chín, bọn Lã Sản họ Lã muốn làm loạn, hòng lật họ Lưu, đại thần cùng diệt chúng, bàn đón lập Đại vương, việc này chép trong Lã thái hậu bản kỷ.
丞相陈平、太尉周勃等使人迎代王。	Bọn thừa tướng Trần Bình, thái úy Chu Bột sai người tới đón Đại vương.
代王问左右郎中令张武等。	Đại vương hỏi các quan tả hữu và Lang trung lệnh Trương Vũ.
张武等议曰：“汉大臣皆故高帝时大将，习兵，多谋诈，此其属意非 止此也，特畏高帝、吕太后威耳。今已诛诸吕，新喋血 京师， 此以迎大王为名，实不可信。原大王称疾毋往， 以观其变。”	Bọn Trương Vũ bàn rằng: “Đại thần của nhà Hán đều là đại tướng thời Cao đế xưa, quen việc binh, lắm mưu trá, dụng ý của họ không chỉ có vậy, chẳng qua sợ uy của Cao đế và Lã thái hậu mà thôi. Nay đã diệt xong họ Lã, vừa tắm máu kinh thành, giờ lấy danh nghĩa đón đại vương, nhưng thực không đáng tin. Mong đại vương các bệnh không tới, để xem sự tình.”
中尉宋昌进曰： “群臣之议皆非也。夫秦失其政，诸侯豪桀并起， 人人自以为得之者以万数，然卒践天子之位者，刘氏也，天下绝望， 一矣。高帝封王子弟，地犬牙相制， 此所谓盘石之宗也， 天下服其彊，二矣。汉兴，除秦苛政，约法令，施德惠， 人人自安，难动摇，三矣。夫以吕太后之严，立诸吕为三王，擅权专 制，然而太尉以一节入北军，一呼士皆左 袒，为刘氏，叛诸吕，卒以灭之。此乃天授，非人力也。今大臣虽欲 为变，百姓弗为使，其党宁能专一邪？方今内有硃虚、东牟之亲，外 畏吴、楚、淮南、琅邪、齐、代之彊。方今高帝子独淮南王与大王， 大王又长，贤圣仁孝，闻於天下，故大臣因天下之心而欲迎立大王， 大王勿疑也。”	Trung úy Tống Xương dâng lời nói: “Lời bàn của quần thần đều sai rồi. Xét nhà Tần để mất chính trị, chư hầu hào kiệt nổi lên, người người đều nghĩ có hàng vạn kẻ lấy được thiên hạ, song rốt bước lên ngôi thiên tử chỉ có họ Lưu, thiên hạ tuyệt vọng, ấy là điểm thứ nhất. Cao đế phong vương cho con em, đất đai đan cài, kìm nhau như răng lược, điều này gọi là dòng tộc bền chắc, thiên hạ phục vì mạnh, ấy là điểm thứ hai. Nhà Hán dựng lên, dẹp chính lệnh hà khắc của nhà Tần, đặt pháp lệnh, ban ơn đức, ai nấy yên ổn, khó lay động, ấy là điểm thứ ba. Xét với uy quyền của Lã thái hậu, lập ba người họ Lã làm vương, chuyên quyền độc đoán, song thái úy chỉ cầm phù tiết vào quân trại phía bắc, hô một tiếng quân sĩ đều để hở vai trái, vì họ Lưu, phản họ Lã, rốt đã diệt xong. Ấy là ý trời, không phải sức người vậy. Nay đại thần dù muốn gây biến, trăm họ không nghe sai bảo, bè đảng của họ có thể một lòng được không? Và trong triều đang có đám thân thích Chu Hư, Đông Mâu, bên ngoài sợ sức mạnh của Ngô, Sở, Hoài Nam, Lang Da, Tề, Đại… Đến nay con của Cao đế chỉ có Hoài Nam vương và đại vương. Đại vương lại lớn tuổi, hiền đức thánh minh, nhân từ hiếu thuận, vang danh thiên hạ, cho nên các đại thần chiều lòng thiên hạ, muốn đón lập đại vương, đại vương xin chở nghi ngờ?”
代王报太后计之，犹与未定。	Đại vương bẩm báo với thái hậu để bàn bạc, song vẫn chưa quyết.
卜之龟，卦兆得大横。	Bèn bói mai rùa, quẻ tượng xuất hiện vết nứt lớn nằm ngang.
