吴太伯， 太伯弟仲雍， 皆周太王之子， 而王季历之兄也。	Ngô Thái bá và em trai là Trọng Ung, đều là con của Chu Thái vương và là anh của vua Quý Lịch.
季历贤，而有圣子昌，太王欲立季历以及昌，於是 太佰、仲雍二人乃饹荆蛮，文身断发，示不可用， 以避季历。	Quý Lịch hiền năng, lại có người con thánh minh tên là Xương, Thái vương muốn lập Quý Lịch để truyền đến Xương, thế nên hai anh em Thái bá, Trọng Ung bèn chạy trốn đến đất Kinh Man, xăm mình cắt tóc, tỏ rằng mình không thể được trọng dụng, nhằm tránh Quý Lịch.
季历果立，是为王 季，而昌为文王。	Quý Lịch quả nhiên được lập, đó là vua Quý, còn Xương [sau] là Văn vương.
太伯之饹荆蛮，自号句吴。	Thái bá chạy trốn đến Kinh Man, tự lấy hiệu là Câu Ngô.
荆蛮义之，从而归之千馀家，立为吴太伯。	[Người] Kinh Man cho ông là người có nghĩa, bèn theo rồi quy thuận đến hơn nghìn nhà, lập làm Ngô Thái bá.
太伯卒，无子， 弟仲雍立，是为吴仲雍。	Thái bá chết, không có con, người em trai là Trọng Ung lên thay, đó là Ngô Trọng Ung.
仲雍卒， 子季简立。	Trọng Ung chết, con là Quý Giản lên thay.
季简卒，子叔达立。	Quý Giản chết, con là Thúc Đạt lên thay.
叔达 卒，子周章立。	Thúc Đạt chết, con là Chu Chương lên thay.
是时周武王克殷，求太伯、仲雍之後，得周章。	Bấy giờ Chu Vũ vương diệt xong nhà Ân, cho tìm hậu duệ của Thái bá và Trọng Ung, tìm được Chu Chương.
周章 已君吴，因而封之。	Chu Chương đã làm vua nước Ngô, [Vũ vương] nhân đó phong cho đất Ngô.
乃封周章弟虞仲於周之北故夏虚， 是为虞仲， 列为诸侯。	Bèn lấy vùng nguyên là Hạ Khư ở phía bắc nước Chu phong cho em của Chu Chương là Ngu Trọng, đó là Ngu Trọng, được liệt vào hàng chư hầu.
周章卒，子熊遂立，熊遂卒，子柯相立。	Chu Chương chết, con là Hùng Toại lên thay. Hùng Toại chết, con là Ca Tướng lên thay.
柯相卒，子彊鸠夷立。	Ca Tướng chết, con là Cương Cưu Di lên thay.
彊鸠夷卒，子馀桥疑吾立。 馀桥疑吾卒，子柯卢立。	Cương Cưu Di chết, con là Dư Kiều Nghi Ngô lên thay. Dư Kiều Nghi Ngô chết, con là Kha Lư lên thay.
