太公望吕尚者，东海上人。	Thái công Vọng Lã Thượng, là bậc thượng nhân ở vùng Đông Hải.
其先祖尝为四岳，佐 禹平水土甚有功。	Tổ tiên của ông từng làm đến chức Tứ nhạc, giúp vua Vũ trị thủy thổ rất có công lao.
虞夏之际封於吕， 或封於申， 姓姜氏。	Khoảng giữa thời Ngu Thuấn và Hạ Vũ, được phong ở ấp Lã, có khi được phong ở ấp Thân, họ Khương thị.
夏商之时，申、吕或封枝庶子孙，或为庶人，尚其後苗 裔也。	Đến thời nhà Hạ và nhà Thương, con cháu ngành thứ ở hai ấp Thân, Lã vẫn tiếp tục được phân phong, nhưng cũng có người trở thành dân thường, Thượng là hậu duệ của họ vậy.
本姓姜氏，从其封姓，故曰吕尚。	Ông vốn họ Khương thị, nhân dùng tên ấp phong làm họ nên gọi là Lã Thượng.
吕尚盖尝穷困，年老矣， 以渔钓奸周西伯。	Đại để Lã Thượng từng rất khốn cùng, đến già mới nhận việc câu cá gặp được Tây bá nhà Chu.
西伯将出猎，卜之，曰“所获 非龙非■， 非虎非罴；所获霸王之辅”。	Tây bá khi sắp đi săn, bói quẻ, quẻ bói rằng: “Thứ săn được chẳng phải trồng, chẳng phải ly, không phải hổ, không phải gấu; mà được người phò nghiệp bá vương.”
於是周西伯猎，果遇太公於 渭之阳，与语大说，曰：“自吾先君太公曰‘当有圣人適周，周以 兴’。子真是邪？吾太公望子久矣。”	Thế rồi Tây bá nhà Chu đi săn, quả nhiên gặp Thái công ở bờ bắc sống Vị, cùng nhau nói chuyện, cả mừng, nói: “Nghe từ tiên quân ta là Thái công nói rằng, đương có thánh nhân đến nước Chu, nhà Chu nhờ đó sẽ hưng khởi, ông đúng là người đó sao? Thái công của ta trông mong ông lâu lắm rồi.”
故号之曰“太公望”，载与俱 归，立为师。	Vì vậy mới có hiệu là “Thái công Vọng”, cho ngồi cùng xe về, tôn làm thầy.
纣无道，去之。	Trụ vương vô đạo, ông bỏ đi.
或曰，吕尚处士，隐海滨。	Lại có người bảo, Lã Thượng là một xử sĩ, ẩn cư ở bãi bể.
周西伯拘羑里，散宜 生、闳夭素知而招吕尚。	Tây bá nhà Chu bị bắt ở Dữu Lý, Tán Nghi Sinh, Hoằng Yêu vốn biết tài Lã Thượng mới mời về.
吕尚亦曰“吾闻西伯贤，又善养老，盍往 焉”。	Lã Thượng cũng nói: “Ta nghe nói Tây bá là người hiền năng, lại giỏi chăm người già, sao lại không đến đó?”
三人者为西伯求美女奇物，献之於纣，以赎西伯。	Ba người bèn vì Tây bá mà tìm kiếm mỹ nữ, của lạ đem hiến cho vua Trụ để chuộc Tây bá.
西伯得以 出，反国。	Tây bá nhờ đó thoát ra được, trở về nước.
言吕尚所以事周虽异，然要之为文武师。	Lời truyền về lý do Lã Thượng thờ nhà Chu tuy có khác, nhưng cơ bản đều nói ông là bậc thầy của Văn vương, Vũ vương.
周西伯昌之脱羑里归，与吕尚阴谋修德以倾商政，其事多兵权与 奇计， 故後世之言兵及周之阴权皆 宗太公为本谋。	Tây bá nhà Chu là Cơ Xương thoát khỏi Dữu Lý trở về, cùng Lã Thượng ngầm bày mưu, sửa đức để khuynh đảo chính sự nhà Thương, những việc đó hầu hết là thuật dùng binh và kế lạ, vì vậy người đời sau khi bàn đến việc binh và việc ngầm dùng quyền mưu của nhà Chu đều quy cho Thái công là người định ra mẹo mực.
周西伯政平，及断虞芮之讼，而诗人称西伯受命曰文 王。	Tây bá nhà Chu chấp chính công bằng, khéo xử tranh chấp giữa nước Ngu và nước Nhuế, vì thế các nhà thơ xưng tụng Tây bá nhận được mệnh trời, gọi là Văn vương.
伐崇、密须、 犬夷，大作丰邑。 天下三分，其二归周者，太公之谋计居多。	Chinh phạt nước Sùng, nước Mật Tu, nước Khuyển Di, ra sức xây dựng ấp Phong, Thiên hạ ba phần thì hai phần theo về nước Chu, mưu kế phần nhiều đều của Thái công.
文王崩，武王即位。	Văn vương băng hà, Vũ vương kế vị.
九年，欲修文王业，东伐以观诸侯集否。	Năm thứ chín, [Vũ vương] muốn sửa sang cơ nghiệp của Văn vương, liền chinh phạt phía đông để xem chư hầu có theo hay không.
诸侯不期而会者八百诸 侯。	Chẳng hề hẹn trước mà tám trăm chư hầu hội hợp.
诸侯皆曰：“纣可伐也。”	Chư hầu đều nói: “Trụ, có thể đánh được rồi.”
武王曰：“未可。”	Vũ vương nói: “Chưa được.”
居二年，纣杀王子比干，囚箕子。	Qua hai năm, vua Trụ giết Vương tử Tỷ Can, bỏ tù Cơ tử.
武王将伐纣，卜，龟兆不吉， 风雨暴至。	Vũ vương định phạt Trụ, bói quẻ bằng mai rùa, hiện điềm không lành, mưa to gió lớn kéo đến.
群公尽惧，唯太公彊之劝武王，武王於是遂行。	Các quan đều sợ hãi, chỉ riêng Thái công ra sức khuyến khích Vũ vương, thế là Vũ vương bèn cất quân đi.
十一年 正月甲子，誓於牧野，伐商纣。	Ngày Giáp Tý, tháng Giêng năm thứ mười một, tuyên thệ ở Mục Dã, chinh phạt Trụ vương nhà Thương.
纣师败 绩。	Quân Trụ đại bại.
於是武王已平商而王天下，封师尚父於齐营丘。	Bấy giờ, sau khi Vũ vương đã bình định nhà Thương, làm vua thiên hạ, phong cho Sư Thượng phụ vùng Doanh Khâu đất Tề.
东就国，道宿行迟。	[Thái công] sang phía đông để đến đất Phong, vừa đi vừa nghỉ, đi rất chậm.
逆旅之人 曰：“吾闻时难得而易失。客寝甚安，殆非就国者也。”	Chủ quán trọ bảo: “Tôi nghe thời cơ khó gặp nhưng dễ mất. [Vậy mà] khách ngủ rất ngon, cơ hồ không phải người đi đến nhận nước Phong.”
太公闻之， 夜衣而行，犁明至国。	Thái công nghe vậy, đương đêm khoác áo lên đường, tờ mờ sáng thì đến nước Phong.
莱人，夷也，会纣之乱而周初定，未 能集远方，是以与太公争国。	Người nước Lai vốn là người rợ vậy, nhân lúc loạn thời vua Trụ mà nhà Chu mới lập, chưa thể chiêu dụ được phương xa, vì thế mới tranh nước với Thái công.
太公至国，脩政，因其俗，简其礼，通商工之业，便鱼盐之利， 而人民多归齐，齐为大国。	Thái công đến nước Phong, sửa sang chính sự, nương theo phong tục, giảm bớt lễ nghi, mở mang việc buôn bán, thủ công, phát triển nguồn lợi nghề cá, nghề muối, vì thế nhiều người dân theo Tề, Tề trở thành nước [chư hầu] lớn.
盖太公之卒百有馀年， 子丁公吕伋 立。	Ước chừng Thái công chết lúc hơn 100 tuổi, con là Đinh công Lã Cấp lên thay.
丁公卒，子乙公得 立。 乙公卒，子癸公慈母 立。	Đinh công chết, con là Ất công Đắc lên thay. Ất công chết, con là Quý công Từ Mẫu lên thay.
癸公卒，子哀公不辰 立。	Quý công chết, con là Ai công Bất Thần lên thay.
哀公时，纪侯谮之周，周烹哀公而立其弟静， 是为胡公。	Thời Ai công, Kỷ hầu gièm với nhà Chu, nhà Chu nấu chết Ai công rồi lập em của Ai công là Tĩnh, đó là Hồ công.
胡公徙都薄姑， 而当周夷王之时。	Hồ công dời đô đến Bạc Cô, bấy giờ nhằm thời Chu Di vương.
哀公之同母少弟山怨胡公，乃与其党率营丘人袭攻杀胡公而自 立，是为 献公。	Người em nhỏ cùng mẹ của Ai công là Sơn oán hận Hồ công, bèn cùng đồ đảng dẫn người ở Doanh Khâu đánh úp giết chết Hồ công rồi tự lên ngôi, đó là Hiến công.
九年，献公卒，子武公寿立。	Năm thứ chín, Hiến công chết, con là Vũ công Thọ lên thay.
武公九年，周厉王出奔，居彘。	Vũ công năm thứ chín, Chu Lệ vương chạy trốn khỏi nước, trú ở đất Trệ.
十年，王室乱，大臣行政，号曰“共和”。	Năm thứ mười, vương thất [nhà Chu] rối loạn, đại thần chấp chính, gọi là “Cộng hòa”.
二十四年，周宣王 初立。	Năm thứ hai mươi tư, Chu Tuyên vương mới lên ngôi.
二十六年，武公卒，子厉公无忌立。	Năm thứ hai mươi sáu, Vũ công chết, con là Lệ công Vô Kỵ lên thay.
厉公暴虐，故胡公子复入 齐，齐人欲立之，乃与攻杀厉公。	Lệ công bạo ngược, vì vậy con của Hồ công lại trở về nước Tề, người Tề muốn lập [con của Hồ công] làm vua, bèn cùng nhau đánh giết Lệ công.
胡公子亦战死。	Con của Hồ công cũng vì đánh nhau mà chết.
齐人乃立厉公子赤 为君，是为文公，而诛杀厉公者七十人。	Người Tề bèn lập con của Lệ công là Xích lên làm vua, đó là Văn công, rồi giết bảy mươi người can dự vào việc giết Lệ công.
文公十二年卒，子成公脱立。	Văn công đến năm thứ mười hai thì chết, con là Thành công Thoát lên ngôi.
成公九 年卒，子庄公购立。	Thành công đến năm thứ chín thì chết, con là Trang Công Cấu lên ngôi.
庄公二十四年，犬戎杀幽王，周东徙雒。	Trang công năm thứ hai mươi tư, rợ Khuyển Nhung giết U vương, nhà Chu dời sang đất Lạc ở phía đông.
秦始列为诸侯。	Nước Tần bắt đầu được liệt vào hàng chư hầu.
五十六 年，晋弑其君昭侯。	Năm thứ năm mươi sáu, người Tấn giết vua nước mình là Chiêu hầu.
六十四年，庄公卒，子釐公禄甫立。	Năm thứ sáu mươi tư, Trang công chết, con là Hy công Lộc Phủ lên ngôi.
釐公九年，鲁隐公初立。	Hy công năm thứ chín, Lỗ Ẩn công mới lên ngôi.
十九年，鲁桓公弑其兄隐公而自立为 君。	Năm thứ mười chín, Lỗ Hoàn công giết anh mình là Ẩn công rồi tự lập làm vua.
二十五年，北戎伐齐。	Năm thứ hai mươi lăm, rợ Bắc Nhung chinh phạt nước Tề.
忽 曰：“郑小齐大，非我敌。” 遂辞之。	Hốt nói: “Nước Trịnh nhỏ nước Tề lớn, ta không tương xứng”, đoạn từ chối việc ấy.
三十二年，釐公同母弟夷仲年死。	Năm thứ ba mươi hai, em cùng mẹ của Hy công là Di Trọng Niên chết.
其子曰公孙无知，釐公爱之， 令其秩服奉养比太子。	Con của Di Trọng Niên là Công Tôn Vô Tri được Hy Công yêu mến, ban cho bổng lộc, trang phục, người hầu hạ, nuôi nấng ngang với Thái tử.
三十三年，釐公卒，太子诸兒立，是为襄公。	Năm thứ ba mươi ba, Hy công chết, Thái tử Chư Nhi lên ngôi, đó là Tương công.
襄公元年，始为太子时，尝与无知斗，及立，绌无知秩服，无知 怨。	Trong công năm đầu, hồi trước khi còn là Thái tử, thường tranh giành với Vô Tri, đến lúc lên ngôi, bèn bãi bỏ chế độ bổng lộc, phục sức của Vô Tri, Vô Tri oán hận.
四年，鲁桓公与夫人如齐。	Năm thứ tư, Lỗ Hoàn công và phu nhân đến nước Tề.
鲁夫人者， 襄公女弟也，自釐公时嫁为鲁桓公妇，及桓公来而襄公复通焉。	Lỗ phu nhân là em gái của Tương công, từ thời Hy cũng đã được gả làm vợ Lỗ Hoàn công, đến khi Hoàn công tới [nước Tề], Tề Tương công lại tư thông với nàng.
鲁桓 公知之，怒夫人，夫人以告齐襄公。	Lỗ Hoàn công biết chuyện, giận phu nhân, phu nhân bèn mách với Tề Tương công.
鲁人以为 让，而齐襄公杀彭生以谢鲁。	Người Lỗ trách nước Tề, thế là Tề Tương công giết Bành Sinh để tạ lỗi với nước Lỗ.
八年，伐纪，纪迁去其邑。	Năm thứ tám, [nước Tề] chinh phạt nước Kỷ, nước Kỷ phải dời đô.
往戍一岁，卒瓜时而公弗为发代。	Đóng quân được một năm, rốt cuộc đến mùa dưa mà Tương công không phái người ra thay.
故此二人怒，因公孙无知谋作乱。	Vì vậy, [Liên Xứng và Quản Chí Phủ] hai người tức giận, [liền] nương theo Công Tôn Vô Tri để bày mưu làm loạn.
连称有从妹在公宫，无宠， 使之间襄公， 曰“事成以女为无知夫人”。	Liên Xứng có người em gái họ ở trong cung của Tương công, không được sủng ái, [Xứng] bèn sai nghe ngóng tình hình của Tương công rằng: “Việc thành công, ngươi sẽ được làm phu nhân của Vô Tri.”
冬十二月，襄公游姑棼， 遂猎沛丘。	Tháng Mười hai, mùa đông, Tương công du ngoạn ở Cô Phần, rồi đi săn ở Bái Khâu.
见彘，从者曰“彭生”。	[Tương công] thấy con lợn lòi, kẻ tùy tùng hô là “Bành Sinh”.
公怒，射之，彘人立而啼。	[Tương công] nổi giận, bắn nó, con lợn đứng thẳng như người mà rống.
反而鞭主屦者茀 三百。	[Tương công] trở về, đánh kẻ quản lý giày tên là Phất ba trăm roi.
茀出宫。	Phất rời khỏi cung.
无知弗信，茀示 之创，乃信之。	Vô Tri không tin, Phất vạch cho xem vết roi, mới tin theo.
良久，无知等恐，遂入宫。	Qua một lúc lâu, bọn Vô Tri sợ, bèn tiến vào cung.
无知入宫，求公不得。	Vô Tri vào cung, không tìm thấy Tương công.
或见人足於户间，发视，乃襄公， 遂弑之，而无知自立为齐君。	Có kẻ thấy chân người thò ra ở khe cửa, lôi ra xem, chính là Tương công, bèn giết chết, thế rồi Vô Tri tự lập làm vua Tề.
桓公元年春，齐君无知游於雍林。	Mùa xuân năm Hoàn công thứ nhất, vua Tề Vô Trị đến chơi Ung Lâm.
雍林人尝有怨无知，及其往游，雍林人袭杀无知，告 齐大夫曰：“无知弑襄公自立，臣谨行诛。唯大夫更立公子之当立 者，唯命是听。”	Người Ung Lâm từng có thù oán với Vô Tri, tới khi Vô Tri đến chơi, bèn đánh úp giết chết Vô Tri, rồi bảo các đại phu nước Tề rằng: “Vô Tri giết Tương Công rồi tự lập, chúng thần chỉ giết mình hắn. Xin các đại phu chọn lập người xứng đáng trong các công tủ lên ngôi, [chúng thần] xin được nghe theo.”
其母鲁女也。	Mẹ của công tử Củ là người con gái nước Lỗ.
及雍林人杀无知，议立君，高、国先阴召小白於莒。	Tới khi người Ung Lâm giết chết Vô Tri, bàn chuyện lập vua mới, hai họ Cao, Quốc mới ngầm sai người sang nước Cử vời Tiểu Bạch đến trước.
鲍叔牙曰：“臣幸得从君，君竟以立。君之 尊，臣无以增君。君将治齐，即高傒与叔牙足也。君且欲霸王，非管 夷吾不可。夷吾所居国国重，不可失也。”	Bão Thúc Nha nói rằng: “Thần may mắn được theo nhà vua, rốt cuộc nhà vua cũng lên ngôi. Ngôi vua tôn quý, thần không có gì khiến nhà vua tôn quý hơn được nữa. Nếu nhà vua muốn nước Tề yên trị, chỉ cần Cao Hề và Thúc Nha là đủ. Còn nếu nhà vua muốn làm bá vương, thì nhất định phải cần Quản Di Ngô. Di Ngô ở nước nào, nước đó trở nên cường thịnh, không được để mất.”
於是桓公从之。	Thế rồi Hoàn công nghe theo.
管仲知之，故请往。	Quản Trọng hiểu điều đó, cho nên xin đi.
桓公厚礼以为大夫，任政。	Hoàn công dùng lễ hậu đối đãi, phong làm Đại phu, giao trông coi chính sự.
二年，伐灭郯， 郯子奔莒。	Năm thứ hai, đánh diệt nước Đàm, Đàm tử chạy sang nước Cử.
初，桓公亡时，过郯，郯无礼，故 伐之。	Trước đây, khi Hoàn công lưu vong, có qua đất Đàm, người nước Đàm vô lễ, vì thế [Hoàn công] mới đánh họ.
五年，伐鲁，鲁将师败。	Năm thứ năm, [nước Tề] chinh phạt nước Lỗ, quân Lỗ thua trận.
鲁将盟，曹沬以匕 首劫桓公於坛上， 曰：“反鲁之侵地！”	Lỗ công chuẩn bị uống máu thề, Tào Mạt dùng chủy thủ uy hiếp Hoàn công ngay trên đàn, nói rằng: “Hãy trả lại đất [ngài] đã chiếm của nước Lỗ!”
诸侯闻之，皆信齐而欲附焉。	Chư hầu nghe chuyện đó, đều tin tưởng nước Tề và muốn đến quy phụ.
七年，诸侯会桓 公於甄，而桓公於是始霸 焉。	Năm thứ bảy, chư hầu hội họp với Hoàn công ở đất Quyên, từ ấy Hoàn công bắt đầu xưng bá.
