周公旦者，周武王弟也。	Chu công Đán là em trai Chu Vũ vương.
自文王在 时，旦为子孝，笃仁，异於群子。	Từ khi Văn vương còn sống, Đán là người con hiếu, chuyên chú vào đức nhân, không giống các con khác.
及武 王即位，旦常辅翼武王，用事居多。	Đến khi Vũ vương lên ngôi, Đán thường phò tá Vũ vương, gánh vác nhiều trọng trách.
武王九年，东伐至盟津，周公辅 行。	Vũ vương năm thứ chín, [Vũ vương] đem quân chinh phạt phía đông đến Minh Tân, Chu công đi theo phò tá.
十一年，伐纣，至牧野， 周公佐武王，作牧誓。	Năm thứ mười một, phạt vua Trụ, tiến đến Mục Dã, Chu công phò tá Vũ vương, viết lời Mục thệ.
破殷，入商宫。	[Vũ vương] phá được quân Ân, vào cung nhà Thương.
已杀纣，周公把大钺，召 公把小钺，以夹武王，衅社，告纣之罪于天，及殷民。	Sau khi giết vua Trụ, Chu công cầm búa lệnh lớn, Thiệu Công cầm búa lệnh nhỏ, để phù trợ hai bên Vũ vương, giết vật tế để tế thần xã, tuyên cáo tội trạng của vua Trụ với trời và dân chúng nhà Ân.
释箕子之囚。 封纣子武庚禄父，使管叔、蔡叔傅之，以续殷祀。	Phóng thích Cơ tử khỏi ngục, phân phong cho con vua Trụ là Vũ Canh Lộc Phủ, sai Quản thúc, Sái thúc phò tá để kế tục việc cúng tế nhà Ân.
封周公旦於少昊之虚曲阜， 是为鲁公。	Phong cho Chu công Đán đất Khúc Phụ, là đất cũ của Thiếu Hạo, đó là Lỗ công.
周公不就封，留佐武王。	Chu công không đến đất phong, ở lại phò tá Vũ vương.
武王克殷二年，天下未集，武王有疾，不豫，群臣惧，太公、召 公乃缪卜。	Hai năm sau khi Vũ vương diệt được nhà Ân, thiên hạ chưa an định hẳn, Vũ vướng mắc bệnh, không được khỏe, quần thần lo sợ, Thái công, Thiệu Công bèn kính cẩn bói mai rùa.
周公曰：“未可 以戚我先王。”	Chu công nói: “Không thể để tiên vương ta lo lắng được.”
周公於是乃自以 为质，设三坛，周公北面立，戴璧秉圭， 告于太王、王季、文王。	Thế là Chu công bèn đích thân làm vật hiến tế, lập ba đàn tế, Chu công đứng quay mặt về phía bắc, đầu đội ngọc bích, tay cầm ngọc khuê, cáo tế với Thái vương, Vương quý, Văn vương.
