微子开者， 殷帝 乙之首子而帝纣之庶兄也。	Vị tử Khai là con đầu của đế Ất nhà Ân và là anh thứ của vua Trụ.
纣既 立，不明，淫乱於政，微子数谏，纣不听。	Sau khi Trụ lên ngôi, không sáng láng, khiến chính sự hoang đàng rối ren, Vi tử nhiều lần can gián, vua Trụ không nghe.
及祖伊以周西伯昌之修 德，灭璿国， 惧祸至，以告 纣。	Đến khi Tổ Y nhân thấy Tây bá Xương ở Chu sửa sang chính đức, tiêu diệt nước Kỳ, sợ họa lan đến, bèn nói với vua Trụ.
纣曰：“我生不有命在天乎？是何能为！”	Trụ đáp rằng: “Ta sinh ra chẳng phải là nhận mệnh ở trời ư? Hắn làm được trò trống gì chứ!”
於是微子度纣终不可 谏，欲死之，及去，未能自决，乃问於太师、少师 曰：“殷不有治政，不治四 方。我祖遂陈於 上， 殷既小大好草窃奸宄， 卿士师师非度， 皆有罪辜，乃无维获， 小民乃并兴，相为敌雠。 今殷其典 丧！若涉水无津涯。 殷遂丧，越至于今。”	Thế rồi Vi tử xét thấy không thể can gián được vua Trụ, muốn dùng cái chết để khuyên, hoặc bỏ đi, trù trừ chưa quyết, bèn hỏi quan Thái sư và Thiếu sư rằng: “Vua nhà Ân không sửa sang chính giáo, không lo cai trị bốn phương. Tổ tiên ta kiến tạo sự nghiệp ở các đời trước, Trụ vương thì đắm chìm trong rượu, tin lời nữ nhân, khiến đức độ của Thành Thang rối ren suy bại ở đời sau. Dân chúng nhà Ân, từ nhỏ đến lớn chỉ thích trộm cướp, gian dối nơi nội cỏ, khanh sĩ bắt chước nhau, không noi theo pháp độ, ai cũng có tội lỗi, tước lộc chẳng thường được, nên hay chiếm của nhau, tiểu dân liền cùng nổi lên, coi nhau như địch thù. Nay phép tắc nhà Ân mất rồi! Khác nào vượt sông mà chẳng biết đâu là bờ bến. Nhà Ân sẽ mất thôi, nay đến lúc rồi.”
曰：“太师，少师， 我其发出往？ 吾家保于丧？ 今女无故告 予，颠跻，如之何 其？”	Vi tử lại hỏi: “Thái sư, Thiếu tư, ta biết đi đâu về đâu đây? Có thể bảo vệ quốc gia ta thoát cảnh diệt vong chăng? Nay các vị không có cách nào chỉ cho ta, e sẽ sa vào chỗ bất nghĩa, phải làm thế nào đây?”
太师若曰：“王 子，天笃下菑亡殷国， 乃毋 畏畏，不用老长。 今殷民乃陋淫神祇之祀。 今诚得治国，国治身死 不恨。为死，终不得治，不如去。”	Thái sư kính cẩn đáp: “Vương tử, trời thực giáng họa để diệt nhà Ân, Trụ vương không hề kiêng sợ điều gì, không nghe lời khuyên can của bậc trưởng lão. Nay dân nhà Ân khinh khi tế tự thần kỳ. Nay nếu có thể khiến đất nước yên trị, thì dẫu thân chết cũng không hận; nếu chết mà rốt cuộc nước không yên trị, chẳng bằng bỏ đi.”
遂亡。	[Vi tử] bèn trốn đi.
箕子者，纣亲戚也。	Cơ tử là thân thích của vua Trụ.
纣为淫泆，箕 子谏，不听。	Trụ hoang dâm vô độ, Cơ tử can gián, [Trụ] không chịu nghe.
人或曰：“可以去矣。”	Có người nói: “Phải đi thôi!”
箕子曰：“为人臣谏不听而 去，是彰君之恶而自说於民，吾不忍为也。”	Cơ tử nói: “Làm bề tôi can gián vua không nghe mà bỏ đi, là vạch lỗi của vua mà tự lấy lòng yêu mến của dân, ta không đành làm thế.”
乃被发详狂而为奴。	Bèn xõa tóc giả cuồng rồi làm nô lệ.
遂 隐而鼓琴以自悲，故传之曰箕子操。	Sau đấy ở ẩn đánh đàn để tự tỏ nỗi bị thương trong lòng, cho nên lưu truyền khúc “Cơ tử tháo”.
王子比干者，亦纣之亲戚也。	Vương tử Tỷ Can cũng là thân thích của vua Trụ.
见箕子谏不听而为奴，则曰：“君有 过而不以死争，则百姓何辜！”	Thấy Cơ tử can gián Trụ, vua Trụ không nghe, rồi đến nỗi phải làm nô lệ, thì nói rằng: “Vua có lỗi mà không lấy cái chết để cố ngăn, thì trăm họ có tội tình gì!”
纣怒曰：“吾闻圣人之 心有七窍，信有诸乎？”	Vua Trụ nổi giận nói: “Ta nghe nói tim của thánh nhân có bảy lỗ, không biết thực thế chăng?”
乃遂杀王子比干，刳视其心。	Bèn giết Vương tử Tỷ Can, mổ bụng xem tim của ông ta.
微子曰：“父子有骨肉，而臣主以义属。故父有过，子三谏不听， 则随而号之；人臣三谏不听，则其义可以去矣。”	Vi tử nói: “Cha con có tình cốt nhục, vua tôi thì có đạo nghĩa. Cho nên cha có lỗi, con can nhiều lần không nghe thì theo mà kêu khóc; kẻ làm tôi can nhiều lần mà vua không nghe thì nương vào đạo nghĩa mà đi thôi.”
於是太师、少师乃 劝微子去，遂行。	Thế rồi quan Thái sư, Thiếu sư bèn khuyên Vi tử ra đi, [Vi tử] bèn đi.
於是武王乃释微子，复其位如 故。	Thế rồi Vũ vương bèn cởi trói cho Vi tử, khôi phục tước vị như cũ.
武王既克殷，访问箕子。	Sau khi Vũ vương diệt nhà Ân, bèn đi thăm hỏi Cơ tử.
武王曰：“於乎！维天阴定下民，相和其居， 我不知其常伦所序。”	Vũ vương nói: “Than ôi, trời cao ngầm khiến hạ dân được yên định, khiến họ an cư lạc nghiệp, nhưng ta không biết thứ tự đạo thường trong việc trị dân là thế nào.”
箕子对曰：“在昔鲧堙鸿水，汨陈其五行， 帝乃震怒，不从鸿范九等，常伦 所斁。 鲧则殛死，禹 乃嗣兴。天乃 锡禹鸿范九等，常伦所序。 “初一曰五行；二曰五事；三曰八政；四曰五纪；五曰皇极；六曰 三德；七曰稽疑；八曰庶徵；九曰乡用五福，畏用六极。 “五行：一曰水，二曰火，三曰木，四曰金，五曰土。 水曰润下，火曰炎上， 木曰曲直， 金曰从革，土曰稼穑。 润下作咸， 炎上作苦，曲直作酸， 从革作辛，稼穑作 甘。 “五事：一曰貌，二曰言，三曰视，四曰听，五曰思。貌曰恭，言 曰从，视曰明，听曰聪，思曰睿。 恭作肃，从作治， 明作智，聪作谋， 睿作圣。 “八政：一曰食，二曰货，三曰祀，四曰司空， 五曰司徒， 六曰司寇，七曰宾， 八曰师。 “五纪：一曰岁，二曰月，三曰日，四曰星辰， 五曰历 数。 “皇极：皇建其有极， 敛时五福，用傅锡其庶民， 维时其庶民于女极， 锡女保极。 凡厥庶民，毋有淫朋，人毋有比德，维皇作极。 凡厥庶 民，有猷有为有守，女则念之。 不协于极，不离于咎，皇则受之。 而安 而色，曰予所好德，女则锡之福。 时人斯其维皇之极。 毋侮 鳏寡而畏高明。人之有能有 为，使羞其行，而国其昌。 凡厥正人，既富方穀。 女不能使有好于而家，时人斯其辜。 于其毋好，女虽 锡之福，其作女用咎。 毋偏毋颇，遵王之义。 毋有作好，遵王之 道。毋有作恶，遵王之路。毋偏毋党， 王道荡荡。毋党毋 偏，王道平平。毋反毋侧，王道正直。 会其有极， 归其有极。 曰王极之傅言， 是夷是训，于帝其顺。 凡厥庶民，极之傅言， 是顺是行， 以近天子之光。 曰天子作民父母，以为天下王。 “三德：一曰正直，二曰刚克，三曰柔 克。 平康正直，彊不友刚 克，内友柔克， 沈渐刚克， 高明柔克。 维辟作福，维辟作威，维辟玉食。 臣有作福作威玉食，其害于 而家，凶于而国，人用侧颇辟，民用僭忒。 “稽疑：择建立卜筮人。 乃命卜筮，曰雨，曰济，曰涕， 曰雾， 曰克，曰贞，曰悔，凡 七。卜五，占之用二，衍貣。 立时人为卜筮， 三人占则从二人之言。 女则有大疑，谋及女 心，谋及卿士，谋及庶人，谋及卜筮。 女则从，龟从，筮从，卿士从，庶民从，是之谓大 同，而身其康彊，而子孙其逢吉。 女则从，龟从，筮从，卿士逆， 庶民逆，吉。卿士从，龟从，筮从，女则逆，庶民逆，吉。庶民从， 龟从，筮从，女则逆，卿士逆，吉。 女则从，龟从，筮逆，卿士逆，庶民逆，作内吉，作外凶。 龟筮共违于人， 用静吉，用作凶。 “庶徵：曰雨，曰阳，曰奥，曰寒，曰风，曰时。 五者来备，各以其序，庶草繁庑。 一极备，凶。一极亡，凶。 曰休徵：曰肃，时雨若， 曰治，时旸若； 曰知，时奥若； 曰谋，时寒若；曰圣， 时风若。曰咎徵： 曰僭，常旸若；曰 舒，常奥若； 曰急，常寒若； 曰雾，常风若。王 眚维岁， 师尹维日。 岁月日时毋易， 百穀用成，治用明， 畯民用章，家用平康。 日月岁时既易，百穀用不成，治用昏不明，畯民用 微，家用不宁。庶民维星， 星有好风，星有好雨。日 月之行，有冬有夏。月之 从星，则以风雨。 “五福：一曰寿，二曰富，三曰康宁， 四曰攸好德，五曰考终 命。六极：一曰凶短 折， 二曰疾，三曰忧，四曰贫，五曰恶， 六曰弱。”	Cơ tử đáp rằng: “Khi xưa, Cổn chặn nước lụt, làm rối trật tự ngũ hành, thiên đế mới nổi giận, không ban cho chín khuôn phép lớn của trời, khiến đạo thường bị hỏng nát. Cổn bị giết chết, Vũ bèn nối tiếp công việc rồi chấn hưng. Trời bèn ban chín khuôn phép lớn cho Vũ, đạo thường nhờ đó có thứ tự.” “Thứ nhất là ngũ hành, thứ hai là ngũ sự, thứ ba là bát chính, thứ tư là ngũ kỷ, thứ năm là hoàng cực, thứ sáu là tam đức, thứ bảy là kê nghi, thứ tám là thứ trưng, thứ chín là hưởng dụng ngũ phúc, úy dụng lục cực. Ngũ hành: Một là thủy (nước), hai là hỏa (lửa), ba là mộc (cây), bốn là kim (kim loại), năm là thổ (đất). Nước thì nhuần thấm xuống dưới, lửa thì nóng bốc lên trên, cây thì có cong có thẳng, kim loại thì tùy thuộc mà thay đổi, đất thì có thể gặt. Nhuần thấm xuống dưới thì mặn, nóng bốc lên trên thì đắng, có cong có thẳng thì chua, tùy thuộc mà thay đổi thì đắng, cấy được gặt được thì ngọt. Ngũ sự: Một là mạo (vẻ mặt), hai là ngôn (lời nói), ba là thị (nhìn), bốn là thính (nghe), năm là tư (nghĩ). Vẻ mặt cần cung kính, lời nói cần thuận lý, nhìn cần sáng rõ, nghe cần tinh thông, nghĩ cần thấu suốt. Cung kính thì trang nghiêm, thuận lý thì yên trị, sáng rõ thì trí tuệ, tinh thông thì mưu lược, thấu suốt thì thánh minh. Bát chính: Một là lương thực, hai là tiền của, ba là tế tự, bốn là quan Tư không (quản lý thủy thổ), năm là quan Từ đồ (phụ trách giáo dục), sáu là quan Tư khấu (bắt trộm trừ bạo), bảy là quan phụ trách về tân khách (ngoại giao), tám là quan phụ trách về quân đội. Ngũ kỷ: Một là năm, hai là tháng, ba là ngày, bốn là các vì sao, năm là lịch số. Hoàng cực: Nhà vua lập nên chuẩn tắc, gom năm điều phúc để ban cho thứ dân của mình, như vậy dân chúng sẽ đều theo chuẩn tắc của nhà vua, khiến nhà vua giữ được những chuẩn tắc đó. Phàm chúng dân đều không được dâm tà bè đảng, cũng không được câu kết a dua, chỉ có nhà vua mới có thể lập nên chuẩn tắc. Phàm là thứ dân, có mưu lược, thành tích, biết giữ đạo thì nhà vua phải nghĩ đến họ. Có những kẻ không hợp với chuẩn tắc, nhưng cũng chưa đến mức mắc vào lỗi lầm, thì nhà vua cần thâu nạp họ. Thái độ an nhiên, nét mặt vui vẻ, nói rằng: 'Ta đây hiếu đức', thì ban phúc lộc cho họ. Như thế người ta đều sẽ noi khuôn phép của nhà vua. [Nhà vua] không thể dối gạt kẻ cô quả, mà lại sợ kẻ thanh thế cao. Người nào có khả năng, có thành tích hãy khiến đức hạnh của họ thêm tăng tiến, quốc gia nhờ đó mà hưng thịnh. Phàm người chính trực, thì ban tước lộc khiến họ giàu, lại dùng thiên đạo đối đãi với họ, [nếu] không thể khiến họ trở nên hữu ích cho quốc gia, họ ắt phạm vào lỗi lầm. Với người không có ích cho quốc gia, dẫu ngài ban phúc cho họ, họ cũng khiến ngài mắc lỗi. Không thiên lệch, không cong vạy, phải noi theo nghĩa của tiên vương. Không được quá yêu, phải noi theo đạo của tiên vương. Không được quá ghét, phải noi theo đường của tiên vương. Không thiên tư, không bè đảng, đạo của nhà vua mênh mông. Không bè đảng, không thiên tư, đạo của nhà vua rộng lớn. Không phản nghịch, không tà vạy, đạo của nhà vua thẳng ngay. Tụ hội người theo chuẩn tắc, hướng về chuẩn tắc của vua. Rằng nhà vua hành sự thuận theo chuẩn tắc khiến bề tôi tỏ bày điều muốn nói, dùng đó để thu phục trăm họ, giáo hóa chúng dân, thuận theo thiên đế. Phàm là dân của mình, [nhà vua] cho họ được hết lời trần tình với người trên, thuận theo đó thi hành, khiến họ được gần ánh sáng của thiên tử. Rằng thiên tử là cha mẹ của dân, là vua trong thiên hạ. Tam đức: Một chính trực, hai là cương [mà biết nhu], ba là nhu [mà biết cương]. Thế đạo yên bình, dùng người chính trực [để cai trị]; thế đạo cương cường chẳng thuận, dùng người cương [mà biết nhu để cai trị]; thế đạo thuận hòa, dùng người nhu [mà biết cương để cai trị]; với kẻ âm hiểm ngấm ngầm, dùng người cương [mà biết nhu để cai trị]; với bậc cao minh, phải dùng người nhu [mà biết cương để cai trị]. Chỉ nhà vua mới ban phúc, chỉ nhà vua mới ra uy, chỉ nhà vua mới được hưởng ngọc thực. Bề tôi thì không được ban phúc, ra uy, hưởng ngọc thực. Bề tôi mà ban phúc, ra uy, hưởng ngọc thực, sẽ có hại đến gia tộc nhà vua, hung hiểm đến đất nước. Quan lại nhân đó tà vạy, dân chúng tiếm vượt mà phạm lỗi. Kê nghi (xét điều còn ngờ): Chọn người tinh thông bói mai rùa và cỏ thi để dùng. Rồi sai bói quẻ, vết nứt trên mai rùa có hình mưa rơi, hình hơi mây bay lên sau mưa, hình hơi mây nối nhau không dứt, hình giống sương mù, hình giống khí hung sát công phạt lẫn nhau, hình thẳng mà sáng rõ, hình mờ tối, đại để có bảy dạng. Bói mai rùa có năm kiểu, bói cỏ thi có hai kiểu, tượng quẻ có nhiều thay đổi. Chọn người giỏi định quẻ để bói, ba người bói thì theo lời hai người [bói giống nhau]. Nhà vua có việc gì còn rất nghi hoặc, trước hết suy xét trong lòng, rồi bàn cùng các khanh sĩ, bàn cùng thứ dân, rồi mới coi ở bói toán. Nhà vua tán thành, mai rùa theo, cỏ thi theo, khanh sĩ theo, thứ dân theo, gọi là đại đồng, nhờ đó bản thân mạnh khỏe, con cháu gặp điều tốt lành. Nhà vua tán đồng, mai rùa theo, cỏ thi theo, khanh sĩ không theo, thứ dân không theo, [đó là quẻ] tốt. Khanh sĩ theo, mai rùa theo, cỏ thi theo, nhà vua không tán đồng, thứ dân không tán đồng, [đó là quẻ] tốt. Thứ dân theo, mai rùa theo, cỏ thi theo, nhà vua không tán đồng, khanh sĩ không tán đồng, [đó là quẻ] tốt. Nhà vua tán đồng, mai rùa theo, cỏ thi không theo, khanh sĩ không theo, thứ dân không theo, [nghĩa là] làm việc bên trong thì tốt, làm việc bên ngoài thì hung. Nếu bói mai rùa và cỏ thi đều trái với ý của con người, khi ấy yên mà giữ thì tốt, làm thì hung. Thứ trưng (chứng nghiệm mọi việc): Hoặc mưa, hoặc nắng, hoặc ấm, hoặc lạnh, hoặc gió, hoặc hợp tiết khí các thời. Năm điều đó được hoàn bị, thảy có thứ tự, thì cây cỏ đều tươi tốt. Một trong số đó tột mức thì hung. Một trong số đó thiếu khuyết thì hung. Gọi là chứng nghiệm tốt lành, tức: Cung kính thì mưa thuận theo thời; thịnh trị thì nắng thuận theo thời; tài trí thì ấm thuận theo thời; mưu lược thì lạnh thuận theo thời; thánh trí thì gió thuận theo thời. Gọi là chứng nghiệm xấu, tức: Cuồng vọng thì mưa rơi liên miên; tiếm vượt thì nắng như lửa thiêu; an dật thì nóng bức oi ả; gấp bội thì lạnh buốt không thôi; hôn ám thì gió to thổi mạnh. Chức phận của vua như năm, khanh sĩ như tháng, bách quan như ngày. Năm, tháng, ngày, giờ không bị thay đổi, thì trăm giống lúa bội thu, chính trị sáng rõ, hiền năng được trọng dụng, quốc gia được yên bình. Ngày, tháng, năm, giờ mà bị thay đổi, trăm giống lúa không được thu hoạch, chính trị u tối không sáng rõ, hiền năng không được trọng dụng, quốc gia không được yên bình. Thứ dân như ngôi sao, có sao thích gió, có sao thích mưa. Mặt trời mặt trăng vận hành, có mùa đông mùa hạ. Trăng theo sao thì nổi gió mưa. Ngũ phúc: Một là thọ (sống thọ), hai là phú (giàu có), ba là khang ninh (khỏe mạnh yên bình), bốn là tu hiếu đức (có đức hạnh tốt), năm là khảo chung mệnh (già cả khéo trọn mệnh trời). Lục cực (sáu điều tai ách): một là hung đoản chiết (chết yểu), hai là tật (bệnh tật), ba là ưu (lo sầu), bốn là bần (nghèo khó), năm là ác (xấu xa), sáu là nhược (hèn yếu).”
於是武王乃封箕子於朝鲜而不臣也。	Thế là Vũ vương bèn phong cho Cơ tử đất Triều Tiên nhưng không coi như hạng bề tôi.
其後箕子朝周，过故殷虚，感宫室毁坏，生禾黍，箕子伤之，欲哭 则不可，欲泣为其近妇人，乃作麦秀之诗以歌咏 之。	Về sau, Cơ tử triều kiến nhà Chu, qua đất cũ Ân Khư, cảm khái vì cung thất đã đổ nát, lúa má mọc lên, Cơ tử cảm thương cảnh đó, muốn khóc lớn mà không thể, muốn sụt sùi lại thấy [làm như thế thì] giống đàn bà, bèn làm bài thơ “Mạch tú” để ca vịnh.
殷民闻之，皆为流涕。	Dân nhà Ân nghe bài đó, thảy đều sa nước mắt.
武王崩，成王少，周公旦代行政当国。	Vũ vương băng hà, Thành vương còn nhỏ, Chu công Đán thay thiên tử điều hành sự vụ đảm đương quốc chính.
管、蔡疑之，乃与武庚作 乱，欲袭成王、周公。	Quản thúc, Sái thúc nghi ngờ Chu công, bèn cùng Vũ Canh làm loạn, muốn đánh úp Thành vương và Chu công.
周公既承成 王命诛武庚，杀管叔，放蔡叔，乃命微子开代殷後，奉其先祀，作微 子之命以申之，国于宋。	Sau khi thừa lệnh của Thành vương, Chu công tru diệt Vũ Canh, giết Quản thúc, đày Sái thúc, rồi mệnh cho Vi tử Khai thay [Vũ Canh] kế thừa hậu tự nhà Ân, phụng thờ tổ tiên, [Chu công] làm bài “Vi tử chi mệnh” để tỏ ý đó, nước phong ở Tống.
微子故能仁 贤，乃代武庚，故殷之馀民甚戴爱之。	Vi tử vốn là người nhân từ hiền năng, được thay Vũ Canh, cho nên dân cũ nhà Ân rất yêu quý ông.
微子开卒，立其弟衍，是为微仲。	Vi tử Khai chết đi, lập em là Diễn, đó là Vi Trọng.
微仲卒，子宋公稽立。	Vi Trọng chết, con là Tống công Kê lên thay.
炀公即位，湣公子鲋祀弑炀公而 自立， 曰“我当立”，是为厉公。	Dương công lên ngôi, con của Mẫn công là Phụ Tự giết Dương công rồi tự lập làm vua, nói rằng “Ta đáng được lên ngôi”, đó là Lệ công.
宣公有太子与夷。	Tuyên công có Thái tử là Dữ Di.
十九年，宣公病，让其弟和，曰：“父死子继， 兄死弟及，天下通义也。我其立和。”	Năm thứ mười chín, Tuyên công ốm, nhường ngôi cho người em là Hòa, nói rằng: “Cha chết con thay, anh chết em nối, đó là đạo nghĩa chung của thiên hạ. Ta lập Hòa lên thay.”
孔父曰：“群臣皆原立公子 冯。”	Khổng Phủ đáp: “Quần thần đều nguyện lập công tử Phùng.”
穆公曰：“毋立冯，吾不可以负宣公。”	Mục công nói: “Chớ có lập Phùng, ta không thể phụ lòng Tuyên công được.”
