晋唐叔虞者， 周武王子而成王弟。	Đường thúc Ngu nước Tấn là con của Chu Vũ vương, em Thành vương.
初，武王与叔虞母会时， 梦天谓武 王曰：“余命女生子，名虞，余与之唐。”	Ban trước, khi Vũ vương ân ái với mẹ của Thúc Ngu, mộng thấy trời nói với Vũ vương rằng: “Ta ban mệnh cho người sinh được con trai, tên là Ngu, ta ban cho đất Đường.”
及生子，文在其手 曰“虞”，故遂因命之曰虞。	Đến khi sinh con, trên tay có chữ “Ngu”, nên nhân đó đặt tên là Ngu.
武王崩，成王立，唐有乱， 周公诛灭唐。	Vũ vương băng hà, Thành vương lên ngôi, nước Đường có loạn, Chu công tru diệt nước Đường.
成王与叔虞戏，削桐叶为珪以与叔虞， 曰：“以此封若。”	Thành vương cùng Thúc Ngu đùa chơi, [Thành vương] cắt lá ngô đồng làm ngọc khuê trao cho Thúc Ngu, nói: “Đem thứ này phong cho ngươi.”
成王曰：“吾与之戏 耳。”	Thành vương nói: “Ta chỉ đùa với Thúc Ngu thôi.”
史佚曰：“天子无戏言。言则史书之，礼成之，乐歌之。”	Sử Dật nói: “Thiên tử không nói chơi. Nói ra thì sử quan ghi chép lại, dùng lễ tác thành việc đó, dùng nhạc ca vịnh việc đó.”
於 是遂封叔虞於唐。	Thế rồi bèn phong Thúc Ngu đất Đường.
唐在河、汾之东，方百里，故曰唐叔虞。	Đất Đường ở phía đông sông Hoàng Hà và sông Phần, rộng trăm dặm vuông, cho nên gọi là Đường thúc Ngu.
唐叔子燮，是为晋侯。 晋侯子宁 族，是为武侯。	Con của Đường thúc là Tiếp, chính là Tấn hầu. Con của Tấn hầu là Ninh Tộc, chính là Vũ hầu.
武侯之子服 人，是为成侯。 成侯子福，是为厉侯。	Con của Vũ hầu là Phục Nhân, chính là Thành hầu. Con của Thành hầu là Phúc, chính là Lệ hầu.
厉侯之子 宜臼，是为靖侯。	Con của Lệ hầu là Nghi Cữu, chính là Tĩnh hầu.
靖侯已来，年纪可推。	Từ Tĩnh hầu trở đi, niên đại có thể suy được.
自唐叔至靖侯五世，无其年 数。	Từ Đường thúc đến Tĩnh hầu là năm đời, không biết số năm [là bao nhiêu].
靖侯十七年，周厉王迷惑暴虐，国人作乱，厉王出奔于彘，大臣 行政，故曰“共和”。	Tĩnh hầu năm thứ mười bảy, Chu Lệ vương u mê bạo ngược, người trong nước làm loạn, Lệ vương chạy ra đất Trệ, đại thần cùng điều hành chính sự, cho nên gọi là “cộng hòa”.
十八年，靖侯卒，子釐侯司徒立。	Năm thứ mười tám, Tĩnh hầu chết, con là Ly hầu Tư Đồ lên thay.
釐侯十四年，周宣王初立。	Ly hầu năm thứ mười bốn, Chu Tuyên vương mới lên ngôi.
十 八年，釐侯卒，子献侯籍立。	Năm thứ mười tám, Ly hầu chết, con là Hiến hầu Tịch lên thay.
献侯十一年 卒，子穆侯费王立。	Hiến hầu năm thứ mười một thì chết, con là Mục hầu Bí Vương lên thay.
穆侯四年，取齐女姜氏为夫人。	Mục hầu năm thứ tư, lấy người con gái nước Tề là Khương thị làm phu nhân.
七年，伐条。	Năm thứ bảy, thảo phạt đất Điều.
生太子仇。	[Phu nhân Khương thị] sinh Thái tử Cừu.
十年，伐千亩，有功。	Năm thứ mười, thảo phạt đất Thiên Mẫu, có công tích.
生少子，名曰成师。	[Năm đó, Mục hầu] sinh con nhỏ, tên là Thành Sư.
晋人师服曰：“异哉，君之命子也！ 太子曰仇，仇者雠也。少子曰成师，成师大号，成之者也。名，自命 也；物，自定也。今適庶名反逆，此後晋其能毋乱乎？”	Người Tấn là Đại phu Sư Phục nói: “Lạ thay cách vua đặt tên con! Thái tử là Cừu, Cừu tức là cừu thù vậy. Con nhỏ là Thành Sư, Thành Sư là danh hiệu lớn, là thành tựu cho người con đó vậy. Tên là mệnh số của mình; vật, tự thân an bài vậy. Nay con đích và con thứ tên trái ngược nhau, như thế sau này nước Tấn có thể không loạn được ư?”
二十七年，穆侯卒，弟殇叔自立，太子仇出奔。	Năm thứ hai mươi bảy, Mục hầu chết, em là Thương thúc tự lập làm vua, Thái tử Cừu chạy khỏi nước.
殇叔三年，周宣 王崩。	Thương thúc năm thứ ba, Chu Tuyên vương bằng hà.
四年，穆侯太子仇率其徒袭殇叔而立，是为文侯。	Năm thứ tư, Thái tử của Mục hầu là Cừu thống lãnh bè đảng đánh úp Thương thức rồi lên thay, đó là Văn hầu.
文侯十年，周幽王无道，犬戎杀幽王，周东徙。	Văn hầu năm thứ mười, Chu U vương vô đạo, Khuyển Nhung giết U vương, nhà Chu dời sang phía đông.
而秦襄公始列为 诸侯。	Còn Tần Tương công bắt đầu được liệt vào hàng chư hầu.
三十五年，文侯仇卒，子昭侯伯立。	Năm thứ ba mươi lăm, Văn hầu Cừu chết, con là Chiêu hầu Bá lên thay.
昭侯元年，封文侯弟成师于曲沃。	Chiêu hầu năm thứ nhất, phong cho em của Văn hầu là Thành Sư ở Khúc Ốc.
成师封曲沃，号为桓叔。	Thành Sư được phong ở Khúc Ốc, hiệu là Hoàn thúc.
桓叔是时年五十八矣，好德，晋国之众 皆附焉。	Bấy giờ Hoàn thúc đã năm mươi tám tuổi, hiếu đức, dân nước Tấn đều quy phụ theo.
君子曰：“晋之乱其在曲沃矣。末大於本而得民心，不乱何 待！”	Bậc quân tử nói: “Loạn của nước Tấn là ở Khúc Ốc vậy. Ngọn lớn hơn gốc mà lại được lòng dân, không loạn thì còn chờ gì nữa!”
桓叔欲入晋，晋人 发兵攻桓叔。	Hoàn thúc muốn vào nước Tấn, người Tấn phát binh tấn công Hoàn thúc.
晋人共立昭侯子平为君，是为孝 侯。	Người Tấn cùng lập con của Chiêu hầu là Bình làm vua, đó là Hiếu hầu.
诛潘父。	[Người nước Tấn] giết Phan Phủ.
孝侯十五年，曲沃庄伯弑其君晋孝侯于翼。	Hiếu hầu năm thứ mười lăm, Khúc Ốc Trang bá giết vua nước mình là Tấn Hiếu hầu tại ấp Dực.
晋人复立孝侯子郄 为君，是为鄂侯。	Người Tấn lại lập con của Hiếu hầu là Khích lên làm vua, đó là Ngạc hầu.
鄂侯二年，鲁隐公初立。	Ngạc hầu năm thứ hai, Lỗ Ẩn công mới lên ngôi.
鄂侯六年卒。	Ngạc hầu năm thứ sáu thì chết.
晋人共立鄂侯子光，是为哀侯。	Người Tấn cùng lập con của Ngạc hầu là Quang lên ngôi, đó là Ai hầu.
哀侯二年曲沃庄伯卒，子称代庄伯立，是为曲沃 武公。	Ai hầu năm thứ hai, Khúc Ốc Trang bá chết, con là Xứng lên thay Trang bá, đó là Khúc Ốc Vũ công.
哀侯六年，鲁弑其君隐公。	Ai hầu năm thứ sáu, người Lỗ giết vua nước mình là Ẩn công.
哀侯八年，晋侵陉廷。	Ai công năm thứ tám, nước Tấn xâm phạm ấp Hình Đình.
陉廷与曲沃武公谋，九年，伐晋于汾旁， 虏哀侯。	Người ở ấp Hình Đình bàn mưu với Khúc Ốc Vũ công, năm thứ chín, thảo phạt nước Tấn ở bên cạnh sông Phần của nước Tấn, bắt sống Ai hầu.
晋人乃立哀侯子小子为君，是为小子侯。	Người Tấn bèn lập con của Ai hầu là Tiểu Tử lên làm vua, đó là Tiểu Tử hầu.
晋小子之四年，曲沃武公诱召晋小子杀之。	Tiểu Tử hầu nước Tấn năm thứ tư, Khúc Ốc Vũ công lừa triệu Tiểu Tử hầu nước Tấn tới rồi giết chết.
周桓王使虢仲 伐曲沃武公，武公入于 曲沃，乃立晋哀侯弟缗为晋侯。	Chu Hoàn vương sai Quốc Trọng thảo phạt Khúc Ốc Vũ công, Vũ công chạy về Khúc Ốc, [Chu Hoàn vương] bèn lập em của Tấn Ai hầu là Mân làm Tấn hầu.
晋侯缗四年，宋执郑祭仲而立突为郑君。	Tấn hầu Mân năm thứ tư, nước Tống bắt Sái Trọng nước Trịnh rồi lập Đột làm Trịnh quân.
晋侯十九年，齐人管至 父弑其君襄公。	Tấn hầu năm thứ mười chín, Quản Chí Phủ người Tề giết vua nước mình là Tương công.
晋侯二十八年，齐桓公始霸。	Tấn hầu năm thứ hai mươi tám, Tề Hoàn công bắt đầu xưng bá.
曲沃武公伐晋侯缗，灭之，尽以其 宝器赂献于周釐王。	Khúc Ốc Vũ công thảo phạt Tấn hầu Mân, diệt được, rồi đem tất cả đồ quý báu [thu được của Tấn hầu] dâng cho Chu Hy vương để hối lộ.
釐王命曲沃武公为晋君，列为诸侯，於是尽并晋 地而有之。	Hy vương mệnh cho Khúc Ốc Vũ công làm Tấn quân, được liệt vào hàng chư hầu, thế là [Khúc Ốc Vũ công] chiếm hết được đất Tấn.
曲沃武公已即位三十七年矣，更号曰晋武公。	Sau khi Khúc Ốc Vũ công lên ngôi được ba mươi bảy năm, đổi hiệu thành Tấn Vũ công.
桓叔者，始封曲沃。	Ban đầu Hoàn thúc được phong ở Khúc Ốc.
武公，庄伯子也。	Vũ công là con của Trang bá.
自桓叔初封曲沃 以至武公灭晋也，凡六十七岁，而卒代晋为诸侯。	Từ lúc Hoàn thúc bắt đầu được phong ở đất Khúc Ốc đến khi Vũ công tiêu diệt nước Tấn, cả thảy sáu mươi bảy năm, rồi cuối cùng thay nước Tấn làm nước chư hầu.
武公代晋二岁， 卒。	Vũ công thay nhà Tấn được hai năm thì chết.
五年，伐骊戎，得骊姬、骊姬 弟，俱爱幸之。	Năm thứ năm, thảo phạt Ly Nhung, bắt được nàng Ly cơ và em gái của Ly cơ, đều được Hiến công sủng ái.
八年，士蔿说公曰：“故晋之群公 子多，不诛，乱且起。”	Năm thứ tám, [đại phu] Sĩ Vị khuyên Hiến công rằng: “Nước Tấn trước đây có nhiều công tử, không giết họ, sẽ sinh loạn.”
九年，晋群 公子既亡奔虢，虢以其故再伐晋，弗克。	Năm thứ chín, các công tử nước Tấn [sợ bị giết] đã chạy trốn sang nước Quắc, nước Quắc lấy lý do đó, lại thảo phạt nước Tấn nhưng không hạ được.
十年，晋欲伐虢，士蔿 曰：“且待其乱。”	Năm thứ mười, nước Tấn muốn thảo phạt nước Quốc, Sĩ Vị nói: “Hãy đợi nước họ loạn đã.”
十二年，骊姬生奚齐。	Năm thứ mười hai, Ly cơ sinh Hề Tề.
