郑桓公友者，周厉王少子而宣王庶弟也。	Trịnh Hoàn công tên là Hữu, là con út của Chu Lệ vương, em dòng thứ của [Chu] Tuyên vương.
宣王立二十二年，友初封于郑。	Tuyên vương lên ngôi được hai mươi hai năm, Hữu mới bắt đầu được phân phong ở đất Trịnh.
封三十三岁，百姓皆便爱之。	Nhận phong được ba mươi ba năm, dân chúng đều yêu mến ông.
幽王以为司 徒。	U vương cho [Hữu] làm Tư đồ.
和集周民，周民皆说，河雒之间，人便思之。	[Hữu khiến] dân nhà Chu hòa mục, quần tụ, dân nhà Chu thảy đều vui mừng, dân ở vùng sông Hà và sông Lạc ai nấy đều nhớ đến ông.
为司徒一岁，幽 王以襃后故，王室治多邪，诸侯或畔之。	Làm Tư đồ được một năm, U vương vì việc của Bao hậu, khiến việc cai trị của vương thất sinh nhiều tà vạy, chư hầu có nước làm phản nhà Chu.
於是桓公问太史伯 曰：“王室多故，予安逃死乎？”	Thế rồi Hoàn công hỏi Thái sử Bá rằng: “Vương thất [nhà Chu] nhiều biến cố, ta có thể trốn được tử nạn không?”
太史伯对 曰：“独雒之东土，河济之南可居。”	Thái sử Bá đáp rằng: “Chỉ có đất phía đông sông Lạc và đất phía nam sông Hà sông Tế là có thể ở được.”
公曰：“何以？”	Hoàn công hỏi: “Tại sao?”
对曰：“地 近虢、郐， 虢、郐之君贪而 好利， 百姓不附。今公为司徒，民皆爱 公，公诚请居之，虢、郐之君见公方用事，轻分公地。公诚居之， 虢、郐之民皆公之民也。”	Đáp rằng: “Đất gần nước Quắc và Cối, vua nước Quắc và Cối tham lam hám lợi, trăm họ không quy phục. Nay ngài là Tư đồ, dân chúng đều yêu mến, nếu ngài xin ra đó, vua nước Quắc và Cối thấy ngài đang nắm quyền sẽ dễ dàng chia đất cho. Nếu ngài ở đó, dân chúng nước Quắc và Cối sẽ đều là dân của ngài.”
公曰：“吾欲南之江上，何如？”	Hoàn công hỏi: “Ta muốn phía nam lên đến phía trên sông Trường Giang thì sao?”
对 曰：“昔祝融为高辛氏火正，其功大矣，而其於周未有兴者，楚其後 也。周衰，楚必兴。兴，非郑之利也。”	Đáp rằng: “Xưa kia Chúc Dung làm quan Hỏa chính cho họ Cao Tân, công lao to lớn, nhưng con cháu đến thời Chu vẫn chưa hưng khởi, Sở chính là hậu duệ của Chúc Dung vậy. Nhà Chu suy, Sở ắt sẽ hưng thịnh. Sở hưng thịnh, đó không phải điều lợi của Trịnh.”
公曰：“吾欲居西方，何 如？”	Hoàn công hỏi: “Ta muốn ở phía tây thì sao?”
对曰：“其民贪而好 利，难久居。”	Đáp rằng: “Dân nơi đó tham lam mà hám lợi, khó lòng ở lâu được.”
公曰：“周衰，何国兴者？”	Hoàn công hỏi: “Nhà Chu suy, vậy nước nào sẽ hưng khởi?”
