赵氏之先，与秦共祖。	Tổ tiên họ Triệu cùng gốc với nước Tần.
至中衍，为帝大戊御。	Đến Trọng Diễn, làm người đánh xe cho Hoàng đế Đại Mậu.
其後 世蜚廉有子二人，而命其一子曰恶来，事纣，为周所杀，其後为秦。	Đời sau là Phi Liêm có hai người con, rồi mệnh cho con thứ nhất là Ác Lai, phụng sự vua Trụ, bị Chu vương giết, hậu duệ [của Ác Lai] là nước Tần.
恶来弟曰季胜，其後为赵。	Em trai Ác Lai là Quý Thắng, hậu duệ của Quý Thắng là nước Triệu.
季胜生孟增。	Quý Thắng sinh ra Mạnh Tăng.
孟增幸於周成王，是为宅皋狼。	Mạnh Tăng được Chu Thành vương yêu quý, chính là Trạch Cao Lang.
皋狼生衡父，衡父生造父。	Trạch Cao Lang sinh Hành Phủ, Hành Phủ sinh Tạo Phủ.
造父幸於周缪 王。	Tạo Phủ được Chu Mục vương tin yêu.
造父取骥之乘匹， 与桃林 盗骊、骅骝、绿耳，献之缪王。	Tạo Phủ lấy tám con ngựa ký, cùng ngựa đạo ly, hoa lưu, lục nhĩ của đất Đào Lâm dâng lên cho Mục vương.
缪王 使造父御，西巡狩，见西王母， 乐之忘 归。	Mục vương sai Tạo Phủ đánh xe ngựa, sang phía tây tuần thú, yết kiến Tây Vương mẫu, vui quên cả việc trở về.
而徐偃王反， 缪 王日驰千里马，攻徐偃王， 大 破之。	Thế rồi Từ Yển vương làm phản, Mục vương cưỡi loại ngựa ngày chạy ngàn dặm, tấn công Từ Yển vương, cả phá được.
乃赐造父以赵城，由此为赵氏。	Bèn đem Triệu Thành tặng cho Tạo Phủ, từ đó thành họ Triệu.
自造父已下六世至奄父，曰公仲，周宣王时伐戎，为御。	Từ Tạo Phủ trải xuống sáu đời đến Yêm Phủ, đó là Công Trọng, thời Chu Tuyên vương đánh người Nhung, [Yên Phủ] làm người đánh xe.
及千亩 战，奄父脱宣王。	Đến trận chiến ở Thiên Mẫu, Yên Phủ cứu thoát Tuyên vương.
叔带之时，周幽王无道，去周如晋，事晋文侯，始建赵 氏于晋国。	Thời Thúc Đái, Chu U vương vô đạo, [Đái] bỏ nhà Chu sang nước Tấn, thờ Tấn Văn hầu, bắt đầu kiến lập gia tộc họ Triệu ở nước Tấn.
自叔带以下，赵宗益兴，五世而至赵夙。	Từ Thúc Đái trở xuống, tông tộc họ Triệu ngày một hưng thịnh, qua năm đời thì đến Triệu Túc.
赵夙，晋献公之十六年伐霍、魏、耿，而赵夙为将伐霍。	Năm Tấn Hiến công thứ mười sáu, [nước Tấn] đánh các nước Hoắc, Ngụy, Cảnh, Triệu Túc làm tướng đi đánh nước Hoắc.
晋大旱，卜之，曰“霍太山 为祟”。	Nước Tấn bị hạn lớn, bói quẻ, quẻ rằng: “Hoắc Thái Sơn tác quái”.
使赵夙召霍君於齐，复之，以奉霍太山之祀，晋复穰。	[Vua Tấn] sai Triệu Túc sang Tề triệu Hoắc quân, khôi phục nước cho, để phụng thờ việc tế tự Hoắc Thái Sơn, nước Tấn lại được mùa.
晋献 公赐赵夙耿。	Tấn Hiến công tặng cho Triệu Túc đất Cảnh.
夙生共孟，当鲁闵公之元年也。	Triệu Túc sinh Cung Mạnh, bấy giờ là năm Lỗ Mẫn công thứ nhất.
共孟生赵衰，字子馀。	Cung Mạnh sinh Triệu Thôi, tự là Tử Dư.
赵衰卜事晋献公及诸公子，莫吉；卜事公子重耳，吉，即事重 耳。	Triệu Thôi coi bói việc phụng sự Tấn Hiến công cùng các công tử, không tốt; bói việc phụng sự Công tử Trùng Nhĩ, tốt, liền phụng sự Trùng Nhĩ.
初，重耳在晋时，赵衰妻亦生赵 同、赵括、赵婴齐。	Trước đây, khi Trùng Nhĩ ở nước Tấn, vợ Triệu Thôi cũng sinh được Triệu Đồng, Triệu Quát và Triệu Anh Tề.
赵衰从重耳出亡，凡十九年，得反国。	Triệu Thôi theo Trùng Nhĩ lưu vong bên ngoài, cả thảy mười chín năm, về được nước.
重耳为晋 文公，赵衰为原大夫，居原，任国政。	Trùng Nhĩ làm Tấn Văn công, Triệu Thôi làm Nguyên đại phu, cư trú ở thành Nguyên, nắm chính sự trong nước.
赵衰既反晋，晋之妻固要迎翟妻，而以其子盾为適嗣，晋妻三子 皆下事之。	Sau khi Triệu Thôi trở về Tấn, người vợ ở nước Tấn nhất quyết đòi đón người vợ ở nước Địch, còn lấy con của người vợ đó là Thuẫn làm con đích thừa tự, ba con của người vợ nước Tấn đều địa vị dưới phụng sự cho Thuẫn.
晋襄公之六年，而赵衰卒，谥为成季。	Tấn Tương công năm thứ sáu, Triệu Thôi chết, thụy là Thành Quý.
赵盾代成季任国政二年而晋襄公卒，太子夷皋年少。	Triệu Thuẫn thay Thành Quý đảm nhiệm chính sự trong nước được hai năm thì Tấn Tướng công chết, Thái tử Di Cao còn nhỏ tuổi.
雍时在秦，使使迎之。	Bấy giờ Ung đang ở Tần, [Triệu Thuẫn] sai sứ sang đón.
赵盾患 之，恐其宗与大夫袭诛之，乃遂立太子，是为灵公，发兵距所迎襄公 弟於秦者。	Triệu Thuẫn lo lắng việc đó, sợ tông tộc của Tương công cùng các đại phu tập kích giết mình, bèn lập Thái tử lên ngôi, đó là Linh công, rồi phát binh chống lại những người đi nghinh đón em của Tương công ở Tần.
灵公既立，赵盾益专国政。	Sau khi Linh công lên ngôi, Triệu Thuẫn càng chuyên quyền chính sự trong nước.
灵公立十四年，益骄。	Linh công lên ngôi năm thứ mười bốn, ngày càng kiêu căng.
及食熊蹯，胹不 熟，杀宰人，持其尸出，赵盾见之。	Đến khi [Linh công] ăn tay gấu, do nấu chưa chín, giết người đầu bếp, đem xác ra ngoài, Triệu Thuẫn trông thấy.
灵公由此惧，欲杀盾。	Linh công do đó lo sợ, định giết Thuẫn.
未出境，而赵穿弑灵公而 立襄公弟黑臀，是为成公。	Chưa ra khỏi biên cảnh thì Triệu Xuyên đã giết Linh công rồi lập em của Tương công là Hắc Đồn làm vua, đó là Thành công.
赵盾复反，任国政。	Triệu Thuẫn lại trở về, nắm chính sự trong nước.
晋景公 时而赵盾卒，谥为宣孟，子朔嗣。	Thời Tấn Cảnh công, Triệu Thuẫn chết, thụy là Tuyên Mạnh, con là Sóc thừa kế tước vị.
