魏之先，毕公高之後也。	Tổ tiên nước Ngụy là hậu duệ của Tất công Cao.
毕公高与周同姓。	Tất công Cao cùng họ với nhà Chu.
武王之伐纣，而高封於毕， 於是为毕姓。	Vũ vương thảo phạt vua Trụ, Cao được phân phong ở đất Tất, thế rồi lấy họ Tất.
其後绝封，为庶人，或在中国，或在夷狄。	Hậu duệ bị mất đất phong, trở thành dân thường, có người ở Trung nguyên, có người ở nước Di địch.
其苗 裔曰毕万，事晋献公。	Con cháu có người là Tất Vạn, phụng sự Tấn Hiến công.
献公之十六年，赵夙为御，毕万为右，以伐霍、耿、魏，灭之。	Hiến công năm thứ mười sáu, Triệu Túc điều khiển chiến xa, Tất Vạn hộ vệ bên phải, đi đánh nước Hoắc, Cảnh, Ngụy, diệt các nước đó.
以耿封赵夙，以魏封毕万， 为大夫。	[Hiến công] đem đất Cảnh phong cho Triệu Túc, đem đất Ngụy phong cho Tất Vạn, đều làm đại phu.
卜偃曰： “毕万之後必大矣，万，满数也；魏，大名也。以是始 赏，天开之矣，天子曰兆民，诸侯曰万民。今命之大，以从满数，其 必有众。”	Bốc Yển nói: “Hậu duệ của Tất Vạn nhất định sẽ lớn mạnh. Vạn là số tràn trề, Ngụy là danh lớn vậy. Nhờ thế bắt đầu được thưởng, trời khai mở cho đấy. Thiên tử gọi là triệu dân, chư hầu gọi là vạn dân. Nay mệnh cho danh lớn, để thuận theo số tràn trề, ắt sẽ có dân chúng.”
初，毕万卜事晋，遇屯之比。	Ban đầu, Tất Vạn bói về việc thờ nước Tấn, được quẻ Truân biến sang quẻ Tỷ.
辛廖占之，曰：“吉。屯固 比入，吉孰大焉，其必蕃昌。”	Tân Liệu xem quẻ, nói: “Tốt. Truân thì kiên cố, Tỷ là tiến vào, còn quẻ nào tốt hơn, đời sau ắt sẽ phồn vinh thịnh vượng.”
毕万封十一年，晋献公卒，四子争更立，晋乱。	Tất Vạn được phân phong mười một năm thì Tấn Hiến công chết, bốn người con tranh nhau ngôi vị, nước Tấn rối loạn.
而毕万之世弥 大，从其国名为魏氏。	Còn con cháu Tất Vạn ngày càng lớn mạnh, theo tên của nước được phong, xưng là họ Ngụy.
生武子。	[Tất Vạn] sinh ra Vũ tử.
