陈完者，陈厉公他 之子也。	Trần Hoàn là con của Trần Lệ công Đà.
完生，周太史过陈，陈厉公使卜完， 卦得观之否：“是为观国之光，利用宾于王。此其代陈有国乎？不在 此而在异国乎？非此其身也，在其子孙。若在异国，必姜姓。姜姓， 四岳之後。物莫能两大，陈 衰，此其昌乎？”	Khi Hoàn sinh, Thái sử nhà Chu qua nước Trần, Trần Lệ công đề nghị xem bói cho Hoàn, bói được quẻ Quán biến sang quẻ Bĩ: “Quẻ này xem xét sự rạng rỡ của đất nước, tốt trong việc làm tân khách của nhà vua. Theo quẻ bói thì đứa nhỏ này sẽ có nước Trần chăng? Không ở nước Trần mà ở nước khác chăng? Không phải ở bản thân đứa trẻ này mà là ở con cháu đời sau. Nếu ở nước khác, ắt là nước họ Khương. Họ Khương, là hậu duệ của quan Tứ nhạc [đời Đế Nghiêu]. Vật không thể có hai cái cùng lớn, nước Trần suy, con cháu đứa trẻ này sẽ hưng khởi chăng?”
厉公者，陈文公少子也，其母蔡女。	Lệ công là con út của Trần Văn công, mẹ là người con gái nước Sái.
文公卒，厉公兄鲍立，是为 桓公。	Văn công chết, anh của Lệ công là Bão lên ngôi, đó là Hoàn công.
及桓公病，蔡人为他杀桓公鲍及太子免而立 他，为厉公。	Đến khi Hoàn công ốm, người nước Sái vì Đà nên đã giết Hoàn công Bão cùng Thái tử Miễn rồi lập Đà lên ngôi, đó là Lệ công.
厉公既立，娶蔡女。	Sau khi Lệ công lên ngôi, lấy vợ người nước Sái.
蔡女淫於蔡人，数归，厉公亦数如 蔡。	Người vợ nước Sái thông dâm với người nước Sái, nhiều lần về nước, Lệ công cũng nhiều lần sang nước Sái.
桓公之少子林怨厉公杀其父与兄，乃令蔡人诱厉公而杀之。	Con út của Hoàn công là Lâm oán Lệ công giết cha và anh mình, bèn bảo người nước Sái dụ Lệ công [sang Sái] rồi giết chết.
林自 立，是为庄公。	Lâm tự lập làm vua, đó là Trang công.
故陈完不得立，为陈大夫。	Cho nên Trần Hoàn không được lập, làm đại phu ở nước Trần.
厉公之杀，以淫出国，故 春秋曰“蔡人杀陈他”，罪之也。	Lễ công bị giết vì ra khỏi nước để dâm loạn, cho nên sách Xuân thu viết “Người nước Sái giết Trần Đà”, [là nhằm] quy tội cho Trần Đà vậy.
庄公卒，立弟杵臼，是为宣公。	Trang công chết, lập em là Chử Cữu, đó là Tuyên công.
宣公二十一年，杀其太子御寇。	Tuyên công năm thứ hai mươi mốt, giết Thái tử Ngự Khấu.
御寇与完相爱，恐祸及己，完故奔齐。	Ngự Khấu và Hoàn vốn yêu quý nhau, [Hoàn] sợ họa vào thân, cho nên vội chạy sang Tề.
齐桓公欲使为卿，辞曰：“羁 旅之臣幸得免负檐，君之惠也，不敢当高位。”	Tề Hoàn công định sai làm quan khanh, Hoàn từ tạ rằng: “Kẻ bề tôi lữ khách may mà không phải gánh vác nặng nề, là nhờ ơn huệ của nhà vua, không dám đảm nhận địa vị cao quý.”
桓公使为工正。	Hoàn công sai làm chức Công chính.
齐懿仲欲妻完，卜之，占曰：“是谓凤皇于 蜚，和鸣锵锵。有妫之後，将育于姜。五世其昌，并于正卿。八世之 後，莫之与京。”	Tề Ý Trọng muốn gả con gái cho Hoàn, bói quẻ, lời quẻ nói: “Quẻ này là phượng hoàng cùng bay, tiếng hót họa lảnh lót. Là hậu duệ của Hữu Quy, trưởng thành ở nước họ Khương. Năm đời thì thịnh vượng, được liệt vào hàng Chính khanh. Sau tám đời, địa vị to lớn không ai sánh bằng.”
完之奔齐，齐桓公立十四年矣。	Khi Hoàn chạy sang Tề, Tề Hoàn công lên ngôi được mười bốn năm rồi.
完卒，谥为敬仲。	Hoàn chết, thụy là Kính Trọng.
敬仲之如齐，以陈字为田氏。	Kính Trọng sang nước Tề, đổi họ Trần thành họ Điền.
田■孟夷生湣孟庄， 田湣孟庄生文子须无。	Điền Trĩ Mạnh Di sinh ra Mẫn Mạnh Trang, Điền Mẫn Mạnh Trang sinh Văn tử Tu Vô.
田文子事齐庄公。	Điền Văn tử phụng sự Tề Trang công.
晋之大夫栾逞作乱於晋，来奔齐， 齐庄公厚客之。	Đại phu nước Tấn là Loan Sính làm loạn ở Tấn, rồi chạy sang Tề, Tề Trang công dùng hậu lễ khoản đãi như khách.
晏婴与田文子谏，庄公弗听。	Yến Anh cùng Điền Văn tử can gián, Trang công không nghe.
文子卒，生桓子无宇。	Văn tử chết, [Văn tử] sinh được Hoàn tử Vô Vũ.
田桓子无宇有力，事齐庄公，甚有宠。	Điền Hoàn tử Vô Vũ có khí lực, phụng sự Tề Trang công, rất được sủng ái.
无宇卒，生武子开与釐子乞。	Vô Vũ chết, [Vô Vũ] sinh được Vũ tử Khai và Hy tử Khất.
田釐子乞事齐景公为 大夫，其收赋税於民以小斗受之，其禀予民以大斗，行阴德於民，而 景公弗禁。	Điền Hy tử Khất phụng sự Tề Cảnh công, làm quan đại phu, thu thuế khóa của dân thì dùng đấu nhỏ, khi cấp lương cho dân thì dùng đấu lớn, ngầm thi ơn đức với dân, nhưng Cảnh công không ngăn cấm.
由此田氏得齐众心，宗族益彊，民思田氏。	Do đó họ Điền được lòng dân chúng nước Tề, tông tộc ngày càng mạnh, dân nhớ ơn họ Điền.
