孔子生鲁昌平乡陬邑。	Khổng tử sinh ở ấp Trâu, hương Xương Bình, nước Lỗ.
其先宋 人也，曰孔防叔。	Tiên tổ là người nước Tống, gọi là Khổng Phòng Thúc.
防叔生伯夏，伯夏生叔梁纥。	Phòng Thúc sinh ra Bá Hạ, Bá Hạ sinh Thúc Lương Hột.
纥与颜氏女野合而生孔子， 祷於尼丘得孔子。	Hột lấy người con gái họ Nhan rồi sinh ra Khổng tử, cầu đảo ở Ni Khâu mới sinh được Khổng tử.
鲁襄公二十二年而孔子生。	Khổng tử sinh năm Lỗ Tương công thứ hai mươi hai.
生而首上圩顶， 故因名曰丘云。 字仲尼，姓孔氏。	Khi sinh ra, trên đỉnh đầu lõm, bốn góc nhô cao, cho nên nhân đó đặt tên là Khâu, tự là Trọng Ni, họ Khổng.
丘生而叔梁纥死，葬於防山。	Khâu ra đời thì Thúc Lương Hột chết, táng ở Phòng Sơn.
孔子要绖， 季氏飨士，孔子与往。	Khổng tử mang thắt lưng gai, họ Quý khoản đãi kẻ sĩ, Khổng tử đến dự.
孔子由是退。	Thế là Khổng tử lui ra.
孔子贫且贱。	Khổng tử nghèo hèn.
鲁昭公之二十年，而孔子盖年三十矣。	Lỗ Chiêu công năm thứ hai mươi, Khổng tử ba mươi tuổi.
孔子年三十五，而季平子与郈昭伯以斗鸡故 得罪鲁昭公，昭公 率师击平子，平子与孟氏、叔孙氏三家共攻昭公，昭公师败，奔於 齐，齐处昭公乾侯。	Năm Khổng tử ba mươi lăm tuổi, Quý Bình tử và Hậu Chiêu bá vì chọi gà mà đắc tội với Lỗ Chiêu công, Chiêu công đem quân đánh Bình tử, Bình tử cùng Mạnh thị, Thúc Tôn thị ba nhà đánh Chiêu công, quân của Chiêu cũng bị thua, [Chiêu công] chạy sang nước Tề, Tề cho Chiêu công ở Càn Hầu.
其後顷之，鲁乱。	Một thời gian sau, nước Lỗ có loạn.
景公问政孔子，孔子曰：“君君，臣臣，父父，子子。”	Cảnh công hỏi Khổng tử về chính sự, Khổng tử đáp: “Vua phải trọn đạo làm vua, bề tôi phải trọn đạo làm bề tôi, cha phải trọn đạo làm cha, con phải trọn đạo làm con.”
孔子年四十二，鲁昭公卒於乾侯，定公立。	Năm Khổng tử bốn mươi hai tuổi, Lỗ Chiêu công chết ở Càn Hầu, Định công lên ngôi.
定公立五年，夏，季 平子卒，桓子嗣立。	Định công lên ngôi được năm năm, mùa hạ, Quý Bình tử chết, Hoàn tử lên thay.
桓子诈 之，得脱。	Hoàn tử lừa Dương Hổ rồi trốn thoát.
是时孔子年五十。	Lúc bấy giờ Khổng tử năm mươi tuổi.
子路 不说，止孔子。	Tử Lộ không vui, ngăn Khổng tử lại.
定公十年春，及齐平。	Mùa xuân năm Định công thứ mười, nước Lỗ hòa hảo với Tề.
於是叔孙氏先堕郈。	Bấy giờ họ Thúc Tôn trước hết phá tường thành ở ấp Hậu.
十二月，公围成， 弗克。	Tháng Mười hai, Định công bao vây ấp Thành, không hạ được.
匡人拘孔子益急，弟子惧。	Người đất Khuông bao vây Khổng tử càng ngặt, các học trò sợ.
孔子辞谢，不得已而 见之。	Khổng tử từ tạ, sau bất đắc dĩ phải bái kiến Nam Tử.
孔子入门，北面稽首。	Khổng tử vào cửa, quay mặt về phía bắc dập đầu.
是 岁，鲁定公卒。	Vào năm này, Lỗ Định công chết.
孔子去。	Khổng tử bỏ đi.
子贡以实告孔子。	Tử Cống đem sự thực nói lại với Khổng tử.
於是孔子去 陈。	Thế là Khổng tử rời nước Trần.
过蒲，会公叔氏以蒲畔，蒲人止孔子。	Qua đất Bồ, đúng lúc Công Thúc thị dựa vào đất Bồ để làm phản, người đất Bồ ngăn Khổng tử.
与之盟，出孔子东门。	Cùng ăn thề với họ, họ cho Khổng tử ra cửa phía đông.
孔子遂適 卫。	Khổng tử bèn sang nước Vệ.
灵公老，怠於政，不用孔子。	Linh công già, trễ nải chính sự, không dùng Khổng tử.
佛肸畔，使人召孔 子。	Bật Hật làm phản, sai người triệu Khổng tử.
孔子欲往。	Khổng tử muốn đến.
孔子击磬。	Khổng tử gõ khánh.
孔子学鼓琴师襄子， 十日不进。	Khổng tử học đàn cầm từ thầy Tương tử, mười ngày không học thêm gì mới.
孔子曰：“丘已习其曲矣，未得其数也。”	Khổng tử nói: “Khâu đã thành thục khúc điệu rồi, nhưng chưa hiểu được số trong đó.”
孔子曰：“丘未得其志也。”	Khổng tử nói: “Khâu chưa hiểu được cái chí trong đó.”
孔子曰：“丘未得其为人 也。”	Khổng tử nói: “Khâu chưa hiểu được người làm ra khúc nhạc.”
是岁鲁哀公三年，而孔子年六十矣。	Năm này là năm Lỗ Ai công thứ ba, còn Khổng tử đã sáu mươi tuổi.
明年，孔子自蔡如叶。	Năm sau, Khổng tử từ nước Sái sang đất Diệp.
他日，叶公问孔子於子路，子路不对。	Hôm khác, Diệp công hỏi Tử Lộ về Khổng tử, Tử Lộ không đáp.
子路曰：“为孔丘。”	Tử Lộ đáp: “Là Khổng Khâu.”
曰：“是鲁孔丘 与？”	Hỏi: “Là Khổng Khâu nước Lỗ à?”
曰：“子， 孔丘之徒与？”	Hỏi: “Anh là học trò của Khổng Khâu phải không?”
於是乃相与发徒役围孔子於野。	Thế là bèn cùng cho đồ đảng, đầy tớ bao vây Khổng tử ngoài đồng.
是岁也，孔子年六十三，而鲁哀公六年 也。	Vào năm này, Khổng tử sáu mươi ba tuổi, là năm Lỗ Ai công thứ sáu.
其明年，吴与鲁会缯，徵百牢。	Năm sau đó, nước Ngô và nước Lễ hội kiến ở đất Tăng, [đòi nước Lỗ] cung ứng cỗ Bách lao.
而孔子弟子多仕於卫，卫君欲得孔子为政。	Còn học trò Khổng tử nhiều người làm quan ở Vệ, vua Vệ muốn Khổng tử tham chính ở Vệ.
而卫孔文子将攻太 叔，问策於仲尼。	Khổng Văn tử ở Vệ định đánh Thái Thúc, hỏi Trọng Ni về kế sách.
孔子之去鲁凡十四岁而反乎鲁。	Khổng tử rời nước Lỗ cả thảy mười bốn năm mới trở về.
孔子以四教：文，行，忠，信。	Khổng tử dạy bốn phương diện: văn (học vấn), hạnh (đức hạnh), trung (trung thành), tín (tín nghĩa).
牢曰：“子 云‘不试，故艺’。” 鲁哀公十四年春，狩大野。	[Học trò là] Lao nói: “Thầy có nói 'không được trọng dụng, cho nên chú tâm vào Lục nghệ'. ” Mùa xuân năm Lỗ Ai công thứ mười bốn, đi săn ở Đại Dã.
仲尼视之，曰：“麟也。”	Trọng Ni xem con thú đó, nói: “Đây là con lân.”
乃因史记作春秋，上至隐公，下讫哀公十四年， 十二公。	Bèn nhân đó ghi chép sử làm ra sách Xuân thu, trên chép từ đời Lỗ Ẩn công, dưới chép đến năm Lỗ Ai công thứ mười bốn, gồm mười hai đời vua.
孔子病，子贡请见。	Khổng tử ốm, Tử Cống xin gặp.
孔子年七十三，以鲁哀公十六年四月己丑卒。	Khổng tử thọ bảy mươi ba tuổi, chết vào ngày Kỷ Sửu, tháng Tư năm Lỗ Ai công thứ mười sáu.
