荆王刘贾者，诸刘，不知其何属 初起时。	Kinh vương Lưu Giả là người trong tông tộc họ Lưu, hồi mới dấy lên không biết thuộc chi nào.
汉王元年，还定三秦，刘贾为将军，定塞地， 从东击项籍。	Hán vương năm đầu, [Hán vương] trở về bình định Tam Tần, Lưu Giả làm Tướng quân, bình định đất Tái, theo [Hán vương] sang đông đánh Hạng Tịch.
汉四年，汉王之败成皋，北渡河，得张耳、韩信军，军脩武，深 沟高垒，使刘贾将二万人，骑数百，渡白马津入楚地， 烧其积聚，以破其业，无以给项王军食。	Hán vương năm thứ tư, Hán vương thua trận ở Thành Cao, phía bắc vượt sông Hoàng Hà, được quân của Trương Nhĩ và Hàn Tín, đóng quân tại Tu Vũ, lũy cao hào sâu, sai Lưu Giả cầm hai vạn quân, mấy trăm quân kỵ, vượt bến Bạch Mã tiến vào đất Sở, đốt lương thảo tích trữ [của Hạng vương], nhằm phá hoại cơ nghiệp của Hạng vương, khiến không còn gì để cung ứng lương thảo cho quân Hạng vương.
已而楚兵击刘贾，贾辄 壁不肯与战，而与彭越相保。	Thế rồi quân tấn công Lưu Giả, Giả bèn giữ vững tường lũy không chịu ra đánh, rồi cùng Bành Việt hợp lực chống giữ.
汉五年，汉王追项籍至固陵， 使刘贾南渡淮围寿 春。	Hán vương năm thứ năm, Hán vương đuổi theo Hạng Tịch đến Cố Lăng, sai Lưu Giả xuống phía nam vượt sông Hoài bao vây Thọ Xuân.
还至，使人间招楚大司马周殷。	Kéo về đến nơi, phái người lén đến chiêu hàng Đại tư mã của Sở là Chu Ân.
周殷反 楚，佐刘贾举九江，迎武王黥布兵，皆会垓下，共击项籍。	Chu Ân phản Sở, giúp Lưu Giả cất quân Cửu Giang, đón quân của Vũ vương Kình Bố, cùng hội quân ở Cai Hạ rồi tấn công Hạng Tịch.
汉王因使 刘贾将九江兵，与太尉卢绾西南击临江王共尉。	Hán vương nhân đó sai Lưu Giả cầm quân Cửu Giang, cùng Thái úy Lư Oản tiến sang phía tây nam đánh Lâm Giang vương Cung Úy.
共尉 已死，以临江为南郡。	Sau khi Cung Úy chết, lập Lâm Giang thành Nam Quận.
汉六年春，会诸侯於陈，废楚王信，囚之，分其 地为二国。	Mùa xuân năm Hán vương thứ sáu, hội chư hầu ở đất Trần, phế truất Sở vương [Hàn] Tín, bỏ tù, chia đất của Sở vương thành hai nước.
当是时也，高祖子幼，昆弟少，又不贤，欲王同姓以镇天 下，乃诏曰：“将军刘贾有功，及择子弟可以为王者。”	Lúc bấy giờ, con của Cao tổ còn nhỏ, anh em ít, lại không có ai hiền năng, muốn phong vương cho người cùng họ để trấn giữ thiên hạ, bèn hạ chiếu rằng: “Tướng quân Lưu Giả có công, cần chọn các con em [họ Lưu] có thể phong vương.”
群臣皆 曰：“立刘贾为荆王，王淮东五十二城； 高祖弟交为楚王，王淮西三十六城。”	Quần thần đều nói: “Lập Lưu Giả làm Kinh vương, làm vương của năm mươi hai thành tại Hoài Đông; em Cao tổ là Giao làm Sở vương, làm vương của ba mươi sáu thành tại Hoài Tây.”
因立子肥为齐王。	Nhân đó lập con là Phì làm Tề vương.
始王昆弟刘氏也。	Bắt đầu phong vương cho các con em họ Lưu.
高祖十一年秋，淮南王黥布反，东击荆。	Mùa thu năm Cao tổ thứ mười một, Hoài Nam vương Kình Bố làm phản, tiến sang phía đông đánh nước Kinh.
荆王贾与战，不胜，走 富陵， 为布军所杀。	Kinh Vương Giả giao chiến, không thắng, chạy đến Phú Lăng, bị quân Bố giết.
高祖自击破布。	Cao tổ đích thân đi đánh, phá được Kình Bố.
十二年，立沛侯刘濞为 吴王，王故荆地。	Năm thứ mười hai, lập Bái hầu Lưu Tỵ làm Ngô vương, làm vua ở đất Kinh cũ.
燕王刘泽者，诸刘远属也。	Yên vương Lưu Trạch là một nhánh xa của họ Lưu.
高 帝三年，泽为郎中。	Cao đế năm thứ ba, Trạch làm chức Lang trung.
高帝十一年，泽以将军击陈豨，得王黄，为营陵 侯。	Cao đế năm thứ mười một, Trạch nhờ làm Tướng quân đi đánh Trần Hy, bắt được Vương Hoàng, được phong Doanh Lăng hầu.
高后时，齐人田生游乏资，以画 干营陵侯泽。	Thời Cao hậu, Điền Sinh người Tề đi du ngoạn bị thiếu tiền, bèn hoạch định mưu kế cho Doanh Lăng hầu Trạch.
泽大说之，用金二百斤为田生寿。	Trạch rất thích thú, đem hai trăm cân vàng chúc thọ Điền Sinh.
田生已得金，即归齐。	Điền Sinh được vàng, lập tức về nước Tề.
二年， 泽使人谓田生曰：“弗与矣。”	Năm thứ hai, Trạch sai người bảo Điền Sinh rằng: “Đừng qua lại nữa.”
居数月，田生子请张卿临，亲脩具。	Được mấy tháng, con của Điền Sinh mời Trương Khanh đến nhà, đích thân chuẩn bị tiệc rượu.
张卿惊。	Trương Khanh kinh ngạc.
酒酣，乃屏人说张卿曰：“臣观 诸侯王邸弟百馀，皆高祖一切功臣。 今吕氏雅故本推毂高帝就天下， 功至大，又亲 戚太后之重。太后春秋长，诸吕弱，太后欲立吕产为王，王代。太后 又重发之， 恐大臣不听。今卿最幸，大臣所敬，何不风大臣以闻太后，太 后必喜。诸吕已王，万户侯亦卿之有。 太后心欲之，而卿为内臣，不急发，恐祸及身矣。” 张卿大然之，乃 风大臣语太后。	Rượu đã ngà ngà, [Điền Sinh] bèn đuổi người hầu, nói với Trương Khanh: “Tôi xem qua hơn trăm phủ đệ của các bậc vương hầu, đều là công thần của Cao tổ. Nay họ Lã vốn ra sức phò tá Cao thống nhất thiên hạ, công lao cực kỳ to lớn, lại là thân thích của Thái hậu. Thái hậu tuổi đã cao, họ Lã lại yếu, Thái hậu muốn lập Lã Sản làm Đại vương. Thái hậu lại khó mở lời, sợ các đại thần không nghe. Nay Khanh ngài được sủng ái nhất, được đại thần tôn kính, sao không khuyên các đại thần nghe theo ý Thái hậu, Thái hậu nhất định rất mừng. Sau khi người họ Lã được phong vương, tước vạn hộ hầu cũng đến phần ngài. Thái hậu trong lòng muốn việc đó, mà Khanh ngài là nội thần, không đề xuất ngay, sợ họa vào thân.” Trương Khanh cho là rất phải, bèn khuyên các đại thần nói với Thái hậu [phong vương cho người họ Lã].
太后朝，因问大臣。	Thái hậu lâm triều, nhân đó hỏi các đại thần.
大臣请立吕产为吕王。	Các đại thần xin lập Lã Sản làm Lã vương.
田生弗受，因说之曰：“吕产王也， 诸大臣未大服。今营陵侯泽，诸刘，为大将军，独此尚觖望。 今卿言太后，列十馀县王之，彼得王，喜去，诸吕王益 固矣。”	Điền Sinh không nhận, nhân đó nói với Trương Khanh: “Lã Sản được phong vương, các đại thần chưa thực sự tâm phục. Nay Doanh Lăng hầu Trạch, là tông tộc họ Lưu, làm Đại tướng quân, chỉ có ông ta bất mãn về việc này. Nay Khanh ngài hãy nói với Thái hậu, cắt hơn chục huyện phong vương cho ông ta, ông ta được phong vương sẽ vui mừng ra đi, các vị vương họ Lã càng thêm vững.”
张卿入言，太后然之。	Trương Khanh vào nói, Thái hậu cho là phải.
乃以营陵侯刘泽为琅邪王。	Bèn phong Doanh Lăng hầu Lưu Trạch làm Lang Da vương.
琅邪王乃 与田生之国。	Lang Da vương bèn cùng Điền Sinh đến nước phong.
出关，太后果使人追止之，已 出，即还。	Ra khỏi cửa quan, quả nhiên Thái hậu sai người đuổi theo ngăn lại, [Lưu Trạch] đã ra khỏi cửa quan, họ đành quay về.
及太后崩，琅邪王泽乃曰：“帝少，诸吕用事，刘氏孤弱。”	Đến khi Thái hậu băng hà, Lang Da vương Trạch bèn nói: “Hoàng đế nhỏ tuổi, họ Lã nắm quyền, họ Lưu đơn độc yếu thế.”
乃 引兵与齐王合谋西， 欲诛诸吕。	Bèn dẫn quân cùng Tề vương hợp mưu tiến sang phía tây, định giết họ Lã.
代王亦从代至。	Đại vương cũng từ nước Đại tới.
诸将相与琅邪王共立 代王为天子。	Các tướng văn tướng Võ và Lang Da vương cùng lập Đại vương làm thiên tử.
天子乃徙泽为燕王，乃复以琅邪予齐，复故地。	Thiên tử bèn đổi phong Trạch làm Yên vương, rồi đem đất Lang Da trả lại Tề vương, khôi phục nguyên như đất cũ [của Tề].
泽王燕二年，薨，谥为敬王。	Trạch được phong vương ở nước Yên được hai năm thì chết, thụy là Kính vương.
