高祖为布衣时，何数以吏事护高祖。	Khi Cao tổ còn mặc áo vải, Hà nhiều lần dựa vào chức vị để bảo vệ Cao tổ.
高祖为亭长，常左右之。	Cao tổ làm chức Đình trưởng, [Hà] thường trợ giúp.
高祖以吏繇咸阳，吏皆送奉钱三，何 独以五。	Cao tổ làm viên lại, đi lao dịch ở Hàm Dương, các viên lại khác đều đưa ba trăm tiền tiễn chân, riêng Hà đưa năm trăm.
秦御史监郡者与从事，常辨之。	Ngự sử nhà Tần vâng lệnh đi giám sát ở quận, Hà theo giúp việc, thường biên giải công việc sáng rõ.
秦御史欲入言 徵何，何固请，得毋行。	Quan Ngự sử nhà Tần muốn về triều nói triều đình trưng dụng Hà, Hà cố từ tạ mới không phải đi.
及高祖起为沛公，何常为丞督事。	Đến khi Cao tổ khởi binh xưng là Bái công, Hà làm Huyện thừa, giám sát mọi việc.
沛公至咸阳，诸将皆争走金帛 财物之府分之，何独先入收秦丞相御史律令图书藏之。	Bái công đến Hàm Dương, các tướng đều tranh nhau chạy đến kho chứa vàng lụa của cải để chia nhau, riêng Hà vào cung trước thu lấy các sách luật lệnh, bản đồ của Thừa tướng, Ngự sử nhà Tần, rồi đem cất giữ.
沛公为汉王， 以何为丞相。	Bái công làm Hán vương, phong Hà làm Thừa tướng.
项王与诸侯屠烧咸阳而去。	Hạng vương cùng chư hầu ra tay tàn sát, thiêu đốt Hàm Dương rồi rút.
汉王所以具知天下(cid:0)戹塞， 户口多少，彊弱之处，民所疾苦者，以何具得秦图书也。	Sở dĩ Hán vương biết hết những quan ải hiểm yếu trong thiên hạ, hộ khẩu bao nhiêu, chỗ mạnh chỗ yếu, nỗi khốn khổ của dân chúng, đều nhờ Hà có được sách vở địa đồ nhà Tần.
何进言韩 信，汉王以信为大将军。	Hà tiến cử Hàn Tín, Hán vương phong cho Tín làm Đại tướng quân.
汉王引兵东定三秦，何以丞相留收巴蜀，填抚谕告，使给军食。	Hán vương dẫn quân sang phía đông bình định Tam Tần, Hà lấy thân phận Thừa tướng ở lại thu phục Ba Thục, vỗ về hiểu dụ dân chúng, khiến họ cung ứng lương thực cho quân.
汉二年，汉王与诸侯击楚，何守关中，侍太子，治栎阳。	Hán vương năm thứ hai, Hán vương cùng chư hầu đánh Sở, Hà giữ Quan Trung, hầu cận Thái tử, trị sở ở Lịch Dương.
为法令约 束，立宗庙社稷宫室县邑，辄奏上，可，许以从事；即不及奏上，辄 以便宜施行，上来以闻。	[Hà] chế định pháp lệnh ước thúc dân chúng, xây dựng tông miếu, đền thờ xã tắc, cung thất, huyện ấp, rồi tâu lên, được chấp thuận, cho thực thi công việc; nếu việc gì không kịp tâu lên thì được tùy nghi thi hành, [khi nào] Hán vương về [Hà] sẽ báo lại.
关中 事计户口转漕给军，汉王数失军遁 去，何常兴关中卒，辄补缺。	Việc ở Quan Trung gồm cả thống kê hộ khẩu, vận chuyển [lương thảo] theo đường thủy cung ứng cho quân đội, Hán vương nhiều lần thua trận mất quân phải chạy trốn, Hà thường phát động quân sĩ Quan Trung, bổ sung ngay vào chỗ quân bị thiếu.
汉三年，汉王与项羽相距京索之间，上数使使劳苦丞相。	Nhà Hán năm thứ ba, Hán vương và Hạng Vũ cự nhau ở vùng huyện Kinh và thành Sách, Hán vương nhiều lần sai sứ úy lạo Thừa tướng.
於是何从其计， 汉王大说。	Thế là Hà theo kế đó, Hán vương cả mừng.
汉五年，既杀项羽，定天下，论功行封。	Nhà Hán năm thứ năm, sau khi giết Hạng Vũ, bình định thiên hạ, luận công phong thưởng.
高祖以萧何功最盛，封为酂侯， 所食邑多。	Cao tổ cho Tiêu Hà có công lớn nhất, phong làm Tán hầu, hưởng nhiều thực ấp.
高帝曰：“夫猎，追杀兽兔者狗也，而发踪指示兽处者人也。 今诸君徒能得走兽耳，功狗也。至如萧何，发踪指示，功人也。且诸 君独以身随我，多者两三人。今萧何举宗数十人皆随我，功不可忘 也。”	Cao đế nói: “Khi đi săn, đuổi giết con thú con thỏ là chó săn, nhưng phát hiện dấu vết rồi chỉ cho biết chỗ con thú [để chó săn đuổi bắt] là con người. Nay các ông chỉ có thể đuổi bắt được con thú thôi, là công của con chó săn vậy. Còn như Tiêu Hà, phát hiện tung tích và ra hiệu, là công của con người vậy. Hơn nữa các ông chỉ một mình theo ta, nhà nào nhiều thì đôi ba người. Còn Tiêu Hà đem cả họ mấy chục người đều theo ta, công lao không thể quên được.”
上已桡 功臣，多封萧何，至位次未有以复难之，然心欲何第一。	Cao tổ đã chế áp công thần, phong thưởng nhiều cho Tiêu Hà, đến khi xếp thứ bậc không muốn lại làm khó họ, nhưng trong lòng vẫn muốn cho Hà đứng đầu.
关内侯鄂君进曰：“群臣议皆 误。夫曹参虽有野战略地之功，此特一时之事。夫上与楚相距五岁， 常失军亡众，逃身遁者数矣。然萧何常从关中遣军补其处，非上所诏 令召，而数万众会上之乏绝者数矣。夫汉与楚相守荥阳数年，军无见 粮，萧何转漕关中，给食不乏。陛下虽数亡山东，萧何常全关中以待 陛下，此万世之功也。今虽亡曹参等百数，何缺於汉？汉得之不必待 以全。柰何欲以一旦之功而加万世之功哉！萧何第一，曹参次 之。”	Quan nội hầu Ngạc quân tiến lên nói: “Quần thần bàn đều nhầm. Xét lẽ, Tào Tham tuy có công dã chiến cướp đất, đó chỉ là việc nhất thời. Hoàng thượng cùng Sở cự nhau năm năm, thường tổn thất quân binh, mấy lần bản thân phải chạy trốn. Nhưng Tiêu Hà luôn điều quân từ Quan Trung bổ sung chỗ thiếu, không có chiếu lệnh của hoàng thượng mà mấy vạn quân lại được mấy lần bổ sung đúng lúc hoàng thượng thiếu quân. Hán và Sở chống nhau mấy năm ở Huỳnh Dương, quân không có lương, Tiêu Hà chuyển lương theo đường thủy từ Quan Trung đến, khiến quân không thiếu lương ăn. Bệ hạ dẫu nhiều lần bị mất vùng phía đông Hào Sơn, còn Tiêu Hà luôn bảo toàn Quan Trung để chờ bệ hạ, đó là công lao muôn đời vậy. Nay tuy mất hàng trăm người như bọn Tào Tham, thì thiếu khuyết gì cho nhà Hán? Nhà Hán có được họ cũng không nhất định được vẹn toàn. Sao lại muốn đem công lao một sớm mà đặt lên trên công lao muôn đời được! Tiêu Hà đứng nhất, Tào Tham thứ nhì.”
於是乃令萧何，赐带剑履上殿，入朝不趋。	Thế rồi bèn xếp Tiêu Hà đứng nhất, ban cho được phép đeo kiếm, mang hài lên điện, vào chầu không cần rảo bước.
是日，悉封何 父子兄弟十馀人，皆有食邑。	Hôm ấy, phong hết thảy cha con anh em của Hà hơn chục người, đều được thực ấp.
乃益封何二千户，以帝尝繇咸阳时何送 我独赢钱二也。	Bèn phong thêm cho Hà hai nghìn hộ, vì riêng Hà khi tiễn Cao tổ đi lao dịch ở Hàm Dương đưa tặng nhiều hơn người khác hai trăm tiền.
汉十一年，陈豨反，高祖自将，至邯郸。	Hán Cao tổ năm thứ mười một, Trần Hy làm phản, Cao tổ đích thân cầm quân, tiến đến Hàm Đan.
