平阳侯曹参者，沛人也。	Bình Dương hầu Tào Tham là người huyện Bái.
秦时为沛狱掾，而萧何为主吏， 居县为豪吏矣。	Thời Tần, làm viên Ngục duyện huyện Bái, còn Tiêu Hà làm Chủ lại, trong huyện, đều là những viên lại có quyền uy.
高祖为沛公而初起也，参以中涓从。	Cao tổ làm Bái công, rồi bắt đầu nổi lên, Tham lấy thân phận là Trung quyên đi theo [Bái công].
将击胡陵、方与， 攻秦监公 军， 大破之。	[Tào Tham] đem quân đánh Hồ Lăng, Phòng Dự, tấn công quân của Ngự sử giám quận nhà Tần, cả phá được.
东下薛，击泗水守军薛郭西。	Xuống phía đông đến huyện Tiết, đánh quân của Quận thú Tứ Thủy ở phía tây thành Tiết.
复攻胡陵，取之。	Lại tấn công Hồ Lăng, chiếm được.
方与反为魏，击之。 丰反为魏， 攻之。	Phòng Dự phản lại, theo Ngụy, [Tào Tham] tấn công Phòng Dự. Ấp Phong làm phản, theo Ngụy, [Tào Tham] đánh ấp Phong.
赐爵七大夫。	Được ban tước Thất đại phu.
击秦司马枿军砀东， 破之，取砀、狐父、 祁善置。	Đánh quân Tư Mã Di nhà Tần ở phía đông đất Đường, phá được, chiếm đất Đường Hồ Phủ và đất Thiện Trí ở huyện Kỳ.
又攻下邑以 西，至虞， 击章 邯车骑。	Lại tấn công Hạ Ấp về phía tây, đến huyện Ngu, đánh quân xa kỵ của Chương Hàm.
攻爰戚 及亢父， 先登。	Tấn công viên Thích cho đến Kháng Phủ, xông lên trước.
迁为五大夫。	[Tham được] thăng làm Ngũ đại phu.
北救阿， 击章邯军，陷陈，追 至濮阳。	Phía bắc cứu viện đất A, đánh quân Chương Hàm, vây hãm đất Trần, đuổi đánh đến Bộc Dương.
攻定陶，取临济。	Tấn công Định Đào, chiếm Lâm Tế.
南救雍丘。 击李由军，破之，杀李由，虏秦候一人。	Phía nam cứu viện Ung Khâu, đánh quân của Lý Do, phá được, giết Lý Do, bắt sống một viên tước hầu của Tần.
秦将章邯 破杀项梁也，沛公与项羽引而东。	Tướng Tần là Chương Hàm đánh giết được Hạng Lương, Bái công cùng Hạng Vũ dẫn quân sang phía đông.
楚怀王以沛公为砀郡长，将砀郡 兵。	Sở Hoài vương phong Bái công làm trưởng quận Đường, chỉ huy quân ở quận Đường.
於是乃封参为执帛，号曰建 成君。	Thế rồi bèn phong Tham làm Chấp bạch, hiệu là Kiến Thành quân.
迁为戚公， 属砀郡。	Thăng lên làm Thích công, lệ thuộc vào quận Đường.
其後从攻东郡尉军，破之成武南。	Về sau, [Tham] theo đi đánh quân của Quận ủy Đông Quận, phá được quân địch ở phía nam Thành Vũ.
击王 离军成阳南， 复攻之杠里，大破之。	Đánh quân Vương Ly ở phía nam Thành Dương, lại tấn công địch ở Giang Lý, cả phá được.
追北， 西至开封，击赵贲军，破之，围赵贲开封城中。	Thừa thắng truy đuổi, sang phía tây đến Khai Phong, đánh quân của Triệu Bồn, phá được, vây Triệu Bôn ở trong thành Khai Phong.
西击将杨 熊军於曲遇， 破之，虏秦司马及御史各一人。	Sang tây đánh quân của tướng Tần là Dương Hùng ở Khúc Ngung, phá được, bắt sống một viên Tư mã và một viên Ngự sử nhà Tần.
迁为执珪。	Được thăng làm Chấp khuê.
从攻阳武， 下轘辕、缑氏， 绝河津， 还击赵贲军 尸北，破之。	Theo đi đánh Dương Vũ, hạ được hai huyện Hoàn Viên và Câu Thị, chặn bến sông Hà, kéo về đánh quân của Triệu Bôn ở phía bắc huyện Thi, phá được địch.
