梁孝王武者，孝文皇帝子也，而与孝景帝同母。	Lương Hiếu vương Vũ là con của Hiếu Văn Hoàng đế, cùng mẹ với Hiếu Cảnh đế.
母，窦太后也。	Mẹ là Đậu Thái hậu.
孝文帝凡四男：长子曰太子，是为孝景帝；次子武；次子参；次 子胜。	Hiếu Văn đế có bốn con trai: con trưởng là Thái tử, tức Hiếu Cảnh đế; con thứ hai là Vũ; con thứ ba là Tham, con thứ tư là Thắng.
孝文帝即位二年，以武为代 王， 以参为太原王， 以胜为梁王。	Hiếu Văn đế lên ngôi được hai năm, phong Vũ làm Đại vương, phong Tham làm Thái Nguyên vương, phong Thắng làm Lương vương.
二岁，徙代王为淮阳王。	Được hai năm, đổi Đại vương làm Hoài Dương Vương.
以代尽与太原王，号曰代王。	Đem đất Đại phong hết cho Thái Nguyên vương, hiệu là Đại vương.
参立十七年，孝文後 二年卒，谥为孝王。	Tham được phong vương mười bảy năm, đến năm Hiếu Văn thứ hai [niên hiệu Hậu Nguyên] thì chết, thụy là Hiếu vương.
子登嗣立，是为代共王。	Con là Đăng lên thay, đó là Đại Cung vương.
立二十九年，元光二年 卒。	Thừa kế vương vị được hai mươi chín năm, đến năm Nguyên Quang thứ hai thì chết.
子义立，是为代王。	Con là Nghĩa lên thay, đó là Đại vương.
十九年，汉广关，以常山为限，而徙代王王 清河。	Được mười chín năm, nhà Hán mở rộng quan ải, lấy Thường Sơn làm giới hạn, rồi đổi Đại vương làm vương ở Thanh Hà.
清河王徙以元鼎三年也。	Việc chuyển đổi của Thanh Hà vướng vào năm Nguyên Đỉnh thứ ba.
初，武为淮阳王十年，而梁王胜卒，谥为梁怀王。	Ban trước, Vũ làm Hoài Dương vương đến năm thứ mười, thì Lương vương Thắng chết, thụy là Lương Hoài vương.
怀王最少子， 爱幸异於他子。	Con út của Hoài vương được yêu quý hơn hẳn các con khác.
其明年，徙淮阳王武为梁王。	Năm sau, đổi Hoài Dương vương Vũ làm Lương vương.
梁王之初王梁，孝文帝 之十二年也。	Lương vương bắt đầu làm vương nước Lương, đó là năm Hiếu Văn đế thứ mười hai.
梁王自初王通历已十一年矣。	Lương vương từ lúc bắt đầu được phong vương đến lúc này là mười một năm.
梁王十四年，入朝。	Lương vương năm thứ mười bốn, vào chầu.
十七年，十八年，比年入朝，留，其明年， 乃之国。	Năm thứ mười bảy, năm thứ mười tám, mỗi năm đều vào chầu, ở lại trong cung, năm sau mới về nước phong.
二十一年，入朝。	Năm thứ hai mươi mốt, vào chầu.
