诗书虽缺， 然虞夏之文可知也。	Thi, Thư tuy tàn khuyết, nhưng vẫn có thể biết qua di văn của thời Ngu thời Hạ.
尧将逊位，让於虞舜，舜禹之间，岳牧咸荐，乃试之於位， 典职数十年，功用既兴，然後 授政。 示天下重器， 王者大统，传天下若斯之难也。	Nghiêu sắp thoái vị, nhường ngôi cho Ngu Thuấn, từ Thuấn đến Vũ, quan Tứ nhạc và Thập nhị mục đều tiến cử người, bèn cho thử thách, tạm giao chức vụ trong mấy chục năm, có công tích mới trao thực quyền, để tỏ rõ rằng thiên hạ là hệ trọng, vương giả là ngôi tôn quý, truyền thiên hạ là việc khó khăn đến thế đó.
及夏之 时，有卞随、务光者。	Đến thời Hạ lại có thêm Biện Tùy và Vụ Quang.
此何以称焉？	Điều này giải thích sao đây?
太史公曰：余登箕山， 其上盖有许由冢云。	Thái sử công bàn rằng: Ta lên Ky Sơn, đại để trên đó có mộ Hứa Do.
孔子序列古之仁圣贤人，如吴太伯、伯夷之伦详矣。	Khổng tử phân hàng chia thứ những bậc nhân - thánh - hiền thời cổ như Ngô Thái Bá, Bá Di rất ư tường tận.
余以所闻由、光 义至高， 其文辞不少概见，何哉？	Theo những điều ta được nghe thì Hứa Do, Vụ Quang là những người vô cùng nghĩa khí, nhưng ghi chép về họ thì lại quá ư ít ỏi, ấy là vì sao?
孔子曰：“伯夷、叔齐，不念旧恶，怨是用希。” “求仁得仁， 又何怨乎？”	Khổng tử nói: “Bá Di, Thúc Tề không nhớ đến thù cũ, niềm oán hận cũng ít. Cầu nhân được nhân, còn oán gì nữa?”
余悲伯夷之意，睹轶诗可异焉。	Ta buồn về cách nghĩ của Bá Di, xem các bài thơ còn lại của ông cũng lấy làm lạ thay.
其传 曰：伯夷、叔齐，孤竹君之二子也。	Lời truyền về ông như sau: Bá Di, Thúc Tề là hai trong số các con trai của vua Cô Trúc.
父欲立叔齐，及父卒，叔齐 让伯夷。	Cha muốn lập Thúc Tề lên thay, đến khi cha chết, Thúc Tề nhường cho Bá Di.
伯夷曰：“父命也。”	Bá Di nói: 'Đó là lệnh của cha vậy.
遂逃去。	' Thế rồi bỏ đi.
叔齐亦不肯立而逃之。	Thúc Tề cũng không chịu lên ngôi mà bỏ đi theo.
国人 立其中子。	Bách tính trong nước lập người con giữa lên ngôi.
於是伯夷、叔齐闻西伯昌善养老，盍往归焉。	Thế rồi Bá Di và Thúc Tề nghe nói Tây bá là Xương khéo chăm sóc người già, bèn đi đến đó.
及至，西伯卒，武王载木 主，号为文王，东伐纣。	Tới nơi, Tây bá đã chết, Vũ vương nâng thần chủ của cha, tôn thụy hiệu là Văn vương, rồi tiến về đông đánh vua Trụ.
伯夷、叔齐叩马而谏曰：“父死不葬，爰及 干戈，可谓孝乎？以臣弑君，可谓仁乎？”	Bá Di, Thúc Tề khấu đầu trước ngựa can rằng: ”Cha chết chưa chôn đã động can qua, có gọi là hiếu chăng? Bề tội giết vua, có gọi là nhân chăng?”
太公 曰：“此义人也。” 扶而去之。	Thái công nói: “Đây là những người có nghĩa vậy” bèn đỡ dậy đưa đi.
武王已平殷乱，天下宗周，而伯夷、 叔齐耻之，义不食周粟，隐於首阳山， 采薇而食之。	Vũ vương dẹp được loạn nhà Ân, thiên hạ quy thuận nhà Chu, còn Bá Di và Thúc Tề xấu hổ về việc đó, vì nghĩa không ăn thóc gạo nhà Chu, ẩn cư ở núi Thú Dương, hái rau vi mà ăn.
其辞曰：“登彼 西山兮，采其薇矣。以暴易暴兮，不知其非 矣。神农、虞、夏 忽焉没兮，我安適归矣？ 于嗟徂兮，命之衰矣！”	(Lên non Tây kia chừ, hái ngọn rau vi. Lấy bạo thay bạo chừ, chẳng biết rằng sai. Thần Nông, Ngu, Hạ thoắt đã qua chừ, ta biết về đâu? Hỡi ôi chết chừ, mệnh đã suy rồi).
由此观之，怨邪非邪？	Từ đó mà xét, phỏng oán hay chăng?
或曰：“天道无亲，常与善人。”	Có người nói: “Đạo trời không thiên vị ai, thường dành cho bậc thiện nhân.”
若伯夷、叔齐，可谓善人者非 邪？	Như Bá Di, Thúc Tề, có thể gọi là thiện nhân hay không?
天之报施善人，其何如哉？	Trời báo đáp cho bậc thiện nhân như thế ư?
是遵何德哉？	Thế là noi theo cải đức gì vậy?
此其尤大彰明较著者也。	Đó là những trường hợp rất tiêu biểu dễ thấy vậy.
或择地而蹈之， 时然後出言，行不由径， 非公正不发愤，而遇祸灾者，不可胜数也。	Hoặc có người chọn chỗ [chính đáng] mà đứng chân, lựa lúc [thích hợp] mới mở miệng, không đi theo lối tắt, không phải việc công chính thì không gắng sức làm, thế mà gặp tai họa, nhiều không sao kể xiết.
余甚惑焉，傥所谓天 道，是邪非邪？	Ta rất mực hoài nghi, cái gọi là đạo trời, thực có hay không?
子曰“道不同不相为谋”，亦各从其志也。	Khổng tử nói: “Đạo không tương đồng thì chẳng thể cùng mưu tính”, mỗi người đều có chí hướng riêng.
故曰“富贵如可 求，虽执鞭之士，吾亦为之。 如不可求，从吾 所好”。	Nên mới nói: “Giàu sang mà có thể cầu được, tuy chỉ làm kẻ cầm roi ngựa, ta cũng làm. Còn không thể cầu được, thì ta theo cái mình thích.”
“岁寒，然後知松柏之後 凋”。	“Năm lạnh, sau mới hay cây tùng cây bách điêu tàn cuối cùng.”
“君子疾没世而名不称焉。”	“Người quân tử hận rằng sau khi chết mà danh tiếng không được xưng tụng.”
“云从龙，风从虎， 圣人作而万物睹。”	“Mây theo rồng, gió theo hổ, thánh nhân chế định khuôn phép mà muôn vật hiện rõ.”
伯夷、叔齐虽 贤，得夫子而名益彰。	Bá Di và Thúc Tề tuy là người hiền, được phu tử xưng tụng nên danh tiếng càng tỏ rạng.
岩穴 之士，趣舍有时若此，类名堙灭而不称，悲夫！	Kẻ sĩ ẩn cư nơi hang núi, tuy xuất-xử hợp thời như thế, nhưng tên tuổi mai một không ai biết tới, buồn thay!
及饿且死，作歌。	Tới khi đói sắp chết có làm bài ca, lời rằng: Đăng bỉ Tây sơn hề, thái kỳ vị hĩ. Dĩ bạo dịch bạo hề, bất tri kỳ phi hĩ. Thần Nông, Ngu, Hạ hốt yên một hè, ngã an đích quy hĩ? Vu ta tồ hề, mệnh chi suy hĩ!
遂饿死於首阳山。	Thế rồi chết đói trên núi Thú Dương.
积仁絜行如此而饿死！	Tích chứa điều nhân, đức hạnh thuần khiết đến thế mà chết đói!
且七十子之徒，仲尼独荐颜渊为好学。	Và trong số 70 học trò, Trọng Ni chỉ coi Nhan Uyên là người hiếu học.
盗蹠日杀不辜， 肝 人之肉， 暴戾恣睢， 聚党数千人 横行天下，竟以寿终。	Hằng ngày Đạo Chích giết kẻ vô tội, róc thịt người, tàn bạo vô chừng, tụ tập bè đảng mấy ngàn người, hoành hành khắp chốn trong thiên hạ, rốt cuộc lại sống thọ.
颜渊虽笃学，附骥尾 而行益显。	Nhan Uyên dù ham học, được theo đuôi ngựa ký mà đức hạnh càng thêm rạng rỡ.
闾巷之人，欲砥行立名者， 非附青云之士，恶能施 于後世哉？ 天道平分，与善徒云。 贤而饿死，盗且聚群。 吉凶倚伏， 报施纠纷。	Những người ở xóm làng, muốn rèn đức lập danh, không theo kẻ sĩ hiển đạt, sao có thể vang danh hậu thế?
若至近世，操行不轨，专犯忌讳，而终身逸乐， 富厚累世不绝。	Đến như gần đây, những kẻ làm điều vô phép, phạm việc cấm kỵ mà cả đời thảnh thơi an lạc, giàu có nối đời không dứt.
举世混浊，清士乃见。	Đời thảy ô trọc, mới thấy được kẻ sĩ thanh cao.
贾 子曰： “贪夫徇财， 烈士徇名，夸者死权， 众庶冯生。”	Giả tử nói: “Người nghèo tham lam chết vì của, kẻ sĩ cương liệt chết vì danh, kẻ chuộng hư vinh chết vì quyền, chúng dân thì tranh đấu vì cuộc sống.”
“同明 相照，同类相求。”	“Cùng sáng thì phản chiếu nhau, cùng loại thì tìm đến nhau.”
