司马穰苴者， 田完之苗裔 也。	Tư Mã Nhương Tư là hậu duệ của Điền Hoàn.
齐景公时，晋伐阿、甄， 而燕侵河上， 齐师败绩。	Thời Tề Cảnh Công, nước Tấn đánh đất A và đất Chân, còn nước Yên xâm phạm vùng phía nam Hoàng Hà, quân Tề thất bại.
晏婴乃荐田穰苴 曰：“穰苴虽田氏庶孽，然其人文能附众，武能威敌，原君试 之。”	Yến Anh liên tiến cử Điền Nhương Tư, nói: “Nhương Tư tuy là con tỳ thiếp của họ Điền, nhưng người này vẫn có thể khiến dân chúng quy phục, võ có thể ra oai với địch quân, xin bệ hạ thử dùng.”
景公召穰苴，与语兵事，大说之，以为将军， 将兵扞燕晋之师。	Cảnh công triệu Nhương Tư đến, cùng bàn việc binh, vô cùng thích thú, bèn phong làm tướng, cầm quân chống lại quân đội nước Yên, nước Tấn.
穰苴曰：“臣素卑贱，君擢之 闾伍之中，加之大夫之上，士卒未附，百姓不信，人微权轻，原得君 之宠臣，国之所尊，以监军，乃可。”	Nhương Tư nói: “Thần vốn thấp hèn, được nhà vua cất nhắc từ nơi thôn xóm, giao trọng trách đứng trên cả quan đại phu, quân lính chưa theo, trăm họ chẳng tin, người không có tiếng tăm thì quyền uy cũng kém, xin nhà vua phái một bề tôi mà mình sủng ái, chức vị tôn quý trong nước, làm giám quân mới được.”
於是景公许之，使庄贾往。	Cảnh công đồng ý, sai Trang Giả đến.
穰 苴既辞，与庄贾约曰：“旦日日中会於军门。”	Nhương Tư từ biệt nhà vua, hẹn với Trang Giả: “Sáng mai, lúc mặt trời đứng bóng gặp nhau ở cửa quân doanh.”
贾素骄贵，以为将己之 军而己为监，不甚急；亲戚左右送之，留 饮。	Giả vốn là kẻ quyền quý kiêu căng, cho mình đứng đầu trong quân mà còn làm giám quân thì không cần vội, đám thủ hạ thân thích đưa tiễn rồi giữ lại uống rượu.
日中而贾不至。 穰苴则仆表决漏， 入，行军勒兵，申明约 束。	Giữa trưa vẫn chưa thấy Giả đến, Nhương Tư cho hạ cột biểu để xác định thời gian, rồi vào quân doanh, điều khiển quân binh, nêu rõ kỷ luật.
约束既定，夕时，庄贾乃至。	Quán triệt xong xuôi, đến chiều tối, Trang Giả mới tới.
穰苴曰：“何後期为？”	Nhương Tự hỏi: “Sao trễ hẹn vậy?”
贾谢 曰：“不佞大夫亲戚送之，故留。”	Giả tạ lỗi rằng: “Các đại phu, thân thích đưa tiễn, cho nên tôi đến muộn.”
穰苴曰：“将受命之日则忘其 家，临军约束则忘其亲，援枹 鼓之急则忘其身。今敌国深侵，邦内骚 动，士卒暴露於境，君寝不安席，食不甘味，百姓之命皆悬於君，何 谓相送乎！”	Nhương Tư nói: “Tướng vào ngày nhận lệnh thì quên gia đình, vào trong quân theo quân kỷ thì quên người thân, trống giục nguy cấp thì quên thân mình. Nay, địch đã lấn sâu, trong nước rúng động, quân sĩ dãi nắng dầm sương nơi biên cảnh, vua ăn không ngon ngủ không yên, tính mạng trăm họ gửi cả ở ông, sao còn nói việc đưa tiễn?”
召军正问曰：“军法期而後至者云何？”	Bèn triệu người phụ trách quân pháp đến hỏi: “Quân pháp quy định việc trễ hẹn thế nào?”
对曰：“当 斩。”	Đáp: “Phải chém” .
庄贾惧，使人驰报景公，请救。	Trang Giả sợ hãi, sai người ruổi ngựa cầu cứu Cảnh công.
既往，未及反，於是遂斩庄贾 以徇三军。 三军之士皆振栗。	Người đi cầu cứu chưa về, Trang Giả đã bị chém trước ba quân, quân sĩ thảy đều kinh khiếp.
久之，景公遣使者持节赦贾，驰入军 中。	Hồi lâu sau, Cảnh công sai sứ giả cầm cờ tiết đến xá tội cho Giả, phóng ngựa vào trong quân doanh.
穰苴曰：“将在军，君令有所不受。”	Nhương Tư nói: “Tướng ở trong quân, lệnh vua có lúc không theo.”
问军正曰：“驰三军法何？”	Lại hỏi người phụ trách quân pháp: “Phóng ngựa vào trong quân doanh thì xử trí thế nào?”
正曰：“当斩。”	Đáp: “Phải chém”.
使者 大惧。	Sứ giả cả sợ.
穰苴曰：“君之使不可杀之。”	Nhương Tư liền bảo: “Sứ giả của vua thì không thể giết.”
乃斩其仆，车之左驸，马之左 骖， 以徇三军。	Bèn chém kẻ theo hầu, chém cả càng xe và con ngựa kéo xe bên trái để làm gương cho ba quân.
遣使者还报，然後行。	Sau đó sai sứ giả về báo với nhà vua rồi tiến quân.
