孙子武者，齐人也。 以兵法见於吴王阖庐。	Tôn Vũ Tôn tử tên Vũ, người nước Tề, nhờ giỏi binh pháp nên được tiếp kiến Ngô vương Hạp Lư.
阖庐曰：“子之十三 篇，吾尽观之 矣，可以小试勒兵乎？”	Hạp Lư nói: “Mười ba thiên binh pháp của ông, ta đã xem cả rồi, có thể thử bày đội ngũ được chăng?”
对曰：“可。”	Đáp rằng: “Được.”
阖庐曰：“可试以妇人 乎？”	Hạp Lư nói: “Dùng phụ nữ để thử được chăng?”
曰：“可。”	Đáp: “Được.”
於是许之，出宫中美女，得百八十人。	Thế là Hạp Lư cho 180 mỹ nữ trong cung ra thử.
孙子分为 二队，以王之宠姬二人各为队长，皆令 持戟。	Tôn tử chia làm hai đội, dùng hai người được vua sủng ái làm đội trưởng, đều ra lệnh cầm kích.
令之曰：“汝知而心与左右手背乎？”	Lệnh hỏi: “Các ngươi có biết tay phải, tay trái, phía trước, phía sau ở đâu không?”
妇人曰：“知之。”	Các mỹ nữ đáp: “Biết.”
孙 子曰：“前，则视心；左，视左手；右，视右手；後，即视背。”	Tôn tử nói: “Hô 'trước' thì nhìn về trước mặt, hô 'trái' thì nhìn phía tay trái, hô 'phải' thì nhìn phía tay phải, hô 'sau' thì nhìn phía sau lưng.”
妇 人曰：“诺。”	Các mỹ nữ đáp: “Dạ.”
於是鼓之右， 妇人大笑。	Các mỹ nữ cười ngặt nghẽo.
孙子曰：“约束不明，申令不熟，将之罪也。”	Tôn tử nói: “Quy định không rõ, truyền lệnh không kỹ, là lỗi của kẻ làm tướng”.
复三令五 申而鼓之左，妇人复大笑。	Lại giải thích các quy định thêm mấy lần, rồi thúc trống sai quay sang trái. Các mỹ nữ lại cười ngặt nghẽo.
孙子曰：“约束不明，申令不熟，将之罪 也；既已明而不如法者，吏士之罪也。”	Tôn tử nói: “Quy định không rõ, truyền lệnh không kỹ, đó là lỗi của kẻ làm tướng; nếu đã rõ mà không tuân quân pháp, đó là lỗi của binh sĩ.”
乃欲斩左古队长。	Bèn chực chém hai đội trưởng.
吴王从台 上观，见且斩爱姬，大骇。 趣使使 下令曰：“寡人已知将军能用兵矣。寡人非此二姬，食不甘 味，原勿斩也。”	Ngô vương từ trên đài nhìn xuống, thấy định chém phi tần sủng ái của mình thì cả sợ, sai sứ hạ lệnh: “Quả nhân đã biết tài dụng binh của tướng quân. Quả nhân không có hai người họ thì ăn không ngon, xin đừng chém.”
孙子曰：“臣既已受命为将，将在军，君命有所不 受。”	Tôn tử nói: “Thần đã vâng mệnh làm tướng, tướng ở trong ở quân, lệnh vua có khi không theo.”
遂斩队长二人以徇。 用其次为队长，於是复鼓之。	Bèn chém hai đội trưởng để thị chúng, dùng người tiếp sau làm đội trưởng, rồi lại thúc trống chỉ huy.
妇人左右前 後跪起皆中规矩绳墨，无敢出声。	Các mỹ nữ quay trái, phải, trước, sau, quỳ, đứng đều đúng quy định, không dám sai sót.
於是孙子使使报王曰：“兵既整 齐，王可试下观之，唯王所欲用之，虽赴水火犹可也。”	Xong xuôi, Tôn tử sai sứ báo với vua rằng: “Binh lính đã chỉnh tề, bệ hạ hãy thử xem, nếu bệ hạ muốn dùng họ, dẫu sai vào nước sôi lửa bỏng cũng có thể được.”
吴王 曰：“将军罢休就舍，寡人不原下观。”	Ngô vương nói: “Tướng quân bãi binh về lữ quán nghỉ ngơi, quả nhân không muốn xem tiếp nữa.”
孙子曰：“王徒好其言，不 能用其实。”	Tôn tử nói: “Bệ hạ chỉ thích nói trên sách vở chứ không muốn thi hành trong thực tế.”
於是阖庐知孙子能用兵，卒以为将。	Hạp Lư biết Tôn tử giỏi dùng binh, sau phong làm tướng.
西破彊楚，入郢， 北威齐晋，显名诸侯，孙子与有力焉。	Tây phá nước Sở hùng mạnh, vào tận Dĩnh đô; bắc ra oai với Tề, Tấn, nổi danh chư hầu, đều nhờ công Tôn tử vậy.
孙武既死， 後百馀岁有孙膑。	Tôn Tẫn Tôn Vũ chết, hơn trăm năm sau xuất hiện Tôn Tẫn.
膑生 阿鄄之间，膑亦孙武之後世子孙也。	Tẫn sinh tại vùng thành A và thành Quyên, cũng là hậu duệ của Tôn Vũ.
孙膑尝与庞涓 俱学兵法。	Tôn Tẫn và Bàng Quyên cùng học binh pháp.
庞涓既事魏，得为惠王将军，而自 以为能不及孙膑，乃阴使召孙膑。	Bàng Quyên phụng sự nước Ngụy trước, được Huệ vương phong làm tướng quân, nhưng tự cho mình chẳng bằng Tôn Vũ, bèn ngầm sai sứ triệu Tôn Tẫn đến.
膑至，庞涓恐其贤於己，疾之，则 以法刑断其两足而黥之，欲隐勿见。	Tẫn tới, Bàng Quyên sợ Tẫn giỏi hơn mình, sinh lòng ganh ghét, rồi khép Tẫn chịu tội, chặt lìa hai chân, thích chữ lên mặt, muốn phải lánh mặt không cho ai thấy.
齐使者如梁，孙膑以刑徒阴见，说齐使。	Sứ Tề đến Đại Lương, Tôn Tẫn lấy thân phận tội nhân ngầm gặp, thuyết phục sứ Tề.
齐将田忌善而客待之。	Tướng quốc nước Tề là Điền Kỵ quý Tẫn, tiếp đãi như tân khách.
忌数与齐诸公子驰逐重射。	Nhiều lần Kỵ cùng các công tử nước Tề đua ngựa cá cược.
孙子见其马足不甚相远，马有上、中、下、辈。	Tôn tử thấy ngựa chạy không thua nhau là mấy. Ngựa chia ba hạng, thượng, trung và hạ.
於是孙子谓田忌 曰：“君弟重射，臣能令君胜。”	Tôn tử bèn nói với Điền Kỵ: “Ngài cứ đặt cược lớn, tôi sẽ giúp ngài thắng.”
田忌 信然之，与王及诸公子逐射千金。	Điền Kỵ tin theo, đặt cược cùng vua và các công tử ngàn lạng vàng.
及临 质，孙子 曰：“今以君之下驷与彼上驷，取君上驷与彼中驷，取君中驷与彼下 驷。”	Tới khi sắp đua, Tôn tử nói: “Hãy lấy ngựa hạng hạ của ngài đấu với hạng thượng, lấy hạng thượng đấu với hạng trung, lấy hạng trung đấu với hạng hạ.”
