穰侯魏厓者，秦昭王母宣太后弟也。	Nhương hầu Ngụy Nhiễm là em trai Tuyên thái hậu, mẹ Tần Chiêu vương.
其先楚人，姓羋氏。	Tổ tiên người Sở, họ Mê.
秦武王卒，无子，立其弟为昭王。	Tần Vũ vương chết, không con, lập em lên thay, đó là Chiêu vương.
昭王母故号为羋八子，及昭王 即位，羋八子号为宣太后。	Mẹ Chiêu vương vốn gọi là Mê Bát Tử, khi Chiêu vương lên ngôi, Mê Bát Tử xưng là Tuyên thái hậu.
宣太后非武王母。	Tuyên thái hậu không phải mẹ Vũ vương.
武王母号曰惠文后，先 武王死。	Mẹ Vũ vương là Huệ Văn hậu, chết trước Vũ vương.
宣太后二弟：其异父长弟曰穰侯，姓魏氏，名厓；同父弟曰羋 戎，为华阳君。	Tuyên thái hậu có hai em trai: em lớn khác cha là Nhương hầu, họ Ngụy, tên Nhiễm; em cùng cha là Mê Nhung, làm Hoa Dương quân.
而昭王同母弟曰高陵君、泾阳君。	Còn em cùng mẹ với Chiêu vương là Cao Lăng quân và Kinh Dương quân.
而魏厓最 贤，自惠王、武王时任职用事。	Ngụy Nhiễm hiền năng nhất, từ thời Huệ vương và Vũ vương đã được trao chức vị, xử lý chính sự.
武王卒，诸弟争立，唯魏厓力为能立 昭王。	Vũ vương chết, các em tranh ngôi, duy Ngụy Nhiễm ra sức ủng hộ, Chiêu vương mới được lập.
昭王即位，以厓为将军，卫咸阳。	Chiêu vương lên ngôi, phong Nhiễm làm tướng quân, bảo vệ Hàm Dương.
诛季君之乱， 而逐武王后出之魏，昭王诸兄弟不善者皆灭 之，威振秦国。	Nhiễm dẹp loạn Quý quân, đuổi Vũ vương hậu bỏ nước sang Ngụy, các anh em của Chiêu vương ai bất lương đều giết, uy phong rúng động nước Tần.
昭王少，宣太后自治，任魏厓为政。	Chiêu vương còn nhỏ, Tuyên thái hậu đích thân trị quốc, dùng Ngụy Nhiễm làm quan chấp chính.
昭王七年，樗里子死，而使泾阳君质於齐。	Chiêu vương bảy tuổi, Sư Lý tử chết, phái Kinh Dương quân sang Tề làm con tin.
赵人楼缓来相秦，赵 不利，乃使仇液 之秦，请以魏厓为秦相。	Lâu Hoãn người Triệu đến làm Thừa tướng nước Tần, Triệu gặp bất lợi, bèn sai Cừu Dịch đi sứ sang Tần, xin cho Ngụy Nhiễm làm Thừa tưởng nước Tần.
仇液将行，其客宋公 谓液曰：“秦不听公，楼缓必怨公。公不若谓楼缓曰‘请 为公毋急秦’。秦王见赵请相魏厓之不急，且不听公。公言而事不 成，以德楼子；事成，魏厓故德公矣。”	Cừu Dịch sắp đi, môn khách Tổng Công nói với Dịch: “Tần không nghe ngài, Lâu Hoãn ắt oán ngài. Chẳng bằng ngài bảo Lâu Hoãn rằng: 'Xin vì ông mà chưa vội kiến nghị Tần.' Tần vương thấy Triệu chưa vội đề nghị Ngụy Nhiễm làm Thừa tướng, sẽ không nghe ngài. Ngài nói thì việc không thành, tạo ân đức với Lâu Hoãn; việc thành, Ngụy Nhiễm vì thế sẽ mang ơn ngài.”
於是仇液从之。	Vậy là Cừu Dịch nghe theo.
而秦果免楼 缓而魏厓相秦。	Tần quả nhiên bãi chức Lâu Hoãn, phong Ngụy Nhiễm làm Thừa tướng nước Tần.
欲诛吕礼，礼出奔齐。	[Tần vương] muốn giết Lã Lễ, Lễ chạy sang Tề.
昭王十四年，魏厓举白起，使代向寿将而 攻韩、魏，败之伊阙，斩首二十四万，虏魏将公孙喜。	Chiêu vương năm thứ mười bốn, Ngụy Nhiễm tiến cử Bạch Khởi, sai thay tướng Hưởng Thọ rồi đánh Hàn và Ngụy, đánh bại hai nước tại Y Khuyết, chém được hai mươi bốn vạn thủ cấp, bắt sống tướng Ngụy là Công Tôn Hỷ.
明年，又取楚 之宛、叶。	Năm sau, lại lấy đất Uyển và Diệp của Sở.
魏厓谢病免相，以客卿寿烛为相。	Ngụy Nhiễm thác bệnh từ chức Thừa tướng, Tần lấy khách khanh Thọ Chúc lên thay.
其明年，烛免，复相 厓，乃封魏厓於穰，复益封陶， 号曰穰侯。	Năm sau nữa, Chúc bị bãi chức, lại lấy Nhiễm làm Thừa tướng, phong Ngụy Nhiễm ra đất Nhương, lại phong thêm cho đất Đào, gọi là Nhương hầu.
穰侯封四岁，为秦将攻魏。	Nhương hầu được phong bốn năm, cầm quân Tần tấn công Ngụy.
昭王十九年，秦称西帝，齐称东帝。	Chiêu vương năm thứ mười chín, Tần xưng Tây đế, Tề xưng Đông đế.
月馀，吕礼来， 而齐、秦各复归帝为王。	Hơn tháng sau, Lã Lễ đến, Tề và Tần đều bỏ đế hiệu rồi xưng vương như cũ.
魏厓复相秦，六岁而免。	Ngụy Nhiễm lại làm Thừa tướng nước Tần, sau năm sau miễn chức.
免二岁，复相秦。	Miễn chức hai năm, lại làm Thừa tướng.
四岁，而使白起拔楚之郢，秦置南郡。	Bốn năm sau, Tần sai Bạch Khởi đánh đất Dĩnh của Sở, Tần đặt làm Nam Quận.
乃封白起为武安君。	Bèn phong Bạch Khởi làm Vũ An quân.
於是穰侯之富，富於王室。	Bấy giờ Nhương hầu giàu hơn vương thất.
昭王三十二年，穰侯为相国，将兵攻魏，走芒卯， 入北宅， 遂围大梁。	Chiêu vương năm thứ ba mươi hai, Nhương hầu làm Tướng quốc, cầm quân đánh Ngụy, tiến đến Mang Mão, rồi vào Bắc Trạch, bèn bao vây Đại Lương.
