平原君赵胜者，赵之诸公子也。	Bình Nguyên quân Triệu Thắng Bình Nguyên quân Triệu Thắng là một trong các công tử của nước Triệu.
诸子中胜最贤，喜宾客，宾客盖至者数 千人。	Trong các công tử, Thắng hiền năng nhất, mến chuộng tân khách, tân khách đến với Bình Nguyên quân tới mấy nghìn người.
平原君相赵惠文王及孝成王，三去相，三复位，封於东武城。	Bình Nguyên quân làm Tể tướng từ đời Huệ Văn vương đến Hiếu Thành vương nước Triệu, ba lần thôi chức, ba lần phục chức, được phong ở Đông Vũ Thành.
平原君家楼临民家。	Lầu nhà Bình Nguyên quân nhìn xuống nhà dân.
民家有躄者，槃散 行汲。	Nhà nọ có người khoèo chân, thậm thọt đi múc nước.
平原君美 人居楼上，临见，大笑之。	Mỹ nhân của Bình Nguyên quân ở trên lầu, trông thấy, cười lớn.
明日，躄者至平原君门，请曰：“臣闻君 之喜士，士不远千里而至者，以君能贵士而贱妾也。臣不幸有罢癃之 病， 而君之後宫临而笑臣，臣原得笑臣者 头。”	Hôm sau, người đó đến cổng nhà Bình Nguyên quân, đề nghị rằng: “Tôi nghe ngài chuộng kẻ sĩ, kẻ sĩ không quản xa xôi ngàn dặm tìm đến, để tỏ ngài trọng kẻ sĩ, coi rẻ hầu thiếp vậy. Tôi chẳng may bị tật, hậu cung của ngài trông thấy lại cười nhạo, xin ngài cho cái đầu của kẻ đã cười tôi.”
平原君笑应曰：“诺。”	Bình Nguyên quân cười đáp: “Được.”
躄者去，平原君笑曰：“观此竖子， 乃欲以一笑之故杀吾美人，不亦甚乎！”	Người đó về rồi, Bình Nguyên quân cười nói: “Trông thằng nhãi kìa, muốn vì tiếng cười mà giết mĩ nhân của ta, chẳng quá đáng ư?”
终不杀。	Cuối cùng không giết.
居岁馀，宾客门下 舍人稍稍引去者过半。	Được hơn năm, tân khách, môn hạ, cá nhân dần đi quá nửa.
平原君怪之，曰：“胜所以待诸君者未尝敢失 礼，而去者何多也？”	Bình Nguyên quân lấy làm lạ, hỏi: “Thắng này đối đãi các vị chưa từng dám thất lễ, vậy sao nhiều người bỏ đi?”
门下一人前对曰：“以君之不杀笑躄者，以君 为爱色而贱士，士即去耳。”	Một môn hạ đến trước mặt, thưa: “Vì ngài không giết người đã cười nhạo tên bị tật kia, họ cho ngài yêu sắc, coi rẻ kẻ sĩ, nên đã bỏ đi.”
於是平原君乃斩笑躄者美人头，自造门 进躄者，因谢焉。	Thế rồi Bình Nguyên quân chém đầu mĩ nhân đã cười nhạo người khoèo, đích thân đến nhà người đó tạ lỗi.
其後门下乃复稍稍来。	Sau, môn hạ dần dần trở lại.
是时齐有孟尝，魏有信陵， 楚有春申，故争相倾以待士。	Bấy giờ Tề có Mạnh Thường quân, Ngụy có Tín Lăng quân, Sở có Xuân Thân quân, bởi thế đua nhau dốc sức tiếp đãi kẻ sĩ.
