范雎者，魏人也，字叔。	Phạm Thư Phạm Thư người nước Ngụy, tự là Thúc.
游说诸侯，欲事魏王，家贫无以自资， 乃先事魏中大夫 须贾。	[Phạm Thư] du thuyết chư hầu, muốn thờ Ngụy vương, nhà nghèo không có gì làm vốn, bèn trước tiên phụng sự quan Trung đại phu nước Ngụy là Tu Giả.
须贾为魏昭王使於齐，范雎 从。	Ngụy Chiêu vương phái Tu Giả đi sứ Tề, Phạm Thư đi theo.
留数月，未得报。	Ở lại Tề mấy tháng, chẳng được kết quả gì.
齐襄王闻雎辩口，乃使人赐雎金 十斤及牛酒，雎辞谢不敢受。	Tề Tương vương nghe nói Thư giỏi biện luận, bèn sai người ban cho Thư mười cân vàng cùng thịt bò rượu ngon, Thư từ tạ không dám nhận.
须贾知之，大怒，以为雎持魏国阴事告 齐，故得此馈，令雎受其牛酒，还其金。	Tu Giả biết việc, cả giận, cho là Thư đem việc của Ngụy ngầm nói cho Tề, mới được ban tặng như thế, sai Thư chỉ nhận thịt bò và rượu, trả lại vàng.
既归，心怒雎，以告魏相。	Về nước, Giả thầm giận Thư, đem việc ấy nói với Tể tướng nước Ngụy.
魏相，魏之诸公子，曰魏齐。	Tể tướng nước Ngụy là công tử của Ngụy, tên Ngụy Tề.
魏齐大怒，使舍人笞击雎，折胁摺齿。	Ngụy Tề cả giận, sai cá nhân đem roi đánh Thư gãy xương sườn, rụng cả răng.
雎详死，即卷以箦， 置厕中。	Thư vờ chết, bị cuốn vào chiếu, vứt ra nhà xí.
宾客饮者醉，更溺雎， 故僇 辱以惩後，令无妄言者。	Có tân khách uống rượu say, tiểu tiện lên Thư, cố ý sỉ nhục để răn kẻ khác, sau này chớ nói bừa nữa.
雎从箦中谓守者曰：“公能出我，我必厚谢 公。”	Thư ở trong chiếu nói với người trông nhà xí: “Ông có thể cứu tôi ra, tôi ắt hậu tạ ông.”
守者乃请出弃箦中死人。 魏齐醉，曰：“可矣。”	Người trông nhà xí xin đem vứt người chết trong chiếu ra ngoài, Ngụy Tề đang say, nói: “Được.”
范雎得出。	Phạm Thư thoát được.
後魏齐悔，复召求之。	Sau, Ngụy Tề hối lại, sai người tìm bắt.
魏人郑安平闻之，乃遂操范雎亡，伏匿，更名 姓曰张禄 当此时，秦昭王使谒者王稽於魏。	Triệu An Bình người Ngụy biết chuyện, bèn đưa Phạm Thư đi trốn. Thư mai danh ẩn tích, đổi họ tên thành Trường Lộc. Bấy giờ Tần Chiêu vương sai yết giả Vương Kê sang Ngụy.
郑安平诈为卒，侍王稽。	Trịnh An Bình giả làm lính hầu.
王稽问：“魏有贤人可与俱西游者乎？”	Vương Kê hỏi: “Nước Ngụy có ai hiền tài có thể cùng ta du ngoạn phía tây không?”
郑安平曰：“臣 里中有张禄先生，欲见君，言天下事。其人有仇，不敢昼见。”	Trịnh An Bình đáp: “Trong làng tôi có Trường Lộc tiên sinh, muốn gặp ngài, nói việc thiên hạ. Người này có kẻ thù, không dám gặp ban ngày.”
王稽 曰：“夜与俱来。”	Vương Kê nói: “Ban đêm ngươi cùng người đó đến đây.”
郑安平夜与张禄见王稽。	Đêm, Trịnh An Bình và Trường Lộc đến gặp Vương Kê.
语未究，王稽知范雎 贤，谓曰：“先生待我於三亭之南。”	Nói chưa dứt, Vương Kê biết Phạm Thư hiền năng, bảo rằng: “Tiên sinh hãy đợi ta ở phía nam Tam Đình.”
与私约而去。	Hẹn riêng với nhau rồi đi.
王稽辞魏去，过载范雎入秦。	Vương Kê từ biệt Ngụy trở về, qua Tam Đình chở Phạm Thư sang Tần.
至湖， 望见车骑从西 来。 范雎曰：“彼来者为谁？”	Đến đất Hồ, trông thấy xe ngựa từ phía tây đến, Phạm Thư hỏi: “Ai đang đến thế?”
王稽曰：“秦相穰侯东行县邑。”	Vương Kê đáp: “Nhương hầu, Tể tướng nước Tần, sang phía đông tuần tra huyện ấp.”
范 雎曰：“吾闻穰侯专秦权，恶内诸侯客， 此恐辱我，我宁且匿车中。”	Phạm Thư nói: “Tôi nghe nói Nhương hầu chuyên quyền ở Tần, ghét tân khách đến từ chư hầu, sợ ông ta làm nhục tôi, thà tôi tạm ẩn trong xe.”
有顷，穰侯果至，劳王稽，因 立车而语曰：“关东有何变？”	Lát sau, quả nhiên Nhương hầu tới, úy lạo Vương Kê, rồi đứng trên xe hỏi: “Quan đông có gì thay đổi không?”
曰：“无有。”	Vương Kê đáp: “Không có.”
又谓王稽曰：“谒君 得无与诸侯客子俱来乎？无益，徒乱人国耳。”	Lại hỏi Vương Kê: “Yết giả có dẫn tân khách nào của chư hầu đến không? Vô ích thôi, đều bọn làm loạn nước cả.”
王稽曰：“不 敢。”	Vương Kê đáp: “Không dám.”
范雎曰：“吾闻穰侯智士也，其见事迟，乡者疑车中 有人，忘索之。”	Phạm Thư nói: “Tôi nghe Nhương hầu là kẻ trí, nhưng thấy việc hơi chậm, nãy nghi trong xe có người nhưng quên kiểm tra.”
於是范雎下车走， 曰：“此必悔之。”	Thế rồi Phạm Thư xuống xe đi bộ, nói: “Ông ta ắt hối hận vì việc này.”
行十馀里，果使骑还索车中，无客，乃已。	Đi được hơn mười dặm, quả nhiên Nhương hầu sai người quay lại lục soát xe, không thấy khách nào, bèn thôi.
王稽 遂与范雎入咸阳。	Vương Kê liền cùng Phạm Thư vào Hàm Dương.
已报使，因言曰：“魏有张禄先生，天下辩士也。曰‘秦王之国 危於累卵， 得臣则安。然不可以书传也’。臣故载来。”	Báo cáo xong việc đi sứ, Vương Kê nhân nói: “Ngụy có Trương Lộc tiên sinh, biện sĩ trong thiên hạ. Ông ta nói: 'Nước của Tần vương nguy như chồng trứng, được người như tôi mới yên. Nhưng không thể truyền đạt qua thư từ.' Nên thần chở ông ta về.”
秦王弗信，使舍 食草具。 待命 岁馀。	Tần vương không tin, sai ra ăn ở tại khách xá, đợi lệnh hơn năm trời.
当是时，昭王已立三十六年。	Bấy giờ, Chiêu vương đã lên ngôi được 36 năm.
南拔楚之鄢郢，楚怀王幽死於秦。	Phía nam hạ đất Yên, Dĩnh của Sở, Sở Hoài vương bị giữ rồi chết ở Tần.
秦东破齐。	Tần sang đông đánh phá Tề.
湣王尝称帝，後去之。	Tề Mẫn vương từng xưng đế, sau lại thôi.
厌天下辩士，无所信。	[Tần Chiêu vương] ghét biện sĩ trong thiên hạ, không tin.
穰侯相，三人者更将，有封邑，以太后故，私家富重於王室。	Nhương hầu làm Tể tướng, ba người thay nhau cầm quân, có đất phong, nhờ Thái hậu nên gia tư giàu hơn vương thất.
及 穰侯为秦将，且欲越韩、魏而伐齐纲寿，欲以广其陶封。 范雎乃上书 曰： 臣闻明主立政，有功者不得不 赏，有能者不得不官，劳大者其禄厚，功多者其爵尊，能治众者其官 大。 故无能者不敢当职焉，有能者亦不得蔽隐。 使以臣之言为可，原 行而益利其道；以臣之言为不可，久留臣无为也。	Tới khi Nhương hầu cầm quân Tần, định vượt Hàn và Ngụy đánh đất Cương, đất Thọ của Tề, muốn mở rộng đất phong là ấp Đào.
