屈原者，名平，楚之同姓也。 为楚怀王左徒。	Khuất Nguyên Khuất Nguyên tên là Bình, cùng họ vua Sở, làm chức Tả đồ thời Sở Hoài vương.
博闻彊志，明於治乱，嫺 於辞令。	Ông biết rộng nhớ nhiều, hiểu rõ lẽ trị loạn, giỏi về từ lệnh.
入则与王图议国事，以出号令；出则接遇宾客，应对 诸侯。	Khi vào triều thì cùng Sở vương bàn việc nước, ban hiệu lệnh; khi ra ngoài thì tiếp đãi tân khách, ứng đối chư hầu.
王甚任之。	Sở vương rất tín nhiệm.
上官大夫与之同列，争宠而心害其能。	Thượng Quan Đại Phu ngang hàng, tranh sủng nên trong lòng ghét tài ông.
怀王使屈原造为宪令，屈 平属草(cid:0) 未定。 上官大夫见而欲夺之，屈平不 与，因谗之曰：“王使屈平为令，众莫不知，每一令出，平伐其功， 以为‘非我莫能为’也。”	Hoài vương sai Khuất Nguyên chế định pháp lệnh, Khuất Bình mới làm bản thảo, chưa xong, Thượng Quan Đại Phu thấy vậy muốn cướp lấy, Khuất Bình không cho, nhân đó gièm rằng: “Đại vương sai Khuất Bình chế định pháp lệnh, mọi người không ai không biết, mỗi lệnh ban ra, Bình tự khoe công minh, cho là ngoài ta không ai làm nổi!”
王怒而疏屈平。	Sở vương giận rồi xa lánh Khuất Bình.
屈平疾王听之不聪也，谗谄之蔽明也，邪曲之害公也，方正之不 容也，故忧愁幽思而作离骚。	Khuất Bình giận vua nghe không sáng suốt, để lời sàm nịnh che lấp trí sáng, khiến kẻ gian tà hại đến việc công, không dung nạp người chính trực, cho nên ưu sầu u uẩn rồi làm sách Ly tao.
夫天者，人之始也；父 母者，人之本也。	Trời là khởi đầu của người; cha mẹ là gốc của người.
人穷则反本，故劳苦倦极，未尝不呼天也；疾痛惨 怛，未尝不呼父母也。	Người cùng quẫn thì trở về gốc, vì thế khi khốn khổ, mệt mỏi cùng cực, chẳng ai không gọi trời; khi gặp bi thương thống khổ, chẳng ai không gọi cha mẹ.
屈平正道直行，竭忠尽智以事其君，谗人间之，可谓穷 矣。	Khuất Bình đi thẳng theo chính đạo, kiệt trung tận trí phụng sự vua mình, bị kẻ sàm nịnh ly gián, có thể gọi là cùng quẫn vậy.
信而见疑，忠而被谤，能无怨乎？	Tín mà bị ngờ, trung mà bị báng, há không oán chăng?
国风好色而不淫，小雅怨诽而不乱。	Thơ “Quốc phong” hiếu sắc mà không dâm, thơ “Tiểu nhã” ai oán mà không loạn.
上称帝喾，下道齐桓，中述汤武，以刺世事。	Trên xưng tụng Đế Cốc, dưới nói Tề Hoàn Công, giữa thuật việc Thành Thang, Vũ vương, để phúng thích sự đời.
明道德之广 崇，治乱之条贯，靡不毕见。	Nêu rõ sự lớn lao của đạo đức, cái quán xuyến trong đạo lý trị loạn, không gì không thấu triệt.
其文约，其辞微，其志絜，其行廉，其 称文小而其指极大，举类迩而见义远。	Văn rất gọn, lời lại sâu, chí thuần khiết, đức hạnh liêm, văn tả việc nhỏ mà hàm nghĩa lớn lao, dẫn việc gần gũi mà ý nghĩa sâu rộng.
其志絜，故其称物芳。 其行 廉，故死而不容自疏。	Chí ông thuần khiết, nên hay nói những loài hoa thơm; đức hạnh thanh liêm, nên chết rồi vẫn không được dung.
濯淖汙泥 之中，蝉蜕於浊秽， 以浮游尘埃之外，不获世之滋垢，皭然 泥而不滓者也。	Thân ở chốn sình lầy, như con ve lột xác thoát khỏi nhơ bẩn, ngao du ngoài chốn bụi trần, không bị dính bùn nhơ của thế tục, thanh bạch trong trẻo không nhiễm hôi tanh.
推此志也，虽与日月争光可也。	Suy từ chí ấy, có thể rạng tỏ cùng nhật nguyệt vậy.
屈平既绌，其後秦欲伐齐，齐与楚从亲，惠王患 之，乃令张仪详去秦，厚币委质事楚，曰：“秦甚憎齐，齐与楚从 亲，楚诚能绝齐，秦原献商、於之地六百里。”	Khuất Bình bị truất, sau đó Tần muốn đánh Tề, Tề với Sở hợp tung, Huệ vương lo lắng, bèn lệnh Trương Nghi vờ bỏ Tần, mang nhiều tiền của sang hạ mình thờ Sở, nói: “Tần rất ghét Tề, nhưng Tề và Sở hợp tung, nếu Sở có thể tuyệt giao với Tề, Tần nguyện dâng sáu mươi dặm đất Thương, Ư”.
楚怀王贪而信张仪， 遂绝齐，使使如秦受地。	Sở Hoài vương tham lam tin lời Trương Nghi, liền tuyệt giao với Tề, sai sứ đến Tần nhận đất.
张仪诈之曰：“仪与王约六里，不闻六百 里。”	Trương Nghi lừa rằng: “Nghi và Sở vương giao ước sáu dặm, chứ không nghe sáu trăm dặm.”
楚使怒去，归告怀王。	Sứ giả nước Sở tức giận trở về báo với Hoài vương.
怀王怒，大兴师伐秦。	Hoài vương nổi giận, dấy đại quân đánh Tần.
怀王乃 悉发国中兵以深入击秦，战於蓝田。	Hoài vương đem hết quân trong nước tiến sâu vào đánh Tần, giao chiến tại Lam Điền.
魏闻之，袭楚至邓。	Ngụy hay tin, đánh úp Sở, kéo đến đất Đặng.
楚兵惧，自秦归。	Quân Sở sợ, từ Tần rút về.
而齐竟怒不救楚，楚大 困。	Còn Tề rốt cuộc vì giận nên không cứu Sở, Sở cực kỳ nguy khốn.
明年，秦割汉中地与楚以和。	Năm sau, Tần cắt đất Hán Trung cho Sở để cầu hòa.
楚王曰：“不原得地，原得张仪而 甘心焉。”	Sở vương nói: “Không cần được đất, chỉ cần Trương Nghi là hả dạ rồi.”
张仪闻，乃曰：“以一仪而当汉中地，臣请往如楚。”	Trương Nghi nghe vậy, bèn nói: “Dùng một Nghi mà được đất Hán Trung, thần xin sang Sở.”
如 楚，又因厚币用事者臣靳尚，而设诡辩於怀王之宠姬郑袖。	Trương Nghi sang Sở, lại dùng hậu lễ đút lót bề tôi đương quyền là Cận Thượng, rồi bày quỷ kế lung lạc sủng thiếp Trịnh Tụ của Hoài vương.
怀王竟听 郑袖，复释去张仪。	Hoài vương lại nghe theo Trịnh Tụ, thả Trương Nghi về.
是时屈平既疏，不复在位，使於齐，顾反，谏怀 王曰：“何不杀张仪？”	Bấy giờ Khuất Bình đã bị xa lánh, không được phục chức, đi sứ sang Tề, trở về can Hoài vương: “Sao không giết Trương Nghi?”
怀王悔，追张仪不及。	Hoài vương hối hận, đuổi theo Trương Nghi nhưng không kịp.
其後诸侯共击楚，大破之，杀其将唐眛。	Về sau, chư hầu cùng đánh Sở, đại phá được, giết tướng Sở là Đường Muội.
时秦昭王与楚婚，欲与怀王会。	Bấy giờ Tần Chiêu vương kết thông gia với Sở vương, muốn gặp mặt Hoài vương.
怀王欲行，屈平曰：“秦虎狼之 国，不可信，不如毋行。”	Hoài vương định đi, Khuất Bình nói: “Tần là nước hổ lang, không thể tin được, không đi thì hơn.”
怀王卒 行。	Hoài vương quyết đi.
入武关，秦伏兵绝其後，因留怀王， 以求割地。	Vào Vũ Quan, Tần phục quân cắt đường lui, nhân đó giữ Hoài vương để đòi cắt đất.
怀王怒，不听。	Hoài vương giận, không chịu.
复之秦，竟死於 秦而归葬。	Trở lại Tần, cuối cùng chết ở Tần, được mang về Sở mai táng.
