张耳者，大梁人也。 其少时， 及魏公子毋忌为客。	Trương Nhĩ, người ở Đại Lương, lúc còn trẻ, làm môn khách của công tử Vô Kỵ nước Ngụy.
张耳尝亡命 游外黄。	Trương Nhĩ thường đổi tên, trốn ra chơi ở Ngoại Hoàng.
外黄富人女甚美，嫁庸奴，亡其 夫，去抵父客。	Trong nhà giàu nọ ở Ngoại Hoàng có người con gái rất xinh đẹp, lấy chồng ngu đần, bèn trốn chồng, đến chỗ người khách của cha chồng.
父客素知张耳，乃 谓女曰：“必欲求贤夫，从张耳。”	Khách của cha chồng vốn biết Trương Nhĩ, bèn bảo cô gái: “Nếu nhất định phải lấy người chồng giỏi, hãy theo Trương Nhĩ.”
女听，乃卒为请决，嫁之张耳。	Cô gái nghe theo, liền đòi cắt đứt với chồng, lấy Trương Nhĩ.
张耳是时脱身游，女家厚奉给 张耳，张耳以故致千里客。	Trương Nhĩ bấy giờ thay tên đổi họ du ngoạn, gia đình cô gái chu cấp rất hậu, vì thế Nhĩ chiêu tập tân khách từ ngàn dặm.
乃宦魏为外黄令。	Rồi được làm Huyện lệnh Ngoại Hoàng nước Ngụy.
名由此益贤。	Tên tuổi từ đó thêm nổi.
陈馀者， 亦大梁人也，好儒术，数游赵苦陉。	Trần Dư cũng người ở Đại Lương, thích nho thuật, nhiều lần du ngoạn đến Khổ Hình nước Triệu.
富人公乘氏以其女妻之，亦知陈馀非庸人也。	Phú hộ họ Công Thừa gả con gái cho, cũng biết Trần Dư không phải người thường.
馀年 少，父事张耳，两人相与为刎颈交。	Dư ít tuổi, thờ Trương Nhĩ như cha, hai người kết làm sinh tử chi giao.
秦之灭大梁也，张耳家外黄。	Tần diệt Đại Lương, nhà Trương Nhĩ ở Ngoại Hoàng.
高祖为布衣时，尝数从张耳游，客 数月。	Lúc Cao tổ mặc áo vải, từng nhiều lần theo Trương Nhĩ du ngoạn, làm khách mấy tháng.
