黥布者，六人也， 姓英氏。	Kình Bố người huyện Lục, họ Anh.
秦时为布衣。	Thời Tần, là kẻ áo vải.
少年，有客 相之曰：“当刑而王。”	Lúc thiếu thời, có người khách xem tướng cho Bố, nói: “Bị hình phạt rồi làm vương.”
布欣然笑曰；“人相我当刑 而王，几是乎？”	Bố cười vui nói: “Người xem tướng nói ta bị hình phạt rồi làm vương, lẽ nào đúng chăng?”
人有闻者，共俳笑之。	Ai nghe cũng cười.
布已论输丽山， 丽山之徒数十万人，布皆与其徒长豪桀交通，乃 率其曹偶，亡之江中为群盗。	Bố chịu hình đến làm lao dịch ở Ly Sơn, những người chịu hình đến mấy chục vạn, Bố đều kết giao với thủ lĩnh cùng hào kiệt, rồi thống lãnh bọn họ, trốn đến vùng sông Trường Giang làm trộm cướp.
陈胜之起也，布乃见番君，与其众叛秦，聚兵数千人。	Trần Thắng nổi dậy, Bố bèn gặp Phan quân, cùng tụ họp phản Tần, quân có mấy nghìn người.
章邯之灭陈胜，破吕臣军，布乃引兵北击秦左右校，破之清 波，引兵而东。	Chương Hàm diệt Trần Thắng, phá quân của Lã Thần, Bố liền dẫn quân lên bắc đánh tả hữu Hiệu úy của Tần, phá được quân Tần tại Thanh Ba, dẫn quân sang đông.
闻项梁定江东会稽， 涉江而西。	Nghe tin Hạng Lương bình định Giang Đông và Cối Kê, Bố vượt Trường Giang sang tây.
陈婴以项氏世为楚将，乃以兵属项梁，渡淮南，英布、蒲 将军亦以兵属项梁。	Trần Anh phong họ Hạng đời đời làm tướng Sở, bèn đem quân theo Hạng Lương, vượt sông Hoài xuống phía nam, Anh Bố và Bồ tướng quân cũng đem quân theo Hạng Lương.
项梁涉淮而西，击景驹、秦嘉等，布常冠军。	Hạng Lương vượt sông Hoài sang phía tây, đánh bọn Cảnh Câu và Tần Gia, Bố thường lập công đầu.
项梁至薛， 闻陈王定死，乃立楚怀王。	Hạng Lương đến đất Tiết, nghe tin Trần vương chết, bèn lập Sở Hoài vương.
