韩王信者， 故韩襄王孽孙也， 长八尺五寸。	Hàn vương là Tín, vốn là cháu nội dòng thứ của Hàn Tương vương, mình cao tám thước năm tấc.
及项梁之立楚後怀王也，燕、 齐、赵、魏皆已前王，唯韩无有後，故立韩诸公子横阳君成 为韩王， 欲以抚定韩故地。	Khi Hạng vương lập hậu duệ nước Sở là Hoài vương, các nước Yên, Tề, Triệu, Ngụy đều lập vua trước, chỉ riêng Hàn không có hậu duệ, nên lập con em trong tông tộc nước Hàn là Hoành Dương quân tên là Thành làm Hàn vương, muốn dựa đó vỗ yên đất cũ của nước Hàn.
项梁败死定陶，成饹怀王。	Hạng Lương thua trận, chết ở Định Đào, Thành đến chỗ Hoài vương.
沛公引兵击阳 城，使张良以韩司徒 降下韩故地，得信，以为韩将，将其兵从沛公入武关。	Bái công dẫn quân đánh Dương Thành, sai Trương Lương lấy danh nghĩa là quan Tư đồ của Hàn dụ hàng đất cũ nước Hàn, tìm được Tín, cho làm tướng Hàn, cầm quân mình theo Bái Công vào Vũ Quan.
沛公立为汉王，韩信从入汉中，乃说汉王曰：“项王王诸将近 地，而王独远居此，此左迁也。士卒皆山东人，跂而望归， 及其锋东乡， 可以 争天下。”	Bái công lên làm Hán vương, Hàn Tín theo vào Hán Trung, bèn nói với Hàn vương: “Hạng vương phong vương cho các tướng ở đất gần, còn riêng ngài ở chỗ xa xôi này, là biếm trích vậy. Sĩ tốt đều người Sơn Đông, kiễng chân mong về, đến khi mũi nhọn hướng về đông, có thể tranh giành thiên hạ.”
汉王还定三秦，乃许信为韩王，先拜信为韩太尉，将兵略 韩地。	Hán vương trở về bình định Tam Tần, bèn hứa cho Tín làm Hàn vương, trước tiên phong Tín làm Thái úy nước Hàn, đem quân đánh đất Hàn.
项籍之封诸王皆就国，韩王成以不从无功，不遣就国，更以为列 侯。	Các vương do Hạng Tịch phong đều về nước phong, Hàn vương Thành do không theo đi chinh chiến, không có công lao, không được về nước phong, lại đổi thành liệt hầu.
及闻汉遣韩信略韩地，乃令故项籍游吴时吴令郑 昌为韩王以距汉。	Khi nghe tin Hán sai Hàn Tín đánh chiếm đất Hàn, Hạng Tịch bèn lệnh viên Huyện lệnh mình kết giao khi du ngoạn ở Ngô trước đây là Trịnh Xương làm Hàn vương để chống Hán.
汉二年，韩信略定韩 十馀城。	Hán vương năm thứ hai, Hàn Tín bình định hơn mười thành của Hàn.
汉王至河南，韩信急击韩王昌阳城。	Hán vương đến Hà Nam, Hàn Tín ráo riết đánh Hàn vương Xương ở Dương Thành.
昌降，汉王乃立韩信为 韩王，常将韩兵从。	Xương đầu hàng, Hán vương bèn lập Hàn Tín làm Hàn vương, thường đem quân Hàn đi theo.
三年，汉王出荥 阳，韩王信、周苛等守荥阳。	Năm thứ ba, Hán vương ra khỏi Huỳnh Dương, bọn Hàn vương Tín, Chu Hà giữ Huỳnh Dương.
及楚败荥阳，信降楚，已而得亡，复归 汉，汉复立以为韩王，竟从击破项籍，天下定。	Khi Sở đánh bại Hán ở Huỳnh Dương, Tín hàng Sở, thế rồi trốn thoát, lại trở về Hán, Hán lại lập làm Hàn vương, cuối cùng theo đánh phá Hạng Tịch, thiên hạ được bình định.
五年春，遂与剖符为 韩王，王颍川。	Năm thứ năm, mùa xuân, chính thức giao phù tiết cho Hàn vương, đất phong ở Dĩnh Xuyên.
明年春， 上以韩信材武，所王北近巩、洛，南迫宛、叶，东有淮阳，皆天下劲 兵处，乃诏徙韩王信王太原以北，备御胡，都晋阳。	Mùa xuân năm sau, hoàng thượng cho Hàn Tín có tài võ bị, được phong bắc gần đất Củng và Lạc Dương, nam dựa đất Uyển và Diệp, đông có Hoài Dương, đều là chỗ hội tụ tinh binh thiên hạ, bèn hạ chiếu dời Hàn vương Tín làm vương ở Thái Nguyên về bắc, ngăn người Hồ, đóng đô ở Tấn Dương.
信上书曰：“国 被边，匈奴数入，晋阳 去塞远，请治马邑。”	Tín dâng thư nói: “Đất phong gần biên giới, Hung Nô nhiều lần xâm phạm, Tấn Dương cách xa biên giới, xin đóng trị sở ở Mã ấp.”
上许之，信乃徙治马邑。	Hoàng thượng đồng ý, Tín bèn dời về Mã ấp.
秋，匈奴冒顿大围信，信数使使胡求和解。	Mùa thu, vua Hung Nô là Mặc Đốn bao vây Tín, Tín nhiều lần sai sứ hòa giải với người Hồ.
汉发兵救之，疑信数间使，有二心，使人责让信。	Hán phát binh cứu viện, ngờ Tín nhiều lần bí mật sai sứ đi, cho cả hai lòng, sai người đến trách Tín.
信恐诛，因与匈奴 约共攻汉，反，以马邑降胡，击太原。	Tín sợ bị giết, nhân đó cấu kết với Hung Nô cùng đánh Hán, làm phản, đem Mã Ấp hàng người Hồ, đánh Thái Nguyên.
七年冬，上自往击，破信军铜鞮，斩其将王喜。	Năm thứ bảy, mùa đông, hoàng thượng đích thân đến đánh, phá quân Tín ở Đồng Đề, chém tướng Vương Hỉ.
信 亡走匈奴。	Tín chạy trốn sang Hung Nô.
其与白土人曼丘臣、 王黄等立赵苗裔赵利为王，复收信败散兵，而与信及冒顿谋攻汉。	Tướng của Tín là bọn Man Khâu Thần, Vương Hoàng người Bạch Thổ lập hậu duệ nước Triệu là Triệu Lợi làm vua, lại thu tàn quân của Tín, rồi cùng Tín và Mặc Đốn mưu đánh Hán.
匈 奴仗左右贤王将万馀骑与王黄等屯广武以南， 至晋阳，与汉兵战，汉大破之，追至于离石， 破之。	Hung Nô sai tả hữu Hiền vương đem hơn vạn quân kỵ cùng bọn Vương Hoàng đóng đồn ở phía nam Quảng Vũ, đến tận Tấn Dương, giao chiến với quân Hán, bị quân Hán đánh thua to, đuổi đến Ly Thạch, lại phá được.
匈奴复聚兵楼烦西北，汉令车骑击破匈奴。	Hung Nô lại tụ quân phía tây bắc Lâu Phiền, Hán lệnh quân xa kỵ đánh phá Hung Nô.
匈奴常败走，汉乘胜追北，闻冒顿居代谷，高皇帝居晋 阳，使人视冒顿，还报曰“可击”。	Hung Nô thường thua chạy, Hán thừa thắng đuổi lên bắc, nghe tin Mặc Đốn ở Đại Cốc, Cao hoàng đế ở Tấn Dương, sai người thám thính Mặc Đốn, về báo rằng: “Có thể đánh được.”
上遂至平城。	Hoàng thượng bèn đến Bình Thành.
上出白登， 匈奴骑围上，上乃使人厚遗阏氏。	Ra khỏi Bạch Đằng, quân kỵ Hung Nô bao vây Hoàng thượng, Hoàng thượng bèn sai người đem hậu lễ cho Yên chi.
阏氏乃说冒顿曰：“今得 汉地，犹不能居；且两主不相戹。”	Yên chi bèn nói với Mặc Đốn: “Nay được đất Hán, cũng chẳng thể ở, vả lại hai chúa không nên vây khốn nhau.”
居七日，胡骑稍引去。	Được bảy ngày, kỵ binh người Hồ dần rút.
时天大 雾，汉使人往来，胡不觉。	Bấy giờ trời đầy khí mù, Hán sai người qua lại, người Hồ không thấy.
护军中尉陈平言上曰：“胡者全兵， 请令彊弩傅两矢外乡， 徐行出围。”	Hộ quận trung úy Trần Bình nói với Hoàng thượng rằng: “Quân Hồ chỉ có cung giáo, lệnh cho quân dùng nỏ cứng đặt hai mũi tên hướng ra bên ngoài, từ từ ra khỏi vòng vây.”
入平城，汉救兵亦到，胡骑遂解去。 汉亦罢兵归。	Vào Bình Thành, quân cứu viện của Hán cũng đến, kỵ binh người Hồ giải vây rút đi, Hán cũng bãi binh trở về.
韩信为匈奴将兵往来击边。	Hàn Tín vì Hung Nô đem quân đến đánh ở biên giới.
汉十年，信令王黄等说误陈豨。	Hán Cao tổ năm thứ mười, Tín sai bọn Vương Hoàng vu cáo Trần Hy.
十一年春，故韩王信复与胡骑入 居参合，距汉。	Năm thứ mười một, mùa xuân, Hàn vương Tín lại cùng kỵ binh Hồ vào đóng ở Tam Hợp, chống Hán.
汉 使柴将军击之， 遗信书曰：“陛下宽 仁，诸侯虽有畔亡，而复归，辄复故位号，不诛也。大王所知。今王 以败亡走胡，非有大罪，急自归！”	Hán sai Sài tướng quân đến đánh, đưa thư trách Tín: “Bệ hạ khoan hòa nhân ái, chư hầu tuy làm phản trốn đi mà biết quay về, lại khôi phục địa vị, tước hiệu cũ, không giết. Đại vương hẳn biết rồi. Nay đại vương vì thua trận mà trốn sang Hồ, không có tội lớn, mau tự quay về!”
韩王信报曰：“陛下擢仆起闾 巷，南面称孤，此仆之幸也。荥阳之事，仆不能死，囚於项籍，此一 罪也。及寇攻马邑，仆不能坚守，以城降之，此二罪也。今反为寇将 兵，与将军争一旦之命，此三罪也。夫种、蠡无一罪，身死亡； 今仆有三罪於陛下，而欲求活於世，此 伍子胥所以偾於吴也。 今仆亡匿山谷间，旦暮乞贷 蛮夷，仆之思归，如痿人不忘起， 盲者不忘视也， 势不可耳。”	Hàn vương Tín trả lời rằng: “Bệ hạ cất nhắc tôi nơi xóm ngõ, quay mặt về nam xưng 'cô', là may mắn của tôi vậy. Việc ở Huỳnh Dương, tôi không cố chết, Hạng Tịch bỏ tù, đó là tội thứ nhất. Giặc cướp đánh Mã Ấp, tôi không giữ cho vững, còn đem thành đầu hàng, đó là tội thứ hai. Nay lại cầm quân cho giặc, cùng tướng quân tranh sống chết trong một sớm, đó là tội thứ ba. Đại phu Văn Chủng, Phạm Lãi chẳng phạm dù chỉ một tội còn kẻ chết người trốn; nay tôi có ba tội với bệ hạ mà muốn sống ở đời, đó chính là lý do khiến Ngũ Tử Tư bị nước Ngô giết vậy. Nay tôi trốn ẩn nơi núi hang, sớm tối sống nhờ người man di, nỗi lòng mong về của tôi, như người liệt không quên đứng, người mù không quên nhìn, tình thế không thể làm được.”
遂战。 柴将军屠参合，斩韩王信。	Rồi giao chiến, Sài tướng quân làm cỏ Tam Hợp, chém Hàn vương Tín.
信之入匈奴，与太子俱；及至穨当城， 生子，因名曰穨当。	Khi Tín vào Hung Nô, Thái tử đi cùng. Đến Đồi Đương Thành, sinh con, nhận đặt tên là Đồi Đương.
韩太子亦生子，命曰 婴。	Thái tử nước Hàn cũng sinh con, tên là Anh.
至孝文十四年，穨当及婴率其众降汉。	Đến Hiếu Văn đế năm thứ mười bốn, Đồi Đương cùng Anh đem quân hàng Hán.
汉封穨当为弓高侯， 婴为襄城侯。	Hán phong Đồi Đương làm Cung Cao hầu, Anh làm Tương Thành hầu.
吴楚军 时，弓高侯功冠诸将。	Lúc đánh Ngô và Sở, Cung Cao hầu công lao đứng đầu các tướng.
传子至孙，孙无子， 失侯。	Truyền con rồi cháu, cháu không con, mất tước hầu.
婴孙以不敬失侯。	Cháu nội Anh do tội bất kính bị mất tước hầu.
其弟说，再 封，数称将军，卒为案道侯。	Em là Duyệt, lại được phong, nhiều lần xưng tướng quân, cuối cùng được làm Án Đạo hầu.
子代，岁馀坐 法死。	Con kế tước vị, hơn năm thì phạm pháp, bị xử chết.
後岁馀，说孙曾 拜为龙嵒侯，续说後。	Hơn năm sau, cháu Duyệt là Tăng được phong làm Long Ngạch hầu, kế tục Duyệt.
卢绾者，丰人也，与高祖同里。	Lư Oản Lư Oản, người đất Phong, cùng làng với Cao tổ.
高祖为布衣时，有吏事辟匿，卢绾 常随出入上下。	Cao tổ thuở còn mặc áo vải, có lần vì trốn việc quan, Lư Oản thường theo ra vào xuôi ngược.
及高祖初起沛，卢绾以客从，入汉中为将军，常侍 中。	Khi Cao tổ mới dấy ở đất Bái, Lư Oản lấy danh nghĩa tân khách đi theo, khi vào Hán Trung, được làm tướng quân, thường hầu cận bên cạnh.
从东击项籍，以太尉常从，出入卧内，衣被饮食赏赐，群臣莫敢 望，虽萧曹等，特以事见礼，至其亲幸，莫及卢绾。	Theo sang đông đánh Hạng Tịch, lấy danh nghĩa Thái úy luôn theo, ra vào trong chỗ Hán vương nằm, được ban thưởng quần áo đồ ăn thức uống, quần thần không ai dám mong, ngay đám Tiêu Hà, Tào Tham, chỉ nhân sự vụ mà được đãi theo lễ, còn thân thiết sủng ái, không ai bằng Lư Oản.
绾封为长安侯。	Oản được phong làm Trường An hầu.
长安，故咸阳也。	Trường An vốn là Hàm Dương vậy.
汉五年冬，以破项籍，乃使卢绾别将，与刘贾击临江王共尉， 破之。	Hán vương năm thứ năm, mùa đông, diệt được Hạng Tịch, bèn sai Lư Oản cầm cánh quân riêng, cùng Lưu Giả đánh Lâm Giang vương Cộng Ủy, phá được.
七月还，从击燕王臧荼，臧荼降。	Tháng Bảy về, cùng đi đánh Yên vương Tang Đồ, Tang Đồ đầu hàng.
高祖 已定天下，诸侯非刘氏而王者七人。	Cao tổ đã bình định thiên hạ, chư hầu không phải họ Lưu, được phong vương chỉ bảy người.
欲王卢绾，为群臣觖望。	Định phong vương cho Lư Oản, e quần thần dị nghị.
