舞阳侯樊哙者， 沛人也。 以屠狗为事， 与高祖俱隐。	Phàn Khoái Vũ Dương hầu Phàn Khoái, người huyện Bái, làm nghề thịt chó, ẩn cư cùng Cao tổ.
初从高祖起丰，攻下沛。	Ban đầu theo Cao tổ dấy lên ở đất Phong, đánh hạ huyện Bái.
高祖为沛公，以哙为舍人。	Cao tổ làm Bái công, cho Khoái làm xá nhân.
从攻胡陵、 方与，还守丰，击泗水监丰下， 破之。	Theo đánh Hồ Lăng, Phòng Dự, về giữ đất Phong, đánh quân Quận giám Tử Thủy dưới thành đất Phong, phá được.
复东定沛，破泗水 守薛西。	Lại sang phía đông bình định đất Bái, phá quân Quận thú Tứ Thủy ở phía tây đất Tiết.
与司马枿 战砀东，卻敌，斩首 十五级，赐爵国大夫。	Cùng Tư mã là Di giao chiến ở động đất Đãng, đẩy lui địch, chém mười lăm thủ cấp, được ban tước quốc đại phu.
常从，沛公击章邯军濮阳，攻城先登，斩首二十三级，赐爵列大 夫。	Thường theo Bái công, Bái Công đánh quân Chương Hàm ở Bộc Dương, xông lên trước đánh thành, chém được hai mươi ba thủ cấp, được ban tước liệt đại phu.
复常从，从攻城阳， 先登。	Lại từng theo đánh Thành Dương, xông lên trước.
下户牖， 破李由军，斩首十六级，赐上间爵。	Đánh hạ Thi Dũ, phá quân Lý Do, chém mười sáu thủ cấp, được ban tước thượng văn.
从攻围东郡守尉於 成武，卻敌，斩首十四级，捕虏十一人，赐爵五大夫。	Theo tấn công bao vây Quận thú, Quận úy Đông Quận ở Thành Vũ, đẩy lui địch, chém mười bốn thủ cấp, bắt sống mười một quân địch, được ban tước ngũ đại phu.
从击秦军，出亳南。	Theo đánh quân Tần, ra phía nam đất Hào.
河间守军於杠里， 破之。	Quận thú Hà Gian đóng quân ở Giang Lý, phá được.
