吴王濞者，高帝兄刘仲之子也。	Ngô vương Tỵ là con trai của Lưu Trọng, anh trai Cao đế.
高帝已定天下七年，立刘仲为代王。	Sau khi Cao đế bình định thiên hạ được bảy năm, lập Lưu Trọng làm Đại vương.
而匈奴攻 代，刘仲不能坚守，弃国亡，间行 走雒阳，自归天子。	Rồi Hung Nô tấn công đất Đại, Lưu Trọng không thể giữ vững, bỏ nước phong chạy trốn, lén theo đường nhỏ chạy đến Lạc Dương, tự về trình diện thiên tử.
天子为骨肉故，不忍致法，废以为郃阳侯。	Thiên tử vì tình cốt nhục nên không nỡ dùng pháp luật xử tội, phế làm Cáp Dương hầu.
高帝十一年秋，淮南王英布反，东并荆地，劫其国兵，西度 淮，击楚，高帝自将往诛之。	Mùa thu năm Cao đế thứ mười một, Hoài Nam vương là Anh Bố làm phản, phía đông chiếm đất Kinh, đoạt lấy quân nước đó, phía tây vượt sông Hoài, đánh vào Sở, Cao đế đích thân cầm quân thảo phạt Anh Bố.
刘仲子沛侯濞年二十，有气力，以骑将 从破布军蕲西，会甀， 布走。	Con của Lưu Trọng là Bái hầu Tỵ hai mươi tuổi, có khí lực, lấy thân phận kỵ tướng, phá được quân của Bố ở Cối Chuy, phía tây đất Kỳ, Bố bỏ chạy.
荆王刘贾为布所杀，无後。	Kinh vương Lưu Giả bị Bố giết chết, không người thừa kế.
上患吴、会稽轻悍，无壮王以填 之，诸子少，乃立濞於沛为吴王， 王三郡五十三城。	Hoàng thượng lo người Ngô và Cối Kê nóng nảy hung tợn, không vương hầu nào mạnh để sung vào, các con còn nhỏ, bèn lập Tỵ ở đất Bái làm Ngô vương, làm vua ba quận năm mươi ba thành.
已拜受印，高帝召濞相之，谓 曰：“若状有反相。”	Sau khi phong tước nhận ấn, Cao đế triệu Tỵ đến xem tướng mạo, bảo rằng: “Mặt ngươi có tướng làm phản.”
心独悔，业已拜，因拊其背，告 曰：“汉後五十年东南有乱者，岂若邪？ 然天下同姓为一家也，慎无反！”	Trong lòng hối hận, nhưng đã trót phong, nhân đó vỗ vào lưng Tỵ, nói: “Nhà Hán năm mươi năm nữa có kẻ làm loạn ở phía đông nam, có lẽ là ngươi chăng? Nhưng người chung họ trong thiên hạ đều cùng một nhà, thận trọng, chớ có làm phản?”
濞顿首曰：“不敢。”	Tỵ dập đầu đáp: “Không dám.”
