魏其侯窦婴者，孝文后从兄子也。	Ngụy Kỳ hầu Đậu Anh là con trai anh họ bên ngoại của Hiếu Văn đế.
父世观津人。 喜宾客。	Đời cha là người Quan Tân, thích tân khách.
孝文时，婴为吴相，病免。	Thời Hiếu Văn đế, Đậu Anh làm Thừa tướng nước Ngô, bị bệnh nên thôi chức.
孝景初即位，为 詹事。	Hiếu Cảnh đế mới lên ngôi, cho làm Chiêm sự.
梁孝王者，孝景弟也，其母窦太后爱之。	Lương Hiếu vương là em của Hiếu Cảnh đế, được mẹ là Đậu thái hậu yêu quý.
梁孝王朝，因昆弟燕 饮。	Lương Hiếu vương vào chầu, nhân đó anh em cùng yến ẩm.
是时上未立太子，酒酣，从容言曰：“千秋之後传梁王。”	Bấy giờ, Hoàng thượng chưa lập Thái tử, rượu ngà ngà, thản nhiên nói: “Sau khi yên giấc ngàn thu sẽ truyền cho Lương vương.”
太后 驩。	Thái hậu mừng.
窦婴引卮酒进上，曰：“天下者，高祖天下，父子相传，此汉之 约也，上何以得擅传梁王！”	Đậu Anh cầm chén dâng lên Hoàng thượng, nói: “Thiên hạ là thiên hạ của Cao tổ, cha con truyền nhau, đó là quy định của nhà Hán vậy, cớ sao Hoàng thượng lại tự ý truyền cho Lương vương!”
太后由此憎窦婴。	Từ đấy Thái hậu ghét Đậu Anh.
窦婴亦薄其官，因病 免。	Đậu Anh cũng xem nhẹ chức quan của mình, rồi nhân ốm nên từ chức.
太后除窦婴门籍，不得入朝请。	Thái hậu loại Đậu Anh khỏi danh sách được ra vào cung, không được hội triều các tiết xuân thu.
孝景三年，吴楚反，上察宗室诸窦 毋如窦婴 贤，乃召婴。	Hiếu Cảnh đế năm thứ ba, Ngô, Sở làm phản, Hoàng thượng xét trong tông thất và người họ Đậu không ai hiền năng như Đậu Anh, bèn triệu kiến Anh.
婴入见，固辞谢病不足任。	Anh vào triều kiến, cố từ chối có bệnh không đủ khả năng nhận chức.
太后亦惭。	Thái hậu cũng thấy hổ thẹn.
於是上曰：“天 下方有急，王孙宁可以让邪？”	Thế rồi Hoàng thượng nói: “Thiên hạ đang nguy cấp, vương tôn sao có thể thoái thác được?”
乃拜婴 为大将军，赐金千斤。	Bèn phong Anh làm đại tướng quân, ban cho nghìn cân vàng.
婴乃言袁盎、栾布诸名将贤士在家者进之。	Anh bèn tiến cử các danh tướng, hiền sĩ hiện đang sống an nhàn ở nhà như Viện Áng, Loan Bố.
所 赐金，陈之廊庑下，军吏过，辄令财取为用， 金无入家者。	Số vàng được ban, Anh để phía dưới hiên, quan lại trong quân đi qua, sai lấy của cải ấy chi dùng, không đem chút vàng nào vào nhà.
窦婴守荥阳，监齐赵兵。	Đậu Anh giữ Huỳnh Dương, giám sát quân Tề và Triệu.
七国兵已尽破，封婴为魏其 侯。	Bảy nước làm phản đều bị đánh tan, phong Anh làm Ngụy Kỳ hầu.
诸游士宾客争归魏其侯。	Các du sĩ, tân khách đều tranh về với Ngụy Kỳ hầu.
孝景时每朝议大事，条侯、魏其侯，诸 列侯莫敢与亢礼。	Thời Hiếu Cảnh đế, mỗi khi vào triều bàn nghị việc lớn, các chư hầu khác không ai dám tranh hơn với Điều hầu và Ngụy Kỳ hầu.
孝景四年，立栗太子，使魏其 侯为太子傅。	Hiếu Cảnh đế năm thứ tư, lập Thái tử Lật, sai Ngụy Kỳ hầu làm Thái tử Thái phó.
孝景七年，栗太子废，魏其数争不能得。	Hiếu Cảnh đế năm thứ bảy, Lật thái tử bị phế truất, Ngụy Kỳ hầu nhiều lần khuyên can nhưng không được.
魏其谢病，屏 居蓝田南山之下数月，诸宾客辩士说之，莫能来。	Ngụy Kỳ hầu thác bệnh, ẩn cư mấy tháng dưới núi phía nam Lam Điền, các tân khách, biện sĩ thuyết phục, không ai thuyết phục được.
