御史大夫韩安国者，梁成安人也， 後徙睢阳。	Ngự sử đại phu Hàn An Quốc là người Thành An nước Lương, sau rời đến Thư Dương.
事梁孝王为中大夫。	Hàn An Quốc phụng sự Lương Hiếu vương, làm Trung đại phu.
吴楚反时，孝王使安国及张羽为将，扞 吴兵於东界。	Khi Ngô, Sở làm loạn, Hiếu vương sai An Quốc cùng Trương Vũ làm tướng, chống quân Ngô ở biên giới phía đông.
张羽力战，安国持重，以故吴不能过梁。	Trường Vũ ra sức đánh, An Quốc giữ chỗ hiểm yếu, vì thế quân Ngô không thể qua được nước Lương.
吴楚已破，安国、张羽名由此显。	Ngô, Sở đã bị đánh tan, An Quốc và Trương Vũ nhờ đó nổi danh.
梁孝王，景帝母弟，窦太后爱之，令得自请置相、二千石，出入 游戏，僭於天子。	Lương Hiếu vương là em trai của mẹ Cảnh đế, Đậu Thái hậu cưng yêu, cho được tự ý thỉnh nhậm chức Thừa tướng và chức quan trật hai nghìn thạch, ra vào du chơi, vượt cả thiên tử.
天子闻之，心弗善也。	Thiên tử biết chuyện, trong lòng không vui.
太后知帝不善，乃怒梁使 者，弗见，案责王所为。	Thái hậu biết Hoàng thượng không vui, bèn giận sứ giả nước Lương, không cho gặp, tra xét những việc Lương Hiểu vương làm.
韩安国为梁使，见大长公主 而 泣曰：“何梁王为人子之孝，为人臣之忠，太后曾弗省也？ 夫前日吴、楚、齐、赵七国反时，自关以东皆 合从西乡，惟梁最亲为艰难。梁王念太后、帝在中， 而诸侯扰乱，一言泣数行下，跪送臣等六人，将 兵击卻吴楚，吴楚以故兵不敢西，而卒破亡，梁王之力也。今太后以 小节苛礼责望梁王。梁王父兄皆帝王，所见 者大，故出称跸，入言警，车旗皆帝所赐也，即欲以侘鄙县， 驱驰国 中，以夸诸侯，令天下尽知太后、帝爱之也。今梁使来，辄案责之。 梁王恐，日夜涕泣思慕，不知所为。何梁王之为子孝，为臣忠，而太 后弗恤也？”	Hàn An Quốc làm sứ giả nước Lương, gặp Đại trưởng công chúa, khóc nói: “Lương vương thể hiện lòng hiếu của người con, lòng trung của bề tôi mà sao Thái hậu không hiểu? Trước đây khi Ngô, Sở, Tề, Triệu... bảy nước làm phản, từ cửa Hàm Cốc về đông đều liên kết nhau để tiến sang tây, chỉ có Lương là nước thân nhất nên rơi vào cảnh gian nan, Lương vương nghĩ Thái hậu, Hoàng thượng ở Quan Trung, mà chư hầu làm loạn, một tiếng khóc mà tuôn mấy hàng lệ, quỳ gối đưa tiễn sáu người bạn thân, đem quân đánh Ngô, Sở, vì thế quân Ngô, Sở không dám sang tây, cuối cùng cũng phá tan được chúng, đều nhờ công của Lương vương vậy. Nay Thái hậu đem những nghi lễ tiểu tiết hà khắc để trách lỗi Lương vương. Cha anh Lương vương đều là đế vương, những điều trông thấy đều lớn lao, cho nên ra vào cảnh giác, cấm người ngựa qua lại, xe ngựa, cờ xí đều do Hoàng đế ban tặng, dẫu muốn dùng các thứ đó để phô trương nơi huyện ấp, hay rong ruổi trong nước để khoe khoang với chư hầu, đều là khiến thiên hạ thảy biết Thái hậu và nhà vua đều yêu mến mình vậy. Nay sứ giả nước Lương đến, liền bị tra xét, trách hỏi. Lương vương sợ, ngày đêm khóc lóc nhớ nhung, không biết làm sao. Lương vương là con hiếu tôi trung mà sao Thái hậu không thương xót?”
大长公主具以告太后，太后喜曰：“为言之帝。”	Đại trưởng công chúa nói lại với Thái hậu, Thái hậu mừng nói: “Ta sẽ nói với Hoàng đế cho.”
言 之，帝心乃解，而免冠谢太后曰：“兄弟不能相教，乃为太后遗 忧。”	Nói với Hoàng đế, Hoàng đế mới giải tỏa được nỗi lòng, rồi trật mũ tạ lỗi Thái hậu: “Anh em không biết dạy nhau, để đến nỗi Thái hậu phải phiền lòng.”
悉见梁使，厚赐之。	Rồi tiếp kiến tất thảy sứ giả nước Lương, ban tặng rất hậu.
其後梁王益亲驩。	Sau đấy, Lương vương càng được thân quý.
太后、长公主更赐安国 可直千馀金。 名由此显，结於汉。	Thái hậu, Trưởng công chúa ban thêm cho An Quốc trị giá đến hơn nghìn vàng, từ đó An Quốc được vinh hiển, gắn bó với triều Hán.
其後安国坐法抵罪，蒙 狱吏田甲辱安国。	Về sau, An Quốc phạm pháp, bị luận tội, ngục lại Điền Giáp đất Mông sỉ nhục An Quốc.
安国曰：“死灰独不复然乎？”	An Quốc nói: “Riêng tro tàn không cháy lại được nữa chăng?”
田甲 曰：“然即溺之。”	Điền Giáp nói: “Cháy lên sẽ tè vào đấy.”
居无何，梁内史缺，汉使使者拜安国为梁内史， 起徒中为二千石。	Không lâu sau, chức Nội sử nước Lương khuyết, nhà Hán sai sứ giả đến phong An Quốc làm Nội sử nước Lương, từ tội đồ được thăng chức quan hai nghìn thạch.
田甲亡走。	Điền Giáp chạy trốn.
安国曰：“甲不就官，我灭而宗。”	An Quốc nói: “Giáp không về nhận chức, ta diệt cả họ ngươi.”
安国笑曰：“可溺矣！公等足与治乎？”	An Quốc cười nói: “Cứ tè đi! Bọn ngươi có đáng trừng trị không?”
梁内史之缺也，孝王新得齐人公孙诡，说之，欲请以为内史。	Khi chức Nội sử nước Lương bị khuyết, Lương Hiếu vương mới tìm được Công Tôn Quỷ người Tề, rất thích, định xin cho làm Nội sử.
窦 太后闻，乃诏王以安国为内史。	Đậu Thái hậu biết chuyện, bèn hạ chiếu cho Lương Hiếu vương dùng An Quốc làm Nội sử.
公孙诡、羊胜说孝王求为帝太子及益地事，恐汉大臣不听，乃阴 使人刺汉用事谋臣。	Công Tôn Quỷ, Dương Thắng khuyên Hiếu vương xin làm Thái tử, đồng thời mở rộng đất phong, sợ các đại thần nhà Hán không nghe, liền ngầm sai người hành thích các mưu thần nắm quyền triều Hán.
及杀故吴相袁盎，景帝遂闻诡、胜等计画，乃遣 使捕诡、胜，必得。	Đến khi giết Thừa tướng cũ của nước Ngô là Viên Áng, Cảnh đế liền biết là kế của bọn Quỷ và Thắng, liền sai sứ bắt Quỷ và Thắng.
汉使十辈至梁，相以下举国大索，月馀不得。	Sứ nhà Hán gồm mười người đến nước Lương, từ Thừa tướng trở xuống phải lùng bắt trong cả nước, hơn tháng vẫn không bắt được.
内 史安国闻诡、胜匿孝王所，安国入见王而泣曰：“主辱臣死。 大王无良臣，故事纷纷至此。今诡、胜不得，请辞赐 死。”	Nội sử An Quốc biết tin Quỷ, Thắng ẩn ở chỗ Hiếu vương, An Quốc vào gặp Hiếu vương rồi khóc nói: “Chủ bị nhục thì bề tôi phải chết. Đại vương không có tôi giỏi, cho nên việc mới rối ren thế này. Nay không bắt được Quỷ và Thắng, xin ban cho thần được chết.”
王曰：“何至此？”	Vương nói: “Làm gì đến nỗi thế?”
安国泣数行下，曰：“大王自度於皇帝， 孰与太上皇之与高皇帝及皇帝之与临江王亲？”	An Quốc khóc sa mấy hàng lệ, nói: “Đại vương tự so với Hoàng đế xem, so quan hệ giữa Thái thượng hoàng với Cao hoàng đế và Hoàng đế với Lâm Giang vương, ai thân thiết hơn?”
孝王曰：“弗如 也。”	Hiếu vương đáp: “Không so bằng được.”
安国曰：“夫太上、临江亲父子之间，然而高帝曰‘提三尺剑 取天下者朕也’，故太上皇终不得制事，居于栎阳。临江王，適长太 子也，以一言过，废王临江； 用宫垣事，卒自杀中尉府。何者？治 天下终不以私乱公。语曰：‘虽有亲父，安知其不为虎？虽有亲兄， 安知其不为狼？’今大王列在诸侯，悦一邪臣 浮说，犯上禁，桡明法。天子以太后 故，不忍致法於王。太后日夜涕泣，幸大王自改，而大王终不觉寤。 有如太后宫车即晏驾，大王尚谁攀乎？”	An Quốc nói: “Xét lẽ, Thái thượng hoàng và Lâm Giang vương là chỗ cha con, nhưng Cao đế nói: 'Người cầm ba thước kiếm thu lấy thiên hạ là trẫm,' cho nên cuối cùng Thái thượng hoàng không được nắm mọi việc, phải ở cung Lịch Dương. Lâm Giang vương là Thái tử trưởng dòng đích, chỉ vì một câu lỡ lời, bị phế làm Lâm Giang vương; lại vì xâm hại tường cung điện, rốt cuộc phải tự sát trong phủ quan Trung úy. Tại sao vậy? Trị thiên hạ không thể lấy việc tư làm loạn việc công. Ngạn ngữ nói: 'Dẫu là cha đẻ, sao biết đó không phải là hổ? Dẫu là anh ruột, sao biết đó không phải là sói?' Nay đại vương đứng vào hàng chư hầu, thích lời phù phiếm của bề tôi gian tà, phạm đến cấm lệnh của Hoàng thượng, bẻ cong pháp luật sáng láng của triều đình. Hoàng thượng và Thái hậu nên không nỡ trị tội đại vương theo luật. Thái hậu ngày đêm khóc lóc, mong đại vương tự sửa lỗi, còn đại vương vẫn không tỉnh ngộ. Nếu Thái hậu băng hà, đại vương còn dựa vào ai được nữa?”
语未卒，孝王泣数行下，谢 安国曰：“吾今出诡、胜。”	Nói chưa dứt, Hiếu vương liền khóc nước mắt ròng ròng, tạ lỗi với An Quốc rằng: “Nay ta sẽ giao Quỷ, Thắng ra.”
诡、胜自杀。	Quỷ, Thắng tự sát.
