匈奴，其先祖夏后氏之苗裔也，曰淳维。	Hung Nô, tiên tổ là con cháu của họ Hạ Hậu, gọi là Thuần Duy.
唐虞以上有山戎、 獫狁、荤粥， 居于北蛮，随畜牧而转移。	Thời Đường Ngu về trước có người Sơn Nhung, Hiểm Duẫn, Huân Chúc sống tại khu vực man di phương bắc, di chuyển theo đàn gia súc.
其畜之所多则 马、牛、羊，其奇畜则橐扆、 驴、、 駃騠、 騊駼、 驒 騱。	Súc vật họ nuôi phần lớn là ngựa, bò, dê, trong đó loài vật lạ thì có lạc đà, lừa, loa, ngựa quyết đề, ngựa đào đồ, ngựa đà kê.
逐水草迁徙，毋城郭常处耕田之业，然亦各有分地。	Theo chỗ có nước và cỏ để di chuyển, không dựng thành quách, không làm nghề nông, nhưng cũng chia các vùng đất.
毋文书，以言语为约束。	Không có chữ viết, chỉ dùng lời nói để ước định với nhau.
兒能骑羊，引弓射鸟鼠；少长 则射狐兔：用为食。	Trẻ con đã biết cưỡi dê, biết giương cung bắn chim, chuột; lớn lên một chút biết bắn chồn, thỏ hoang để làm thức ăn.
士力能 毌弓，尽为甲骑。	Nam giới trưởng thành, sức có thể giương được cung cứng, thảy đều làm quân giáp kỵ.
其俗，宽则随畜，因射猎 禽兽为生业，急则人习战攻以侵伐，其天性也。	Phong tục của Hung Nô, lúc thường thì theo đàn gia súc, sống bằng nghề săn bắn cầm thú, lúc khẩn cấp thì người người đều thạo đánh trận, tiện cho việc đi xâm lấn, đó là thiên tính của họ vậy.
其长兵则弓矢，短兵 则刀鋋。	Binh khí đánh từ xa thì dùng cung tên, gần thì dùng đao và khiên nhỏ.
利则进，不利则 退，不羞遁走。	Lợi thì tiến, bất lợi thì lui, không coi việc trốn chạy là xấu hổ.
自君王以下，咸食畜肉，衣其 皮革，被旃裘。	Từ vua trở xuống, đều ăn thịt gia súc, mặc quần áo làm bằng da, khoác áo lông.
壮者食肥美，老者食其馀。	Người trẻ khỏe thì ăn đồ béo tốt, người già yếu thì ăn đồ thừa.
贵壮健，贱老弱。	Coi trọng người khỏe mạnh, khinh rẻ người già yếu.
父死， 妻其後母；兄弟死，皆取其妻妻之。	Cha chết, con lấy những người vợ kế của cha làm vợ, anh em chết, lấy hết những người vợ của anh em làm vợ mình.
其俗有名不讳，而无姓字。	Tục Hung Nô là người có tên nhưng không phải kiêng kỵ, không có họ và tên tự.
其後三百 有馀岁，戎狄攻大王亶父，亶父亡走岐 下，而豳人悉从亶父而邑焉，作周。	Hơn ba trăm năm sau, người Nhung địch tấn công Đại vương Đản Phủ, Đản Phủ bỏ chạy đến dưới chân núi Kỳ, còn người Bân thảy đều theo Đản Phủ lập ấp ở đó, hình thành nhà Chu.
其後百有 馀岁，周西伯昌伐畎夷氏。	Hơn trăm năm sau, Tây bá Cơ Xương nhà Chu chinh phạt tộc Khuyển Di.
後十有馀 年，武王伐纣而营雒邑，复居于酆鄗，放逐戎夷泾、洛之北， 以时入贡，命曰“荒服”。	Hơn chục năm sau, Vũ vương phạt Trụ, xây dựng Lạc Ấp, rồi lại về ở Phong Hạo, đuổi người Nhung ra phía bắc sông Kinh sông Lạc, theo thời gian vào cống, gọi vùng ấy là đất “Hoang phục”.
其後二百有馀年， 周道衰， 而穆王伐犬戎，得四白狼四白鹿以归。	Hơn hai trăm năm sau, đạo nhà Chu suy vi, Mục vương chinh phạt Khuyển Nhung, bắt được bốn con sói trắng, bốn con hươu trắng rồi rút quân về.
自是之後，荒服不至。	Từ đấy về sau, người ở vùng Hoang phục không đến cống nữa.
是後六十有五年，而山戎 越燕而伐齐，齐釐公与战于齐郊。	Sáu mươi lăm năm sau, người Sơn Nhung vượt qua Yên tấn công Tề, Tề Ly Công giao chiến ở ngoại vi nước Tề.
其後四十 四年，而山戎伐燕。	Bốn mươi tư năm sau, Sơn Nhung đánh Yên.
燕告急于齐，齐桓公北伐山戎，山戎走。	Nước Yên báo tình hình nguy cấp cho Tề, Tề Hoàn công lên phía bắc đánh Sơn Nhung, Sơn Nhung thua chạy.
其後二 十有馀年，而戎狄至洛邑，伐周襄王，襄王奔于郑之氾邑。	Hơn hai mươi năm sau, người Nhung địch kéo đến Lạc Ấp, đánh Chu Tương vương, Tương vương chạy đến Phàm Ấp của nước Trịnh.
而晋北有林胡、 楼烦之戎， 燕北 有东胡、山戎。	Còn phía bắc nước Ô Tấn có các tộc Nhung là Lâm Hồ, Lâu Phiền; phía bắc nước Yên có Đông Hồ, Sơn Nhung.
各分散居谿谷，自有君长，往往而 聚者百有馀戎，然莫能相一。	Các tộc sống phân tán ở khắp suối hang, đều có quân trưởng riêng, có chỗ tụ hợp hơn trăm tộc Nhung, nhưng không ai có thể thống nhất được.
