太史公曰：法令所以导民也，刑罚所以禁奸也。	Thái sử công bàn rằng: Pháp lệnh là để dẫn dắt người dân, hình phạt dùng để ngăn cấm gian tà.
文武不备，良民 惧然身修者，官未曾乱也。	Văn võ không hoàn bị mà lương dân biết sợ đặng tu thân, là vì quan lại chưa từng làm điều nhiễu loạn.
奉职循理，亦可以为治，何必威严哉？	Quan lại nói chức phận, theo sự lý, cũng có thể yên trị, hà tất phải dùng đến sự uy nghiêm?
孙叔敖者， 楚之处士也。	Tôn Thúc Ngao Tôn Thúc Ngao là xử sĩ nước Sở.
虞丘相进之於楚庄王，以自代也。	Tướng quốc nước Sở tiến cử Tôn Thúc Ngao với Sở Trang vương để thay mình.
三月为楚 相，施教导民，上下和合，世俗盛美，政缓禁止，吏无奸邪，盗贼不 起。	Làm Tướng quốc nước Sở được ba tháng, thi hành giáo hóa dẫn dắt chúng dân, trên dưới hòa hợp, phong tục đương thời tốt đẹp, chính lệnh khoan hòa, đã cấm là dứt, quan lại không gian tà, trộm cắp thì yên bặt.
秋冬则劝民山采，春夏以水， 各得其所便，民皆乐其生。	Mùa thu mùa đông thì khuyến khích dân lên núi chặt hái, mùa xuân mùa hạ thì nhân nước dâng [vận chuyển gỗ lạt], thảy được tiện lợi, dân chúng đều được an cư lạc nghiệp.
庄王以为币轻，更以小为大，百姓不便，皆去其业。	Trang vương cho là tiền đang lưu hành quá nhẹ, đổi tiền nhỏ thành tiền lớn, trăm họ thấy bất tiện, đều bỏ bê nghề nghiệp.
市令言之相 曰：“市乱，民莫安其处，次行不定。”	Quan Thị lệnh nói với Tướng quốc rằng: “Chợ búa hỗn loạn, dân chẳng ai yên tâm với nghề của mình, hàng thứ không ổn định.”
相曰：“如此几何顷 乎？”	Tướng quốc hỏi: “Như thế bao lâu rồi?”
市令曰：“三月顷。”	Quan Thị lệnh đáp: “Được ba tháng rồi.”
相曰：“罢，吾今令之复矣。”	Tướng quốc nói: “Thôi, nay sẽ ra lệnh khôi phục như cũ.”
後五 日，朝，相言之王曰：“前日更币，以为轻。今市令来言曰‘市乱， 民莫安其处，次行之不定’。臣请遂令复如故。”	Năm ngày sau, vào triều, Tướng quốc nói với Sở Trang vương: “Độ trước đổi tiền, vì cho là nhẹ. Nay quan Thị lệnh đến nói rằng: 'Chợ búa hỗn loạn, dân chẳng ai yên tâm với nghề của mình, hàng thứ không ổn định.' Thần xin khôi phục như trước.”
王许之，下令三日 而市复如故。	Sở Trang vương đồng ý, hạ lệnh khôi phục được ba ngày, chợ búa trở lại như cũ.
楚民俗好庳车，王以为庳车不便马，欲下令 使高之。	Tục dân nước Sở thích đi xe thấp, Sở vương cho là xe thấp không tiện khi ngựa chạy, muốn hạ lệnh sai làm cao lên.
相曰：“令数下，民不知所从，不可。王必欲高车，臣请教 闾里使高其(cid:0)困。乘车者皆君子，君子不 能数下车。”	Tướng quốc nói: “Mệnh lệnh nhiều lần ban xuống, dân chúng không biết theo đâu, không được. Nếu đại vương cứ muốn xe phải cao, thần xin sai làng xóm làm cao cổng lên. Người ngồi xe đều là bậc quân tử, quân tử không thể xuống xe nhiều lần.”
王许之。	Sở vương chấp thuận.
居半岁，民悉自高其车。	Được nửa năm, dân thảy tự làm xe cao lên.
此不教而民从其化，近者视而效之，远者四面望而法之。	Đó là không dạy mà dân thuận theo giáo hóa, người gần thì nhìn mà bắt chước, kẻ xa thì trông bốn bề mà noi theo.
故三得 相而不喜，知其材自得之也；三去相而不悔，知非己之罪也。	Cho nên nhiều lần được làm tướng mà không mừng, biết tài của mình tự sẽ được làm vậy, nhiều lần bị bãi chức tướng mà không tiếc, biết không phải tội lỗi của mình vậy.
子产者，郑之列大夫也。	Tử Sản Tử Sản là đại phu nước Trịnh.
郑昭君之时，以所爱徐挚为相， 国乱， 上下不亲，父子不和。	Thời Trịnh Chiêu quân, dùng bề tôi sủng ái là Từ Chí làm Tướng quốc, nước rối loạn, trên dưới không thân, cha con bất hòa.
二 年，市不豫贾。	Được hai năm, ngoài chợ không thách giá.
四年，田器不归。	Được bốn năm, nông cụ làm ngoài đồng không phải mang về.
五 年，士无尺籍，丧期 不令而治。	Được năm năm, binh sĩ không cần dùng quân pháp triệu tập, khi có quốc tang không cần hạ lệnh mà tang phục đúng quy định.
治郑二十六年而死，丁壮号哭，老人兒啼，曰：“子产去 我死乎！民将安归？”	Trị lý ở Trịnh được hai mươi sáu năm thì chết, trang đinh gào khóc, người già sụt sùi tựa con trẻ, đều nói: “Tử Sản bỏ ta mà chết rồi! Dân chúng biết trông cậy vào ai?”
公仪休者，鲁博士也。 以高弟为鲁相。	Công Nghi Hưu Công Nghi Hưu là quan Bác sĩ nước Lỗ, nhờ có tài danh nên được làm Tướng quốc nước Lỗ.
奉法循理，无所变更，百 官自正。 使食禄者不得与下民争利，受大者不得取小。	Ông giữ phép công, theo lý hành sự, không đổi pháp độ, trăm quan tự giác chính đáng, khiến người được hưởng lộc không được tranh lợi với hạ dân, người được nhận lộc lớn không được lấy lợi nhỏ.
客有遗相鱼者，相不受。	Có người khách đem biếu Tướng quốc con cá, Tướng quốc không nhận.
客曰：“闻君嗜鱼，遗君鱼，何故不受 也？”	Khách nói: “Nghe nói ngài thích ăn cá, cho nên mang cá đến biếu, cớ sao ngài không nhận?”
