大南正編列傳初集卷之三十。	ĐẠI NAM CHÍNH BIÊN LIỆT TRUYỆN Tập đầu, quyển 30.
僞西列傳。	TRUYỆN GIẶC TÂY - SƠN.
阮文岳阮文惠阮光纘。	Nguyễn Văn Nhạc Nguyễn Văn Huệ Nguyễn Quang Toản.
阮文岳歸仁今平定符籬縣今符吉人。	Nguyễn Văn Nhạc, người huyện Phù ly (nay là Phủ cát) thuộc Quy nhơn (nay là Bình định).
其先乂安興元人四世祖黎盛德閒爲我軍所俘處之歸寧今懷仁西山一邑西山有一二兩邑今安溪久安二村。	Tổ tiên của Nguyễn Văn Nhạc là người huyện Hưng nguyên tỉnh Nghệ an, trong khoảng niên hiệu Thịnh đức (1653-1657) nhà Lê, ông tổ bốn đời của Nguyễn Văn Nhạc bị quân ta (chúa Nguyễn) bắt đem cho ở Nhất ấp vùng Tây sơn (đất Tây sơn có hai ấp Nhất và Nhị, nay là hai thôn An khê, Cửu an) đất Quy ninh (nay là Hoài nhơn).
父福移于堅城邑今富樂村屬綏遠縣生三男長岳次呂次惠。	Cha tên Phúc dời về ở ấp Kiên thành (nay là thôn Phú lạc thuộc huyện Tuy viễn) sinh ra ba người con trai, con trưởng là Nhạc, kể là Lữ, kể nữa là Huệ.
岳以販芙爲業嘗商於蠻途經安陽山得一劍自謂神物挾以誑眾人多信之。	Nhạc lấy việc bán trầu làm nghề nghiệp, thường buôn bán ở miền người Thượng, đường đi ngang núi An dương được một thanh gươm, tự bảo là gươm thần, mang về gạt dân chúng, người phần nhiều tin theo.
又䕺從敎獻缺姓遊獻外右張文幸門客也幸爲張福巒所殺。	Nhạc lại thường giao du với Giáo Hiến (thiếu họ). Hiến là môn khách của Ngoại hữu Trương Văn Hạnh. Hạnh bị Trương Phúc Loan giết.
獻亡命入歸仁寓安泰邑設文武教場。	Hiến chạy trốn vào Quy nhơn, ngụ ở ấp An thái, lập trường văn vũ mà dạy.
岳兄弟從學焉。	Anh em Nguyễn Nhạc theo học ở đây.
獻奇其才。	Hiến lấy làm lạ lùng tài năng của Nhạc.
後岳爲雲屯巡卞吏消負稅錢督徵騰拘追甚急遂入山爲盜。	Về sau Nhạc làm biện lại ở tuần Vân đồn, tiêu pha mà thiếu tiền thuế, bị viên Đốc trưng Đằng tìm bắt rất gấp, bèn vào núi làm giặc cướp.
獻私謂岳曰：“讖語云西起義北收功。	Giáo Hiển nói riêng với Nhạc: "Lời sấm nói Khởi nghĩa ở Tây (Tây sơn), thu chiến công ở Bắc.
汝西山人其勉之。”	Anh là người Tây sơn hãy gắng lên."
岳以爲然暗自喜。	Nhạc cho là phải, thầm tự vui thích.
