趙紀.	Kỷ nhà triệu.
武帝.	Vũ đế.
在位七十一年,壽一百二十歳.	Ở ngôi bảy mươi mốt năm, thọ một trăm hai mươi mốt tuổi.
[趙氏,因秦衰乱,殺秦長吏,㨿有領南之地,称帝,𭁈漢抗衡,享國傳祚百年而後亡,亦英䧺之英也].	Họ triệu, nhân lúc nhà tần suy loạn, giết trưởng lại tần, chiếm giữ đất lĩnh nam, xưng đế, đòi ngang với nhà hán, hưởng nước truyền ngôi một trăm năm mới mất, cũng là bậc vua anh hùng.
姓趙諱它,漢真定人也,建都番禺[今在廣東是也].	Họ triệu, tên huý là đà, người huyện chân định nước hán, đóng đô ở phiên ngung (nay ở tỉnh quảng đông).
甲午,元年,[秦二世三年].	Giáp ngọ, năm thứ nhất, (tần nhị thế năm thứ ba).
帝併有林邑,象郡之地,自立爲南帝王.	Vua chiếm lấy đất lâm ấp và tượng quận, tự lập làm nam việt vương.
乙未,二年,[西楚覇王項籍元年,漢王劉󰘊元年].	Ất mùi, năm thứ hai, (tây sở bá vương hạng tịch năm thứ nhất; hán vương lưu bang năm thứ nhất).
是歲秦亡.	Năm ấy nhà tần mất.
丁酉,四年,[楚項籍三年;冬,十月,晦,日食十一月,晦,日食.	Đinh dậu, năm thứ bốn, (sở hạng tịch năm thứ ba; hán lưu bang năm thứ ba).
戌五年楚項籍四年,漢劉󰘊四年.	Mậu tuất, năm thứ năm, (sở hạng tịch năm thứ bốn; hán lưu bang năm thứ bốn).
秋,七月,有星孛于大角.	Mùa thu, tháng bảy, sao chổi mọc ở khu vực sao đại giác.
几亥,六年[漢髙帝五年].	Kỷ hợi, năm thứ sáu, (hán cao đế năm thứ năm).
春,二月,漢王即皇帝位.	Mùa xuân, tháng hai, hán vương lên ngôi hoàng đế.
是歳西楚亡.	Năm ấy tây sở mất.
癸卯,十年[漢髙帝九年].	Quý mão, năm thứ mười, (hán cao đế năm thứ chín).
帝令二使典主交趾,九真二郡.	Vua sai hai sứ coi giữ hai quận giao chỉ và cửu chân.
漢即定天下,聞帝亦已王越,因遣陸賈往拜帝爲南越王,授壐綬剖符通使,使和集百粤,毋爲冦災.	Ất tỵ, năm thứ mười hai, (hán cao đế năm thứ mười một) nhà hán đã định được thiên hạ, nghe tin vua cũng đã xưng vương ở nước việt, mới sai lục giả sang phong vua làm nam việt vương, trao cho ấn thao và con so bổ đôi, thông sứ với nhau, bảo vua giữ yên đất bách việt, chớ cướp phá.
使者至,帝踞見賈.	Khi sứ đến, vua ngồi xổm mà tiếp lục giả.
賈曰:"王本.	Giả nói: " vương vốn là
漢人,親戚墳墓皆在于漢,今反本俗,欲㨿於此典漢抗衡爲敵,𡸈不謬哉?	Người hán, họ hàng mồ mả đều ở nước hán, nay lại làm trái tục nước mình, muốn chiếm đất này làm kẻ địch chống chọi với nhà hán, há chẳng lầm hay sao?
且夫,秦失其鹿,天下共逐之,惟漢帝寬仁愛人,民皆樂從,起豊沛先八關㨿咸陽,攘除兇𨢄.	Vả lại, nhà tần mất con hươu, thiên hạ đều tranh nhau đuổi, chỉ có hán đế khoan nhân yêu người, dân đều vui theo, khởi quân từ đất phong bái mà vào quan trung trước tiên để chiếm giữ hàm dương, dẹp trừ hung bạo.
五年之間,󰰻乱反正,平定四海,此非人力,殆天𭁈也.	Trong khoảng năm năm, dẹp yên loạn lạc, bình định bốn biển, đó không phải là sức người làm nổi, tức là trời cho.
漢帝聞王王此,常欲一决勝負,以百姓新勞苦故罷之,遣使奉其印綬遣王,王宜郊迎拜謁示其敬也.	Hán đế nghe vương làm vua ở đất này, từng muốn quyết một phen được thua, nhưng vì dân chúng lao khổ vừa xong cho nên phải bỏ ý định, sai sứ mang ấn thao cho vương, đáng lẽ vương phải ra ngoài giao nghênh đón bái yết để tỏ lòng tôn kính.
今既不然,僃禮具之可也,奈何自特百粤之󰕛慢易天子使者?	Nay đã không làm thế, thì nên sắm lễ mà tiếp sứ giả mới phải, sao lại cậy dân bách việt đông mà khinh nhờn sứ giả của thiên tử?
天子聞之𭛁兵問罪,則王将如之何?	Thiên tử nghe biết, phát binh sang hỏi tội, thì vương làm thế nào?
"帝蹶然,興起曰:"居此日久殊.	Vua ra dáng sợ hãi, đứng dậy nói: " tôi ở đất này lâu ngày
失禮義".	Quên mất cả lễ nghĩa ".
因問賈曰:"我𭁈蕭何,曹參󰰽賢".	Nhân hỏi giả rằng: " tôi với tiêu hà, tào tham ai hơn?
曰:"王自賢".	" giả nói: " vương hơn chứ ".
又問:"我𭁈漢帝󰰽賢?	Lại hỏi: " tôi với vua hán ai hơn?
"賈曰""漢帝繼五帝三王之業,綂理乎漢人以億萬計,地方萬里,物殷民富,政由一家,開闢以來,未之有也.	Giả nói: " hán đế nối nghiệp của ngũ đế tam vương, thống trị người hán kể hàng ức vạn người, đất rộng hàng muôn dặm, vật thịnh dân giàu, quyền chính chỉ do một nhà, từ khi trời đất mở mang đến nay chưa từng có.
今王󰕛不過十萬,雜處山海間,譬如漢一郡也,何乃比於漢帝".	Nay dân của vương, chẳng qua mười vạn ở, ở xen khoảng núi biển, chỉ ví như một quận của nhà hán, ví với hán đế sao được?
突曰:"吾恨不起於彼何遠,不若漢?	Vua cười và nói: " tôi lấy làm giận không được nổi dậy ở bên ấy, biết đâu chẳng bằng nhà hán?
"賈默然色洱.	" giả ngồi im lặng, sắc mặt tiu nghỉu.
乃留賈居数月.	Bèn giữ giả ở lại vài tháng.
曰:"越中無足𭁈語.	Vua nói: " ở đất việt này không ai đủ để nói chuyện được.
賜賈槖中装直千金.	Đến khi giả về, lại cho thêm nghìn vàng nữa.
及賈㱕復,賜千金[橐中装謂以珠寳装裏八囊橐.	" cho giả đồ châu báu giá nghìn vàng để làm vật bỏ bao.
丙午,十三年,[漢髙帝十二年].	Bính ngọ, năm thứ mười ba, (hán cao đế năm thứ mười hai).
夏,四月,漢帝崩.	Mùa hạ, tháng bốn, vua hán băng.
庚戌,十七年,[漢惠帝,盈四年].	Canh tuất, năm thứ mười bảy, (hán huệ đế doanh năm thứ bốn).
春,正月,朔,日食夏,五月,日食既.	Quý sửu, năm thứ hai mươi, (hán huệ đế năm thứ bảy) mùa xuân, tháng giêng, ngày mồng một, nhật thực.
秋,八月,漢帝崩.	Mùa thu, tháng tám, vua hán băng.
乙卯,二十年[漢髙后吕雉二年].	Ất mão, năm thứ hai mươi hai, (hán cao hậu lữ trĩ năm thứ hai).
复,六月,晦,日食.	Mùa hạ, tháng sáu, ngày ba mươi, nhật thực.
丁巳,二十四年[漢髙后漢禁南越關市鉄噐.	Đinh tỵ, năm thứ hai mươi bốn, (hán cao hậu năm thứ bốn).
帝曰:"髙帝立,我通使,共噐物.	Vua nói: " khi cao đế lên ngôi, ta cùng thông sứ chung đồ dùng.
今髙后聽讒臣,别異漢越噐物.	Nay cao hậu nghe lời gièm pha, phân biệt đồ dùng hán, việt.
此必長沙王計,欲倚漢威德圖我國而併王之,自爲功也".	Việc này tất là mưu kế của trường sa vương muốn dựa uy đức của nhà hán mưu lấy nước ta mà làm vua cả, tự làm công của mình ".
戊午,二十五年,[漢髙后五年].	Mậu ngọ, năm thứ hai mươi lăm, (hán cao hậu năm thứ năm).
春,帝即皇帝位,𭛁兵功長沙,敗數郡而還.	Mùa xuân, vua lên ngôi hoàng đế, đem quân đánh trường sa, đánh bại mấy quận rồi về.
庚申,二十七年,[漢髙后七年].	Canh thân, năm thứ hai mươi bảy, (hán cao hậu năm thứ bảy).
漢使隆慮[音林閭],侯周竃擊南越以報長沙之役.	Nhà hán sai lâm lư hầu chu táo sang đánh nam việt để báo thù việc đánh trường sa.
會暑濕大𤶣,遂󰰾兵.	Gặp khi nắng to ẩm thấp, bệnh dịch phát, bèn bãi quân.
帝因此以兵威敗物招撫閩越,西甌貉[即交跐九真],皆從属焉,東西萬餘里.	Vua nhân thế dùng binh uy và của cải để chiêu vỗ mân việc và âu lạc ở phía tây (tức là giao chỉ và cửu chân), các nơi ấy đều theo về, từ đông sang tây rộng hơn vạn dặm.
御黃屋,左纛,稱制𭁈漢並.	Vua ngồi xe mui vàng, dùng cờ tả đạo, cho là nghi vệ ngang với nhà hán.
辛酉,二十八年,[漢髙后八年].	Tân dậu, năm thứ hai mươi tám, (hán cao hậu năm thứ tám).
秋,七月,髙后崩,諸大臣迎立代王恒,是爲文帝.	Mùa thu, tháng bảy, cao hậu băng, các đại thần đón đại vương hằng lên ngôi, tức là văn đế.
壬戌,二十九年,[漢文帝恒元年].	Nhâm tuất, năm thứ hai mươi chín, (hán văn đế hằng năm thứ nhất).
漢帝爲帝親塚在真定者.	Vua hán vì thấy mồ mả tổ tiên của vua đều ở chân định
置守邑,歳時奉祀,召其昆弟爲尊官厚賜.	Mới đặt người thủ ấp để trông coi, tuế thời cúng tế, gọi các anh em của vua cho làm quan to, ban cho hậu.
之問宰相陳平,󰁮可使越者.	Vua hán hỏi tể tướng trần bình có thể cử ai sang sứ nam việt được, bình nói: " lục giả thời tiên đế đã từng sang sứ nam việt ".
漢帝召賈爲太中大夫,謁者一人爲副使,往遣帝書.	Vua hán gọi giả cho làm thái trung đại phu, lấy một người yết giả làm phó sứ, đem thư sang cho vua.
曰:"謹問南越王甚苦心勞意.	Thư nói: " kính hỏi thăm nam việt vương rất lao tâm khổ ý.
