武功耆定。	Võ công định sáng .
莫諸将股慄各收殘卒遁回京邑。	Chẳng thấy các tướng đều run sợ , mỗi người thu gọn binh lính tàn tật , về về kinh thành .
民間疾苦士卒疲勞。	Dân thường khổ sở , lính quân mỏi mệt .
使兵部右侍郎阮瑋為督視官。	Sứ Bộ binh , phó thừa lương Nguyễn Vị làm quan đốc thị .
書即位者綠始終之義一年不二君綠臣民之心不可曠年無君禮也。	Sách nói người ngồi ngôi , nghĩa là bắt đầu và kết thúc , một năm không hai vua , lòng dân tôi không thể bỏ lâu không có vua , đó là lễ phép .
十日申明抑買禁。	Mười ngày tuyên bố cấm mua bán .
今余歷撰諸家兵法為一書。	Nay ta lược dịch các nhà binh pháp thành một quyển sách .
命權吏科都給事中汧仁壽東道監察韶惟精徃安󰘊鎮可勒堡按問將帥之逗遛與敗撓者。	Mệnh quyền , Lý khoa đều là quan sứ , Nghịa nhân thọ làm đường đông kiêm sát , Thao duyên tinh làm an toàn trấn , có thể ghi bia , xét hỏi tướng sứ đứng trơ đứng trôi , cùng người bại trận .
繼今士人入試時提調監試等官責令撿󰁮監官公同搜撿塲中或有藏詩書事實等跡一切察覔。	Từ nay , quan đốc đốc , quan giám thi , quan giám thí , quan trì đoán , quan trì thi , quan trì giám , quan trì đoán , quan trì giám , quan trì đoán , quan trì giám , quan trì đoán , quan trì giám , quan trì đoán , quan trì giám , quan trì đoán , quan trì giám , quan trì
禮科給事中張孚説如明謝󰀋封并謝賜冠復。	Lễ khoi , kỵ sự trung , Trương Phù , Tạ Minh , như nhau được phong tặng , cũng như được phong tặng ấn kính .
自入中至十中為上及六中至七中爲中級四中至五中爲下級賞各有差。	Từ chín trung đến mười trung là thượng giáp , từ sáu trung đến bảy trung là trung giáp , từ bốn trung đến năm trung là hạ giáp , phần thưởng khác nhau .
是夜璜以兵數百襲董元獲其寶物船戰而歸。	Đêm ấy Hoàng dùng mấy trăm binh đánh Đổng Nguyên , lấy được báu vật , chiến đấu về .
春追尊皇祖建王為德宗建皇帝皇父荘定大王為明宗哲皇帝仍勑禮部尚書譚慎徽號定廟諱御名。	Xuân tìm tôn vua , xây vua là đức tông , xây vua là hoàng đế , xây vua là hoàng phụ , xây vua là trang định , đều là đại vương , là minh tông , là triết hoàng đế , vẫn chiếu Lễ bộ Thượng thư Đàm , định hiệu tướng , định miếu hí , định danh hiệu .
太師鄭檢議分兵與諸將東擊東潮𰎟山至靈安陽等縣皆克之。	Thái sư Trịnh Kiểm nghị phân quân với các tướng đánh giặc Đông , đánh thắng ở Thanh Sơn , Linh An , An Dương .
以阮冲慤為翰林侍讀掌院事。	Do ông Nguyễn Chung Mãnh được bổ nhiệm làm hàn lâm sĩ đọc , trọng việc quản sự viện .
至是成舟楫所至皆得其便。	Đến đó thành thuyền chèo , nơi nào cũng được tiện lợi .
不然充殿前軍。	Nếu không làm quan , làm lính trước cửa điện .
初帝以二人附登庸繋之於瓊雲殿未及殺遂幸外故登庸釋之。	Vua mới ban cho hai người vào cung , đặt ở điện Quỳnh Vân , chưa kịp giết , lại về ngoại cung , thả hai người ra .
故敗元之功日燏居多。	Vì thua quân Nguyên mà công lao của ông đã mất hết .  Ngày nay chỉ còn lại một ít .
以前金光門待詔阮惠為禮部左侍郎行金光門待詔知尚寶監各局。	Trước đây , Nguyễn Huệ làm đại thịnh tướng ở cửa Kim Quang , sau đó làm Tráng bảo quản các cục ở Lễ phủ , tướng trái .
問曰汝何由在此。	Hỏi rằng sao mà anh đến đây .
四月殿試。	Tháng tư thi đình .
春正月十九日都給事中武夢康上書言事其畧有四。	Tháng giêng mười chín ngày , đô quỹ sự Trần Vũ Mộng Cương trình thượng thư , nói việc , lược có bốn điểm .
節制鄭松赦其罪使㱕有僚撫養後復封爲嵩郡公。	Chỉnh chế Trịnh Tùng , tha tội cho họ Đỗ , để họ Đỗ được nuôi dưỡng , sau đó lại phong làm công quận Tùng .
其勅諭曰予德宗建皇帝之孫明宗哲皇帝之第二子光紹皇帝之親弟。	Sắc chiếu nói rằng : ta là con trai của Đức tông , con trai thứ hai của Minh tông , là anh em ruột của Quang thái đế .
