其人曰：“某姓张名飞，字翼德。	Người ấy nói: - Tôi họ Trương tên Phi, tự là Dực Đức, ở Trác quận đã lâu đời.
世居涿郡，颇有庄田，卖酒屠猪，专好结交天下豪杰。	Gia tư có trang trại ruộng vườn, lại có lò mổ lợn và ngôi hàng bán rượu. Tôi chỉ thích kết giao với hào kiệt trong thiên hạ.
贼众乘势追赶，方过山岭，玄德军中一齐鸣金，左右两军齐出，玄德摩军回身复杀。	Giặc thừa thế đuổi tràn. Vừa qua sườn núi, trong quân Huyền Đức khua chiêng vang lên. Hai đạo quân tả hữu xô ra.
三路夹攻，贼众大溃。直赶至青州城下，太守龚景亦率民兵出城助战。贼势大败，剿戮极多，遂解青州之围。	Huyền Đức thúc quân quay lại, ba mặt giáp đánh, quân giặc thua to, chạy đến dưới thành Thanh Châu, quan thái thú Cung Cảnh cũng đem dân binh ra trợ chiến, quân giặc bị chết rất nhiều, giải được vòng vây.
朱儁分兵四面围定。	Chu Tuấn chia quân vây kín bốn mặt, trong thành lương cạn.
城中断粮，韩忠使人出城投降。	Hàn Trung sai người ra xin hàng.
今日他孩儿即皇帝位，内外臣僚，皆其心腹：威权太重，我将如何？”	Ngày nay con nó lên ngôi Hoàng Đế, các quan trong ngoài đều là vây cánh nó cả, uy thế nó to lắm, ta biết tính sao bây giờ? Trương Nhượng nói: - Tâu mẫu hậu, việc đó cũng dễ.
让奏曰：“娘娘可临朝，垂帘听政；封皇子协为王；加国舅董重大官，掌握军权；重用臣等：大事可图矣。”	Xin mẫu hậu cứ ra ngự triều đường, rủ mành mành coi xét việc chính, phong hoàng tử Hiệp lên tước vương, gia phong quốc cữu Đổng Trọng lên chức lớn coi giữ binh quyền và trọng dụng bọn hạ thần thì việc lớn có thể mưu tính xong được.
	Trác lại có người rể nữa, vừa là mưu sĩ cho hắn, tên là Lý Nho.
卓婿谋士李儒曰：“今虽奉诏，中间多有暗味。	Nho bảo Trác rằng: - Nay tuy phụng chỉ vào kinh, biết đâu trong đó chẳng có nhiều điều ám muội?
袁术全身披挂，引兵布列青琐门外。绍与操带剑护送何进至长乐宫前。	Viên Thiệu nai nịt đâu đấy, dẫn quân dân ở mé ngoài cửa Thanh Tỏa, Thiệu cùng Tháo đeo gươm đi kèm, hộ vệ Hà Tiến.
黄门传懿旨云：“太后特宣大将军，余人不许辄入。”	Tiến đi đến trước cửa cung Trường Lạc, hoàng môn quan truyền chỉ rằng: "Thái Hậu chỉ vời một mình đại tướng quân vào thôi, còn người khác đều không được vào".
贡与陈留王共乘一马。	Mẫn Cống cùng Trần Lưu Vương cùng cưỡi một con ngựa, khởi hành về kinh.
