興祖諸子。	TRUYỆN CỦA CÁC HOÀNG TỬ.
襄陽郡王暤。襄陽郡王暤，興祖長子，母慈妃阮氏。初授該奇，遇賊力戰，薨於陣〈年缺〉。	Các con Hưng Tổ Hiếu Khang Hoàng đế Tương Dương quận vương Hạo: Con cả Hưng Tổ, mẹ là Từ phi họ Nguyễn, mới cho làm Cai cơ, gặp giặc hết sức đánh, chết ở trận (không chép năm nào).
嘉隆四年，贈太傅國公，諡忠義，從祀太廟。	Năm Gia Long thứ 4 (1805) tặng hàm Thái phó, Quốc công, tên thụy Trung Nghĩa, được phụ tế ở nhà Thái miếu.
十三年，加贈莊公，祀展親祠。明命十二年，加贈佐運尊臣、尊人府右尊正，改諡恭穆，封襄陽郡王。嗣德三年，合祀親勳祠。	Năm thứ 13 (1814) gia tặng là Trang công, thờ ở đền Triển Thân, Năm Minh Mạng thứ 12 (1831), gia tặng là Tá Vận tôn thần, Tôn nhân phủ tôn chính, đổi tên thụy là Cung Mục, phong là Tương Dương quận vương.
無嗣。	Năm Tự Đức thứ 3 (1850) hợp thờ ở đền Thân huân, không có con thờ tự.
海東郡王晍。海東郡王晍，興祖第二子，世祖高皇帝同母兄。初授嘉三船隊長。乙未春，隨睿宗南入嘉定，常從征伐。	Hải Đông quận vương Đồng: Con thứ 2 Hưng Tổ, là anh cùng mẹ với Thế Tổ Cao Hoàng đế, mới bổ làm Đội trưởng thuyền Gia tam; Mùa xuân năm Ất Mùi (1775) theo Duệ Tông vào Gia Định, thường theo đi đánh giặc.
丁酉秋，賊犯龍川，為其所害，薨。	Mùa thu năm Đinh Dậu (1777), giặc xâm phạm Long Xuyên, bị giặc giết chết.
己酉，贈特進輔國上將軍、錦衣衛掌衛事、掌奇，諡英毅。嘉隆四年，贈翊運明義尊臣、特進輔國上將軍、太師、國公，改諡忠節，賜從祀太廟。	Năm Kỷ Dậu (1789), tặng là Đặc Tiến Phụ Quốc thượng tướng quân, Cẩm y vệ sĩ, Chưởng cơ, thụy Anh Ngăm Gia Long thứ 4 (1805) tặng là Dực Vân Minh Nghĩa tôn thần, Đặc Tiến Phụ Quốc thượng tướng quân,. Thái sư, Quốc công, đổi tên thụy là Trung Tiết, cho phụ tế ở nhà thái miếu.
十三年，加贈威公，又祀展親祠。	Năm thứ 13 (1814) gia tăng là Uy công, lại thờ ở đền Triển Thân.
明命十二年，加贈佐運尊臣、尊人府右尊正，改諡恭懿，封海東郡王。	Năm Mạng thứ 12 (1831) gia tặng là Tá Vận tôn thần, Tôn nhân phủ hữu tôn chính, đổi tên thụy là Cung Ý, phong là Hải Đông quận vương.
紹治三年，建祠于安津〈邑名，屬香水縣〉，與通化郡王晪、順安公曦合祀。	Năm Thiệu Trị thứ 3 (1843) dựng đền thờ ở ấp An Tân, (thuộc huyện Hương Thủy) hợp thờ với Thông Hóa quận vương Điển, Thận An công Hy.
嗣德三年，改為親勳祠。	Năm Tự Đức thứ 3(1850) đổi làm đền Thân Huân.
無嗣。	Không có con thừa tự.
皇四子。皇四子缺。安邊郡王旻。安邊郡王旻，興祖第五子，襄陽郡王暤同母弟。	Khuyết hoàng tử thứ tư: An Biên quận vương Mân: Con thứ năm của Hưng Tổ, là con cùng mẹ với Tương Dương quận vương Hạo.
