宋福添，一名善，其先清葩貴縣人。	MỤC X. Tống Phúc Thiêm tên nữa là Thiện, tiên tổ ở quý huyện, tỉnh Thanh Hoa.
添初從睿宗入嘉定，歷官掌奇。	Thiêm, lúc đầu theo Duệ Tông vào Gia Định từng làm quan đến Chưởng cơ.
丙申，睿宗傳位新政王，添與宋福和守龍湖。	Năm Bính Thân, Duệ Tông truyền ngôi cho Tân chính vương, Thiêm cùng Tống Phúc Hòa đóng giữ Long Hồ.
丁酉，西賊犯爭江，添以水兵迎王回巴越，而自守香堆，為賊急攻，遂奔巴越。	Năm Đinh Dậu, Tây tặc xâm phạm sông Tranh, Thiêm đem thủy binh đón vua về Ba Việt, rồi tự giữ Hương Đôi, bị giặc đánh gấp, mới chạy đến Ba Việt.
賊襲擊巴越，王遇害薨，添遁免。	Giặc đánh úp Ba Việt, vua gặp hại chết, Thiêm trốn thoát.
其年冬，世祖高皇帝收復柴棍，即王位。	Mùa đông năm ấy, Thế Tổ Cao Hoàng đế lấy lại được Sài Gòn, lên ngôi vua.
添有翊戴功，累官內左掌奇管戶、刑二部，兼艚務，竝水兵諸道，爵郡公。	Thiêm có công giúp đỡ tôn lập, từng làm quan đến Chưởng cơ Nội tả, coi 2 bộ Hộ, Hình kiêm việc Tào vận và các dạo thủy binh, tước Quận công.
辛丑，外右杜清仁謀不軌，添密言於帝，請除君側之賊。	Năm Tân Sửu, Ngoại hữu là Đỗ Thanh Nhân mưu làm việc trái phép. Thiêm mật tâu với vua, xin trừ giặc ở bên vua, vua lặng nghĩ hồi lâu.
帝沉思久之，添曰：“清仁心懷莽、操，不可不除，若以計去，一武士力耳。”	Thiêm nói rằng: Thanh Nhân mang lòng Mãng Tháo, không thể không trừ, nếu dùng kế trừ bỏ, chỉ sức mội võ sĩ mà thôi.
帝深以為然。清仁伏誅，其黨逃歸東山，招之皆拒命。	Vua rất cho là phải, Thanh Nhân phải giết, bè lũ của hắn trốn về Đông Sơn, cho triệu chúng đều chống lại mệnh lệnh.
壬寅，西賊入寇，添率水兵守角魚堡，與賊戰失利。帝幸三埠，添落後，為東山仇黨所殺。	Năm Nhâm Dần, Tây tặc vào cướp. Thiêm đem thủy binh giữ đồn Giác Ngư, đánh nhau với giặc, bị thua, vua đi ra Tam Phụ, Thiêm lùi lại sau, bị bọn thù ở Đông Sơn giết chết.
子碩初生纔三日遭變，其母阮氏攜寓安江。	Con là Thạc, mới đẻ được 3 ngày, gặp loạn, mẹ là Nguyễn thị mang con đến ngụ ở An Giang.
阮有瑞，清葩貴縣人。	Hoằng không có con. Nguyễn Hữu Thụy Người ở Quý huyện, tỉnh Thanh Hoa.
父有德，官該隊。瑞勇略有將帥節。	Cha là Hữu Đức làm quan Cai đội.
與父德及弟祐，從駕南幸，父子兄弟一門追隨未嘗離左右。	Thụy khỏe mạnh, mưu lược, có khí tiết tướng súy, cùng với cha là Đức và em là Hựu theo vua đi vào Nam, cha con, anh em cả nhà đi theo vua, chưa từng dời khỏi bên cạnh.
瑞官至中軍監軍掌奇尚主，祐官至畱守。	Thụy làm quan đến Giám quân Chưởng cơ ở trung quân, lấy công chúa. Hựu làm quan đến Lưu thủ.
壬寅春，暹人侵真臘。瑞率戰船百餘艘、精兵三千，與胡文璘往援師次羅壁。	xuân năm Nhâm Dần, người nước Xiêm xâm lấn nước Chân Lạp, Thụy đem hơn 100 chiếc chiến thuyền và 3.000 tinh binh cùng với Hồ Văn Lân đến cứu viện, quân đóng ở La Bích, tướng nước Xiêm là bọn Chất Tri, Sô Si sai người đến quân thứ Thụy cầu hòa, và mời đến trại hội ước.
暹將質知、芻癡等遣人詣軍求成且邀至寨會約，瑞許諾。	Thụy nhận lời, sứ nước Xiêm đi ra.
暹使出，祐諫曰：“蠻人多詐恐有變，奈何?”	Hựu can ngăn rằng: Người Man hay dối trá, sợ có biến thì làm thế nào?
瑞曰：“吾籌之熟矣，我聞暹王無故囚彼妻子，故彼借我為援，此請殆不妄。況我已許諾，不往彼將怯我。”	Thụy bảo rằng: Ta tính kỹ rồi, ta nghe vua nước Xiêm vô cớ giam vợ con chúng, cho nên chúng nhờ ta giúp cho, lời mời ấy hầu như không bậy, huống chi ta đã nhận lời, không đi, sẽ cho ta là nhát.
明日，帶隨兵數十人徑入暹寨，暹兵相顧駭懆。	Ngày hôm sau, Thụy đem quân vài chục người đi thẳng vào trại nước Xiêm; quân nước Xiêm nhìn nhau sợ hãi, Chất Si, Sô Si mời đãi rất hậu, đem hết tình hình báo cáo, uống rượu say, bẻ tên để thề.
質知、芻癡延待甚厚，具以情告。酒酣，折矢為誓。瑞贈以旗、刀、劒三寶器。	Thụy tặng cho 3 thứ đồ quý là cờ, dao, kiếm rồi về.
而回以狀聞帝，命班師。	Đem việc ấy tâu lên, vua sai thu quân về.
其年夏，西賊入寇犯柴棍。	Mùa hạ năm ấy, Tây tặc vào cướp xâm phạm Sài Gòn.
瑞與公主率所部進次鹿野，設水堡于平化，分屯步兵于新潤。為賊將阮文金所襲，瑞兵敗退江陵。大駕進次四岐江，與賊戰失利。	Thụy cùng công chúa đem quân thuộc hạ đóng Lộc Dã, làm đồn thủy ở Bình Hóa, chia đóng bộ binh ở Tân Nhuận, bị tướng giặc là Nguyễn Văn Kim đánh úp, quân Thụy thua rút về Giang Lăng.
瑞父德與弟祐俱死于陣。	Vua tiến quân đóng ở sông Tứ Kỳ, đánh nhau với giặc bị thua, cha Thụy là Đức cùng em là Hựu đều chết ở trận.
駕幸後江，瑞與陳春澤等如暹求援，假道真臘。臘人陰附西賊，遂爲所害。	Vua đi ra Hậu Giang, Thụy cùng bọn Trần Xuân Trạch sang nước Xiêm cầu viện, mượn đường qua nước Chân Lạp, người nước Chân Lạp ngầm giúp Tây tặc, rồi Thụy bị chúng hại.
嘉隆初年，追贈掌營郡公，謚忠肅。	Gia Long năm đầu, truy tặng Chưởng doanh, tước Quận công, cho tên thụy là Trung Túc.
三年，祀顯忠祠。	Năm thứ 3, được thờ vào đền Hiển trung.
九年，列祀忠節、中興功臣二廟。	Năm thứ 9, được bày thờ vào 2 miếu Trung tiết và Trung hưng công thần.
瑞死於國事，帝憐其無嗣，復其姪德意〈祐之子也。〉使之主祀，公主別有傳。	Thụy chết vì việc nước, nên vua thương là không có con, tha thuế thân cho cháu Thụy là Đúc Ý (con của Hựu) để chủ trương việc thờ. Công chúa có truyện chép riêng.
