初浼偽官侍郎。	Buổi đầu theo nguỵ làm tới Thị lang.
辛酉，效順。	Năm Tân Dậu (1801), xin về quy thuận.
嘉隆元年，授翰林院制誥。尋遷吏部僉事。	Năm Gia Long thứ 1, bổ làm Hàn lâm viện chế cáo, rồi thăng đổi sang Thiêm sự bộ Lại.
七年，出為廣義記錄。尋徵還陞吏部右參知，奉使如清。廣平該簿黎得秦、吏部僉事吳俊充甲乙副使與之俱。	Năm thứ 7, ra làm Ký lục Quảng Ngãi, sau được gọi về thăng làm Hữu tham tri bộ Lại, vâng mệnh sang sứ nước Thanh, cùng đi có Cai bạ ở Quảng Bình là Đức Tần và Lại bộ Thiêm sự là Ngô Tuấn sung làm Giáp, Ất phó sứ.
慎等陛辭，帝諭之曰:“爾等將命出使當慎，乃辭令以重國體。”九年，慎自清還，以大清曆象考成書進。	Bọn Thận vào bệ từ, vua dụ rằng: "Bọn ngươi phụng mệnh đi sứ, nên thận trọng về lời lẽ để trọng quốc thể" … Năm thứ 9, Thận từ nước Thanh trở về, đem quyển "Đại Thanh lịch tượng khảo thành thư" dâng lên.
帝問之，慎奏言:“敬授人辰，有國之先務也。	Vua hỏi, Thận tâu nói: Kính cáo cho thần dân biết thời tiết làm ruộng là công việc đầu tiên của người làm chủ một nước.
我國萬全曆與大清辰憲書從前皆用明大統曆法，三百餘年未有改定，愈久愈差。	Quyển lịch "Vạn toàn" của nước ta, cùng với quyển "Thời hiến thư" của nước Đại Thanh, từ trước đến giờ đều dùng theo như "Đại thống lịch pháp" của nhà Minh, hơn 300 năm nay chưa có đổi định lại, nên càng lâu càng sai.
清康熙開始參西洋曆法彙成是編其書，步測精詳，比之大統曆愈密，而三線八角之法又極其妙，請付欽天監令天文生考其法，則天度齊而結候正矣。”	Khoảng năm Thanh Khang Hy mới tham khảo cách tính lịch của Tây Dương, làm thành sách này, về phép đo lường, suy tính rất rõ ràng, so với sách Đại thống càng kỹ lưỡng hơn. Mà về phép tính tam tuyến, bát giác (94) tinh diệu, xin giao cho Khâm thiên giám, bảo các sinh viên về môn thiên văn xem xét tìm cách tính, thì độ số của trời được đều, mà tiết hậu được đúng vậy.
十年，戶部黎光定言:“慎精於心計才可大用。”	Năm thứ 10, Hộ bộ là Lê Quang Định nói: Thận trong bụng mưu tính tinh thông, tài ấy có thể đại dụng.
乃自吏部轉為戶部又參知。	Bèn từ Lại bộ chuyển sang Hữu tham tri Hộ bộ.
十一年春，兼副管欽天監事務。	Mùa xuân năm thứ 11, kiêm Phó quản các công việc ở Khâm thiên giám.
十四年，帝嘗與論天象曰:“朔望遇日食當罷朝賀、燕享，以致其恐懼修省之意。”	Năm thứ 14, vua thường cùng với Thận bàn về thiên tượng, nói rằng: Ngày sóc ngày vọng mà gặp có nhật thực, nên bãi triều hạ và yến thưởng, để tỏ ý biết sợ hãi tu tính.
慎因奏言:“臣推步天象，至丁丑四月十月俱當有日食。”	Thận nhân đó tâu nói: Thần suy tính thiên tượng đến tháng 4 và tháng 10 năm Đinh Sửu đều có nhật thực.
帝曰:“若果有之，則夏冬二響禮改日可也。”	Vua nói: Nếu quả có, thời 2 lễ hưởng về mùa hạ, mùa đông nên đổi ngày khác mới phải.
又論西洋天主教道，阮文勝奏言:“天主出世至今一千八百十五年。”令慎試算之，則漢元帝元始元年辛酉也。	Lại bàn đến đạo Thiên Chúa giáo ở Tây dương. Nguyễn Văn Thắng tâu nói: Thiên Chúa ra đời tới nay đã được 1815 năm, vua sai Thận tính thử, thời thuộc về năm Tân Dậu, niên hiệu Nguyên Thuỷ thứ 1 đời Hán Bình đế (95).
十五年，調戶部左參知，領北城戶曹。	Năm thứ 15, đổi bổ Tả tham tri bộ Hộ lĩnh Hộ tào ở Bắc thành.
十六年，果有日食。	Năm 16 (1817), tức là năm Đinh Sửu, quả có nhật thực.
帝與羣臣論曆法，曰:“欽天監之職，惟阮有慎學術足以當之。”	Vua cùng các quan bàn về phép làm lịch nói: Chức Khâm thiên giám, duy có học thuật của Nguyễn Hữu Thận mới đủ đương được.
其年冬，召還陞吏部尚書。	Mùa đông năm ấy cho triệu về, thăng làm Lại bộ thượng thư.
明命元年，調戶部尚書。	Năm Minh Mạng thứ 1, đổi sang làm Hộ bộ thượng thư.
二年，兼管內務府事。尋監管欽天監事務。	Năm thứ hai kiêm quản cả việc ở phủ Nội vụ, rồi kiêm quản cả công việc ở Khâm Thiên giám.
四年，權領刑部事務。	Năm thứ 4, quyền lĩnh công việc bộ Hình.
有慎以病久在告，帝命其子內閣典簿有嘉歸養，諭之曰:“有慎非怠於事，但年衰故多病耳。”	Hữu Thận vì có bệnh đã lâu xin cáo. Vua sai cho con là Hữu Gia hiện đang làm Nội các điển bạ nghỉ phép về để nuôi, và dụ rằng: "Hữu Thận không trễ nải công việc, vì tuổi già nên lắm bệnh thôi".
五年，以老病請休，不允。命解刑部事務。	Năm thứ 5, vì già ốm xin về hưu, vua không cho, sai thôi bớt công việc ở bộ Hình.
六年冬，陞授協辦大學士，領北城協總鎮。	Mùa đông năm thứ sáu, bổ làm Hiệp biện đại học sĩ, lĩnh Bắc Thành Hiệp tổng trấn, lại sai con là Hữu Gia đi theo.
又遣其子有嘉隨行，慎上書辭之。	Thận dâng sớ cố từ.
七年，土匪滋起慎不能制，下詔切責降畱。八年，土匪平。	Năm thứ bảy, bọn thổ phỉ khởi lên quấy nhiễu, Thận không kiềm chế nổi, xuống chiếu quở trách và giáng chức lưu lại làm việc.
冊上功狀賞三級。	Năm thứ tám, bình được hết bọn thổ phỉ, bàn công trạng dâng lên, thưởng cho ba cấp, rồi cho triệu về kinh.
尋召來京。是年冬，以協辦大學士領吏部尚書，又兼領欽天監。	Mùa đông năm ấy cho làm Hiệp biện đại học sĩ, lĩnh Lại bộ thượng thư, lại kiêm lĩnh cả Khâm Thiên giám.
慎以元老大臣每入朝奏事，特賜之坐示優禮焉。俄充職制總裁。	Thận là bậc nguyên lão đại thần, khi vào chầu tâu việc đặc cách cho ngồi, tỏ ra đối đãi hơn người.
尋以公事疊降又以老病請休，降補尚書職銜休致。	Bỗng lại sung chức Chế tổng tài, rồi vì việc công, mấy lần bị giáng lại vì ốm xin về hưu, giáng bổ chức hàm Thượng thư cho hưu trí.
又以在北城輕縱囚犯事發，降吏部參知銜。	Lại vì khi ở Bắc Thành khinh suất tha kẻ tù phạm, việc phát ra, giáng xuống hàm Lại bộ Tham tri.
十二年，病卒，年七十有八。追贈吏部尚書，賜錢二百緍。	Năm thứ 12 ốm chết, thọ 78 tuổi, truy tặng là Lại Bộ Thượng thư và cho 200 quan tiền.
有慎有學術、練達吏事、精曆學、善推步天文，家無出其右。	Hữu Thận có học thuật, thạo việc làm quan, tinh về lịch học, giỏi suy tính, về thiên văn học không có ai hơn được.
及協總鎮北城堤條多潰，慎恾遽入奏，潰十丈誤作潰十尺，年號忘、用堤政印。	Khi làm Hiệp tổng trấn ở Bắc Thành, đê điều có nhiều chỗ vỡ, Thận vội vàng tâu lên, đê vỡ 10 trượng mà biên là 10 thước, chỗ niên hiệu quên không đóng dấu của Đê chính.
及有旨飭問乃上表謝罪。	Tới lúc có chỉ sức hỏi, bèn dâng biểu tạ tội.
次室陳氏私役工匠造物件，慎不能禁，侍衛自北城還以聞。帝以慎責專閫，而不忍以小節罪大臣。	Người vợ thứ là Trần Thị bắt thợ làm việc riêng, đóng các vật kiện, Thận không biết ngăn cấm, thị vệ từ Bắc Thành trở về đem việc tâu lên, vua cho Thận có chuyên trách giữ một địa phương ở ngoài của kinh đô, không nỡ lấy việc nhỏ mọn bắt tội đại thần.
乃令其子有嘉馳驛往諭，慎即遣還，其被眷注如此。	Bèn sai con là Hữu Gia đi đường trạm tới dụ Thận phải lập tức tha cho bọn về. Ông được yêu quý chú trọng như thế.
子有嘉、有絢，有嘉明命二年辛巳恩科舉人，初授典簿充內閣行走，歷官至兵部右侍郎領北城兵曹坐免，俄起復宣光按查卒。	Con là Hữu Gia, Hữu Huyến. Hữu Gia về năm Minh Mạng thứ hai là năm Tân Tỵ đỗ Cử nhân, bắt đầu bổ thụ Điển bạ, sung Nội các Hành tẩu, trải thăng Binh bộ Hữu thị lang lĩnh Bắc Thành Binh tào, bị tội phải miễn, sau được khởi phục làm Án sát Tuyên Quang, rồi chết.
有絢亦領鄉薦官至禮部郎中。	Hữu Huyến cũng đỗ Hương tiến làm đến Lễ bộ Lang trung.
嗣德五年，充如清乙副使。及還路阻，卒于梧州。贈太僕寺卿，給銀五十兩。	Năm Tự Đức thứ 5 sung làm Ất phó sứ, sang sứ nhà Thanh; khi về bị đường nghẽn chết ở Ngô Châu, tặng làm Thái bộc tự khanh, cấp cho 50 lạng bạc Trần Hiếu Liêm Không rõ người ở đâu.
