何喜文，淸四川人，白蓮敎餘黨也。	Hà Hỷ Văn, người tỉnh Tứ Xuyên, nước Thanh, là dư đảng của Bạch Liên giáo.
初，聚眾海外，號爲天地會，抄掠閩粵間。	Khi trước tụ họp lũ ở ngoài biển, gọi là "Thiên địa hội" đi cướp bóc ở khoảng tỉnh Mân và tỉnh Việt.
丙午春，喜文泊崑崙島，聞帝駐蹕望閣，意欲効順。乃令其屬梁文英、周遠權、黃忠仝等投款，帝嘉納之。	Mùa xuân năm Bính Ngọ (1786), Hỷ Văn đỗ thuyền ở đảo Côn Lôn, nghe vua sang trú chân ở Vọng Các, ý muốn quy thuận, bèn sai bộ thuộc là Lương Văn Anh, Chu Viễn Quyền và Hoàng Trung Đông nộp tờ xin quy phụ. Vua khen nhận ngay.
丁未秋，帝自暹回鑾，至古骨島，遣阮文誠、阮太元等往招之。	Mùa thu năm Đinh Mùi, vua từ nước Xiêm trở về đến đảo Cổ Cốt, sai bọn Nguyễn Văn Thành và Nguyễn Thái Nguyên tới chiêu dụ.
喜文以兵船歸附，授巡海都營；其屬梁文英等，授統兵、總兵、飛騎尉有差。	Hỷ Văn đem binh thuyền về quy phục, bổ làm Tuần hải đô doanh còn thuộc hạ là bọn Lương Văn Anh, bổ làm Thống binh, Tổng binh, Phi kỵ uý có thứ bậc khác nhau.
美湫之戰，官軍失利，喜文退泊崑崙。	Trận đánh nhau ở Mỹ Tho quan quân thất lợi, Hỷ Văn lui đóng ở Côn Lôn.
戊申，召詣行在，賜之錢一百緡、米二百方、絹布二十餘疋。	Năm Mậu Thân (1788) triệu tới nơi hành tại ban cho 100 quan tiền, 200 phương gạo, hơn 20 tấm lụa vải.
喜文率兵船從官軍討賊。	Hỷ Văn đem binh thuyền theo quan quân đi đánh giặc.
乙酉年，乘戰船越歸仁歷順化、北河，打探賊情；尋往廉州，招諭齊桅海匪船二十三艘歸順。	Năm Ất Dậu, H Văn đem chiến thuyền vượt Quy Nhơn qua Thuận Hoá tới Bắc Hà thăm dò tình hình của giặc, rồi đi Liêm Châu chiêu dụ giặc biển Tề Ngôi được 23 chiếc thuyền về quy thuận.
庚戌，從阮文誠守角魚堡。	Năm Canh Tuất (1790), theo Nguyễn Văn Thành giữ bảo Giới Ngư.
壬子夏，從駕進攻歸仁。喜文善水戰，管率唐兵，常從征伐，歷著戰功。	Mùa hạ năm Nhâm Tý (1792), theo vua tiến đánh Quy Nhơn, thường theo đánh dẹp, trải lập chiến công.
辛酉冬，病卒于軍。帝悼惜不已，厚賜官衾殯葬。	Mùa đông năm Tân Dậu (1801), ốm chết trong quân, vua thương tiếc mãi, hậu cho khâm liệm chôn cất.
嘉隆三年，列祀嘉定顯忠祠。六年，贈昭毅將軍、水軍統制上護軍，定望閣功，列在二等，給墓夫。	Năm Gia Long thứ 3, được liệt vào thờ ở đền Hiển trung ở Gia Năm thứ 6, tặng là Chiêu nghị tướng quân Thuỷ quân thống chế thượng hộ quân. Khi bàn công theo đi Vọng Các, được liệt vào bậc thứ 2, cấp phu coi mộ.
子二，楊廕授該府艚，養廕該隊，楊子福廕恩騎尉。	Có 2 người con: Dương được ấm thụ Cai phủ tàu; Dưỡng được ấm bổ Cai đội; con Dương là Phúc được ấm thụ kỵ uý.
其屬梁文英、周遠權、黃忠仝，歷官至巡海副都營。	Bọn thuộc hạ của Hỷ Văn là: Dương Văn Anh, Chu Viễn Quyền và Hoàng Trung Đông, trải làm đến Tuần hải phó đô doanh.
忠仝，明命年間以罪免，尋起復爲正巡海都營，支三品俸，隸嘉定城差派。	Trung Đông vào khoảng năm Minh Mạng có tội miễn chức, rồi lại được khởi phục làm Chánh tuần hải đô doanh, chi bổng tam phẩm, lệ thuộc vào thành Gia Định sai phái.
仝子諒，廕奉恩尉。	Con Đông là Dượng được ấm thụ Phụng ân uý.
張公引。張公引，淸福建人，南來投忱。	Trương Côn Dẫn người ở tỉnh Phúc Kiến nước Thanh, sang Nam xin thành tâm quy thuận.
