高蠻，一名眞臘，一名高綿。	Cao Man có tên nữa là nước Chân Lạp, lại một tên nữa là nước Cao Miên.
〈紹治初，避諱仍號眞臘，七年改今名。〉	(Lúc đầu đời Thiệu Trị tránh tên húy vẫn gọi là Chân Lạp, đến năm thứ 7, đổi lại làm tên bây giờ).
本古扶南屬國，其後扶南寢微，遂併於眞臘。至唐神龍年間，始分其國為二，半北多山，號陸眞臘，地七百里，王號笡屈；半南際海，饒陂澤，號水眞臘，地八百里，王居婆羅提拔城。	Nguyên thời cổ là thuộc quốc của nước Phù Nam, sau nước Phù Nam dần dần suy đi, mới gộp cả vào nước Chân Lạp; đến khoảng năm Thần Long (niên hiệu của Đường Trung Tông đời Đường (705)) mới chia nước ra làm hai, một nửa miền Bắc nhiều núi, gọi là Lục Chân Lạp, đất rộng 700 dặm, vua hiệu là Thả Khuất; một nửa miền Nam gần biển nhiều chuôm chằm, gọi là Thủy Chân Lạp, đất rộng 800 dặm, vua ở thành Bà La Đề Bạt.
唐世二國偕來貢，竝封王。	Đời Đường hai nước đều đến tiến cống, đều phong là Vương.
至宋合爲一，號眞臘，自安南建國，李太祖順天三年〈宋祥符五年〉，眞臘始來貢，三年一遣使。尋與占城寇乂安，屢見挫衂。	Đến đời Tống hợp lại làm một, gọi là nước Chân Lạp. Từ khi nước An Nam dựng nước, năm Thuận Thiên thứ 3, đời Lý Thái Tổ (năm Tường Phù thứ 5 đời Tống, 1012), nước Chân Lạp mới sang tiến cống, ba năm một lần sai sứ đến, rồi sau cùng Chiêm Thành đến xâm lấn Nghệ An, thường bị thua chạy.
自是，遂絕不通，北貢於元。至明初，其王忽兒那多表獻方物，至永樂，使復絕。以占城侵擾，不能往也。	Từ đây mới dứt đi không thông cống sứ nữa, sang Bắc triều cống nhà Nguyên; đến đầu đời nhà Minh, vua nước ấy là Hốt Nhi Na Đa đưa tờ biểu dâng sản vật địa phương; đến năm Vĩnh Lạc (niên hiệu của Minh Thành Tổ) không có đường sai sứ sang vìớ Chiêm Thành xâm lấn quấy nhiễu, không thể đi được.
本朝太祖皇帝初基順化，特以占城附郭，獨先經理，而臘為緩圖。	Thái Tổ Hoàng đế bản triều ta mới gây nền ở Thuận Hóa, chỉ lấy Chiêm Thành làm nơi phụ quách, riêng sửa sang trước, mà hoãn mưu tính nước Lạp.
太宗皇帝戊戌十年，其王匿螉禛犯邊。〈謹按《嘉定通志》云：國人有名無姓，凡王之子孫皆稱匿螉，禛其名也。而名則以美者命之，雖祖孫同名，亦不避諱。	Năm Mậu Tuất thứ 10, đời Thái Tông Hoàng đế (1658) vua nước ấy là Nặc Ông Chân xâm phạm biên giới (kính xét: Sách Gia Định thông chí chép rằng: Người nước ấy có tên không có họ, phàm con cháu của vua đều xưng là Nặc Ông, Chân là tên, mà tên thì lấy chữ đẹp mà đặt, tuy ông, cháu cùng một tên cũng không kiêng tránh).
〉鎮邊營副將尊室燕奉命進討，大破蠻兵于興福城〈卽今邊和省福正縣地〉，俘禛以獻。上赦其罪，命官兵護送回國，令為藩臣，歲修職貢。	Phó tướng doanh Trấn Biên tên là Tôn Thất Yên vâng lệnh tiến đánh, cả phá quân Man ở thành Hung Phúc (tức là đất huyện Phúc Chính tỉnh Biên Hòa ngày nay) bắt Chân đem về dâng, vua tha tội cho, sai quan quân hộ đưa về nước, khiến làm phiên thần, hàng năm đưa lễ tiến cống.
甲寅二十六年，禛死，匿螉嫩立。	Giáp Dần, năm thứ 26 (1674) Chân chết.
其臣烏苔叛，援暹反攻。嫩來奔，命統兵阮楊林等討之。烏苔走死，匿秋乞降。	Nặc Ông Nộn lập lên, bề tôi là Ô Đài làm phản, viện nước Xiêm đánh lại Nộn, Nộn chạy đến nước ta, vua sai bọn Thống binh Nguyễn Dương Lâm đi đánh, Ô Đài chạy rồi chết.
朝議以匿秋嫡派，錫封爲正國王，居龍澳城；改封嫩爲二國王，居柴棍城，職貢如故。	Nặc Thu xin hàng, triều nghị cho Nặc Thu là phái đích, phong cho làm Chính quốc vương, ở thành Long Úc; đổi phong Nộn làm Nhị quốc vương ở thành Sài Gòn, dâng lễ cống hàng năm như cũ.
己未三十一年，明總兵楊彥廸、陳上川等不肯臣淸，率兵船來歸。	Kỷ Vị, năm thứ 31 (1679) Tổng binh nhà Minh là bọn Dương Ngạn Địch, Trần Thượng Xuyên, không chịu làm tôi nhà Thanh, đem binh thuyền về với ta.
朝廷畱意眞臘東浦地，因納之，居廸等於美湫〈今定祥〉，居上川等於盤轔〈今邊和〉，使之闢林莽、立鋪市。	Triều đình đương để ý đến đất Đông Phố nước Chân Lạp, nhân thế bèn thu nạp bọn Địch, cho bọn Địch ở Mỹ Tho (nay là Định Tường), cho bọn Thượng Xuyên ở Bàn Lân (nay là Biên Hòa) khiến cho mở rừng rậm, lập ra phố chợ.
自是，淸人、洋人及日本、闍�諸國商賈湊集，東浦遂爲樂土。	Từ đấy người nước Thanh, người Tây dương và các nước Nhật Bản, Chà Và họp đông đúc buôn bán, Đông Phố bèn thành ra chỗ đất vui vẻ.
顯宗皇帝戊寅七年初，取東浦地，置嘉定府，建藩鎭營，斥地千里，得戸逾四萬。	Mậu Dần, năm thứ 7 đời Hiển Tông Hoàng đế (1698) mới lấy đất Đông Phố, đặt phủ Gia Định, dựng doanh Phiên Trấn, mở đất rộng nghìn dặm, được hơn bốn vạn hộ.
先是，東浦闢土後六年，楊彥廸爲其屬黃進所殺。臘正王匿秋遂叛，築羅碧、求南、茶榮三壘自守。	Trước đây sau khi đất Đông Phố mở mang 6 năm, Dương Ngạn Địch bị thuộc hạ là Hoàng Tiến giết chết, Chính vương nước Chân Lạp là Nặc Thu làm phản, đắp ba lũy La Bích, Cầu Nam, Trà Vinh để tự giữ lấy.
副王匿嫩告變。命萬龍統兵進討。陳上川率龍門餘眾隨之。	Phó vương là Nặc Nộn Cao Biên cầu cứu, sai Vạn Long đem tiến đánh, Trần Thượng Xuyên đem quân còn lại ở Long Môn đi theo.
旣誅黃進，臘人震懾，遣女使遙律以金幣求緩師。萬龍墜其誑，頓兵不進。該奇阮有豪代之，亦逗遛誤軍。將繼貶斥，迄無成功。	Khi đã giết được Hoàng Tiến, người nước Lạp sợ hãi, sai nữ sứ là Dao Luật đem vàng lụa cầu hoãn quân, Vạn Long bị sa vào chước lừa dối của họ, dừng quân lại không tiến, Cai cơ là Nguyễn Hữu Hòa thay Long, cũng dùng dằng làm lỡ việc quân, nối nhau bị biếm giản, rồi cũng không thành công.
庚辰九年春，阮有鏡奉命經略，率諸軍分道擊之。匿秋棄城走。匿嫩之子匿淹出降。旣而匿秋亦詣軍門降，乞修職貢。	Canh Thìn, năm thứ 9 (1700) mùa xuân, Nguyễn Hữu Kính vâng mạng đi kinh lược, đem các quân chia đạo để đánh, Nặc Thu bỏ thành chạy, con Nặc Nộn là Nặc Yêm ra xin hàng, rồi Nặc Thu cũng đến cửa quân đầu hàng xin sửa lễ cống.
有鏡退兵牢堆，經理邊事。	Hữu Kính lui quân về Lao Đới, sửa sang việc biên cương.
及匿秋年老，傳位於其子匿深。	Kịp khi Nặc Thu tuổi già truyền ngôi cho con là Nặc Thâm.
深疑淹有異志，構兵相攻。淹隨大兵進擊，匿深棄羅碧，遁歸暹。淹招之，不敢回。秋願傳國於淹，遂襲封淹爲王。	Thâm bỏ La Bích trốn sang Xiêm, Yêm gọi không dám về, Thu xin truyền nước cho Yêm, bèn tập phong cho Yêm làm vua.
淹沒，子匿他立。深自暹還，他弗納。	Yêm chết, con là Nặc Tha lập lên, Thâm từ nước Xiêm về Tha không dung nạp, Thâm đánh.
深攻之，他奔嘉定。深復據其國。	Tha chạy đến Gia Định, Thâm lại giữ lấy nước.
及深死，諸子〈敦、軒、厭三人〉爭立，官兵討，平之，送他歸國。	Kịp khi Thâm chết, các con Đôn, Hiên, Yêm 3 người tranh nhau lập, quan quân dẹp yên, đưa Tha về nước.
匿原〈匿深第二子〉援暹攻他，他復來奔，尋死。	Nặc Nguyên (con thứ hai Nặc Thâm) viện quân nước Xiêm đánh Tha, Tha lại chạy sang nước ta, rồi chết.
匿原更王其國。	Nặc Nguyên lại làm vua nước ấy.
世宗皇帝庚午十二年，原舉兵侵崑蠻〈順城部落〉。癸酉十五年，統率善政〈人名〉、參謀阮居貞奉命，調五營兵伐之，分道齊進。雷巤、尋奔、求南、南榮四府皆降，原遁走。居貞招撫崑蠻，護其男女五千餘人回駐婆丁山。	Canh Ngọ, năm thứ 12 đời Thế Tông Hoàng đế (1750) Nguyên cất quân xâm lấn Côn Man (bộ lạc ở Thuận Thành), Quý Dậu, năm thứ 15 (1753), Thống suất là Thiện Chính, Tham mưu là Nguyễn Cư Trinh phụng mệnh điều động quân lính 5 doanh đến đánh, chia đạo đều tiến đến, 4 phủ Lôi Hiệp, Tầm Bôn, Cấu Nam, Nam Vang đều đầu hàng cả, Nguyên trốn chạy, Cư Trinh vỗ về gọi dân Côn Nam con trai con gái hơn 5000 người trở về, đóng ở núi Bà Đinh.
及張福猷代善政爲統率，逼攻求南、南榮。原走河僊，依鄚天賜，願獻尋奔、雷巤二府贖罪。阮居貞爲之請，遂歸軍。	Kịp khi Trương Phúc Du thay Thiện Chính làm Thống suất, đánh phủ Câu Nam, Nam Vang, Nguyên chạy đến Hà Tiên, nương tựa Mạc Thiên Tứ, xin dâng 2 phủ Tầm Bôn, Lôi Hiệp để chuộc tội, Nguyễn Cư Trinh xin hộ cho Nguyên, rồi kéo quân về.
旣而原死，族叔匿螉潤復獻茶榮、巴忒二府，權監國事。潤尋爲女壻匿馨所殺。潤之子匿尊奔河僊。鄚天賜請以尊襲封，許之。	Rồi sau Nguyên chết, chú họ là Nặc Ông Nhuận lại dâng phủ Trà Vinh để quyền coi việc nước; sau bị con rể là Nặc Hinh giết chết, con Nhuận là Nặc Tôn chạy đến Hà Tiên, Mạc Tứ xin tập phong cho Tôn.
令天賜與五營將士護送歸國。	Thế Tông nghe cho, sai Thiên Tứ cùng tướng sĩ 5 doanh hộ đưa về nước.
尊乃獻尋奔、楓龍之地，幷割香澳、芹渤、眞森、柴末、靈瓊五府謝。	Tôn bèn dâng đất Tâm Bôn Phong Long, và cắt 5 phủ Hương Ức, Cần Bật, Chân Sâm, Sài Mạt, Linh Quỳnh để tạ ơn.
鄚天賜幷獻于朝。	Mạc Thiên Tứ đem dâng cả cho triều ta.
張福猷、阮居貞請移龍湖營〈原在丐𦨭處，今屬定祥建登縣。	Trương Phúc Du, Nguyễn Cư Trinh xin dời doanh Long Hồ (nguyên ở xứ Cái Bè, nay thuộc huyện.
〉于尋袍處〈卽龍湖村，今永隆省莅。〉於沙的處設東口道，前江設新州道，後江設朱篤道〈後爲安江莅〉。以香澳五府隸河僊，設龍川、堅江等道。	Kiến Đăng, tỉnh Định Tường), ở xứ Tâm Bào, (tức là thôn Long Hồ, nay là tỉnh lỵ Vĩnh Long), ở xứ Sa Đéc thì đặt đạo Dân Khẩu, ở Tiền Giang đặt đạo Tân Châu, ở Hậu Giang đặt đạo Châu Đốc (sau là lỵ sở An Giang), lấy 5 phủ Hương Ức lệ thuộc vào Hà Tiên, đặt các đạo Long Xuyên, Kiên Giang.
尊旣立，眞臘僞王匿嫩自暹還，爭之，弗克。	Tôn đã lập rồi, ngụy vương Chân Lạp là Nặc Nộn từ nước Xiêm về, tranh không được.
暹王鄭國英自率兵來援。匿尊出奔。暹立匿嫩爲王。	Vua nước Xiêm là Trịnh Quốc Anh tự đem quân đến viện trợ, Nặc Tôn chạy đi, nước Xiêm lập Nặc Nộn làm vua.
睿宗皇帝乙丑四年，命統率阮久潭、參贊陳福成進討。鄭國英走河僊，匿嫩走芹渤。收復羅碧、南榮諸府。	Ất Sửu(105) năm thứ 4 đời Duệ Tông Hoàng đế, sai Thống suất là Nguyễn Cửu Đàm, Tham tán là Trần Phúc Thành đến đánh, Trịnh Quốc Anh chạy đến Hà Tiên, Nặc Nộn chạy đến Cần Bật, ta lấy lại các phủ La Bích, Nam Vang.
