大南寔錄/大南正編列傳初集/卷01。	QUYỂN 1.
興祖孝康皇后。興祖孝康皇后阮氏，承天明靈人，演國公阮福忠〈其姓阮，或者賜姓阮福，無考。〉之女，母馮氏。	TRUYỆN CỦA CÁC HẬU PHI. Tổ Hiếu Khang Hoàng hậu Hưng Tổ Hiếu Khang Hoàng hậu là Nguyễn Thị, người ở làng Minh Linh, phủ Thừa Thiên, con gái Diễn quốc công Nguyễn Phúc Trung (nguyên là họ Nguyễn, hoặc được cho họ là Nguyễn Phúc, không thể xét được), mẹ là họ Phùng.
后初入侍邸第。貞順率道，嫻於內則。	Khi hậu mới vào hầu ở nhà để (3) theo đạo trinh thuận, tập quen quy tắc trong chốn khuê môn.
生子三，長東海郡王晍[1]，二是為世祖高皇帝，三通化郡王晪；女一，隆城公主玉琇。	Sinh được ba con trai, con cả là Đông Hải Quận vương tên là Đồng, con thứ hai là Thế Tổ Cao Hoàng đế, con thứ ba là Thông Hóa Quận vương tên là Diễn; một con gái là Long Thành Công chúa, tên là Ngọc Tú.
甲午之變，后晦迹安遊，諸長公主皆從焉。	Khi biến loạn năm Giáp Ngọ (4), hậu ẩn náu ở làng An Du, các Trưởng công chúa đều theo đến cả đấy.
己亥春，世祖高皇帝使人迎至嘉定，尊為國母。會西賊入寇，乘輿播遷，后及宮眷退駐富國嶼，御舟幸崑崙島，遇大風飃颺海外，七日舟中水盡，俄而淡水湧出，賴以濟。	Mùa xuân năm Kỷ Hợi (1779), Thế Tổ Cao Hoàng đế sai người đón đến Gia Định, tôn làm quốc mẫu; gặp khi giặc Tây Sơn vào lấn cướp, Thế Tổ phải thiên đi nơi khác, hậu và cung quyến lui đóng ở đảo Phú Quốc. Thuyền của Thế Tổ ngự đi đảo Côn Lôn, gặp gió lớn, trôi giạt ở ngoài biển 7 ngày. trong thuyền hết nước uống, bỗng chốc nước nhạt chảy ra, nhờ thế mới đỡ.
迨御舟復回富國嶼，世祖備述海中辛苦狀。后嘆曰：“崑崙大風，海中甘醴，默相可知。吾兒當勿以艱難自沮。”	Tới khi thuyền của Thế Tổ lại trở về đảo Phú Quốc, Thế Tổ thuật lại tình trạng cay đắng khi ở giữa biển, hậu than rằng: "Gió lớn ở đảo Côn Lôn, giữa biển có suối nước ngọt, có thể biết là lòng trời ngầm giúp cho, con ta chớ nên lấy sự khó nhọc ấy mà tự nản chí".
世祖拜謝曰：“謹受教。”	Thế Tổ lạy tạ nói rằng: Xin kính cẩn vâng lời dạy.
甲辰春，世祖如暹求援，后及宮眷移駐土硃嶼。	Năm Giáp Thìn (1784) Thế Tổ sang nước Xiêm cầu viện, Hậu và cung quyến dời đi đóng ở đảo Thổ Châu, mùa thu năm ấy.
其秋，世祖以暹兵還，與賊戰失利。	Thế Tổ đem quân đi Xiêm về đánh nhau với giặc không lợi.
乙巳春，世祖復如暹，遂駐蹕于龍邱，遣人奉迎慈駕及宮眷赴行在。	Mùa xuân năm Ất Tỵ (1785) Thế Tổ lại sang nước Xiêm, bèn đóng tạm ở Long Khâu, sai người rước từ giá (mẹ vua) và cung quyến đến nơi hành tại (5).
丁未秋，世祖自暹回，御舟進次河僊，命武彝巍、范文仁護慈駕及宮眷留于富國嶼。	Mùa thu năm Đinh Mùi (1787) Thế Tổ từ nước Xiêm về, thuyền ngự tiến đóng ở Hà Tiên, sai Vũ Di Nguy. Phạm Văn Nhân, hộ vệ từ giá và cung quyến lưu lại ở đảo Phú Quốc.
戊申秋，我師克復嘉定，尋遣阮文仁等奉迎還嘉定。庚戌春，建後殿奉居焉。	Mùa thu năm Mậu Thân (1788) quân ta lấy lại được Gia Định, liền sai bọn Nguyễn Văn Nhân rước về Gia Định, mùa xuân năm Canh Tuất (1790) dựng làm hậu điện rước đến ở.
丙辰冬十月乙卯，世祖親率羣臣奉金冊、金寶，尊為國母王太妃。	Năm Bính Thìn (1796) mùa đông, tháng 10 ngày Kỷ Mão, Thế Tổ thân đem các quan bưng sách vàng, ấn vàng tôn làm Quốc mẫu Vương thái phi.
辛酉，既克都城。嘉隆元年夏四月，世祖命黃曰纘等為奉迎使，六月抵京。	Năm Tân Dậu (1801) dã lấy được đô thành, Gia Long năm thứ I (1801) mùa hạ tháng 4, Thế Tổ sai bọn Hoàng Viết Toản làm phụng nghinh sứ tháng 6 đến kinh.
