第二回。	Hồi thứ hai.
立郑都七辅受遗。	Lập Điện đô, bảy quan nhận di chúc.
杀晖郡三军扶主。	Giết Huy quận, ba quân phò Trịnh vương.
却说茂麟既得尚公主，每被史忠监制，心甚忿怒，谓史忠曰：「王谓王女如陆地仙，我看之曾不若我捧履婢女，又何贵重？	Lại nói, Đặng Mậu Lân tuy đã lấy được công chúa Ngọc Lan, nhưng cứ mỗi lần vào với công chúa thì lại bị Sử Trung ngăn cản; vì vậy Lân hết sức tức giận, nói với Sử Trung rằng: - Chúa bảo con gái chúa là tiên dưới trần, nhưng ta coi ra, thật không bằng con bé ở xách giày nhà ta, có quý hoá gì?
我岂恋他颜色？但费尽许多钱娶得一妇，纵不成何样子，亦当撞着一回，令软如泥以偿其直，乃纵去耳。	Đây ta không phải ham gì nhan sắc của nó; nhưng tốn kém mất bao nhiêu tiền của mới lấy được một con vợ, nếu không ra hồn thì cũng phải vần một trận cho nẫu nhừ ra như bùn, để đền đắp lại sự phí tổn, rồi bấy giờ sẽ tống cổ nó đi.
尔欲自善身，好觅去路，毋谓我之不先告也。」	Còn mày, mày muốn sống muốn tốt thì hãy tìm đường kiếm nẻo mà bước đi. Kẻo nữa lại kêu ta không bảo trước.
史忠曰：「是王上密旨，非仆敢尔。」	Sử Trung đáp: - Đó là mật chỉ của chúa thượng, không phải tôi dám như vậy!
鳞曰：「尔试问王上，设身处其地，还忍耐得否。」	Lân nói: - Mày thử hỏi chúa, xem chúa ở vào địa vị tao liệu chúa có nhịn được không?
史忠曰：「长官不可如此过辞，王者非比常人。」	Sử Trung nói: - Quan lớn đừng nên quá lời như vậy, nhà chúa không thể so sánh với người thường.
麟大怒曰：「尔以王来吓我耶！	Lân nổi giận đùng đùng mà rằng: - À, mày đem chúa để doạ tao phỏng?
王者是甚？」	Chúa là cái quái gì?
乃拔剑斫之。史忠应刃而毙。	Dứt lời, Lân tuốt gươm chém Sử Trung. Sử Trung chết ngay.
史忠既死，麟乃传闭营门，令内外不得出入，将潜消其尸。	Giết xong Sử Trung, Lân bèn sai đóng chặt cửa dinh, ra lệnh trong không được ra, ngoài không được vào, định ngầm thủ tiêu cái thây Sử Trung.
公主闻之惶恐，使侍女逃出小窦，笨诉于王。	Ngọc Lan nghe chuyện, sợ quá, lập tức bảo một thị nữ chui qua một lỗ hở nhỏ chạy về phủ chúa báo tin.
王大怒，命侍臣督更兵来捕，麟拔剑立门曰：「敢入者死。」	Chúa cả giận, sai viên quan hầu đốc thúc một toán lính đến bắt Lân. Lân cầm gươm lăm lăm, đứng trước cửa doạ: - Đứa nào muốn chết thì cứ vào đây!
王再令晖郡将兵围捕之，送归王府，王付朝臣议罪，廷议杀使应枭。	Chúa lại phải sai quận Huy đem quân vây bắt Lân, giải về phủ, giao cho triều đình xử tội. Các quan đều nói tội giết sứ giả đáng bêu đầu.
邓氏号泣请代，王不得已，特许减死，降论徒流远圻送配，不在话下。	Thị Huệ nghe tin, khóc lóc xin chết thay em. Chúa bất đắc dĩ phải tha cho Lân tội chết và giảm xuống thành tội đi đày ở châu xa.
)再说王子杆生来英秀聪明，但先天禀薄，在襁褓时，素得疳病，肚大脐实，色淡筋青，四肢瘦削，王遍求四方名医调治。	Lại nói, vương tử Cán rất tuấn tú, thông minh, nhưng người vốn yếu đuối. Lúc còn ẵm ngửa, vương tử đã mắc chứng cam: bụng to, rốn lồi, da nhợt, gân xanh, chân tay gầy khẳng khiu. Chúa phải sai người đi tìm danh y khắp bốn phương về chữa cho vương tử (Hải thượng lãn ông Lê Hữu Trác cũng đã từng bị triệu vào kinh để chữa bệnh cho Cán (xem Thượng kinh ký sự)).
以医进者阮植由训导得为进朝，失义隆以北国商客，得典兵封侯，药材所需以百万计，调治累年不效。	Những người do nghề thuốc mà vào phủ đều được thăng trưởng: Nguyễn Thực từ chức huấn đạo lên đến chức tiến triều; Chu Nghĩa Long là người khách buôn Trung Quốc, được phong tước hầu coi việc quân. Thuốc thang tốn kém kể có hàng trăm vạn, nhưng chạy chữa hết năm này qua năm khác mà bệnh vẫn không khỏi.
王使人遍祷各处灵祠，宫中又设坛场，日夜焚香祝祷，皆不获愈。	Chúa lại sai người đi lễ bái khắp các đền đài có tiếng linh thiêng; một mặt cho thiết lập đàn tràng ở ngay trong cung để ngày đêm đèn nhang cầu khẩn. Vậy mà bệnh của vương tử vẫn đâu hoàn đấy.
或言婕妤失宠妒忌，为巫蛊事，埋木人于宫中压券。	Có kẻ tố cáo với chúa, nói là vì Tiệp dư (Tiệp dư đây không rõ ai, bản chữ Hán không ghi tên họ người nào; bản dịch của Ngô Tất Tố, cho là Dương Ngọc Hoan có lẽ là phỏng đoán như vậy) không được yêu, sinh ra ghen ghét, mượn bọn đồng cốt chôn hình người gỗ ở trong cung để trấn yểm.
王大怒，命捕婕妤家人问状，并皆逃窜，四下拿捕不获。	Chúa giận lắm, sai bắt người nhà Tiệp dư để tra hỏi. Nhưng bọn ấy trốn hết, tìm khắp tứ phía không lùng bắt được người nào cả.
告者引掘埋木人处，不见，事遂寝。	Sau, kẻ tố cáo tự dẫn người đến đào chỗ chôn người gỗ, cũng không thấy gì, việc này mới thôi.
然王心犹以为疑，纵邓氏为斋蘸符箓之事，由是巫史盛行，王子病亦时增减。	Tuy nhiên, bụng chúa cũng vẫn còn ngờ, nên cứ để mặc cho Thị Huệ làm chay làm bùa, tha hồ cúng lễ. Do đó, bọn đồng cốt ra vào tấp nập; mà bệnh của vương tử Cán vẫn khi tăng khi giảm chẳng ra thế nào.
及世子得罪，王子杆病适宽。	Đến khi thế tử Tông bị tội, thì gặp lúc bệnh của vương tử Cán đã hơi đỡ.
次年，疹痘又顺，脓压又顺，王大喜曰：「孩提患疳亦是常症，不足为虑。	Năm sau vương tử lên đậu, từ tuần nung mủ đến tuần đậu lặn đều không có gì quản ngại. Chúa hết sức vui mừng nói: - Thì ra trẻ con cam sài cũng là sự thường, chẳng cần phải lo.
但既疹痘，便是成人。」	Mà hễ nó đã lên đậu, lên sởi thì tức là nên người rồi.
中外亦皆称贺，多劝王降明旨，立为世子，以系天下之望，王从之。	Bấy giờ các quan trong ngoài đều có lời chúc mừng. Nhiều người khuyên chúa giáng chỉ lập vương tử Cán làm thế tử cho yên sự mong mỏi của thiên hạ. Chúa nghe lời ngay.
圣母太慈言于王曰：「王子棕与杆皆孙也，我诚无所偏爱，但棕年长无恙，而杆年幼抱恙，愿王以宗社为念。	Thánh mẫu thái tôn (tức là mẹ Trịnh Sâm) được tin liền nói với chúa: - Thế tử Tông với vương tử Cán đều là cháu cả, già này thực không coi đứa nào hơn đứa nào.
