第三回。	Hồi thứ ba.
杨元舅议斩骄兵。	Dương nguyên cữu bàn chém kiêu binh.
阮国师谋清内难。	Nguyễn quốc sư mưu trừ nội loạn.
且说阮整得曰选所言，一番惊惶，既而矫情镇定，秘其事不露，但密告其妻云云。而身赴营球镇所，告瑶忠侯与之谋议。	Lại nói, Nguyễn Hữu Chỉnh nghe lời Viết Tuyển, bị một phen giật mình sợ hãi, nhưng rồi lại cố trấn tĩnh ngay và giữ kín chuyện đó không để lộ cho ai biết, chỉ bí mật dặn vợ mấy điều, rồi đi thẳng đến trấn sở Doanh cầu để bàn với Dao trung hầu [tức Vũ Tá Dao, người huyện Thạch Hà, Hà Tĩnh (Nghệ Tĩnh)].
那瑶忠侯系是晔郡妹夫，为乂安镇守，闻整言大惊，问整计将安出？	Dao trung hầu nguyên là em rể quận Việp, hiện làm trấn thủ Nghệ An, nghe lời Chỉnh nói, sợ lắm, liền hỏi mưu kế nên như thế nào.
整曰：「本镇与顺化接界，富春副将体郡公、峒海屯守魁寿侯，皆系我先公门统，今与我有同舟之谊，密书告体郡，令以计杀大将而据其城，魁寿必以峒海应，台公据本镇将为唇齿，收用豪杰，调遣土兵，塞黄梅之路，设重镇于琼瑠，为固守计。	Chỉnh nói: - Trấn này giáp liền trấn Thuận Hoá, hiện nay phó tướng Phú Xuân là Thể quận công, đồn thủ Động Hải là Khôi thọ hầu (Thể quận công tên là Hoàng Đình Thể. Khôi Thọ hầu tên là Khôi Thọ), đều là môn đồ của cụ quận Việp; với chúng ta cũng là những người cùng thuyền. Quan lớn nên viết thư kín bảo quận Thể tìm cách giết viên đại tướng Phú Xuân, chiếm lấy thành đó, rồi kíp cho người ra dụ Khôi Thọ. Khôi Thọ thế nào cũng đem cả thành Động Hải mà hưởng ứng với ta. Còn ở đây, quan lớn cứ việc giữ lấy trấn này để làm cái thế môi răng với hai nơi ấy. Rồi ngài thu dùng hào kiệt, chiêu mộ thổ binh, chặn đường Hoàng Mai và đóng đồn lớn ở vùng Quỳnh Lưu để làm kế cố thủ.
至于海面防守，某请自当，本镇地利足凭，人心可恃。	Còn về việc phòng giữ mặt biển, tôi xin đảm đương. Trấn này địa lợi có thể nương tựa, nhân tâm có thể trông cậy.
前年超郡公得罪于裕祖，亦据此州拒命，终免于难。	Năm trước, quận Siêu bị tội với đức Dụ tổ (tức Trịnh Giang) cũng giữ trấn này để chống lại nhà chúa, cuối cùng đã thoát khỏi tai nạn.
况今事势又易于超郡时，公能为此，足举天下之兵，朝廷不能制，且保境安民，徐观天下之变，非特目前免祸，将来必有奇功。」	Huống chi sự thế ngày nay lại còn dễ dàng hơn hồi quận Siêu, nếu ngài làm được như vậy, ấy là đã lấy được nửa thiên hạ rồi. Chẳng những triều đình không làm gì nổi, mà ngài còn có thể giữ cõi yên dân, ung dung ngồi nhìn sự thay đổi của thiên hạ. Như thế, chẳng những trước mắt khỏi bị tai vạ mà về sau còn có thể lập được kỳ công nữa!
瑶忠侯沉思曰：「君计诚善！	Dao trung hầu ngẫm nghĩ hồi lâu rồi nói: - Kế của ông quả thực là hay lắm.
但某自料才不能为此，请更思其次。」	Nhưng tôi tự liệu tài sức không thể làm được như thế. Xin ông nghĩ cho cách thứ hai nữa xem sao?
