第六回。	Hồi thứ sáu.
西山主潜师返国。	Chúa Tây Sơn lẻn rút quân về nước.
东洋侯倡义扶王。	Quân Đông Giang mưu khởi nghĩa phò vương.
却说西山主于顺化初溃时，得平捷书，言「臣等遵奉庙谟，肃将明威，顺化底平，天下振动，今北河将惰兵骄，势有可取，臣谨便宜先委右军阮整提前部舟师直趋山南，臣现当收拾沿海各处人民，打点丁壮以益兵势，刻日荡定北河，其顺化城关已奉留臣弟东定公镇守，伏乞颁下诏旨钦行」。	Lại nói, khi Thuận Hoá mới vỡ, vua Tây Sơn nhận được thư báo tin thắng trận của Bình. Đại ý bức thư viết như sau: "Lũ thần vâng theo mưu mô của miếu đường, lại kính nhờ về oai trời thiêng liêng, Thuận Hoá, đã dẹp yên, thiên hạ đều rung động. Nay ở Bắc Hà quân kiêu tướng lười, thế có thể lấy được. Thần cúi xin mạn phép tuỳ tiện, đã uỷ cho hữu quân Nguyễn Chỉnh đem tiền bộ thuỷ binh đi trước, thẳng tới Sơn Nam. Riêng thần hiện đang chiêu mộ nhân dân các vùng ven biển, chọn lấy đinh tráng để tăng thêm thế lực cho quân ta. Hẹn trong ít ngày sẽ dẹp yên xứ Bắc Hà. Còn quan ải, thành quách xứ Thuận Hoá, hiện đã giao cho Đông định công (tức Nguyễn Lữ, em thứ ba của Nguyễn Nhạc) coi giữ. Vậy xin bề trên ban cho chiếu chỉ để thần tuân theo".
西山主见书，喜其成功，恶其专辄，知平顽狡，恐他定了北河归来必骄，势难复制，自念世生南河，得顺化旧迈足矣！	Vua Tây Sơn xem thư, mừng rằng việc đã thành công, nhưng lại ghét cái chỗ tự chuyện của Bình. Vả lại, vua Tây Sơn vốn đã biết Bình là người khôn ngoan, giảo quyệt, sợ Bình lấy được Bắc Hà, lúc trở về ắt sinh ra kiêu căng, khó kiềm chế. Vua Tây Sơn lại còn nghĩ rằng: "Nhà mình đời đời vẫn ở Nam Hà, được xứ Thuận Hoá là nơi bờ cõi cũ, đủ rồi; không cần lấy thêm một nước lớn nữa làm gì.
不欲并取大国，纵然取之，亦不可守，万一蹉跌，所失不细。	Ví dụ có lấy được, chưa chắc đã giữ được, vạn nhất vấp ngã một cái, thì sự tai hại không phải là nhỏ".
急使人持书止平勿前，至则平已亲提大兵乘南风北向去了。	Do đó, vua Tây Sơn liền sai người hoả tốc mang thư ra ngăn Bình. Nhưng khi người đưa thư tới nơi, thì Bình đã thân hành đem đại quân, thuận theo gió nồm trẩy ra Bắc rồi.
西山滋不悦，越六月二十六日，京师溃，平具捷书驰入西山报捷，书内言「臣前钦奉便宜荡定北河，伏赖王兄威声，一举而捷。	Tiếp được tin này, vua Tây Sơn càng không hài lòng. Qua ngày hai mươi sáu tháng sáu khi kinh sư bị vỡ, Bình lại gửi thư báo tin thắng trận về Tây Sơn. Trong thư đại khái nói rằng: "Trước đây thần vâng mệnh cho phép tuỳ tiện đem quân ra dẹp Bắc Hà, trông nhờ vào oai danh của vương huynh, chỉ đánh một trận mà thắng.
郑氏既灭，天下为一，臣曲徇国人之愿，扶立黎氏，以安众心。	Nay nhà Trịnh đã diệt, thiên hạ thu về một mối, thần thể theo lòng ước muốn của người trong nước, phò lập nhà Lê, cho họ yên lòng.
今国内初定，臣请休息军士，权留其国都，绥集百姓，措置控制便宜，待秋多顺风，臣谨奉旋师归国」。	Bây giờ trong nước mới tạm yên, thần xin để cho quân lính được nghỉ ngơi, tạm đóng tại kinh đô nước họ, để vỗ yên dân chúng và cắt đặt mọi việc cho đâu vào đấy. Chờ đến dịp thu đông thuận gió, thần lại xin kính cẩn đem quân về nước".
其书七月十四日至西山，西山主大惊，沉思平屡立战功，已长其骄傲，他手握重兵，专制万里，文任与整皆勇智之将，已为他所驱策，纵他翱翔居外，久后必惹出许多不好事来，他如此势头，不可以纸书召，除非身来逼他回，是「纵虎出圈，终非可驯之物」。	Bức thư đến Tây Sơn vào ngày mười bốn tháng bảy. Vua Tây Sơn tiếp được thư, hết sức lo ngại, nghĩ bụng: "Bình luôn luôn lập được chiến công, đã làm cho hắn thêm kiêu ngạo. Huống hồ trong tay hắn lại nắm giữ đạo quân lớn, chuyên chế ở ngoài muôn dặm. Rồi Võ Văn Nhậm, Nguyễn Hữu Chỉnh, những viên tướng dũng mãnh, mưu trí lại đều thuộc quyền sai khiến của hắn. Nếu cứ buông lỏng cho hắn bay nhảy ở ngoài, lâu dần ắt phải sinh ra những việc không hay. Nhưng khí thế của hắn như thế, không thể dùng một lá thư mà gọi về được. Nếu mình không thân hành ra Bắc, bắt hắn phải về, ấy là thả hùm ra khỏi cũi, không bao giờ còn có thể nuôi dạy được nữa vậy.
