第七回。	Hồi thứ bảy.
翊皇家武成出师。焚郑府晏部去国。	Phò Lê đế, đạo Vũ thành lại ra quân. Đốt Trịnh cung, chúa án đô phải bỏ nước.
却说硕郡自翠霭之败，走归兴化，依于藩目丁公胡之家，及闻西兵归，乃归山西镇，收兵入卫。	Lại nói, Thạc quận công (Hoàng Phùng Cơ) sau khi thua trận ở cửa Thuý ái, liền chạy về vùng Hưng Hoá, nương nhờ ở nhà một phiên mục là Đinh Công Hồ. Kịp khi nghe tin quân Tây Sơn đã rút về Nam, quận Thạc bèn tới trấn Sơn Tây, thu nhặt binh lính để về bảo vệ kinh thành.
上常使人与硕往复，最为相得。	Khi ấy hoàng thượng vẫn thường cho người qua lại chỗ quận Thạc, vua tôi rất là ăn ý với nhau.
至是，命硕将兵入射场坞门以卫皇城，硕入城谒帝后乃谒王，京中恟恟言硕党于帝，壤党于王，二人将不日交兵相攻，两下皆强将，未知孰胜？	Đến lúc này được tin quận Thạc đã tới, nhà vua liền sai ông ta đem quân vào đóng ở cửa ô Trường Bắn để bảo vệ hoàng thành. Lúc vào thành, quận Thạc đến lạy chào nhà vua, rồi sau mới ra chào án đô vương. Bấy giờ, người trong kinh nhao nhao đồn rằng: "Thạc vào bè với vua; Nhưỡng vào bè với chúa. Hai người sẽ có ngày dàn quân đánh nhau. Cả hai đều là tướng mạnh chưa biết ai thua ai được?".
亦或以为帝王势力均敌，而帝较强。	Hoặc có người lại nói rằng: "Vua với chúa thế lực cũng ngang nhau, nhưng vua có phần mạnh hơn một chút".
王每使人慰硕，责以扶持王家，壤亦使人投赠往复，与硕要结。	Án đô vương thường sai người đến uý lạo quận Thạc, khuyên Thạc nên giúp đỡ nhà chúa. Nhưỡng cũng hay cho người đi lại biếu xén để liên kết với quận Thạc.
硕手下阮连见天下大势趋于王，自思壤附王之局势固难转，欲使硕与壤合，劝硕舍帝从王，硕曰：「他人劳苦做得美馔来，我直来插箸便食，成何颜面？」	Thủ hạ của quận Thạc có người tên là Nguyễn Liên, thấy thế lớn trong thiên hạ đang có chiều ngả về phía chúa, nên cho rằng việc Nhưỡng phò chúa khó mà có thể xoay chuyển được. Rồi nhân đó, muốn cho quận Thạc hợp vào với Nhưỡng, Liên bèn cố khuyên quận Thạc bỏ vua mà theo chúa. Quận Thạc trả lời: - Người ta khó nhọc mới làm được mâm cỗ ngon, mình bỗng xông đến, chọc ngay đũavào mà ăn, còn ra cái mặt mũi gì nữa?
连曰：「今王爵虽立，王权未定，壤业与帝约，大权归皇家，不敢复启齿，王兀坐府中，政府无人，众靡适从，此事非公不定，古人谓『作事易，成事难』公当其难，勋业不在壤下。」	Liên nói: - Hiện nay ngôi chúa tuy đã lập, nhưng quyền chúa chưa định xong. Ông Nhưỡng vì đã trót hứa với hoàng thượng là quyền bính thuộc về nhà vua, nên bây giờ không dám hé răng nói lại. Chúa ngồi chồm chỗm ở trong phủ, mà hoá ra chính phủ chẳng có người nào, dân không biết theo ai. Việc ấy không có ông thì không xong. Người xưa có câu: "Làm việc thì dễ; làm cho nên việc mới khó". Bây giờ nếu ông gánh lấy cái khó ấy, thì công nghiệp chẳng kém gì ông Nhưỡng đâu!
硕曰：「为之奈何？」	Quận Thạc hỏi: - Thế thì nên làm ra sao?
连曰：「他能会，如何公肯独无？	Liên đáp: - Người ta có thể họp được các quan, sao ông lại không chịu họp?
