第八回。	Hồi thứ tám.
杨御史献俘太庙。	Dương Trọng Tế bị dâng tù trước nhà Thái học.
黄郡公赐死西城。且说帝既定议诛整，一日内翰武桢燕见，帝密以告桢，桢大惊曰：「谁为陛下画此计？臣窃危之。	Hoàng Phùng Cơ phải tự tử ở ngoài Tây thành.. Lại nói, sau khi vua đã lập mưu giết Chỉnh, một hôm viên nội hàn là Vũ Trinh có việc riêng vào yết kiến, vua bèn đem việc ấy bảo kín với Trinh, Trinh giật mình, nói: - Người nào bày cho bệ hạ cái mưu ấy, thần trộm lấy làm nguy hiểm.
今强敌在外，边报正急，朝廷未睦，众情相疑，陛下倚整以为爪牙，当推心置之腹中，使之悦服。	Hiện nay ở ngoài có giặc mạnh, tin tức ngoài biên ải đang báo về khẩn cấp, ở trong triều đình thì mọi người còn nghi ngờ nhau. Bệ hạ đã dựa vào Chỉnh làm nanh vuốt, thì nên đối đãi bằng cách thành thực, để cho y được vui lòng thần phục.
御得其道，则乱臣可以为良，何乃道其诈而亿不信？	Hễ mà biết cách giá ngự, thì kẻ loạn thần có thể thành kẻ lương thần. Sao lại đón trước sự dối trá của người ta để đoán chừng một việc chưa chắc đã có?
形迹未露，疑忌已生。	Hình tích chưa lộ mà nghi kỵ đã sinh.
整之亲党，握重兵，居要地者，内外星布，一旦有变，在京城者，将不利于社稷；在镇戍者必奔附于敌人。	Họ hàng bè đảng của Chỉnh đều cầm nhiều quân và ở nơi trọng yếu, la liệt trong ngoài, một khi xảy ra biến cố, bọn ở kinh thành sẽ làm việc có hại cho xã tắc, bọn ở các ngoại trấn sẽ chạy theo quân giặc.
是自剪其羽翼，以资寇譬也。」	ấy là mình tự cắt vây cánh của mình để giúp cho kẻ thù vậy.
帝勃然曰：「微尔言，朕几误矣！」	Vua liền đổi sắc mặt mà rằng: - Nếu nhà ngươi không nói, thì có lẽ trẫm bị lầm rồi.
乃召让贵、洽，急令止其事。	Tức thì vua đòi Vi Quý, Xuân Hợp vào quở trách và bảo mau mau thôi ngay việc ấy đi.
后整知之，深怨帝厌薄，且欲暗破其造谋者，谓部将阮如泰曰：「我遍走海内，无一人敢正目视我，何物书生，敢尔斗大！	Về sau Chỉnh biết chuyện ấy, rất oán vua bạc bẽo và muốn hại ngầm những người bày ra mưu đó. Chỉnh bảo với viên tướng bộ hạ là Nguyễn Như Thái rằng: - Ta đi khắp bốn biển, không kẻ nào dám ngó thẳng vào mặt ta. Mấy thằng học trò chưa thông hiểu việc đời ấy là cái thá gì mà dám cả gan như vậy?
须俟我出师期，将他等试剑利否？送下冥府，许造恶于十殿王。」	Chờ khi nào ta xuất quân đánh giặc, sẽ đem chúng để thử gươm xem có sắc không, rồi tống cổ chúng xuống âm ty cho chúng gây chuyện với Diêm Vương.
