第九回。	Hồi thứ chín.
武文任提兵掠境。	Tướng Tây Sơn Võ Văn Nhậm đem quân lấn ngoài bờ cõi.
陈公灿奉使议疆。	Quan bình chương Trần Công Xán vâng mệnh bàn việc biên cương.
且说高平构兵之始，刘琨、阮翰并发驿书，来京告变。	Lại nói, khi ở Cao Bằng bắt đầu nhóm lên việc binh đao, Lưu Tiệp, Nguyễn Hàn đều có sai trạm đưa thư về kinh cáo biến.
琨指翰为叛，翰指琨为叛，言现当勒兵追捕，旬日之间，罪人斯得。	Tiệp bảo Hàn là phản nghịch, Hàn bảo Tiệp là phản nghịch, và cả hai đều nói "hiện đã điều quân vây đánh, chỉ khoảng mươi ngày sẽ bắt được kẻ có tội".
平章维藩见书大骇曰：「二臣皆以朝士清流，出膺阃寄，所当公尔忘私，何不降心相从，却乃倡为乱道，同类相伤，此亦一大变也。	Quan Bình chương là Phan Lê Phiên thấy thư ấy, rất kinh hãi mà rằng: - Hai người đều là bậc thanh cao trong hàng triều sĩ, ra ngoài gánh việc phiên trấn, đáng lẽ phải vì việc công mà quên việc riêng. Sao họ không chịu nén lòng theo nhau, lại đi cầm đầu cho cuộc quấy rối? Đồng loại làm hại nhau, đó cũng là một biến cố lớn!
可怪可愕！」	Đáng ghê! Đáng sợ!
会谅、太、宣、兴四路镇臣，亦次第驰书告警，帝与鹏公整谋之，对曰：「诸镇兵争，本亦边酋故态，降一纸书，告示祸福，料必帖从，安之亦无难也。	Vừa lúc ấy, các viên trấn thủ ở bốn lộ Lạng, Thái, Tuyên, Hưng cũng đều lần lượt gửi thư hoả tốc về cáo biến. Vua Lê bèn bàn với Bằng công Nguyễn Hữu Chỉnh. Chỉnh thưa: Các trấn đem quân đánh nhau, cũng là thói thường của bọn tù trưởng ở ngoài bờ cõi, chỉ cần hạ một bức thư, báo cho họ biết đường hoạ phúc, chắc họ sẽ nghe theo; dẹp yên việc ấy, không có gì khó.
独高平之变，造恶出自镇臣，边酋无足责也。	Riêng việc biến cố ở Cao Bằng thì lại do các viên quan trấn gây ra, bọn tù trưởng trên ấy đều không đáng trách.
专兵专杀之罪，朝廷自有处分，请下公议。」	Cái tội tự tiện đánh nhau, giết nhau, triều đình sẽ phải có phân xử, vậy xin giao xuống cho các quan họp bàn.
同平章张登揆、参知阮耀曰：「请急别择督镇督同干员代领镇务，而降旨琨翰回朝，庶几乱乃可弭。」	Quan đồng bình chương Trương Đăng Quỹ và quan tham tri Nguyễn Diệu đều xin gấp rút chọn hai viên đốc trấn, đốc đồng khác có tài cán lên coi thay việc trấn và luôn thể hạ chiếu chỉ triệu bọn Tiệp, Hàn về triều, may ra mới dẹp được cuộc rối loạn.
维藩曰：「是也！	Phan Lê Phiên nói: - Phải đấy!
盘根错节，必须锐器，那镇阃臣，非容易可使。」	Rễ chùm, mấu cứng, phải dùng đồ sắc! Viên quan cử lên coi trấn ấy, không thể dễ dàng muốn sai ai cũng được.
同平章功灿曰：「昔日高平之乱，先臣义成王奉命招抚，在镇七年，民夷怀服，后座于官，地方为之罢市，立祠以祀之。	Quan đồng bình chương Trần Công Xán nói tiếp: - Việc loạn ở Cao Bằng hồi xưa, viên đại thần đã qua đời là Nghĩa thành vương (tức Nguyễn Đình Bá) vâng mệnh lên vỗ về, ở luôn trên trấn ấy bảy năm, nhân dân các bản đều mến phục. Sau ông mất tại đó, dân địa phương vì thương tiếc mà nghỉ mấy phiên chợ liền, lại dựng đền mà thờ. Quan xu mật hiện nay là Nguyễn Đình Tố (người ở Khoái Châu, Hưng Yên (Hải Hưng)), chính là con của Nghĩa thành vương.
今枢密阮廷傃其嗣也，为人宏旷有度，应事亦敏，请急使之。」	Ông ta là người rộng rãi có độ lượng, tài xử sự cũng nhanh, vậy xin gấp rút sai đi ngay.
乃以廷傃为高平督镇，进朝阮辉宿副之，命下促令之官。	Vua Lê bèn dùng Nguyễn Đình Tố làm đốc trấn Cao Bằng, lại sai Nguyễn Huy Túc làm phó đốc trấn. Rồi hạ lệnh giục hai người lên đường đi nhậm chức.
素曰：「臣父主高平，卒高平，臣亦生于此，今复再来，事可知也，请假以十日，规措家事。」	Tố nói: - Cha thần sinh ở Cao Bằng, mất ở Cao Bằng, thần cũng sinh ở Cao Bằng, nay lại lên đó, việc sau này có thể biết rồi. Vậy xin cho phép mười ngày để thần xếp đặt việc nhà.
及行至谅山界，闻故督同阮翰已遇害，傃惊曰：「哀哉！	Khi hai người lên đến giáp giới tỉnh Lạng Sơn thì nghe tin Hàn đã bị hại, Tố giật mình nói: - Thương thay!
亡之命矣！亦吾迟之过也。」	Chết cũng bởi số, nhưng cũng lỗi tại ta đi chậm quá.
即督驿往前。	Rồi Tố lập tức giục trạm đi dấn lên.
驿报新督镇阮迁傃来，诸苗闻之，欢喜迎贺。	Khi trạm đầu báo tin quan đốc trấn mới là Nguyễn Đình Tố đến, thì tù trưởng các nơi đều vui mừng chờ đón.
比到镇，刘琨犹闭城门与翰余兵拒战，傃奉宣示威德，令各解兵，从容指挥，一方复定。	Lúc Tố đến Cao Bằng thì Lưu Tiệp còn đang đóng cửa thành, đánh nhau với dư đảng của Hàn. Tố vâng lệnh tuyên bố uy đức của nhà vua, bảo hai bên phải giải tán quân lính, rồi thong dong xếp đặt mọi việc, trong cõi lại yên ổn như thường.
