第十回。	Hồi thứ mười.
麟洋侯扶王泛海。鹏公整请帝渡河。	Lân dương hầu phò chúa vượt biển đến Yên Quảng. Bằng công Chỉnh mời vua qua sông đi Lạng Sơn.
且说整见表辞，名其为贼，怒气勃勃，挺剑厉声曰：「亡国之余，未知所惧，尚敢弄笔舌以欺国人，吾今日誓与王一生一死，尔将士宜听鼓视旗，奋力陷阵，有进无退，不用命者，有此剑。」	Lại nói, Chỉnh thấy lời lẽ trong tờ biểu, gọi mình là thằng giặc, thì nổi giận đùng đùng, vung gươm quát to: - Cái quân mất nước kia mà chưa biết sợ, còn dám múa bút khua lưỡi để lừa người trong nước! Hôm nay ta thề với hắn một sống một thác. Tướng sĩ các ngươi đều phải trông cờ nghe trống, ra sức xông vào trận mạc, chỉ có tiến không có lùi. Kẻ nào không nghe mệnh lệnh đã có thanh gươm này! Rồi Chỉnh vận đồ trận, lên mình voi, cầm lá cờ đỏ vẫy các quân sĩ tiến về phía trước. Nguyễn Như Thái tế ngựa vào trận hò reo "giết giặc".
乃戎服上象，手秉红旗，挥诸军前进，阮如泰跃马大呼杀贼，铳弩齐发，弹矢乱飞如雨，王左拒力不能支，将溃，王命前锋并两拒合军，且战且却，因退入垒中，分兵固守，整陈兵夹垒四面攻之，半日不拔，迨暮，霖雨霏霏，飙风瑟瑟，天地昏黑，咫尺不辨，整下令分军围迫王垒，王乃三分其军，果敢者为前后翼，遂、珠率之，老弱者中翼，王帅之，人定后，金鼓不鸣，烟火俱灭，垒外射铳连不绝声，而垒内寂然不动，整使军候潜至垒下听之，若无人，然亦不测其虚实，迨漏下四更，雷雨大作，王因命大开垒门，使遂、珠先出，各带勇士五十人，直犯整营，遂攻于左，珠攻于右，中开一路，王驱中翼军直出向东路走，途、珠为殿，其夜整军不辨谁某，交射混斗，平旦始觉，追之已无及矣。	Súng nổ, cung bắn, tên đạn bay tới tấp như mưa rào. Quân bên tả của chúa chống không nổi cơ hồ sắp vỡ. Chúa bèn sai đội tiền phong hợp với hai đội tả hữu vừa đánh vừa lui vào trong luỹ, rồi chia quân để cố thủ. Chỉnh dàn quân giáp liền với luỹ, bốn mặt đánh vào, suốt nửa ngày không lấy được luỹ. Đến tối, mưa dầm rả rích, gió thổi ào ào, trời đất đen ngòm, cách gang tấc không trông thấy gì. Chỉnh hạ lệnh cho quân lính vây sát luỹ của chúa. Chúa bèn chia quân làm ba toán. Những người dũng cảm thì làm hai cánh quân trước và sau, do Toại và Châu đốc suất. Những người già yếu thì cho làm cánh giữa, chúa tự dẫn đi.
整驱兵入垒，只见第舍一空，命大索军需，一无所获，怏怏不乐，班师回京。	Đêm đã yên lặng, chiêng trống im bặt, đèn lửa tắt hết. Ngoài luỹ súng bắn liên thanh không ngớt, mà trong luỹ im lặng như tờ. Chỉnh sai quân do thám ngầm đến dưới luỹ nghe ngóng, hình như trong luỹ không có người, nhưng cũng không lường được hư thực ra sao. Đến canh tư, mưa và sấm sét lại nổi lên dữ dội. Chúa sai mở rộng cửa luỹ, bảo Toại, Châu ra trước, mỗi người đem năm mươi tên dũng sĩ, đánh thẳng vào doanh của Chỉnh; Toại đánh mặt tả, Châu đánh mặt hữu, mở một đường ở giữa. Tiếp đó chúa dồn quân ra, nhằm phía đông mà chạy, để Toại và Châu làm đội chặn hậu. Đêm ấy, quân của Chỉnh không phân biệt ai với ai, bắn nhau đâm nhau lộn bậy. Sáng ra mới biết rõ sự thật, thì đuổi theo không kịp nữa rồi. Chỉnh dồn quân vào luỹ, chỉ thấy nhà cửa rỗng không, sai quân tìm kiếm khí giới lương thực, chẳng được gì hết.
于是王东走邯江，依丁锡壤，老弱从者，二放归，单留遂珠二将并手下一百人，壤别以一寨居王，壤为人浮躁，不闲将略，忠义赤非天植，平日所言所行，亦是假托，出身以来，但习水战，未尝带领步兵，自金洞之败，舟船尽弃，狼狈东归，窃据海阳镇城，幸有军粮可资，而不善抚循百姓，纵其部曲，暴掠闾里，为两洪所埋怨，豪目群起而攻之，弃城走邯江，及闻西人南还，复拥兵来京，将谋立端郡公以抗帝，比至端郡败走，故附于王，闻整再来，惧不见容，即引众东归，求领海阳安广二镇，以避其害，王奔桂坞，壤翱翔于东，未尝一唁王所，至是王来又一味闲冷，礼意简薄，遂、珠二人日夜为王左右，于遂则忌为将门子，于珠则鄙为白屋丁，二人惴其情，虑有不测，皆辞于王，同日请去，王哭而送之，曰：「谚言：『溺水而遇浮沤，靠也不得。	Chỉnh rầu rầu không vui, liền rút quân về kinh. Chúa Trịnh chạy đến Hàm Giang, nương tựa vào Đinh Tích Nhưỡng. Bao nhiêu quân lính già yếu, chúa đều cho về, chỉ để hai tướng Châu, Toại và hơn một trăm thủ hạ ở lại với mình. Nhưỡng sai dọn riêng một trại để cho chúa ở. Tính Nhưỡng nóng nảy, lại không thông thạo nghề làm tướng, và cũng không phải thật thà có lòng trung nghĩa. Lời nói, việc làm thường ngày của Nhưỡng cũng đều là giả dối, cốt lấy tiếng mà thôi. Từ khi xuất thân tới nay, Nhưỡng chỉ quen thuỷ chiến, chứ chưa từng đốc suất lính bộ. Sau trận thua ở huyện Kim Động, Nhưỡng bỏ hết thuyền bè, thất thểu chạy về miền đông, giữ trấn thành Hải Dương. May nhờ ở đấy sẵn có quân lương, nhưng Nhưỡng không khéo vỗ về trăm họ, lại thả lỏng cho bộ hạ cướp bóc xóm làng, nên dân chúng hai phủ Thượng Hồng, Hạ Hồng đều căm giận.
』我不久亦去，何辱留卿等为。」	Hào mục các nơi hùa nhau nổi lên đánh lại, Nhưỡng phải bỏ chạy về Hàm Giang. Khi nghe tin Tây Sơn đã về Nam, Nhưỡng lại kéo quân vào kinh, định mưu lập quận Thuỵ để chống vua Lê. Đến khi quận Thuỵ thua chạy. Nhưỡng bất đắc dĩ lại phải bám vào chúa Trịnh Bồng. Lúc nghe tin Chỉnh lại ra Bắc, sợ Chỉnh không dong mình, Nhưỡng bèn dẫn quân về đông, xin lĩnh hai trấn Hải Dương, Yên Quảng để tránh tai vạ. Khi chúa chạy về Quế ổ, Nhưỡng vẫn vẫy vùng ở phía đông, chưa hề lần nào đến thăm chúa. Đến lúc này, chúa đến Hàm Giang, Nhưỡng luôn luôn tỏ vẻ nhạt nhẽo, lễ ý xem chừng cũng đơn bạc. Toại và Châu đêm ngày ở bên cạnh chúa. Đối với Toại thì Nhưỡng ghen ghét là con nhà tướng; đối với Châu thì Nhưỡng khinh rẻ là kẻ bạch đinh.
王留十余日，壤不曾说及军国机事，忽一夕诣王进曰：「天清月明，秋色最佳，臣已具酒登舟等候，请一幸览胜，以写幽怀。」	Hai người dò biết ý Nhưỡng, sợ có điều gì bất trắc, nên đều từ giã chúa và ra đi cùng một ngày. Chúa khóc lóc tiễn đưa hai người và nói: - Tục ngữ có câu "chết đuối vớ phải bọt", bám cũng không được, chẳng bao lâu nữa ta cũng đi thôi, giữ các ngươi lại làm gì cho nhục! Chúa ở lại hơn 10 ngày. Nhưỡng không hề nói đến việc quân, việc nước. Chợt một đêm, Nhưỡng tới chỗ chúa ở mà nói: - Trời thanh trăng sáng, vẻ thu rất đẹp, thần đã đem rượu lên thuyền chờ đợi, xin chúa đi chơi một lúc, ngắm xem phong cảnh, cho khuây nỗi buồn.
王愀然曰：「风景不殊，举目有北河之异，吾未能歼仇，不忘坐甲，泛舟浮杯，非吾今日事也，将军且往游之。」	Chúa tỏ vẻ sầu não mà rằng: - Phong cảnh vẫn như thường mà ngước mắt thấy non sông khác lạ. Ta chưa giết được quân thù, không nên quên ngồi trên áo giáp. Bơi thuyền uống rượu không phải là việc của ta ngày nay.
壤既去，王隐几闷闷，谓侍者曰：「武人尽不可恃，或者其文臣乎！」	Tướng quân hãy đi mà chơi! Sau khi Nhưỡng đi, chúa rầu rầu tựa ghế, bảo bọn người hầu: - Quan võ đều không thể trông cậy, hoặc giả bọn quan văn có khá hơn chăng?
乃为书密使遗平章登揆，书曰：「此生不时，遭国多难，忝以王家嫡嗣，深庙社之忧，奉表陈情，蒙赐归觐，初来只欲以存先祀为孝，实无心专辄而据国也。	Chúa bèn viết bức thư, sai người ngấm ngầm đưa cho quan bình chương là Trương Đăng Quỹ. Thư nói rằng: "Kiếp này sinh ra lỗi thời, gặp lúc nhà nước lắm nạn; lạm dự vào dòng đích nhà chúa, rất lo cho việc tôn miếu xã tắc. Dâng biểu trần tình, may được hoàng thượng cho về triều kiến. Lúc mới về, chỉ muốn giữ lấy việc thờ phụng tổ tiên cho tròn đạo hiếu, thực không có bụng chuyên quyền giữ nước.
