第十一回。	Hồi thứ mười một.
西山再入城据国。	Tây Sơn lại kéo vào thành chiếm giữ đất nước.
嗣皇三起驾复都。	Chiêu thống ba phen tính chước khôi phục kinh đô.
且说帝亲御观兵，在陈兴道王祠中，召珠问曰：「有众几百？」	Lại nói, vua Lê thân hành tới xem diễu võ ở núi Vạn Kiếp. Nhà vua ngự ở đền Trần Hưng Đạo, gọi Châu đến và hỏi: - Có được mấy trăm quân?
对曰：「除新附外，臣手下精练者百人耳！」	Châu đáp: - Trừ số người mới theo về, thủ hạ tinh luyện của thần chỉ có trăm người mà thôi!
帝曰：「恨少。」	Vua nói: - Tiếc rằng ít quá! Châu đáp: - Quân cần tinh nhuệ không cần nhiều.
对曰：「兵贵精不贵多，有殊死之士百人，足以横行天下，臣尝试之，敌兵蔽野而至，所遗或数十人，突前挥刀而乱斫，无不溃败。」	Có trăm quân cảm tử, cũng đã đủ để hoành hành trong thiên hạ. Thần đã từng thử, quân giặc có lúc kéo tới đầy cả đồng, thần chỉ sai vài chục người xông đến trước trận, múa dao chém bừa, không lần nào giặc không tan vỡ.
帝曰：「信如尔言，出其不意则可，对阵而战则不可。	Vua bảo: - Đúng như lời ngươi nói, nhưng đánh bất thình lình thì được, chứ đối trận mà đánh thì không được.
今散亡之余，人情易乱，动出万全，始能自立，以图恢复。	Nay đang khi trốn chạy tan tác, nhân tình dễ loạn, làm gì cũng phải cho chu đáo mới có thể đứng vững để lo việc khôi phục.
万一蹉跌，不可复合。	Vạn nhất bị vấp ngã thì không thể nào nhóm họp lại được nữa.
此会稽之栖，巴川之屈，古人隐忍以自存，不敢妄动以自取败。	Vì thế, thời xưa có người chịu nương náu ở núi Cối Kê, có người chịu nép mình ở đất Ba Thục (ở đây Chiêu thống muốn nói đến chí phục thù của các vua đời xưa ở Trung Quốc, như Việt vương Câu Tiễn thời Xuân Thu và Hán Cao Tổ cuối đời Tần. Câu Tiễn bị Ngô Phù Sai đánh bại và cho ở đất Cốt Kê, nhưng vẫn nhẫn nhục chịu đựng mọi cay đắng, ngầm nuôi chí lớn, sau quả nhiên trở lại diệt được nước Ngô. Hán Cao Tổ bị Sở Bá vương biếm phong vào đất Ba Thục. Cao Tổ tạm thời chịu lép vế, rồi về sau đã thắng Sở), người ta vẫn phải ẩn nhẫn mà giữ lấy lực lượng, không dám làm liều để rước lấy sự thất bại.
今国家事殆类于此，须先号召勤王，以益其势，未可遽出色也。	Ngày nay, việc nước nhà cũng giống như vậy, nên trước tiên phải kêu gọi quân cần vương để thêm thanh thế, không nên lộ mặt ra vội.
朕已分遣诸臣，各行召募。在京北者有范廷玙、朱允励；在山南者有张登揆、范文璘，不日自当复命。	Trẫm đã sai các quan chia đường đi chiêu mộ binh lính, ở Kinh Bắc có Phạm Đình Dư, Chu Doãn Lệ, ở Sơn Nam có Trương Đăng Quỹ, Phạm Văn Lân, ít lâu nữa họ sẽ trở về phục mệnh.
尔且俟之，顿兵山中，练习新附之众，使各精锐，以待征发可也。」	Nhà ngươi nên đợi họ, bây giờ hãy đóng quân ở trong núi, luyện tập số người mới theo, cho tất cả đều tinh nhuệ, để chờ sai khiến.
帝又命廷简往山西上游，号召宣兴义兵，刻期并至，而自东幸海阳，传檄招谕。	Vua lại sai Đình Giản qua miền thượng du trấn Sơn Tây, kêu gọi nghĩa binh các trấn Tuyên Quang, Hưng Hoá, hẹn ngày cùng đến. Còn tự mình thì đi tới vùng Hải Dương, truyền hịch chiêu dụ.
帝在至灵，文臣之从驾者，陈名案者与武桢、吴时俧三人而已。	Lúc vua đến huyện Chí Linh, quan văn đi theo chỉ có ba người là Trần Danh án, Vũ Trinh và Ngô Thì Chí mà thôi.
俧上中兴策曰：「臣窃惟：拨乱宜相其机，用武必有其地。	Ngô Thì Chí có dâng vua bài "Sách lược trung hưng" như sau: "Thần trộm nghĩ, dẹp loạn phải xem cơ, dùng võ phải có đất.
少康德纶邑而后奋发中兴；先主据益州而能抗衡外侮。	Vua Thiếu Khang giữ Luân ấp mà sau mới dấy được nghiệp trung hưng; Vua Chiêu Liệt chiếm ích Châu mà sau mới chống được kẻ ngoại địch.
本朝地势，高平谅山界在东北，与内地相邻，其山川之险，足以固守；兵马之强，足以进取。	Địa thế nước ta, Cao Bằng, Lạng Sơn nằm ở phía đông bắc, giáp với đất Trung Hoa. Núi sông hiểm trở, đủ để giữ vững, binh mã hùng cường, đủ để tiến đánh.
若陛下驾幸其地，遣一介使奔告于清，令之提兵压境，为我声援；而密旨四镇豪杰使之响应，人心激励，何敢不从，百官未及从者，谁敢不至？	Nay bệ hạ hãy ngự giá đến đó, sai một sứ thần sang báo với nhà Thanh, xin họ đem quân đóng áp bờ cõi, để làm thanh viện cho ta; đồng thời đưa mật chỉ cho hào kiệt bốn trấn, bảo họ hưởng ứng. Lòng người đã được khích lệ, ai dám không theo? Trăm quan kẻ nào chưa theo kịp, ai dám không tới?
外倚上国之势，内集勤王之师，将使贼势日孤，我势日大。	Ngoài tựa vào thế thượng quốc, trong nhóm họp quân cần vương, khiến cho thế giặc mỗi ngày mỗi trơ trọi, thế ta mỗi ngày một lớn mạnh.
由是措置方略，进复京城，中兴之功，可指日成矣！」	Rồi đó, ta sắp đặt phương lược, tiến lên khôi phục kinh thành, công nghiệp trung hưng hẳn có thể hẹn ngày mà làm nên được!".
