第十三回。	Hồi thứ mười ba.
慑先声强敌避锋。	Khiếp thanh thế, giặc mạnh rút lui.
得大援故君反正。	Nhờ viện binh, vua xưa trở lại.
且说孙总督将出师时，续有疏奏言：「臣闻安南黎弱，将来不能必守其国。	Lại nói, lúc sắp xuất quân, Tôn Sỹ Nghị lại dâng tiếp một tờ sớ, đại ý nói: "Thần nghe họ Lê ở nước An Nam hèn yếu, sau này không chắc đã giữ được nước.
今来求援，本朝义当拯救；且安南中国故地，若复黎之后，因以兵戍，是存黎而得安南，竟为两得。」	Nay họ sang cầu cứu, bản triều theo nghĩa phải cứu giúp. Vả chăng, An Nam vốn là đất cũ của Trung Quốc (chỉ nước ta ở thời kỳ Bắc thuộc), nếu sau khi khôi phục họ Lê rồi, nhân đó lại cho quân đóng giữ, thì như thế là bảo tồn họ Lê mà đồng thời lại chiếm giữ được nước An Nam, một công mà hai việc vậy".
巡抚孙永清抗疏以为：「朝廷以复黎为名，黎不能守，又遣官以取其国；谕以义始而以利终，臣窃以为不可。	Tuần phủ là Tôn Vĩnh Thanh dâng sớ chống lại lời bàn ấy của Nghị, đại để nói: "Triều đình mượn tiếng khôi phục họ Lê, khi thấy họ Lê không thể giữ được nước, lại định sai quan chiếm nước họ; ban đầu thì làm việc nghĩa, cuối cùng lại theo việc lợi, thần trộm cho là không nên.
方今黎、阮相攻，黎必为阮所倂。	Hiện nay họ Lê họ Nguyễn (họ Nguyễn đây là chỉ Tây Sơn) đang đánh nhau, họ Lê thế nào cũng bị họ Nguyễn thôn tính.
莫若按兵不动，然后乘其弊而取之，未为晚也。」	Chi bằng cứ đóng quân yên lặng, rồi sau đó, nhân lúc cả hai bên đều kiệt quệ, bấy giờ ta sẽ đánh lấy cũng chưa muộn gì".
清帝卒从毅奏。	Rốt cuộc, vua Thanh nghe theo lời Nghị.
永清与毅不合，称病不行。	Vì không hợp ý với Nghị, Vĩnh Thanh bèn cáo ốm không đi.
毅独奉诏，率两广、云贵四路兵马出关，分为二道：一从谅山来，毅率之；一从宣光来，总兵帅之，并听毅节制。	Nghị một mình vâng chiếu đem quân bốn lộ Quảng Đông, Quảng Tây, Vân Nam, Quí Châu, ra khỏi cửa ải, rồi chia làm hai đạo: một đạo đi đường Lạng Sơn, do Nghị đốc suất; một đạo đi đường Tuyên Quang, do viên tổng binh đốc suất. Cả hai đạo đều chịu dưới quyền tiết chế của Nghị (theo Cương mục thì quân Thanh kéo sang gồm ba đạo: một do tổng đốc lưỡng Quảng Tôn Sỹ Nghị và đề đốc Hứa Thế Hanh chỉ huy, theo đường ải Nam Quan qua Lạng Sơn kéo xuống; một do đề tổng Vân Quí là Ô Đại Kinh chỉ huy, do đường Mông Tự qua Tuyên Quang tràn sang; một do tri phủ Điền Châu Sầm Nghi Đống điều khiển, từ Khâm Châu qua Cao Bằng đổ xuống).
毅大会将士，宣示军律凡八条：「一曰大兵出关，本为剿逆安民，几经过地方，肃队而行，不得骚扰人家，虏掠市肄。	Nghị họp các tướng sĩ, ban bố quân luật gồm 8 điều như sau: Điều thứ 1. - Đại binh ra ải, vốn để dẹp giặc an dân. Hễ qua các nơi đều phải nghiêm chỉnh đội ngũ mà đi, không được quấy nhiễu nhân dân, cướp bóc chợ búa.
二曰关外崇山峻岭，其地本易埋伏，宜先铲去石块，斫除林菁，使之一望豁然，得以放心前进，如有新土浮松之处，尤当留心看察，以防诡计。	Điều thứ 2. - Ngoài ải, non cao rừng hiểm, miền ấy rất dễ mai phục, trước hết phải san bằng đá tảng, phát hết bụi rậm, để cho trước mắt quang đãng, có thể vững lòng mà tiến lên. Nếu gặp chỗ nào đất mới xốp bở, càng nên để ý xem xét, để đề phòng mưu gian của giặc.
三曰凡大兵驻扎之所，务先相视地方，占取形勘，易就水草，毋近林莽，四面掘壕筑垒，督率弁兵，日夜巡警，又须于十里外，分行侦探，不得喧哗，易于惊乱。	Điều thứ 3. - Hễ nơi nào đại binh địch đóng thì trước hết phải xem xét địa phương, chọn lấy hình thế, tìm nơi dễ lấy nước, lấy cỏ, chớ có đóng gần rừng rậm, bốn mặt phải đào hào đắp luỹ và đốc suất binh lính đêm ngày tuần phòng, ngày đêm phải chia quân đi dò xét ở ngoài mười dặm, không được ồn ào, dễ gây ra kinh sợ rối loạn. Điều thứ 4.
四曰南人打仗多用象力，非内地所素习，过之必先趁避，不知象力虽大，究亦血气之躯，不能当我火器；如见象出战，远则施枪炮，近则用弓刀，使负痛反奔，自相践蹂，我兵乘机追杀，必胜无疑，要当晓谕使知可可也。	- Người Nam đánh trận, hay dùng sức voi. Voi không phải là vật nội địa từng tập quen, nên hễ gặp phải, trước tiên quân ta thế nào cũng tránh chạy. Không biết rằng, sức voi tuy khoẻ, chung quy cũng là thân máu thịt, không thể đương được với súng ống của ta. Nếu thấy voi ra trận, xa thì bắn súng, gần thì dùng cung và lao, làm cho nó bị đau mà chạy trở lại, giày xéo lẫn nhau, quân ta nhân cơ hội ấy mà tiến lên chém giết, thế nào cũng thắng trận, không còn nghi ngờ gì nữa. Cần phải chỉ bảo cho nhau cùng được biết.
