第十五回。	Hồi thứ mười lăm.
定北河平王受封。	Dẹp yên cõi Bắc, Nguyễn Huệ được phong.
战宣光皇弟遇害。	Đánh phá Cao Bằng, Duy Chỉ bị hại.
且说孙总督之北走也，临时急遽，不暇收拾。	Lại nói, khi Tôn Sỹ Nghị chạy trốn về nước, trong lúc vội vàng, không kịp thu nhặt đồ đạc.
迨至凤眼地头，又闻西将得禄侯引兵从东道来，邀截已近，一番吃惊。其所携带，一切委弃途中，仅以身免。	Đến khi tới huyện Phượng Nhãn lại nghe nói tướng Tây Sơn là Đắc lộc hầu đem quân từ mặt đông kéo lên chặn đường, đã gần tới nơi, Nghị lại bị một phen khủng khiếp, các vật cần thiết mang theo, đều phải vứt bừa ra giữa đường để mong chạy thoát lấy thân mình.
故凡清帝所赐敕书及旗牌军印，为西人所获以还。	Cho nên những vật của vua Thanh ban cho như sắc thư, kỳ bài, quân ấn đều bị quân Tây Sơn bắt được đem về.
原来去冬清帝从毅之请，敕令提兵出关。	Nguyên mùa đông năm ngoái, theo lời xin của Nghị, vua Thanh đã truyền lệnh cho Nghị đem quân ra ngoài cửa ải Nam Quan.
寻有旨谕徐行无急，且先传檄文为之先声，因放黎臣回国，纠合义兵，寻黎嗣孙使之出头，与阮光中对敌，试观事势如何。	Sau đó, vua Thanh lại có chỉ dụ bảo Nghị đi từ từ, chớ có vội; hãy làm tờ hịch đưa sang trước làm thanh viện cho nhà Lê, rồi thả bọn bề tôi nhà Lê về nước, tập hợp nghĩa binh, tìm tự tôn họ Lê, để cho ra mặt đối địch với Nguyễn Quang Trung, thử xem sự thế ra sao?
若安南人心果犹愿戴黎氏，彼得天兵之来，谁不奋勇自效，光中必将退避，因使黎嗣孙当前追蹑，而以大兵继，则不劳而功成，此为策之上也。	Nếu như lòng người An Nam còn mến nhà Lê, lại được thiên binh kéo sang, thì ai chẳng hăng hái nổi lên, và như vậy, Quang Trung ắt phải lui tránh. Bấy giờ sẽ bảo tự tôn họ Lê đi tiên phong đuổi đánh còn Nghị thì đem đại binh tiếp theo, chắc là không khó nhọc gì mà sẽ thành công. Đó là chước hay thứ nhất.
如通国之左右袒各半，光中必不退避，姑且腾书，告示祸福，看他如何？	Nếu như người trong nước, nửa theo đằng nọ, nửa theo đằng kia, thì Quang Trung nhất định sẽ không chịu lui. Khi ấy, cần phải viết thư nói rõ hoạ phúc, xem hắn đối phó ra sao?
俟我闽、广水军出洋，先攻顺义，即出步军前进。	Rồi chờ cho thuỷ quân các tỉnh Mân, Quảng (Phúc Kiến và Quảng Đông, Quảng Tây) của ta vượt biển đánh trước vào Thuận Quảng (Thuận Hoá và Quảng Nam), bấy giờ sẽ thúc quân tiến lên.
光中背腹受敌，其势不得不服。	Quang Trung mặt trước mặt sau đều bị đánh, tất phải hàng phục.
我因而两存之，顺、广以南，以栖光中；欢、爱以北，以封黎嗣。	Ta nhân đó mà bảo tồn cho cả hai. Thuận, Quảng về nam cho Quang Trung ở; Hoan, ái (Nghệ An, Thanh Hoá) về bắc, phong cho tự tôn họ Lê.
因顿大兵于该国，以遥制之，俟后别有处置。	Rồi đó, đóng đại binh ở nước ấy, xa xa kiềm chế họ, sau này sẽ có cách xử trí khác.
及毅大兵出关，闻西兵退走，即整军前往升龙国城屯宿，不以为虞，是以一败涂地。	Đến khi đại quân của Nghị ra khỏi cửa ải Nam Quan nghe tin quân Tây Sơn đã lui chạy, tức thì Nghị sai chỉnh đốn đội ngũ, kéo thẳng đến đóng ở thành Thăng Long, không còn lo lắng gì cả, vì thế mới thua một trận tan tành.
清国承平日久，民不知兵，见毅狼狈奔还，人情恟惧。	Bấy giờ dân Thanh thái bình đã lâu, không biết gì đến việc binh, thấy Nghị tất tả chạy về, nhân tình đều nhốn nháo sợ hãi.
继闻西山追至谅山界，传言尽杀匈奴夷辈。	Tiếp đó lại nghe tin quân Tây Sơn đuổi đến Lạng Sơn, nói phao lên rằng: "Sẽ giết hết rợ Hung Nô".
于是内地大振，自关以北，清人士女相率扶携奔走，凡数百里，寂无人烟。	Do đó, ở đất Trung Quốc, dân chúng lại càng nhốn nháo. Từ cửa ải Nam Quan trở về bắc, trai gái già trẻ, bồng bế dắt díu nhau chạy trốn, suốt vài trăm dặm, lặng ngắt không còn bóng người.
事闻清帝大怒，即降旨，命阁臣福隆安为两广总督，提督九省兵马，以往经理安南事，而征毅还京待罪。却说北平王既破清师，乃据升龙城。	Vua Thanh được tin, giận lắm, lập tức hạ chỉ, sai viên quan ở nội các là Phúc Khang An làm tổng đốc lưỡng Quảng, đem binh mã chín tỉnh sang kinh lý việc An Nam và đòi Sỹ Nghị về kinh chịu tội. Lại nói, Nghị ở Thăng Long chạy đi, nhằm đêm mồng 5 tháng giêng. Đến trưa hôm ấy, vua Quang Trung tiến quân vào thành. Sau khi đã hoàn toàn quét sạch quân Thanh, vua Quang Trung bèn đóng quân tại thành Thăng Long, rồi hạ lệnh chiêu an.
遂下令招安，凡清人之奔逃者，随令来首服，民间不得藏匿。	Phàm những người Thanh trốn ở các nơi, đều bảo phải tới đầu thú, dân gian không được chứa chấp.
旬日间得数万千人，各给以衣粮。	Trong khoảng mươi ngày, quân Thanh ra thú có đến hơn vài vạn, đều được cấp phát lương ăn áo mặc.
又得毅所遗弃诏书军印，以示吴任曰：「我看清帝诏书，不过亦视强弱为左右耳。	Nhân bắt được chiếu thư và quân ấn do Sỹ Nghị bỏ rơi, vua Quang Trung bèn đưa cho Ngô Thì Nhậm xem và bảo: - Ta xem tờ chiếu của vua Thanh, thì chẳng qua họ cũng chỉ cốt xem tình hình ta mạnh yếu ra sao để mà định bề tiến lui, chớ còn việc nghĩa cử để dựng lại nhà Lê, không phải là bản tâm của họ.
存黎义举，非是本心，特假此为名而实图自利。	Họ chỉ mượn tiếng để mưu đồ lợi riêng mà thôi.
今既为我所破，忍之则以为耻，报之亦以为难。	Nay họ đã bị ta đánh thua, nhịn đi thì thẹn, báo thù thì khó.
凡我所获散军，宜均给口粮，悉送关上。	Vậy những tàn quân ta bắt được, đều nên cấp lương và đưa hết lên cửa ải.
卿素善词令，当即为书遗之，备言：『我是小藩，一心恭顺，畏天事大，安敢有他？	Ngươi vốn giỏi về nghề văn từ đối đáp, nên thảo ngay bức thư đưa sang cho họ, đại khái nói: "Ta là nước nhỏ, một lòng kính thuận, sợ mệnh trời, thờ nước lớn, sao dám có ý gì khác.
前经有表文投递，为孙大人所壅遏，不得上达。	Trước đã có biển văn đệ sang, bị ngài tổng đốc họ Tôn dìm đi, không thấu đến bề trên được.
近自南来，本欲与孙大人辨白真衷，不意道路讹传，张大声势，人人惊疑，自弃军先奔，浮桥复断。以致天兵陷溺，其争路走者，自相蹂藉，多致死伤。	Gần đây, ta từ miền Nam tới, vốn là muốn biện bạch lòng thật thà với ngài tổng đốc họ Tôn. Không ngờ đường sá đồn nhảm, làm to thanh thế của ta, khiến cho mọi người nghi ngờ sợ hãi, bỏ đội ngũ mà chạy trước, để đến nỗi cầu phao bị đứt, quân lính thiên triều phải chết đuối, những kẻ tranh đường chạy trốn lại giày xéo lẫn nhau nhiều người bị thương bị chết.
此实孙大人之为，而非小藩敢自交兵之罪。	Đó thật là do ngài tổng đốc họ Tôn gây nên, không phải là tội của nước nhỏ dám giao chiến.
今现收散卒万数千人，并已查明名贯，给饷到关，备册进纳。	Hiện nay đã thu góp được số tàn quân hơn một vạn người, lại đã tra rõ họ tên, quê quán, cấp lương đầy đủ và đưa lên cửa ải; vậy xin kê sổ dâng nộp...".
』」于是吴任即修书，差人飞马。命谅山头目，由关上发递。	Thì Nhậm vâng lệnh, lập tức theo ý đó thảo một bức thư, rồi sai người phi ngựa giao cho viên đầu mục ở Lạng Sơn đưa tới ải Nam Quan, nhờ chuyển đệ sang Trung Quốc. Lại nói, viên tổng đốc lưỡng Quảng mới là Phúc Khang An vốn là người Mãn, thuộc đội Cờ viền vàng (hộ khẩu của dân Mãn chia theo binh chế, gồm có tám đội Cờ (bát kỳ): Cờ vàng, Cờ trắng, Cờ đỏ, Cờ xanh, Cờ viền vàng, Cờ viền trắng, Cờ viền đỏ, Cờ viền xanh. Các đội Cờ này lúc thường thì làm dân, lúc động thì làm lính.
且说两广新督臣福隆安，乃满州镶黄旗人，由荫生致位台鼎，清帝素信用，故委以料理南事。	Về sau, khi người Mông, người Hán qui phục nhà Thanh, vua Thanh Thái tông cũng tổ chức ra bát kỳ người Mông và bát kỳ người Hán như vậy, để làm lực lượng nòng cốt trong việc thống nhất Trung Quốc) do chân ấm sinh làm đến chức quan trong Nội các, vua Thanh vốn rất tin dùng, nên mới giao cho kinh lý việc nước Nam.
初代毅为总督，乘驿至广西幕府，亲见毅只身奔还。又闻北平王势焰，未免逡巡畏缩。	Vừa mới thay Nghị làm chức tổng đốc, Khang An đi trạm đến mạc phủ Quảng Tây, đã chính mắt thấy Nghị trơ trọi một thân chạy về, rồi đó, tai lại được nghe thanh thế của vua Quang Trung, nên trong bụng không khỏi rụt rè lo sợ.
及接边书，遂一心大胆，即以南事自任，密谓太平府王分府曰：「南北弭兵，生民之福，而实边疆诸臣之大幸也！	Đến khi tiếp được bức thư từ biên cương đưa tới, Khang An quyết liền tự mình gánh vác lấy việc phương Nam, bèn nói kín với viên phân phủ họ Vương ở phủ Thái Bình rằng: - Nam Bắc thôi việc binh đao, đó là phúc của sinh dân, mà thực là điều may lớn cho các quan ở ngoài bờ cõi.
我闻南国词臣有吴任者，向之词札皆出其手。	Ta nghe nói có viên quan coi việc giấy tờ của nước Nam tên là Ngô Thì Nhậm, bao nhiêu thư từ từ trước đến giờ đều do tay y mà ra.
公可为书答复，使之专主和议，急缮谢表投递。我为内主，事无不济。」	Vậy ông nên viết thư trả lời, bảo y chuyên tâm chủ trương việc giảng hoà, gấp rút viết tờ biểu tạ tội đưa sang, ta sẽ ở trong giúp đỡ cho, việc ấy thế nào cũng xong.
王分府出，即移札于吴任。	Phân phủ họ Vương lui ra, tức thì viết thư cho Ngô Thì Nhậm.
吴任以事禀于北平王。	Nhậm đem việc ấy tâu với vua Quang Trung.
王虽既定北河，而南陲犹有内忧，急于还师，因会诸将谓曰：「北河兵事，吾委文楚、文璘；中国使命，吾委吴任、潘益。	Bấy giờ, vua Quang Trung tuy đã dẹp yên Bắc Hà, nhưng ở miền Nam, vẫn có cái lo bên trong, nên muốn gấp rút về Nam, bèn họp các tướng sĩ lại mà bảo: - Việc binh ở Bắc Hà, ta giao cho Ngô Văn Sở và Phan Văn Lân. Việc giao thiệp với Trung Quốc ta giao cho Ngô Thì Nhậm và Phan Huy Ích.
凡事并听便宜处置。	Mọi việc đều cho phép các ngươi tuỳ tiện xử trí.
我且还，事无关紧，不必往复禀报为也。」	Ta hãy về Nam, nếu việc gì không quan hệ lắm thì bất tất phải qua lại bẩm báo cho thêm phiền phức.
于是北平王引众南还，留文楚总统军国机务，而吴任主北事，与清边臣王分府表里相应。外有隆安为题达，内有阁臣和珅为主张。	Rồi đó, vua Quang Trung dẫn quân về Nam, để Văn Sở ở lại, coi giữ hết thảy việc quân, việc nước. Còn Ngô Thì Nhậm thì làm chủ về việc giao thiệp với Trung Quốc, cùng với viên quan giữ biên ải của nhà Thanh là phân phủ họ Vương hai bên liên lạc với nhau; ngoài thì có Phúc Khang An đề đạt ý kiến, trong thì có Các thần Hoà Khôn chủ trương mọi việc.
那和珅满州黄旗人，由荫生入阁，与隆安同管理藩院。	Hoà Khôn người Mãn Châu, thuộc đội Cờ vàng, cũng do chân ấm sinh vào làm ở Nội các, cùng với Khang An quản lý việc hộ.
隆安移书于吴任，教以金币贿之。	Khang An gửi thư cho Thì Nhậm, bảo Nhậm đưa vàng bạc đút lót Khôn.
珅即奏请罢兵，而封光中毋开边事，以费中国。	Khôn liền tâu với vua Thanh xin bãi việc binh, phong vương cho Quang Trung, và không nên gây hấn với nước ngoài, làm hao phí cho Trung Quốc.
且言从古以来，未有得志于南荒者。	Khôn lại nói: "Từ xưa đến nay, chưa có đời nào làm nên công trạng ở cõi Nam.
宋及元、明，终于败衄，厥鉴不远。	Nhà Tống rồi nhà Nguyên, nhà Minh, rốt cuộc đều bị thua trận, gương ấy hãy còn rành rành".
清帝以为然，遂一意讲和。	Vua Thanh cho là phải, bèn quyết ý giảng hoà.
和珅等皆希旨迎合，无不中其肯綮。	Bọn Hoà Khôn đón ý vua Thanh làm cho mọi việc đều ăn khớp, nên không việc gì là không vừa lòng nhà vua.
清帝大悦，辄赐玺书褒美。	Bởi vậy, vua Thanh rất thích, thường viết thư khen ngợi họ.
