第十七回。	Hồi thứ mười bảy.
定升龙伪主就擒。	Mất thành Thăng Long, vua Cảnh Thịnh bị bắt.
葬盘石皇妃从殉。	Táng lăng Bàn Thạch, Nguyễn Hoàng Phi chết theo.
且说西伪王光缵嗣位之初年癸丑，皇朝大军水步自嘉定北出，征西王文岳于归仁城。	Lại nói, vào năm đầu khi vua Tây Sơn Quang Toản mới lên nối ngôi tức là năm Quí Sửu (1793), đại quân của nhà Nguyễn (Nguyễn Ánh) cả thuỷ lẫn bộ, từ Gia Định kéo ra đánh vua Tây Sơn Nguyễn Nhạc ở thành Qui Nhơn.
于是岳将士以数战疲耗，势渐穷促，乃使人赴光缵所求援。	Tướng sĩ của Nhạc đánh mãi đã mệt nhọc, thế lực dần dần cùng quẫn, Nhạc bèn sai người đến chỗ Quang Toản xin quân cứu viện.
光缵乃会诸臣谕之曰：「吾闻唇亡齿寒，唇存齿暖。伯父王今有难，而守御单虚，不可不救。」	Quang Toản hợp các tướng mà bảo rằng: - Ta nghe nói "môi hở răng lạnh, môi còn răng ấm", nay vua bác có nạn mà sức chống giữ kém cỏi, không thể không cứu.
乃以都督阮耀为大总管，领诸军南行救之，官军引还。	Rồi Toản cho đô đốc Nguyễn Diệu làm chức đại tổng quản, dẫn quân vào Nam cứu Nhạc. Quân chúa Nguyễn lại rút về.
是年秋八月西王岳殂，其长子光绍嗣立。	Tháng 8 năm ấy, Nhạc mất, con cả là Quang Thiệu lên nối ngôi.
耀因分兵据守其城，名为救援，而实阴并之也。	Nhân thế, Diệu chia quân giữ lấy thành. Tiếng là cứu viện, nhưng thực ra là thôn tính ngấm ngầm.
往次年甲寅，光缵复命得宣为赞议，往归仁城与光绍镇守；而以阮耀为统率，领大军进寇芽庄城；自黎文忠以下凡七将，各加郡公管兵，听耀节制。	Năm sau, tức là năm Giáp Dần (1794), Quang Toản lại sai Đắc Trụ (có sách chép Đắc Thân, là con Đắc Tuyên) làm chức tán nghị, đi vào Qui Nhơn cùng với Quang Thiệu trấn giữ thành ấy và lấy Nguyễn Diệu làm thống suất, lĩnh đại quân tiến đánh thành Nha Trang. Từ Lê Văn Trung trở xuống, tất cả bảy tướng đều được gia phong làm tước quận công quản binh và nghe theo lệnh chỉ huy của Diệu.
耀逼芽庄城，游兵至平顺地面。	Diệu tiến sát thành Nha Trang, mà quân tuần tiễu thì đã đến tận địa phận tỉnh Bình Thuận.
官军悉力守御，耀不能克。	Quân nhà Nguyễn hết sức chống giữ khiến Diệu không thể thắng nổi.
是时西人数来侵，两军相持者各累岁。	Hồi đó, quân Tây Sơn luôn luôn đến xâm lấn miền Nam, hai bên chống chọi với nhau đến hàng năm.
会耀闻得宣父子与文楚皆为司徒勇太保化等所杀，作急引还，与将佐合谋，欲以兵劫勇等。	Thình lình Diệu nghe tin cha con Bùi Đắc Tuyên và Ngô Văn Sở đều bị bọn tư đồ Dũng và thái bảo Hoá giết chết, bèn vội vàng kéo quân về, họp bàn cùng bọn tướng tá, định dùng quân lực bắt hiếp bọn Dũng.
原自光缵初年以来，得宣拥政。而文楚镇升龙城，总理军民事，进位大董理，爵郡公；是年又命大司徒勇镇北边四镇兵马。	Nguyên từ năm Quang Toản mới lên ngôi tới khi ấy, Đắc Tuyên thì chuyên quyền, còn Văn Sở thì trấn giữ thành Thăng Long, coi hết việc quân, dân, rồi được thăng chức đại tổng lý, tước quận công. Năm ấy Quang Toản lại sai đại tư đồ Dũng ra coi binh mã bốn trấn ở miền Bắc.
勇至黄江驿舍，时中书令陈文纪有罪发谪于此，勇与之同宿。	Dũng đến nhà trạm Hoàng Giang, gặp trung thư lệnh là Trần Văn Kỷ phạm tội bị đày ở đó.
文纪语之曰：「太师位极人臣，拥威福之柄，又出公于外，将有不利于国家，公等得保其首领乎？	Dũng cùng ngủ đêm với Kỷ, Kỷ bèn nói với Dũng rằng: - Quan thái sư (chỉ Đắc Tuyên) chức vị đã cao tột bực, trong tay nắm quyền làm oai làm phúc, lại đẩy ông ra ngoài, nếu có sự chẳng lợi cho nhà nước, các ông phỏng còn giữ được đầu chăng?
不及今早图之，后悔安及。	Bây giờ chẳng sớm liệu đi, sau này ăn năn sao kịp?
勇素信重文纪，遂然其说。	Dũng vốn tin và trọng Văn Kỷ, bèn cho lời Kỷ là phải.
明日即与本部兵倍道驰还，与太保化合谋收得宣下狱，并使人往归仁收得宙；使都督谐往升龙城，设计捕文楚以还，并织成反状；溺水死之。	Hôm sau, Dũng đem quân bản bộ gấp đường quay về, hợp mưu với thái bảo Hoá, bắt phe đảng Đắc Tuyên bỏ ngục; lại sai người vào Qui Nhơn bắt Đắc Trụ và sai đô đốc Hài ra thành Thăng Long lập mẹo bắt Ngô Văn Sở đưa về, rồi thêu dệt thành tội trạng làm phản mà đem dìm xuống nước cho chết hết.
光缵不能制，但涕泣而已，于是复命化往守归仁城。	Quang Toản không thể ngăn chặn nổi, đành chỉ khóc lóc mà thôi. Sau đó, Dũng lại sai Hoá vào giữ thành Qui Nhơn.
浃时耀在芽庄间之，日夜忧疑，恐祸及已，乃谕众将曰：「主德不刚，大臣相杀，祸变之大莫此为甚。	Chẳng mấy chốc, Diệu ở Nha Trang nghe tin, đêm ngày lo nghĩ, chỉ sợ vạ lây đến mình, bèn bảo các tướng rằng: - Chúa thượng không cương quyết, đại thần giết lẫn nhau, tai biến không gì lớn hơn thế nữa.
