周后稷，名弃。	Chu Hậu Tắc tên là Khí.
其母有邰氏女，曰姜原。	Mẹ là con gái họ Hữu Đài, gọi là Khương Nguyên.
姜原为 帝喾元妃。	Khương Nguyên là nguyên phi của Đế Cốc.
姜 原出野，见巨人迹，心忻然说，欲践之，践之而身动如孕者。	Khương Nguyên ra đồng nội, thấy vết chân người khổng lồ, lòng bỗng vui vẻ, muốn giẫm lên, giẫm xong thì thân thể động đậy như có thai.
居期而 生子，以为不祥，弃之隘巷， 马牛过者皆辟不践；徙置之林中，適会山林多人，迁之；而弃渠 中冰上，飞鸟以其翼覆荐之。	Đủ tháng thì sinh con, cho là chẳng lành, liền bỏ con ngõ hẻm, trâu ngựa đi qua đều tránh không giẫm; chuyển vào trong rừng, gặp đúng lúc trong rừng có nhiều người, lại chuyển đi, bỏ lên rãnh nước đóng băng, có con chim lấy cánh che chở.
姜原以为神，遂收养长之。	Khương Nguyên cho là thần kỳ, bèn đem về nuôi nấng.
初欲弃之， 因名曰弃。	Vì thoạt đầu muốn vất bỏ, nên đặt tên là Khí.
弃为兒时，屹如巨人之志。 其游戏，好种树麻、菽，麻、菽美。	Khí hồi nhỏ đã có chí của người lớn, khi chơi đùa, thích trồng cây mè cây đậu, cây mè cây đậu đều tươi tốt.
及为成人，遂好耕农，相地之宜，宜穀者稼穑焉， 民皆法则之。	Kịp khi trưởng thành thì thích cấy cày, xem xét sự tiện nghi của đất đai, đất nào có thể gieo trồng thì trồng trọt gặt hái ở đó. Dân đều noi theo Khí.
帝尧闻之，举弃为农师，天下得其利，有功。	Để Nghiêu biết chuyện, cất cử Khí làm Nông sư. Thiên hạ được hưởng lợi, có công.
帝舜 曰：“弃，黎民始饥， 尔后稷播时百穀。”	Đế Nghiêu nói: “Khí này, lê dân bắt đầu đói kém, ngươi làm Hậu tắc, gieo trồng bách cốc đi?”
封弃於邰， 号曰后稷，别姓姬氏。	rồi phong cho Khí ở đất Thai, gọi là Hậu tắc, họ khác là Cơ.
后稷之兴，在陶唐、虞、夏之际，皆有令德。	Hậu Tắc lớn mạnh vào khoảng thời Đào Đường, Ngu, Hạ, đều có đức tốt.
不窋末年，夏后氏政衰，去稷不 务， 不窋以失其官而饹戎 狄之间。	Cuối đời Bất Truất, chính sự nhà Hạ Hậu suy, bỏ dùng chức Tắc, Bất Truất vì vậy mất chức quan, chạy vào vùng Nhung địch.
不窋卒，子鞠立。	Bất Truất mất, con là Cúc nối dõi.
鞠卒，子公刘立。	Cúc mất, con là Công Lưu nối dõi.
公刘虽在戎狄之间，复 脩后稷之业，务耕种，行地宜，自漆、沮度渭，取材用， 行者有资，居者有畜积， 民赖其庆。	Công Lưu tuy ở vùng Nhung địch, nhưng khôi phục công nghiệp Hậu Tắc, coi trọng cấy cày, xem sự tiện nghi của đất đai. Từ sông Tất, sông Thư tới sống Vị, lấy tài nguyên để dùng, người đi có của nả, người ở có tích trữ, dân được hưởng lộc ông.
百姓怀之，多徙而保归焉。	Trăm họ yêu mến, nhiều nhà dời đến quy thuận.
周道之兴自此始，故诗人歌乐 思其德。	Đạo nhà Chu hưng thịnh bắt đầu từ đây. Vậy nên nhà thơ hát ca, ghi nhớ đức ông.
公刘卒，子庆节立，国於 豳。	Công Lưu mất, con là Khánh Tiết nối dõi, lập nước ở đất Bân.
庆节卒，子皇仆立。 皇仆卒，子差弗立。	Khánh Tiết mất, con là Hoàng Bộc nối dõi. Hoàng Bộc mất, con là Sai Phất nối dõi.
差弗卒，子毁隃立。 毁隃卒，子公非立。	Sai Phất mất, con là Hủy Du nối dõi. Hủy Du mất, con là Công Phi nối dõi.
公非卒，子高圉 立。	Công Phi mất, con là Cao Ngữ nối dõi.
高圉卒，子亚圉立。	Cao Ngữ mất, con là Á Ngữ nối dõi.
已复攻，欲得地与民。	Cho rồi mà vẫn tấn công, muốn đoạt đất đai và dân chúng.
民皆怒，欲战。	Dân chúng đều tức giận, muốn chiến đấu.
古公曰：“有民 立君，将以利之。今戎狄所为攻战，以吾地与民。民之在我，与其在 彼，何异。民欲以我故战，杀人父子而君之，予不忍为。”	Cổ Công nói: “Dân lập nên vua, để làm điều có lợi cho dân. Nay Nhung địch tấn công là vì đất đai và dân ta. Dân ở phía ta hay ở bên kia thì có gì khác biệt. Dân muốn chiến đấu vì ta, nhưng giết cha con người để làm vua họ, ta không nỡ làm”.
