项籍者，下相人也， 字羽。 初起时，年二十 四。	Hạng Tịch, người Hạ Tương, tên tự là Vũ, khi mới khởi nghĩa, hai mươi tư tuổi.
其季父项梁， 梁父即楚将项燕，为秦将王翦所戮 者也。	Chú là Hạng Lương. Bố Lương là Hạng Yên, làm tướng nước Sở, bị tướng nước Tần là Vương Tiễn giết.
项 氏世世为楚将，封於项， 故姓项氏。	Họ Hạng đời đời làm tượng nước Sở, được phong ở đất Hạng, nên lấy họ Hạng.
项籍少时，学书不成，去学剑，又不成。	Hạng Tịch thuở nhỏ, học chữ không thành, bỏ sang học kiếm, cũng lại không được.
项梁怒之。	Hạng Lương tức giận.
籍曰：“书 足以记名姓而已。剑一人敌，不足学，学万人敌。”	Tịch nói: “Chữ chỉ đáng để viết họ tên mà thôi. Kiếm thì địch được một người, không đáng học. Phải học thứ địch được vạn người.”
於是项梁乃教籍 兵法，籍大喜，略知其意，又不肯竟学。	Thế rồi Hạng Lương bèn dạy Tịch binh pháp, Tịch mừng rỡ, song chỉ biết qua loa đại khái, lại không chịu học rốt ráo.
项梁尝有栎阳逮， 乃请蕲狱掾曹咎书抵 栎阳狱掾司马欣，以故事得已。	Hạng Lương từng bị quan lại Lịch Dương đuổi bắt, bèn xin Tào Cữu làm quan cai ngục đất Cơ, viết thư cho Tư Mã Hân làm quan coi ngục Lịch Dương, nên việc mới xong xuôi.
项梁杀人，与籍避仇於吴中。	Hạng Lượng giết người, cùng Tịch lánh kẻ thù ở Ngô Trung.
吴中贤士大夫皆出项梁下。	Hiền sĩ, đại phu ở Ngô Trung đều dưới tài Hạng Lương.
每吴中有大繇役及丧，项梁常为主办，阴以兵法部勒宾客及子弟，以 是知其能。	Mỗi khi Ngô Trung có việc lao dịch lớn hay ma chay, Hạng Lương thường lo liệu chính, ngầm dùng binh pháp khống chế khách khứa và trai tráng, nhờ vậy biết được khả năng của họ.
秦始皇帝游会稽，渡浙江， 梁与籍俱观。	Tần Thủy Hoàng đế du ngoạn Cối Kê, vượt Chiết Giang, Lương và Tịch cùng tới xem.
籍曰：“彼可取而代 也。”	Tịch nói: “Kẻ đó có thể đánh mà thay thế được.”
梁掩其口，曰：“毋妄言，族矣！”	Lương bịt miệng Tịch, nói: “Chớ nói bậy, giết cả họ đấy!”
籍长八尺 馀，力能扛鼎， 才气过人，虽吴中子弟皆已惮籍 矣。	Tịch cao hơn tám thước, sức nâng được vạc, tài trí hơn người, trai tráng Ngô Trung đều sợ Tịch vậy.
秦二世元年七月，陈涉等起大泽中。	Hạng Vũ [Vãn Tiếu đường Trúc trang họa truyện, Thượng Quan Châu) Tần Nhị Thế năm đầu, tháng Bảy, bọn Trần Thiệp nổi lên Đại Trạch.
其九月，会稽守 通谓梁曰： “江西皆反，此亦天亡秦 之时也。吾闻先即制人，後则为人所制。 吾欲发兵， 使公及桓楚将。”	Tháng Chín, Quận thú Cối Kê là Ân Thông nói với Hạng Lương: “Giang Tây đều làm phản, đây cũng là lúc trời diệt nhà Tần vậy. Tôi thường nghe, hành động trước thì áp chế người ta, hành động sau thì bị người ta áp chế. Tôi muốn dấy binh, để ông và Hoàn Sở cầm quân.”
是 时桓楚亡在泽中。	Bấy giờ Hoàn Sở trốn ở Đại Trạch.
梁曰：“桓楚亡，人莫知其处，独籍知之耳。”	Lương nói: “Hoàn Sở chạy trốn, không ai biết ở đâu, riêng có Tịch biết mà thôi.”
梁 乃出，诫籍持剑居外待。	Lương bèn đi ra, dặn Tịch cầm kiếm ở ngoài đợi.
梁复入，与守坐，曰：“请召籍，使受命召 桓楚。”	Lương lại vào ngồi cùng Quận thú, đoạn nói: “Xin gọi Tịch vào, sai nhận lệnh triệu Hoàn Sở.”
守曰：“诺。” 梁召籍入。	Quận thủ nói: “Được” Lương gọi Tịch vào.
须臾，梁眴籍曰：“可行 矣！”	Một chốc, Lương liếc Tịch rồi nói: “Hành động được rồi?”
於是籍遂拔剑斩守头。	Thế rồi Tịch liền tuốt kiếm chém đầu Quận thú.
项梁持守头，佩其印绶。	Hạng Lương cầm đầu Quận thú, đeo thao ấn của y.
门下大惊，扰 乱，籍所击杀数十百人。	Bọn môn hạ kinh hãi, rối loạn. Tịch đánh giết ngót trăm người.
一府中皆慴伏，莫敢 起。	Cả phủ đều khiếp vía nằm rạp, không ai dám nhỏm dậy.
梁乃召故所知豪吏，谕以所为起大事，遂举吴中兵。 使人收下 县，得精兵八千人。	Lương bèn gọi đám hào lại quen biết, nói rõ việc làm đại sự, đoạn bèn cất quân ở Ngô Trung, sai người gom quân ở các huyện, được tám nghìn tinh binh.
梁部署吴中豪杰为校尉、候、司马。	Lương bố trí cho hào kiệt Ngô Trung làm các chức hiệu úy, hậu, tự mã.
有一人不得 用，自言於梁。	Có một người không được dùng, bèn tự mình nói với Lương.
梁曰：“前时某丧使公主某事，不能办，以此不任用 公。”	Lương nói: “Trước đây có cái đám tang, ta sai ông đứng ra lo việc gì đó mà ông làm không xong, vì vậy ta không dùng ông nữa.”
众乃皆伏。	Mọi người đều nể phục.
於是梁为会稽守，籍为裨将，徇下县。 广陵人召平於是为陈王徇广陵，未能下。	Thế rồi Lương làm Quận thú Cối Kê, Tịch làm tì tướng, đi tuần các huyện, Người Quảng Lăng là Thiệu Bình, bấy giờ đánh đất Quảng Lăng theo lệnh của Trần vương, song chưa hạ được.
闻陈王败走，秦兵又且至，乃渡江矫陈王命， 拜梁为楚王上柱 国。	Nghe tin Trần vương thua chạy, quân Tần lại sắp tới, bèn vượt Trường Giang, giả mệnh lệnh của Trần vương, phong Hạng Lương làm Sở vương thượng trụ quốc.
曰：“江东已定，急引兵西击秦。”	Nói rằng: “Giang Đông đã định, mau dẫn quân về phía tây đánh Tân.”
项梁乃以八千人渡 江而西。 闻陈婴已下东阳， 使使欲与连和俱 西。	Hạng Lương bèn đem tám nghìn người vượt Trường Giang đi về phía tây; nghe tin Trần Anh đã đánh hạ Đông Dương, liền sai sứ giả tới, muốn cùng hiệp sức tiến về phía tây.
陈婴者，故东阳令史， 居县中，素信谨，称为长者。	Trần Anh, xưa làm chức Lệnh sử ở Đông Dương, khi trong huyện, vốn trung thực cẩn thận, được khen là người đôn hậu.
东阳 少年杀其令，相聚数千人，欲置长，无適用，乃请陈婴。	Trai tráng Đông Dương giết huyện lệnh, tụ tập mấy ngàn người, muốn đặt thủ lĩnh, song không ai thích hợp, bèn mời Trần Anh.
婴谢不能， 遂彊立婴为长，县中从者得二万人。 少年欲立婴便为王，异军苍头特 起。	Anh tạ từ, nói rằng không làm nổi, họ bèn ép đưa Anh lên làm thủ lĩnh, người trong huyện đi theo đến hai vạn, Trai tráng muốn lập Anh làm vương ngay, quân mới nổi dậy dùng khăn xanh bịt đầu cho khác biệt.
