孝武皇帝者， 孝景中子也。	Hiếu Vũ hoàng đế là con giữa của Hiếu Cảnh hoàng đế.
母曰王太后。	Mẹ là Vương thái hậu.
孝景四年，以皇子为胶东王。	Hiếu Cảnh để năm thứ tư, cho hoàng tử làm Giao Đông vương.
孝景七年， 栗太子废为临江王，以胶东王为太子。	Hiếu Cảnh năm thứ bảy, thái tử Lật bị phế làm Lâm Giang vương, cho Giao Đông vương làm thái tử.
孝景十六年崩，太子即位，为 孝武皇帝。	Hiếu Cảnh năm thứ mười sáu băng, thái tử lên ngôi, làm Hiếu Vũ hoàng đế.
孝武皇帝初即位，尤敬鬼神之祀。	Hiếu Vũ hoàng đế mới lên ngôi, rất kính trọng việc thờ cúng quỷ thần.
元年，汉兴已六十馀岁矣， 天下乂安，荐绅 之属皆望天子封禅改正度也。	Năm đầu tiên, nhà Hán lập nên đã hơn sáu mươi năm, thiên hạ yên bình, các quan đều mong thiên tử phong thiện, đổi lịch pháp, phục sắc.
而上乡儒术， 招贤良，赵绾、王臧等以文学为公卿，欲议古立明堂城南， 以朝诸 侯。	Vua chuộng Nho thuật, vời kẻ hiền tài. Bọn Triệu Oản, Vương Tang nhờ văn học làm tới công khanh, muốn bàn việc lập nhà Minh đường ở phía nam thành theo chế độ cổ, để chư hầu đến chầu.
会窦太后治黄老言，不好儒术，使 人微得赵绾等奸利事，召案绾、臧， 绾、臧自杀， 诸所兴为者皆废。	Gặp lúc Đậu thái hậu học lời Hoàng Lão, không ưa Nho thuật, sai người ngầm điều tra được việc gian manh mưu lợi của bọn Triệu Oản, bèn triệu Oản, Tang tới thẩm tra. Oản, Tang tự sát. Những việc họ đặt ra đều bị bỏ.
後六年，窦太后崩。	Sáu năm sau, Đậu thái hậu băng.
其明年，上徵文学之士公孙弘等。	Năm tiếp theo, vua trưng dụng đám văn sĩ Công Tôn Hoằng.
明年，上初至雍，郊见五畤。	Năm sau, vua tới huyện Ung lần đầu tiên, tế Giao ở đàn Ngũ chỉ.
後常三岁一郊。	Về sau thường ba năm một lần tế Giao.
神君者，长陵女子， 以子死悲哀，故见神於先後宛若。	Thần quân là người con gái Trường Lăng, đau buồn vì con chết, sau nhập hồn vào chị dâu Uyển Nhược.
平原君 往 祠，其後子孙以尊显。	Bình Nguyên quân từng tới cùng, con cháu về sau đều được sang hiển.
及武帝即位，则厚礼置祠之内中，闻其言，不 见其人云。	Kịp khi Vũ Đế lên ngôi, bèn sắm lễ hậu hĩnh đem thờ trong cung, nghe thấy tiếng mà không trông thấy người vậy.
少君者，故深泽侯入以主方。 匿其年及所生长，常自谓七十，能使物，卻老。	Thiếu Quân được cố Thâm Trạch hầu tiến cử vào trông coi phương dược, Y giấu tuổi tác, quê quán, thường tự xưng là bảy mươi tuổi, có thể xua đuổi tà ma, trường sinh bất lão.
其游以方遍诸侯。 无妻子。	Y ngao du khắp các nước chư hầu, không có vợ con.
人皆以为不治产 业而饶给，又不知其何所人，愈信，争事之。	Mọi người cho rằng y không buôn bán mà giàu có, lại chẳng rõ người phương nào, nên càng tin hơn, tranh nhau thờ phụng.
一宫尽骇，以少君 为神，数百岁人也。	Cả cung đều kinh hãi, cho rằng Thiếu Quân là thần, sống mấy trăm năm rồi vậy.
天子以为化去不死也， 而使黄锤史宽舒 受其方。	Thiên tử cho rằng ông ta hóa chứ không chết, bèn sai quan văn thư ở huyện Hoàng, huyện Chùy là Khoan Thư kế thừa phương thuật.
其後，天子苑有白鹿，以其皮为币， 以发瑞应，造白金焉。	Về sau, vườn thiên tử có con hươu trắng, dùng da nó làm tiền, để tỏ rõ điềm lành, đúc tiền bạch kim.
其明年，郊雍，获一角兽，若麃然。	Sang năm sau, tế Giao ở đất Ung, bắt được thú một sừng như con nai.
於是以荐五畤，畤加一牛以燎。	Thế rồi đem con thú hiến vào đàn Ngũ chỉ, mỗi chỉ thêm một con trâu để thiêu.
天子受 之，更以他县偿之。	Thiên tử nhận, đem huyện khác đền cho.
常山王有罪，迁，天子封其弟於真定，以续先王 祀，而以常山为郡。	Thường Sơn vương có tội, bị đày, thiên tử phong em ông ta ở Chân Định, để duy trì việc thờ tiên vương, rồi đổi Thường Sơn làm quận.
然后五岳皆在天子之郡。	Từ đây về sau, ngũ nhạc đều nằm trong quận của thiên tử.
其明年，齐人少翁以鬼神 方见上。	Sang năm sau, người nước Tề là Thiếu Ông dựa vào thuật quỷ thần yết kiến vua.
上有所幸王夫人， 夫人卒，少翁以方术盖夜致王夫人及灶鬼之貌云，天子自帷中 望见焉。	Vua sủng hạnh Vương phu nhân, phu nhân mất, Thiếu Ông dùng phương thuật đương đêm vời gọi hình hài của Vương phu nhân và ma bếp, thiên tử từ trong màn nhìn thấy.
文成言 曰：“上即欲与神通，宫室被服不象神，神物不至。”	Văn Thành nói rằng: “Hoàng thượng nếu muốn giao vãng với thần, mà cũng thất áo chăn không giống của thần thì thần sẽ không đến.”
又作甘泉宫，中为台室，画天、地、泰一诸神， 而置祭具以致天神。	Lại dựng cung Cam Tuyền, bên trong làm đài thất, vẽ các thần trời, đất, Thái Nhất, lại đặt đồ thờ để thỉnh các thần.
居岁馀，其方益衰，神不至。	Qua hơn một năm, cách ấy ngày càng không linh nghiệm, thần không đến.
杀而视之，得书，书言其怪，天子疑之。	Giết trâu mổ xem, được bức thư, lời lẽ rất quái dị, thiên tử nghi ngờ.
文成死明年，天子病鼎湖 甚，巫医 无所不致，不愈。	Năm thứ hai sau khi Văn Thành chết, thiên tử ốm nặng trong cung Đình Hồ, thầy đồng thầy thuốc đều tới, nhưng không đỡ.
及病，使人问神 君。	Đến khi thần đồng ốm, vua sai người hỏi thần.
神君最贵者，其佐曰大禁、司命之属，皆从之。	Vị thần tôn quý nhất là thần Thái Nhất, phò tá có các vị thần như Đại Cấm, Tư Mệnh, đều theo thần Thái Nhất.
非可得见， 闻其音，与人言等。	Các thần không thể thấy, chỉ nghe được âm thanh, như tiếng người nói.
天子祓，然后入。	Thiên tử làm lễ trừ tai xong rồi mới vào Thọ cung.
神君所言，上使人受书其言，命之曰“画法”。	Lời thần nói, vua sai người ghi chép lại, gọi là “hoạch pháp”.
其所 语，世俗之所知也，毋绝殊者，而天子独喜。	Những lời ấy, thói đời đều đã biết, chẳng hề đặc biệt, nhưng riêng thiên tử thích.
其事祕，世莫知也。	Việc này bí mật, người đời không ai hay.
其後三年，有司言元宜以天瑞命，不宜以一二数。	Sau đó ba năm, quan hữu ty nói rằng ghi năm nên lấy điềm tốt từ trời mà đặt, không nên đếm một hai.
