召公奭与周同姓，姓姬氏。	Thiệu Công Thích cùng họ với nhà Chu, họ Cơ thị.
周武王之灭纣，封召公於北燕。	Chu Vũ vương tiêu diệt vua Trụ, phân phong cho Thiệu công ở Bắc Yên.
其在成王时，召王为三公：自陕以西，召公主之；自陕以东，周 公主之。	Vào thời Thành vương, Thiệu công là một trong Tam công: từ đất Thiểm sang phía tây, Thiệu công làm chủ; từ đất Thiểm sang phía đông, Chu công làm chủ.
成王既幼，周公摄 政，当国践祚，召公疑之，作君奭。	Thành vương vẫn còn thơ dại, Chu công nhiếp chính, đảm đương quốc sự, nắm giữ ngôi vị, Thiệu công nghi ngờ Chu công, [Chu công] bèn viết bài “Quân Thích”.
君奭不说周公。	Quân Thích không hài lòng với Chu công.
周公乃 称“汤时有伊尹，假于皇天； 在太戊时，则有若伊陟、臣 扈，假于上帝，巫咸治王家； 在祖 乙时，则有若巫贤； 在武丁时，则有若甘般： 率维兹有陈，保乂有殷”。	Chu công bèn giải thích rằng: “Thời Thành Thang có Y Doãn, [công đức] cảm động trời cao; thời Thái Mậu thì có người như Y Trắc, Thần Hỗ, [công đức] cảm động Thượng đế, Vu Hàm trị lý vương gia; thời Tổ Ất, có người như Vu Hiền; thời Vũ Đinh, có người như Cam Ban: họ phô bày đức nghiệp, bảo vệ sự yên trị của nhà Ân.”
召公之治西方，甚得兆民和。	Thiệu công trị lý phía tây, dân chúng rất yên vui.
召公巡行乡邑，有棠树， 决狱政事 其下，自侯伯至庶人各得其所，无失职者。	Thiệu công tuần hành đến các hương ấp, có cây cam đường, ông ngồi dưới gốc cây xử lý chính sự và việc ngục tụng, việc từ hầu bá đến dân thường đều xử lý thỏa đáng, không ai mất chức nghiệp của mình.
召公卒，而民人思召公之 政，怀棠树不敢伐，哥咏之，作甘棠之诗。	Thiệu Công chết đi, người dân nhớ đến chính tích của ông, lưu luyến cây cam đường nên không nỡ chặt, ca vịnh cây đó, làm thành thơ “Cam đường”.
自召公已下九世至惠侯。	Từ Thiệu Công trở xuống chín đời đến Huệ hầu.
燕惠侯当周厉王 奔彘，共和之时。	Yên Huệ hầu [ở ngôi] đúng lúc Chu Lệ vương chạy ra ấp Trệ, là thời kỳ “Cộng hòa”.
惠侯卒，子釐侯立。	Huệ hầu chết, con là Hy hầu lên thay.
是岁，周宣王初即位。	Năm ấy, Chu Tuyên vương mới lên ngôi.
釐侯二 十一年，郑桓公初封於郑。	Hy hầu năm thứ hai mươi mốt, Trịnh Hoàn công mới được phong ở đất Trịnh.
三十六年，釐侯卒，子顷侯立。	Năm thứ ba mươi sáu, Hy hầu chết, con là Khoảnh hầu lên thay.
顷侯二十年，周幽王淫乱，为犬戎所弑。	Khoảnh hầu năm thứ hai mươi, Chu U vương dâm loạn, bị Khuyển Nhung giết chết.
秦始列为诸侯。	Nước Tần bắt đầu được liệt vào hàng chư hầu.
二十四年，顷侯卒，子哀侯立。	Năm thứ hai mươi tư, Khoảnh hầu chết, con là Ai hầu lên thay.
哀侯二年卒，子郑侯立。	Ai hầu đến năm thứ hai thì chết, con là Trịnh hầu lên thay.
郑侯三十六年卒，子缪侯立。	Trịnh hầu đến năm thứ ba mươi sáu thì chết, con là Mậu hầu lên thay.
十八年卒，子宣侯立。	Năm thứ mười tám thì Mậu hầu chết, con là Tuyên hầu lên thay.
宣侯十三年卒，子桓侯立。 桓侯七年卒， 子庄公立。	Tuyên hầu đến năm thứ mười ba thì chết, con là Hoàn hầu lên thay. Hoàn hầu đến năm thứ bảy thì chết, con là Trang công lên thay.
庄公十二年，齐桓公始霸。	Trang công năm thứ mười hai, Tề Hoàn công bắt đầu xưng bá.
十六年，与宋、卫共伐周惠王，惠王 出奔温，立惠王弟穨为周王。	Năm thứ mười sáu, cùng nước Tống, nước Vệ thảo phạt Chu Huệ vương, Huệ vương chạy ra đất Ôn, lập em Huệ vương là Đồi lên làm Chu vương.
十七年，郑执燕仲父而内惠王于 周。	Năm thứ mười bảy, nước Trịnh bắt Yên Trọng Phủ rồi đưa Huệ vương về Chu.
燕君送 齐桓公出境，桓公因割燕所至地予燕， 使燕共贡天子，如成周时职；使燕复修召公之法。	Vua Yên đưa tiễn Tề Hoàn công ra khỏi biên cảnh, Hoàn công nhân đó cắt đất chỗ vua Yên đặt chân đến cho nước Yên, khiến nước Yên cùng được triều cống thiên tử như chức phận thời Thành Chu; khiến nước Yên khôi phục pháp độ của Thiệu công.
三十三年 卒，子襄公立。	Năm thứ ba mươi ba, [Trang công] chết, con là Tương công lên thay.
襄公二十六年，晋文公为践土之会，称伯。	Tương công năm thứ hai mươi sáu, Tấn Văn công hội minh Tiễn Thổ, xưng bá.
三十七年，秦穆公卒。	Năm thứ ba mươi bảy, Tần Mục công chết.
四十年，襄公卒，桓公立。	Năm thứ bốn mươi, Tương công chết, Hoàn công lên thay.
桓公十六年卒， 宣公立。 宣公十五年卒，昭公立。	Hoàn công đến năm thứ mười sáu thì chết, Tuyên công lên thay. Tuyên công đến năm thứ mười lăm thì chết, Chiêu công lên thay.
昭公十三年卒，武公 立。	Chiêu công đến năm thứ mười ba thì chết, Vũ công lên thay.
武公十九年卒，文公立。	Vũ công đến năm thứ mười chín thì chết, Văn công lên thay.
文公六年卒，懿公立。	Văn công đến năm thứ sáu thì chết, Ý công lên thay.
四年卒，子惠公立。	Năm thứ tư [Vũ công] chết, con là Huệ công lên thay.
四年，齐高偃如晋，请共伐 燕，入其君。	Năm thứ tư, Cao Yển nước Tề sang nước Tấn, đề nghị cùng thảo phạt nước Yên, để đưa [Huệ công] về nước.
晋平公许，与齐伐燕，入惠公。	Tấn Bình công đồng ý, cùng nước Tề thảo phạt nước Yên, đưa Huệ công về nước.
惠公至燕而死。	Huệ công đến nước Yên thì chết.
悼公七年卒，共公立。 共公五年卒，平公立。	Điệu công đến năm thứ bảy thì chết, Cung công lên thay. Cung công đến năm thứ năm thì chết, Bình công lên thay.
十九年卒，简公立。	Năm thứ mười chín, [Bình công] chết, Giản công lên thay.
简公十 二年卒，献公立。	Giản công đến năm thứ mười hai thì chết, Hiến công lên thay.
献公十二年，齐田常弑其君 简公。	Hiến công năm thứ mười hai, Điền Thường nước Tề giết vua nước mình là Giản công.
十四年，孔子卒。	Năm thứ mười bốn, Khổng tử chết.
二十八年，献公卒，孝公立。	Năm thứ hai mươi tám, Hiến công chết, Hiếu công lên thay.
孝公十二年，韩、魏、赵灭知伯，分其地， 三晋彊。	Hiếu công năm thứ mười hai, nước Hàn, nước Ngụy, nước Triệu diệt Trí bá, chia nhau đất của Trí bá, Tam Tấn hùng mạnh.
十五年，孝公卒，成公立。	Năm thứ mười lăm, Hiếu công chết, Thành công lên thay.
成公十六年卒， 湣公立。 湣公三十一年卒，釐公立。	Thành công đến năm thứ mười sáu thì chết, Mẫn công lên thay. Mẫn công đến năm thứ ba mươi mốt thì chết, Hy công lên thay.
是岁，三 晋列为诸侯。	Năm ấy, Tam Tấn được liệt vào hàng chư hầu.
釐公三十年，伐败齐于林营。	Hy công năm thứ ba mươi, đánh bại nước Tề ở Lâm Doanh.
釐公卒， 桓公立。	Hy công chết, Hoàn công lên thay.
桓公十一年卒， 文公立。	Hoàn công đến năm thứ mười một thì chết, Văn công lên thay.
是岁，秦献公卒。	Năm ấy, Tần Hiến công chết.
文公十九年，齐威王卒。	Văn công năm thứ mười chín, Tề Uy vương chết.
秦惠王以其女为燕太子妇。	Tần Huệ vương đem con gái của mình gả cho Thái tử nước Yên.
二十九年，文公卒，太子立，是为易王。	Năm thứ hai mươi chín, Văn công chết, Thái tử lên ngôi, đó là Dịch vương.
十年，燕君为王。	Năm thứ mười, Yên quân xưng vương.
易王立十二年卒，子燕哙立。	Dịch vương lên ngôi được mười hai năm thì chết, con là Yên Khoái lên thay.
苏秦之在燕，与其相子之为婚，而苏代 与子之交。	Lúc Tô Tần còn ở nước Yên, có kết thông gia với Tướng quốc Tử Chi, còn Tô Đại cũng kết giao với Tử Chi.
燕哙三年，与楚、三晋攻 秦，不胜而还。	Yên Khoái năm thứ ba, cùng nước Sở, Tam Tấn tấn công nước Tần, không thắng được phải rút về.
苏代为齐使於燕， 燕王问曰：“齐王 奚如？”	Tô Đại vì nước Tề nên đi sứ sang nước Yên, Yên vương hỏi rằng: “Tề vương thế nào?”
对曰：“必不霸。”	Đáp rằng: “Nhất định không thể xưng bá.”
燕王曰：“何也？”	Yên vương hỏi: “Tại sao?”
对曰：“不信其 臣。”	Đáp rằng: “Không tin bề tôi của mình.”
於是燕王大信子之。	Thế là Yên vương càng tín nhiệm Tử Chi.
