管叔鲜、 蔡叔度者，周文王子而武王弟也。	Quản Thúc Tiên, Sái Thúc Độ là con của Chu Văn vương, em của Vũ vương.
武王同母兄弟十 人。	Anh em cùng mẹ với Vũ vương có mười người.
母曰太姒， 文 王正妃也。	Mẹ là Thái Tự, chính phi của Văn vương.
其长子曰伯邑考，次曰武王发，次曰管叔鲜，次曰周公 旦，次曰蔡叔度，次曰曹叔振铎，次曰成叔武， 次曰霍叔处， 次曰康叔封， 次曰厓季载。	Con trưởng [của Thái Tự và Văn vương] là Bá Ấp Khảo, rồi đến Vũ vương Phát, Quản thúc Tiên, Chu công Đán, Sái Thúc Độ, Tào Thúc Chấn Đạc, Thành Thúc Vũ, Hoắc Thúc Xử, Khang thúc Phong, Nhiễm Quý Tải.
同母昆弟十人， 唯发、旦贤，左右辅文王， 故文王舍伯邑考而以发为太子。	Anh em cùng mẹ mười người, nhưng chỉ có Phát và Đán là hiền năng, làm tả hữu phụ bật cho Văn vương, cho nên Văn vương bỏ Bá Ấp Khảo mà lấy Phát làm Thái tử.
及文王崩而发立，是为武 王。	Đến khi Văn vương băng hà thì Phát lên ngôi, đó là Vũ vương.
伯邑考既已前卒矣。	Bá Ấp Khảo đã chết từ trước đó.
武王已克殷纣，平天下，封功臣昆弟。	Sau khi Vũ vương đánh thắng vua Trụ nhà Ân, bình định thiên hạ, phân phong cho bề tôi có công và các em.
於是封叔鲜於管， 封叔度於蔡：二 人相纣子武庚禄父，治殷遗民。	Thế rồi phong cho Thúc Tiên đất Quản, Thúc Độ đất Sài: hai người phụ tá con trai vua Trụ là Vũ Canh Lộc Phủ, cai trị di dân của nhà Ân.
封叔旦於鲁而相周，为周公。	Phong cho Thúc Đán đất Lỗ để phò tá nhà Chu, đó là Chu công.
封叔振 铎於曹，封叔武於成， 封叔处於霍。 康 叔封、厓季载皆少，未得封。	Phong cho Thúc Chấn Đạc đất Tào, phong cho Thúc Vũ đất Thành, phong cho Thúc Xử đất Hoắc, Khang thúc Phong và Nhiễm Quý Tải đều còn nhỏ, chưa được phân phong.
武王既崩，成王少，周公旦专王室。	Sau khi Vũ vương băng hà, Thành vương còn nhỏ, Chu công Đán nắm đại quyền trong vương thất.
管叔、蔡叔疑周公之为不利 於成王，乃挟武庚以作乱。	Quản thúc, Sái thúc ngờ Chu công sẽ làm những việc gây bất lợi cho Thành vương, bèn xúi Vũ Canh làm loạn.
周公旦承成王命伐诛武庚，杀管叔，而放 蔡叔，迁之，与车十乘，徒七十人从。	Chu công Đán thừa lệnh Thành vương thảo phạt Vũ Canh, giết Quản thúc, rồi lưu đày Sái thúc, lúc đày đi cho mười cỗ xe, bảy mươi tùy tòng.
而分殷馀民为二：其一封微子 启於宋，以续殷祀；其一封康叔为卫君，是为卫康叔。	Rồi chia số dân còn lại của nhà Ân thành hai: thứ nhất, phân phong cho Vi tử Khải đất Tống, để kế tục tế tự nhà Ân; thứ hai, phong cho Khang thúc làm Vệ quân, đó là Vệ Khang thúc.
厓季、康叔皆有驯行，於是周公举康叔为 周司寇，厓季为周司空，以佐成王治，皆有令 名於天下。	Nhiễm Quý và Khang thúc đều có đức hạnh thuần chính, vì thế Chu công cất nhắc Khang thúc làm Tư khấu cho nhà Chu, Nhiễm Quý làm Tư không cho nhà Chu, đặng phò tá Thành vương cai trị, đều có danh tiếng tốt đẹp trong thiên hạ.
蔡叔度既迁而死。	Sái Thúc Độ bị lưu đày rồi chết.
周公闻之， 而举胡以为鲁卿士， 鲁国治。	Chu công biết chuyện, mới cất nhắc Hồ làm khanh sĩ ở nước Lỗ, nước Lỗ [nhờ thế] yên trị.
於是周公言於成王， 复封胡於蔡，以奉蔡叔之祀，是为蔡 仲。	Thế rồi Chu công nói với Thành vương, lại phong cho Hồ đất Sái, để phụng thờ tế tự Sái thúc, đó là Sái Trọng.
馀五叔皆就国，无为天子吏 者。	Năm người em còn lại đều đến nước phong, không ai làm quan cho thiên tử.
蔡仲卒，子蔡伯荒立。	Sái Trọng chết, con là Sái bá Hoang lên thay.
蔡伯荒卒，子宫侯立。 宫侯卒，子厉侯 立。	Sái bá Hoang chết, con là Cung hầu lên thay. Cung hầu chết, con là Lệ hầu lên thay.
厉侯卒，子武侯立。	Lệ hầu chết, con là Vũ hầu lên thay.
武侯卒，子夷侯立。	Vũ hầu chết, con là Di hầu lên thay.
夷侯十一年，周宣王即位。	Di hầu năm thứ mười một, Chu Tuyên vương lên ngôi.
二十八年，夷侯 卒，子釐侯所事立。	Năm thứ hai mươi tám, Di hầu chết, con là Hy hầu Sở Sự lên thay.
秦始得列为 诸侯。	Nước Tần bắt đầu được liệt vào hàng chư hầu.
四十八年，釐侯卒，子共侯兴立。	Năm thứ bốn mươi tám, Hy hầu chết, con là Cung hầu Hưng lên thay.
共侯二年卒，子戴侯立。	Cung hầu năm thứ hai thì chết, con là Đái hầu lên thay.
戴侯 十年卒，子宣侯措父立。	Đái hầu năm thứ mười thì chết, con là Tuyên hầu Thố Phủ lên thay.
宣侯二十八年，鲁隐公初立。	Tuyên hầu năm thứ hai mươi tám, Lỗ Ẩn công mới lên ngôi.
三十五年，宣侯卒，子桓侯封人 立。	Năm thứ ba mươi lăm, Tuyên hầu chết, con là Hoàn hầu Phong Nhân lên thay.
二十年，桓侯卒，弟哀侯献舞立。	Năm thứ hai mươi, Hoàn hầu chết, em là Ai hầu Hiến Vũ lên thay.
息夫人将归，过蔡，蔡侯不敬。	Phu nhân của Túc hầu trên đường về, đi qua nước Sái, Sái hầu bất kính.
楚文 王从之，虏蔡哀侯以归。	Sở Văn vương nghe theo kế đó, bắt sống được Sái Ai hầu rồi rút về.
凡立二十年卒。	Ai hầu trước sau tại vị được hai mươi năm thì qua đời.
蔡人 立其子肸，是为缪侯。	Người Sái lập con của Ai hầu là Hật lên thay, đó là Mậu hầu.
缪侯以其女弟为齐桓公夫人。	Mậu hầu đem em gái gả cho Tề Hoàn công làm phu nhân.
十八年，齐桓公与蔡女戏船中，夫 人荡舟，桓公止之，不止，公怒，归蔡女而不绝也。	Năm thứ mười tám, Tề Hoàn công cùng phu nhân nước Sái đùa chơi trên thuyền, phu nhân làm thuyền tròng trành, Hoàn công ngăn lại, [phu nhân vẫn] không thôi, Hoàn công tức giận, đưa trả về nước Sái nhưng không tuyệt giao.
蔡侯怒，嫁其 弟。	Sái hầu giận, gả người em gái ấy cho người khác.
二十九年，缪侯卒， 子庄侯甲午立。	Năm thứ hai mươi chín, Mậu hầu chết, con là Trang hầu Giáp Ngọ lên thay.
十四年，晋文公败楚於城濮。	Năm thứ mười bốn, Tấn Văn công đánh bại quân Sở ở Thành Bộc.
二十年，楚 太子商臣弑其父成王代立。	Năm thứ hai mươi, Thái tử nước Sở là Thương Thần giết vua cha là Thành vương rồi lên thay.
二十五年，秦穆公卒。	Năm thứ hai mươi lăm, Tần Mục công chết.
三十四年，庄侯卒，子文侯申立。	Năm thứ ba mươi tư, Trang hầu chết, con là Văn hầu Thân lên thay.
文侯十四年，楚庄王伐陈，杀夏徵舒。	Văn hầu năm thứ mười bốn, Sở Trang vương thảo phạt nước Trần, giết Hạ Trưng Thư.
二十年，文侯卒，子景侯固立。	Năm thứ hai mươi, Văn hầu chết, con là Cảnh hầu Cố lên thay.
太子弑景侯而自立，是为灵侯。	Thái tử giết Cảnh hầu, tự lập làm vua, đó là Linh hầu.
灵侯二年，楚公子围弑其王郏敖而自立，为灵王。	Linh hầu năm thứ hai, công tử nước Sở là Vi giết vua nước mình là Giáp Ngao rồi tự lập làm vua, đó là Linh vương.
十二年，楚灵王以灵侯 弑其父，诱蔡灵侯于申，伏甲饮之，醉而杀之， 刑其士卒七十人。	Năm thứ mười hai, Sở Linh vương nhân cơ hội [Sái] Linh hầu giết cha, bèn dụ gái Linh hầu đến đất Thân, cho giáp sĩ mai phục sau đó mời Sái Linh hầu uống rượu, chuốc say rồi giết chết, kế đó giết bảy mươi sĩ tốt của Linh hầu.
令公子弃疾围蔡。	Hạ lệnh cho công tử Khí Tật bao vây nước Sái.
十一月，灭蔡，使弃疾为蔡公。	Tháng Mười một, [nước Sở] diệt nước Sái, cho Khí Tật làm Sái công.
楚灭蔡三岁，楚公子弃疾弑其君灵王代立，为平王。	Ba năm sau khi nước Sở diệt nước Sái, công tử Khí Tật nước Sở giết vua nước mình là Linh vương rồi lên thay, đó là Bình vương.
平王乃求蔡 景侯少子庐，立之，是为平侯。	Bình vương liền tìm con út của Sái Cảnh hầu là Lư, rồi đưa Lư lên ngôi, đó là Bình hầu.
楚平王初立，欲亲诸侯，故 复立陈、蔡後。	Sở Bình vương mới lên ngôi, muốn kết thân với chư hầu, cho nên khôi phục rồi lập hậu duệ của Trần và Sái.
